Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-07-13,9.5,10.5,9.12,10.1,14474412,0,0
2005-07-14,10.1,10.22,9.75,10.0,3928104,0,0
2005-07-15,10.07,10.07,9.62,9.8,620848,0,0
2005-07-18,9.7,9.81,9.38,9.49,1060492,0,0
2005-07-19,9.49,9.52,9.15,9.15,917690,0,0
2005-07-20,9.12,9.4,9.0,9.02,532126,0,0
2005-07-21,9.25,9.4,9.05,9.25,717416,0,0
2005-07-22,9.41,9.45,8.8,8.9,616826,0,0
2005-07-25,8.9,9.2,8.81,9.03,634840,0,0
2005-07-26,8.98,9.29,8.9,9.24,175686,0,0
2005-07-27,9.3,9.6,9.06,9.48,214556,0,0
2005-07-28,9.18,9.57,9.18,9.53,168532,0,0
2005-07-29,9.52,9.75,9.45,9.64,500440,0,0
2005-08-01,10.02,10.02,9.45,9.65,450276,0,0
2005-08-02,9.9,9.93,9.45,9.58,368938,0,0
2005-08-03,9.6,9.73,9.53,9.66,237378,0,0
2005-08-04,9.74,9.74,9.12,9.4,387548,0,0
2005-08-05,9.4,9.72,9.32,9.57,815948,0,0
2005-08-08,9.75,11.02,9.57,10.52,2722348,0,0
2005-08-09,11.0,11.0,10.12,10.43,1473766,0,0
2005-08-10,10.35,10.47,10.16,10.25,321440,0,0
2005-08-11,10.24,10.49,10.19,10.32,623186,0,0
2005-08-12,10.39,10.49,10.02,10.26,182548,0,0
2005-08-15,10.26,11.0,10.25,10.5,231384,0,0
2005-08-16,10.5,10.62,10.4,10.5,724802,0,0
2005-08-17,10.65,10.87,10.52,10.68,103884,0,0
2005-08-18,10.55,11.05,10.55,10.87,239300,0,0
2005-08-19,10.9,10.98,10.7,10.85,120502,0,0
2005-08-22,11.0,11.38,10.79,10.88,442402,0,0
2005-08-23,11.0,11.05,10.93,10.95,560836,0,0
2005-08-24,10.97,11.0,10.43,10.53,233348,0,0
2005-08-25,10.5,10.7,10.12,10.21,166450,0,0
2005-08-26,10.12,10.24,10.12,10.14,175974,0,0
2005-08-29,10.4,10.4,9.34,9.48,1037226,0,0
2005-08-30,9.44,9.56,9.25,9.38,456578,0,0
2005-08-31,9.48,9.57,9.41,9.49,355130,0,0
2005-09-01,9.6,9.6,9.12,9.28,390062,0,0
2005-09-02,9.39,9.57,9.36,9.5,154132,0,0
2005-09-06,9.56,9.99,9.48,9.77,238752,0,0
2005-09-07,9.82,10.24,9.68,10.14,247224,0,0
2005-09-08,10.25,10.31,10.11,10.18,267684,0,0
2005-09-09,10.25,10.69,10.12,10.56,243368,0,0
2005-09-12,10.68,10.95,10.68,10.77,267926,0,0
2005-09-13,10.75,11.65,10.74,11.57,1729990,0,0
2005-09-14,11.57,11.65,10.58,11.16,792628,0,0
2005-09-15,11.23,11.55,11.15,11.4,732086,0,0
2005-09-16,11.51,12.59,11.51,12.31,1194516,0,0
2005-09-19,12.18,12.82,12.18,12.57,734968,0,0
2005-09-20,12.61,12.75,12.25,12.51,331738,0,0
2005-09-21,12.5,12.77,12.5,12.75,216820,0,0
2005-09-22,12.81,12.93,12.6,12.76,107030,0,0
2005-09-23,12.38,12.93,11.93,12.5,270414,0,0
2005-09-26,12.66,12.68,12.0,12.19,165596,0,0
2005-09-27,11.9,11.93,11.3,11.5,879292,0,0
2005-09-28,11.5,11.68,11.18,11.55,415262,0,0
2005-09-29,11.55,12.52,11.55,12.32,651854,0,0
2005-09-30,12.45,13.5,12.45,13.37,694294,0,0
2005-10-03,13.35,13.65,13.16,13.4,185296,0,0
2005-10-04,13.52,13.52,12.94,13.0,201728,0,0
2005-10-05,12.92,12.98,12.49,12.51,227946,0,0
2005-10-06,12.5,12.5,11.9,12.1,696718,0,0
2005-10-07,12.12,12.5,11.95,12.23,433170,0,0
2005-10-10,12.41,13.1,12.34,12.74,327364,0,0
2005-10-11,12.76,12.77,11.88,11.94,455890,0,0
2005-10-12,12.5,12.5,11.54,11.54,454644,0,0
2005-10-13,11.55,11.57,11.25,11.43,453506,0,0
2005-10-14,11.51,12.44,11.43,12.38,346076,0,0
2005-10-17,12.51,13.12,12.51,12.91,475014,0,0
2005-10-18,13.07,13.07,12.58,12.76,384344,0,0
2005-10-19,12.98,13.31,12.1,12.89,171734,0,0
2005-10-20,13.06,13.06,12.45,12.55,109506,0,0
2005-10-21,12.76,12.89,12.5,12.89,42230,0,0
2005-10-24,13.0,13.5,12.88,13.42,233242,0,0
2005-10-25,13.5,13.5,13.19,13.19,34704,0,0
2005-10-26,13.36,13.47,13.22,13.4,76064,0,0
2005-10-27,13.3,13.48,12.9,12.9,64302,0,0
2005-10-28,12.88,13.35,12.73,13.25,167490,0,0
2005-10-31,13.3,13.49,12.9,13.13,87262,0,0
2005-11-01,13.3,14.1,13.0,14.02,282786,0,0
2005-11-02,13.98,14.07,13.42,13.49,402086,0,0
2005-11-03,14.61,14.8,13.81,13.97,1607102,0,0
2005-11-04,14.0,14.05,13.85,13.95,462390,0,0
2005-11-07,13.9,13.98,13.5,13.9,224590,0,0
2005-11-08,13.82,14.15,13.18,13.98,158818,0,0
2005-11-09,14.0,14.0,13.8,13.99,241132,0,0
2005-11-10,14.0,14.02,13.82,13.88,146976,0,0
2005-11-11,13.77,13.98,13.64,13.75,92960,0,0
2005-11-14,13.85,14.25,13.62,14.02,388328,0,0
2005-11-15,14.1,14.1,13.8,13.95,188122,0,0
2005-11-16,13.7,13.76,13.64,13.72,92580,0,0
2005-11-17,13.69,14.74,13.68,14.66,1080156,0,0
2005-11-18,14.78,14.87,14.46,14.5,164616,0,0
2005-11-21,14.5,15.15,14.5,14.62,234672,0,0
2005-11-22,14.51,15.8,14.51,15.1,336934,0,0
2005-11-23,14.95,15.73,14.95,15.29,166046,0,0
2005-11-25,15.55,15.97,15.33,15.63,80638,0,0
2005-11-28,15.35,15.53,14.78,15.25,111844,0,0
2005-11-29,15.25,15.25,14.9,15.04,70036,0,0
2005-11-30,15.03,15.1,14.75,14.8,155204,0,0
