Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-01-16,3.6,3.6,3.6,3.6,3200,0.0,0.0
2001-01-17,3.6,3.6,3.6,3.6,122800,0.0,0.0
2001-01-18,3.72,3.96,3.72,3.96,167200,0.0,0.0
2001-01-19,4.02,4.11,4.02,4.11,59600,0.0,0.0
2001-01-22,4.08,4.44,4.08,4.38,146800,0.0,0.0
2001-01-23,4.32,4.59,4.32,4.5,76000,0.0,0.0
2001-01-24,4.44,4.44,4.38,4.38,560000,0.0,0.0
2001-01-25,4.47,4.5,4.44,4.5,143200,0.0,0.0
2001-01-26,4.44,4.45,4.44,4.44,82000,0.0,0.0
2001-01-29,4.44,4.5,4.41,4.48,262000,0.0,0.0
2001-01-30,4.48,4.48,4.4,4.46,339200,0.0,0.0
2001-01-31,4.48,4.57,4.48,4.5,326000,0.0,0.0
2001-02-01,4.56,5.08,4.5,5.01,2556800,0.0,0.0
2001-02-02,4.98,5.04,4.94,4.99,795600,0.0,0.0
2001-02-05,5.0,5.14,4.78,4.79,644800,0.0,0.0
2001-02-06,4.77,4.8,4.74,4.74,1338800,0.0,0.0
2001-02-07,4.72,4.8,4.71,4.8,1350400,0.0,0.0
2001-02-08,4.8,4.83,4.68,4.68,578800,0.0,0.0
2001-02-09,4.68,4.74,4.68,4.74,441600,0.0,0.0
2001-02-12,4.74,4.74,4.63,4.63,327200,0.0,0.0
2001-02-13,4.63,4.69,4.62,4.62,648800,0.0,0.0
2001-02-14,4.62,4.62,4.57,4.58,135600,0.0,0.0
2001-02-15,4.58,4.59,4.39,4.39,454400,0.0,0.0
2001-02-16,4.34,4.34,4.17,4.33,427200,0.0,0.0
2001-02-20,4.33,4.35,4.27,4.34,1000400,0.0,0.0
2001-02-21,4.34,4.34,4.29,4.34,443600,0.0,0.0
2001-02-22,4.34,4.35,4.29,4.32,623600,0.0,0.0
2001-02-23,4.34,4.48,4.32,4.42,1222800,0.0,0.0
2001-02-26,4.44,4.58,4.44,4.56,1182400,0.0,0.0
2001-02-27,4.56,4.56,4.53,4.53,690000,0.0,0.0
2001-02-28,4.53,4.56,4.52,4.56,326000,0.0,0.0
2001-03-01,4.53,4.53,4.48,4.48,155200,0.0,0.0
2001-03-02,4.5,4.51,4.48,4.5,836800,0.0,0.0
2001-03-05,4.5,4.57,4.5,4.56,402800,0.0,0.0
2001-03-06,4.56,4.58,4.51,4.51,610000,0.0,0.0
2001-03-07,4.51,4.55,4.51,4.55,89600,0.0,0.0
