Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-12-08,4.48,6.48,4.29,5.67,17149800,0.0,0.0
2000-12-11,6.43,6.45,5.63,6.0,2919200,0.0,0.0
2000-12-12,6.01,6.02,5.49,5.63,1077400,0.0,0.0
2000-12-13,5.88,5.91,5.6,5.63,422400,0.0,0.0
2000-12-14,5.66,5.74,5.63,5.7,265400,0.0,0.0
2000-12-15,5.74,5.74,5.1,5.7,950200,0.0,0.0
2000-12-18,5.81,5.81,5.51,5.68,483600,0.0,0.0
2000-12-19,5.68,5.68,5.45,5.56,457400,0.0,0.0
2000-12-20,5.49,5.56,5.1,5.17,1228800,0.0,0.0
2000-12-21,5.12,5.24,5.03,5.15,1017400,0.0,0.0
2000-12-22,5.28,5.49,5.24,5.45,416000,0.0,0.0
2000-12-26,5.47,5.49,5.35,5.38,754000,0.0,0.0
2000-12-27,5.36,5.42,5.17,5.26,361400,0.0,0.0
2000-12-28,5.28,5.49,5.19,5.28,1048600,0.0,0.0
2000-12-29,5.38,5.7,5.31,5.6,232800,0.0,0.0
2001-01-02,5.72,5.74,5.29,5.45,330400,0.0,0.0
2001-01-03,5.32,5.49,4.96,4.99,545400,0.0,0.0
2001-01-04,5.08,5.38,4.99,5.12,287600,0.0,0.0
2001-01-05,5.13,5.24,5.03,5.14,962000,0.0,0.0
2001-01-08,5.1,5.15,4.96,4.96,631000,0.0,0.0
2001-01-09,5.07,5.1,4.82,4.89,821800,0.0,0.0
2001-01-10,4.87,4.89,4.75,4.82,976800,0.0,0.0
2001-01-11,4.83,5.24,4.82,5.15,1357000,0.0,0.0
2001-01-12,5.27,5.45,5.24,5.42,566200,0.0,0.0
2001-01-16,5.56,5.81,5.35,5.38,663200,0.0,0.0
2001-01-17,5.41,5.63,5.35,5.49,486000,0.0,0.0
2001-01-18,5.52,5.52,5.24,5.38,292800,0.0,0.0
2001-01-19,5.4,5.45,5.17,5.21,254200,0.0,0.0
2001-01-22,5.28,5.28,4.99,5.06,764600,0.0,0.0
2001-01-23,5.17,5.21,5.06,5.06,442600,0.0,0.0
2001-01-24,5.07,5.1,4.8,4.82,1197200,0.0,0.0
2001-01-25,4.89,5.1,4.6,5.06,985800,0.0,0.0
2001-01-26,4.96,5.49,4.92,5.28,249000,0.0,0.0
2001-01-29,5.38,5.67,5.28,5.65,206600,0.0,0.0
2001-01-30,5.65,5.68,5.37,5.68,188800,0.0,0.0
2001-01-31,5.6,5.68,5.49,5.51,84200,0.0,0.0
2001-02-01,5.49,5.68,5.49,5.63,100600,0.0,0.0
2001-02-02,5.68,6.16,5.67,6.13,477200,0.0,0.0
2001-02-05,6.25,6.91,6.16,6.76,562400,0.0,0.0
2001-02-06,6.87,7.28,6.76,7.01,585600,0.0,0.0
2001-02-07,6.84,7.08,6.76,6.91,189400,0.0,0.0
2001-02-08,6.88,7.19,6.87,7.12,451400,0.0,0.0
2001-02-09,7.1,7.14,6.8,6.8,730200,0.0,0.0
2001-02-12,6.87,6.91,6.66,6.66,2362200,0.0,0.0
2001-02-13,6.75,6.98,6.62,6.91,228600,0.0,0.0
