Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-05-13,7.16,7.25,7.03,7.12,4372600,0.0,0.0
1996-05-14,7.07,7.07,6.85,6.94,1192800,0.0,0.0
1996-05-15,6.85,6.9,6.77,6.81,839700,0.0,0.0
1996-05-16,6.81,6.85,6.81,6.85,468000,0.0,0.0
1996-05-17,6.85,6.9,6.85,6.9,298700,0.0,0.0
1996-05-20,7.03,7.12,7.03,7.12,189600,0.0,0.0
1996-05-21,7.12,7.12,6.99,7.03,192700,0.0,0.0
1996-05-22,7.03,7.07,7.03,7.03,263600,0.0,0.0
1996-05-23,6.99,6.99,6.99,6.99,39600,0.0,0.0
1996-05-24,6.94,6.94,6.9,6.9,79700,0.0,0.0
1996-05-28,6.9,6.9,6.85,6.85,112000,0.0,0.0
1996-05-29,6.85,6.9,6.85,6.85,70500,0.0,0.0
1996-05-30,6.85,6.94,6.85,6.94,94600,0.0,0.0
1996-05-31,6.94,6.99,6.9,6.94,13200,0.0,0.0
1996-06-03,6.94,6.94,6.9,6.9,33900,0.0,0.0
1996-06-04,6.85,6.9,6.81,6.85,169300,0.0,0.0
1996-06-05,6.9,6.94,6.85,6.94,252600,0.0,0.0
1996-06-06,6.94,6.94,6.85,6.85,19200,0.0,0.0
1996-06-07,6.85,6.9,6.81,6.81,262700,0.0,0.0
1996-06-10,6.81,6.81,6.77,6.77,36200,0.0,0.0
1996-06-11,6.85,6.85,6.81,6.85,107000,0.0,0.0
1996-06-12,6.85,6.85,6.81,6.81,53800,0.0,0.0
1996-06-13,6.81,6.85,6.81,6.85,354400,0.0,0.0
1996-06-14,6.81,6.81,6.81,6.81,4500,0.0,0.0
1996-06-17,6.81,6.81,6.81,6.81,16800,0.0,0.0
1996-06-18,6.77,6.81,6.72,6.77,48800,0.0,0.0
1996-06-19,6.77,6.77,6.72,6.72,228500,0.0,0.0
1996-06-20,6.72,6.77,6.72,6.72,85600,0.0,0.0
1996-06-21,6.72,6.72,6.68,6.72,109600,0.0,0.0
1996-06-24,6.68,6.72,6.68,6.68,44800,0.0,0.0
1996-06-25,6.68,6.72,6.68,6.68,50900,0.0,0.0
1996-06-26,6.68,6.68,6.68,6.68,28200,0.0,0.0
1996-06-27,6.72,6.77,6.68,6.72,44900,0.0,0.0
1996-06-28,6.68,6.72,6.68,6.72,32400,0.0,0.0
1996-07-01,6.68,6.72,6.68,6.68,32400,0.0,0.0
1996-07-02,6.72,6.77,6.72,6.77,79000,0.0,0.0
1996-07-03,6.81,6.81,6.77,6.81,17800,0.0,0.0
1996-07-05,6.59,6.59,6.46,6.46,36900,0.0,0.0
1996-07-08,6.33,6.33,5.93,6.02,32400,0.0,0.0
1996-07-09,6.02,6.24,6.02,6.24,128000,0.0,0.0
1996-07-10,6.33,6.37,6.28,6.37,50000,0.0,0.0
1996-07-11,6.33,6.37,6.15,6.24,44100,0.0,0.0
1996-07-12,6.33,6.42,6.33,6.42,19800,0.0,0.0
1996-07-15,6.42,6.46,6.37,6.46,19600,0.0,0.0
1996-07-16,6.46,6.5,6.42,6.5,41900,0.0,0.0
1996-07-17,6.42,6.42,6.37,6.42,3100,0.0,0.0
1996-07-18,6.37,6.63,6.37,6.63,47100,0.0,0.0
1996-07-19,6.59,6.77,6.59,6.68,32600,0.0,0.0
1996-07-22,6.63,6.63,6.59,6.59,28400,0.0,0.0
1996-07-23,6.68,6.68,6.55,6.55,10300,0.0,0.0
