Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,1.76,1.76,1.76,1.76,20000,0.0,0.0
1973-02-22,1.77,1.77,1.77,1.77,6400,0.0,0.0
1973-02-23,1.83,1.83,1.83,1.83,43200,0.0,0.0
1973-02-26,1.83,1.83,1.83,1.83,4800,0.0,0.0
1973-02-27,1.81,1.81,1.81,1.81,1600,0.0,0.0
1973-02-28,1.79,1.79,1.79,1.79,65600,0.0,0.0
1973-03-01,1.8,1.8,1.8,1.8,3200,0.0,0.0
1973-03-02,1.79,1.79,1.79,1.79,1600,0.0,0.0
1973-03-05,1.78,1.78,1.78,1.78,14400,0.0,0.0
1973-03-06,1.78,1.78,1.78,1.78,108000,0.0,0.0
1973-03-07,1.74,1.74,1.74,1.74,36000,0.0,0.0
1973-03-08,1.74,1.74,1.74,1.74,8000,0.0,0.0
1973-03-09,1.69,1.69,1.69,1.69,16800,0.0,0.0
1973-03-12,1.65,1.65,1.65,1.65,17600,0.0,0.0
1973-03-13,1.67,1.67,1.67,1.67,14400,0.0,0.0
1973-03-14,1.65,1.65,1.65,1.65,13600,0.0,0.0
1973-03-15,1.65,1.65,1.65,1.65,28000,0.0,0.0
1973-03-16,1.65,1.65,1.65,1.65,121600,0.0,0.0
1973-03-19,1.65,1.65,1.65,1.65,16800,0.0,0.0
1973-03-20,1.63,1.63,1.63,1.63,20000,0.0,0.0
1973-03-21,1.61,1.61,1.61,1.61,16800,0.0,0.0
1973-03-22,1.51,1.51,1.51,1.51,16000,0.0,0.0
1973-03-23,1.48,1.48,1.48,1.48,44000,0.0,0.0
1973-03-26,1.46,1.46,1.46,1.46,25600,0.0,0.0
1973-03-27,1.55,1.55,1.55,1.55,25600,0.0,0.0
1973-03-28,1.64,1.64,1.64,1.64,12800,0.0,0.0
1973-03-29,1.69,1.69,1.69,1.69,25600,0.0,0.0
1973-03-30,1.69,1.69,1.69,1.69,35200,0.0,0.0
1973-04-02,1.68,1.68,1.68,1.68,16000,0.0,0.0
1973-04-03,1.63,1.63,1.63,1.63,127200,0.0,0.0
1973-04-04,1.59,1.59,1.59,1.59,32800,0.0,0.0
1973-04-05,1.55,1.55,1.55,1.55,29600,0.0,0.0
1973-04-06,1.51,1.51,1.51,1.51,55200,0.0,0.0
1973-04-09,1.56,1.56,1.56,1.56,36000,0.0,0.0
1973-04-10,1.6,1.6,1.6,1.6,12000,0.0,0.0
1973-04-11,1.6,1.6,1.6,1.6,53600,0.0,0.0
1973-04-12,1.6,1.6,1.6,1.6,16000,0.0,0.0
1973-04-13,1.59,1.59,1.59,1.59,12000,0.0,0.0
1973-04-16,1.54,1.54,1.54,1.54,24000,0.0,0.0
1973-04-17,1.56,1.56,1.56,1.56,12800,0.0,0.0
1973-04-18,1.56,1.56,1.56,1.56,2400,0.0,0.0
1973-04-19,1.57,1.57,1.57,1.57,25600,0.0,0.0
1973-04-23,1.6,1.6,1.6,1.6,10400,0.0,0.0
1973-04-24,1.57,1.57,1.57,1.57,3200,0.0,0.0
1973-04-25,1.57,1.57,1.57,1.57,12800,0.0,0.0
1973-04-26,1.59,1.59,1.59,1.59,25600,0.0,0.0
1973-04-27,1.58,1.58,1.58,1.58,4000,0.0,0.0
1973-04-30,1.56,1.56,1.56,1.56,20000,0.0,0.0
1973-05-01,1.48,1.48,1.48,1.48,41600,0.0,0.0
1973-05-02,1.5,1.5,1.5,1.5,38400,0.0,0.0
1973-05-03,0.0,1.55,1.51,1.55,13600,0.0,0.0
1973-05-04,0.0,1.62,1.56,1.6,13600,0.0,0.0
1973-05-07,0.0,1.59,1.57,1.57,4800,0.0,0.0
1973-05-08,0.0,1.59,1.54,1.55,7200,0.0,0.0
1973-05-09,0.0,1.54,1.5,1.52,283200,0.0,0.0
1973-05-10,0.0,1.54,1.52,1.54,4000,0.0,0.0
1973-05-11,0.0,1.54,1.53,1.53,24800,0.0,0.0
1973-05-14,0.0,1.52,1.5,1.5,10400,0.0,0.0
1973-05-15,0.0,1.5,1.49,1.49,57600,0.0,0.0
1973-05-16,0.0,1.48,1.47,1.47,121600,0.0,0.0
1973-05-17,0.0,1.48,1.45,1.45,23200,0.0,0.0
1973-05-18,0.0,1.45,1.34,1.34,49600,0.0,0.0
1973-05-21,0.0,1.34,1.31,1.32,60000,0.0,0.0
1973-05-22,0.0,1.36,1.32,1.35,39200,0.0,0.0
1973-05-23,0.0,1.4,1.36,1.4,9600,0.0,0.0
1973-05-24,0.0,1.43,1.4,1.43,9600,0.0,0.0
1973-05-25,0.0,1.52,1.48,1.48,50400,0.0,0.0
1973-05-29,0.0,1.51,1.48,1.48,35200,0.0,0.0
1973-05-30,0.0,1.46,1.42,1.42,18400,0.0,0.0
1973-05-31,0.0,1.4,1.37,1.37,10400,0.0,0.0
1973-06-01,0.0,1.37,1.36,1.37,38400,0.0,0.0
1973-06-04,0.0,1.37,1.34,1.36,30400,0.0,0.0
1973-06-05,0.0,1.43,1.36,1.4,22400,0.0,0.0
1973-06-06,0.0,1.39,1.36,1.36,16800,0.0,0.0
1973-06-07,0.0,1.38,1.36,1.38,11200,0.0,0.0
1973-06-08,0.0,1.4,1.39,1.39,11200,0.0,0.0
1973-06-11,0.0,1.41,1.4,1.4,4800,0.0,0.0
1973-06-12,0.0,1.45,1.42,1.45,4000,0.0,0.0
1973-06-13,0.0,1.46,1.45,1.45,15200,0.0,0.0
1973-06-14,0.0,1.51,1.43,1.5,19200,0.0,0.0
1973-06-15,0.0,1.49,1.45,1.45,70400,0.0,0.0
1973-06-18,0.0,1.44,1.43,1.43,27200,0.0,0.0
1973-06-19,0.0,1.45,1.44,1.45,1600,0.0,0.0
1973-06-20,0.0,1.44,1.43,1.43,47200,0.0,0.0
1973-06-21,0.0,1.42,1.36,1.36,392000,0.0,0.0
1973-06-22,0.0,1.36,1.36,1.36,14400,0.0,0.0
1973-06-25,0.0,1.34,1.34,1.34,6400,0.0,0.0
1973-06-26,0.0,1.37,1.33,1.36,11200,0.0,0.0
1973-06-27,0.0,1.37,1.37,1.37,800,0.0,0.0
1973-06-28,0.0,1.4,1.36,1.4,8000,0.0,0.0
1973-06-29,0.0,1.39,1.38,1.38,3200,0.0,0.0
1973-07-02,0.0,1.37,1.36,1.36,40800,0.0,0.0
1973-07-03,0.0,1.37,1.36,1.37,9600,0.0,0.0
1973-07-05,0.0,1.37,1.36,1.37,3200,0.0,0.0
1973-07-06,0.0,1.37,1.35,1.35,176800,0.0,0.0
1973-07-09,0.0,1.37,1.36,1.37,16000,0.0,0.0
1973-07-10,0.0,1.4,1.38,1.4,10400,0.0,0.0
1973-07-11,0.0,1.42,1.41,1.41,13600,0.0,0.0
1973-07-12,0.0,1.45,1.43,1.45,10400,0.0,0.0
1973-07-13,0.0,1.45,1.44,1.44,11200,0.0,0.0
1973-07-16,0.0,1.44,1.44,1.44,7200,0.0,0.0
1973-07-17,0.0,1.5,1.45,1.5,9600,0.0,0.0
1973-07-18,1.5,1.5,1.5,1.5,0,0.0,0.0
1973-07-19,0.0,1.56,1.51,1.56,8000,0.0,0.0
1973-07-20,0.0,1.59,1.57,1.59,4000,0.0,0.0
1973-07-23,0.0,1.74,1.66,1.74,36800,0.0,0.0
1973-07-24,0.0,1.75,1.74,1.74,20800,0.0,0.0
1973-07-25,0.0,1.77,1.74,1.77,9600,0.0,0.0
1973-07-26,0.0,1.82,1.77,1.82,28000,0.0,0.0
1973-07-27,0.0,1.84,1.83,1.84,47200,0.0,0.0
1973-07-30,0.0,1.84,1.81,1.84,17600,0.0,0.0
1973-07-31,0.0,1.83,1.83,1.83,800,0.0,0.0
1973-08-01,0.0,1.82,1.74,1.74,24000,0.0,0.0
1973-08-02,0.0,1.73,1.71,1.71,16800,0.0,0.0
1973-08-03,1.71,1.71,1.71,1.71,0,0.0,0.0
1973-08-06,0.0,1.74,1.71,1.74,16000,0.0,0.0
1973-08-07,0.0,1.77,1.74,1.77,10400,0.0,0.0
1973-08-08,0.0,1.77,1.76,1.76,15200,0.0,0.0
1973-08-09,0.0,1.76,1.74,1.76,212800,0.0,0.0
1973-08-10,0.0,1.76,1.74,1.74,24000,0.0,0.0
1973-08-13,0.0,1.74,1.73,1.73,12800,0.0,0.0
1973-08-14,0.0,1.74,1.72,1.72,13600,0.0,0.0
1973-08-15,0.0,1.74,1.71,1.71,20000,0.0,0.0
1973-08-16,0.0,1.73,1.72,1.73,8800,0.0,0.0
1973-08-17,1.73,1.73,1.73,1.73,0,0.0,0.0
1973-08-20,0.0,1.74,1.73,1.73,10400,0.0,0.0
1973-08-21,0.0,1.73,1.68,1.68,28000,0.0,0.0
1973-08-22,0.0,1.69,1.67,1.67,27200,0.0,0.0
1973-08-23,0.0,1.69,1.69,1.69,70400,0.0,0.0
1973-08-24,0.0,1.69,1.69,1.69,164000,0.0,0.0
1973-08-27,0.0,1.71,1.69,1.71,7200,0.0,0.0
