Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-10-06,3.78,3.78,3.78,3.78,5276000,0.0,0.0
1994-10-07,3.78,3.81,3.78,3.78,1020200,0.0,0.0
1994-10-10,3.78,3.81,3.78,3.78,112600,0.0,0.0
1994-10-11,3.78,3.78,3.78,3.78,286600,0.0,0.0
1994-10-12,3.78,3.78,3.78,3.78,1594000,0.0,0.0
1994-10-13,3.78,3.78,3.59,3.62,1979600,0.0,0.0
1994-10-14,3.59,3.59,3.57,3.59,322400,0.0,0.0
1994-10-17,3.59,3.59,3.38,3.4,153800,0.0,0.0
1994-10-18,3.45,3.55,3.45,3.55,321200,0.0,0.0
1994-10-19,3.52,3.57,3.52,3.55,137600,0.0,0.0
1994-10-20,3.57,3.57,3.52,3.52,61800,0.0,0.0
1994-10-21,3.52,3.55,3.52,3.52,70200,0.0,0.0
1994-10-24,3.55,3.55,3.52,3.55,87200,0.0,0.0
1994-10-25,3.5,3.5,3.48,3.5,112400,0.0,0.0
1994-10-26,3.5,3.52,3.5,3.5,107000,0.0,0.0
1994-10-27,3.48,3.48,3.4,3.4,272400,0.0,0.0
1994-10-28,3.4,3.4,3.31,3.31,1255000,0.0,0.0
1994-10-31,3.38,3.52,3.38,3.5,422400,0.0,0.0
1994-11-01,3.5,3.52,3.48,3.48,434000,0.0,0.0
1994-11-02,3.45,3.45,3.43,3.43,145800,0.0,0.0
1994-11-03,3.5,3.5,3.48,3.48,89400,0.0,0.0
1994-11-04,3.48,3.5,3.45,3.45,46400,0.0,0.0
1994-11-07,3.45,3.48,3.45,3.48,92400,0.0,0.0
1994-11-08,3.45,3.55,3.45,3.55,77600,0.0,0.0
1994-11-09,3.59,3.59,3.55,3.57,142600,0.0,0.0
1994-11-10,3.67,3.67,3.64,3.64,221800,0.0,0.0
1994-11-11,3.62,3.64,3.59,3.62,84000,0.0,0.0
1994-11-14,3.55,3.62,3.55,3.59,100400,0.0,0.0
1994-11-15,3.62,3.62,3.59,3.62,261400,0.0,0.0
1994-11-16,3.62,3.62,3.52,3.55,164200,0.0,0.0
1994-11-17,3.57,3.57,3.55,3.55,51800,0.0,0.0
1994-11-18,3.52,3.55,3.52,3.52,60200,0.0,0.0
1994-11-21,3.52,3.52,3.38,3.38,342400,0.0,0.0
1994-11-22,3.33,3.33,3.17,3.17,1647400,0.0,0.0
1994-11-23,3.1,3.14,3.07,3.07,160600,0.0,0.0
1994-11-25,3.1,3.17,3.07,3.17,64600,0.0,0.0
1994-11-28,3.17,3.19,3.17,3.19,579800,0.0,0.0
1994-11-29,3.17,3.24,3.17,3.24,365400,0.0,0.0
1994-11-30,3.24,3.29,3.24,3.26,147400,0.0,0.0
1994-12-01,3.29,3.29,3.19,3.19,206600,0.0,0.0
1994-12-02,3.17,3.17,3.14,3.17,111800,0.0,0.0
1994-12-05,3.17,3.19,3.17,3.19,31200,0.0,0.0
1994-12-06,3.17,3.17,3.17,3.17,40400,0.0,0.0
1994-12-07,3.12,3.14,3.1,3.1,195400,0.0,0.0
