Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-01-12,3.53,3.53,3.53,3.53,399,0,0
2005-01-13,3.53,3.53,3.53,3.53,0,0,0
2005-01-14,3.53,3.53,3.53,3.53,0,0,0
2005-01-18,3.53,3.53,3.53,3.53,0,0,0
2005-01-19,3.53,3.53,3.53,3.53,0,0,0
2005-01-20,3.53,3.53,3.53,3.53,0,0,0
2005-01-21,3.53,3.53,3.53,3.53,0,0,0
2005-01-24,3.53,3.53,3.53,3.53,0,0,0
2005-01-25,3.53,3.53,3.53,3.53,0,0,0
2005-01-26,3.53,3.53,3.53,3.53,0,0,0
2005-01-27,3.53,3.53,3.53,3.53,0,0,0
2005-01-28,3.53,3.53,3.53,3.53,0,0,0
2005-01-31,3.53,3.53,3.53,3.53,0,0,0
2005-02-01,3.53,3.53,3.53,3.53,0,0,0
2005-02-02,3.53,3.53,3.53,3.53,0,0,0
2005-02-03,3.53,3.53,3.53,3.53,0,0,0
2005-02-04,3.53,3.53,3.53,3.53,0,0,0
2005-02-07,3.53,3.53,3.53,3.53,0,0,0
2005-02-08,3.53,3.53,3.53,3.53,0,0,0
2005-02-09,3.53,3.53,3.53,3.53,0,0,0
2005-02-10,3.53,3.53,3.53,3.53,0,0,0
2005-02-11,3.53,3.53,3.53,3.53,0,0,0
2005-02-14,3.53,3.53,3.53,3.53,0,0,0
2005-02-15,3.53,3.53,3.53,3.53,0,0,0
2005-02-16,3.53,3.53,3.53,3.53,0,0,0
2005-02-17,3.53,3.53,3.53,3.53,0,0,0
2005-02-18,3.53,3.53,3.53,3.53,0,0,0
2005-02-22,3.53,3.53,3.53,3.53,0,0,0
2005-02-23,3.53,3.53,3.53,3.53,0,0,0
2005-02-24,3.53,3.53,3.53,3.53,0,0,0
2005-02-25,3.53,3.53,3.53,3.53,0,0,0
2005-02-28,3.53,3.53,3.53,3.53,0,0,0
2005-03-01,3.53,3.53,3.53,3.53,0,0,0
2005-03-02,3.53,3.53,3.53,3.53,0,0,0
2005-03-03,3.53,3.53,3.53,3.53,0,0,0
2005-03-04,3.53,3.53,3.53,3.53,0,0,0
2005-03-07,3.53,3.53,3.53,3.53,0,0,0
2005-03-08,3.53,3.53,3.53,3.53,0,0,0
2005-03-09,3.53,3.53,3.53,3.53,0,0,0
2005-03-10,3.53,3.53,3.53,3.53,0,0,0
2005-03-11,3.53,3.53,3.53,3.53,0,0,0
2005-03-14,3.53,3.53,3.53,3.53,0,0,0
2005-03-15,3.53,3.53,3.53,3.53,0,0,0
2005-03-16,3.53,3.53,3.53,3.53,0,0,0
2005-03-17,3.53,3.53,3.53,3.53,0,0,0
2005-03-18,3.53,3.53,3.53,3.53,0,0,0
2005-03-21,3.53,3.53,3.53,3.53,0,0,0
2005-03-22,3.53,3.53,3.53,3.53,0,0,0
2005-03-23,3.53,3.53,3.53,3.53,0,0,0
2005-03-24,3.53,3.53,3.53,3.53,0,0,0
2005-03-28,3.53,3.53,3.53,3.53,0,0,0
2005-03-29,3.53,3.53,3.53,3.53,0,0,0
2005-03-30,3.53,3.53,3.53,3.53,0,0,0
2005-03-31,3.53,3.53,3.53,3.53,0,0,0
2005-04-01,18.02,18.02,18.02,18.02,99,0,0
2005-04-04,18.02,18.02,18.02,18.02,0,0,0
2005-04-05,18.02,18.02,18.02,18.02,0,0,0
2005-04-06,18.02,18.02,18.02,18.02,0,0,0
2005-04-07,18.02,18.02,18.02,18.02,0,0,0
2005-04-08,18.02,18.02,18.02,18.02,0,0,0
2005-04-11,18.02,18.02,18.02,18.02,0,0,0
2005-04-12,18.02,18.02,18.02,18.02,0,0,0
2005-04-13,18.02,18.02,18.02,18.02,0,0,0
2005-04-14,18.02,18.02,18.02,18.02,0,0,0
2005-04-15,18.02,18.02,18.02,18.02,0,0,0
2005-04-18,18.02,18.02,18.02,18.02,0,0,0
2005-04-19,18.02,18.02,18.02,18.02,0,0,0
2005-04-20,18.02,18.02,18.02,18.02,0,0,0
2005-04-21,18.02,18.02,18.02,18.02,0,0,0
2005-04-22,18.02,18.02,18.02,18.02,0,0,0
2005-04-25,18.02,18.02,18.02,18.02,0,0,0
2005-04-26,18.02,18.02,18.02,18.02,0,0,0
2005-04-27,18.02,18.02,18.02,18.02,0,0,0
2005-04-28,18.02,18.02,18.02,18.02,0,0,0
2005-04-29,18.02,18.02,18.02,18.02,0,0,0
2005-05-02,18.02,18.02,18.02,18.02,0,0,0
2005-05-03,18.02,18.02,18.02,18.02,0,0,0
2005-05-04,18.02,18.02,18.02,18.02,0,0,0
2005-05-05,18.02,18.02,18.02,18.02,0,0,0
2005-05-06,18.02,18.02,18.02,18.02,0,0,0
2005-05-09,18.02,18.02,18.02,18.02,0,0,0
2005-05-10,18.02,18.02,18.02,18.02,0,0,0
2005-05-11,18.02,18.02,18.02,18.02,0,0,0
2005-05-12,18.02,18.02,18.02,18.02,0,0,0
2005-05-13,18.02,18.02,18.02,18.02,0,0,0
2005-05-16,18.02,18.02,18.02,18.02,0,0,0
2005-05-17,18.02,18.02,18.02,18.02,0,0,0
2005-05-18,18.02,18.02,18.02,18.02,0,0,0
2005-05-19,18.02,18.02,18.02,18.02,0,0,0
2005-05-20,18.02,18.02,18.02,18.02,0,0,0
2005-05-23,18.02,18.02,18.02,18.02,0,0,0
2005-05-24,18.02,18.02,18.02,18.02,0,0,0
2005-05-25,18.02,18.02,18.02,18.02,0,0,0
2005-05-26,18.02,18.02,18.02,18.02,0,0,0
2005-05-27,18.02,18.02,18.02,18.02,0,0,0
2005-05-31,18.02,18.02,18.02,18.02,0,0,0
2005-06-01,18.02,18.02,18.02,18.02,0,0,0
2005-06-02,18.02,18.02,18.02,18.02,0,0,0
2005-06-03,18.02,18.02,18.02,18.02,0,0,0
2005-06-06,18.02,18.02,18.02,18.02,0,0,0
2005-06-07,18.02,18.02,18.02,18.02,0,0,0
2005-06-08,18.02,18.02,18.02,18.02,0,0,0
2005-06-09,18.02,18.02,18.02,18.02,0,0,0
2005-06-10,18.02,18.02,18.02,18.02,0,0,0
2005-06-13,18.02,18.02,18.02,18.02,0,0,0
2005-06-14,18.02,18.02,18.02,18.02,0,0,0
