Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-10-19,9.43,9.43,8.4,8.44,2721200,0.0,0.0
2015-10-20,8.29,8.63,8.29,8.6,1220800,0.0,0.0
2015-10-21,8.8,8.85,8.36,8.4,135200,0.0,0.0
2015-10-22,8.52,8.69,8.28,8.64,189200,0.0,0.0
2015-10-23,8.8,8.8,8.59,8.67,102900,0.0,0.0
2015-10-26,8.73,8.73,8.32,8.37,885600,0.0,0.0
2015-10-27,8.44,8.54,7.96,8.02,1094200,0.0,0.0
2015-10-28,8.11,8.34,8.08,8.3,509700,0.0,0.0
2015-10-29,8.16,8.3,7.93,8.13,499600,0.0,0.0
2015-10-30,8.11,8.21,7.51,7.51,4214100,0.0,0.0
2015-11-02,7.64,7.74,7.07,7.39,70312600,0.0,0.0
2015-11-03,7.18,7.5,6.97,7.32,69176300,0.0,0.0
2015-11-04,7.34,7.4,6.94,6.97,54241800,0.0,0.0
2015-11-05,6.96,7.08,6.69,6.77,38179900,0.0,0.0
2015-11-06,6.72,7.38,6.71,7.34,51702600,0.0,0.0
2015-11-09,7.27,7.38,7.21,7.24,30158000,0.0,0.0
2015-11-10,7.21,7.36,7.14,7.35,25426000,0.0,0.0
2015-11-11,7.24,7.3,7.19,7.2,18942200,0.0,0.0
2015-11-12,7.04,7.05,6.93,6.99,35050600,0.0,0.0
2015-11-13,6.94,7.02,6.71,6.83,25678400,0.0,0.0
2015-11-16,6.82,6.94,6.7,6.82,23712100,0.0,0.0
2015-11-17,6.82,6.88,6.69,6.74,21370500,0.0,0.0
2015-11-18,6.87,7.0,6.73,6.96,22402400,0.0,0.0
2015-11-19,6.9,7.08,6.89,7.03,22662200,0.0,0.0
2015-11-20,7.03,7.46,6.98,7.25,31932300,0.0,0.0
2015-11-23,7.23,7.25,6.92,7.06,26354200,0.0,0.0
2015-11-24,6.93,7.15,6.88,6.98,41484100,0.0,0.0
2015-11-25,7.09,7.58,7.06,7.2,39017100,0.0,0.0
2015-11-27,7.2,7.47,7.16,7.32,10395000,0.0,0.0
2015-11-30,7.26,7.65,7.23,7.58,50075500,0.0,0.0
2015-12-01,7.59,8.1,7.57,7.96,43197200,0.0,0.0
2015-12-02,7.84,7.92,7.58,7.62,21818500,0.0,0.0
2015-12-03,7.65,7.82,7.44,7.46,32527300,0.0,0.0
2015-12-04,7.34,7.8,7.26,7.76,20648400,0.0,0.0
2015-12-07,7.7,7.94,7.66,7.93,16424400,0.03197,0.0
2015-12-08,7.74,7.85,7.5,7.78,19988600,0.0,0.0
2015-12-09,7.69,7.9,7.53,7.62,24538300,0.0,0.0
2015-12-10,7.59,7.6,7.46,7.55,19528600,0.0,0.0
2015-12-11,7.69,7.9,7.26,7.28,18265700,0.0,0.0
2015-12-14,7.34,7.44,7.14,7.41,19834700,0.0,0.0
2015-12-15,7.45,7.69,7.43,7.47,22175600,0.0,0.0
2015-12-16,7.5,7.6,7.47,7.54,13490800,0.0,0.0
2015-12-17,7.5,7.55,7.3,7.34,13118600,0.0,0.0
2015-12-18,7.32,7.38,7.18,7.27,33271400,0.0,0.0
2015-12-21,7.25,7.39,7.12,7.19,16970300,0.0,0.0
2015-12-22,7.2,7.26,7.14,7.21,12547100,0.0,0.0
2015-12-23,7.28,7.68,7.21,7.65,19359600,0.0,0.0
2015-12-24,7.6,7.78,7.59,7.71,3748100,0.0,0.0
2015-12-28,7.64,7.84,7.6,7.82,10203800,0.0,0.0
2015-12-29,7.85,7.92,7.79,7.8,10797800,0.0,0.0
2015-12-30,7.85,7.94,7.77,7.84,10796700,0.0,0.0
2015-12-31,7.82,7.86,7.75,7.8,11644800,0.0,0.0
2016-01-04,7.68,7.77,7.56,7.76,25940400,0.0,0.0
2016-01-05,7.76,7.83,7.67,7.71,17770100,0.0,0.0
2016-01-06,7.5,7.7,7.45,7.59,19468100,0.0,0.0
2016-01-07,7.44,7.47,7.0,7.04,34143900,0.0,0.0
2016-01-08,7.07,7.19,6.83,6.95,28272000,0.0,0.0
2016-01-11,6.89,7.04,6.71,6.8,25998800,0.0,0.0
2016-01-12,6.85,6.89,6.72,6.8,21435500,0.0,0.0
2016-01-13,6.85,6.85,6.43,6.54,30489600,0.0,0.0
2016-01-14,6.54,6.76,6.49,6.67,22973700,0.0,0.0
2016-01-15,6.47,6.57,6.41,6.43,33945600,0.0,0.0
2016-01-19,6.51,6.56,6.26,6.32,22239600,0.0,0.0
2016-01-20,6.16,6.26,5.97,6.19,28630200,0.0,0.0
2016-01-21,6.16,6.43,6.07,6.37,28784100,0.0,0.0
2016-01-22,6.52,6.89,6.49,6.85,26272600,0.0,0.0
2016-01-25,6.82,6.95,6.73,6.85,19241600,0.0,0.0
2016-01-26,6.85,7.04,6.85,6.98,18454700,0.0,0.0
2016-01-27,6.94,6.98,6.65,6.87,31803600,0.0,0.0
2016-01-28,6.9,7.03,6.71,6.77,16989400,0.0,0.0
2016-01-29,6.88,7.12,6.85,7.06,19548700,0.0,0.0
2016-02-01,7.01,7.12,6.94,7.08,16430600,0.0,0.0
2016-02-02,7.03,7.17,6.86,6.9,16650600,0.0,0.0
2016-02-03,7.01,7.07,6.73,6.86,12995300,0.0,0.0
2016-02-04,6.83,7.13,6.83,7.11,11181900,0.0,0.0
2016-02-05,7.03,7.06,6.69,6.77,22758900,0.0,0.0
2016-02-08,6.67,6.7,6.35,6.42,25491500,0.0,0.0
2016-02-09,6.35,6.6,6.32,6.53,11504400,0.0,0.0
2016-02-10,6.55,6.71,6.52,6.6,10292600,0.0,0.0
2016-02-11,6.45,6.5,6.17,6.36,16920400,0.0,0.0
2016-02-12,6.41,6.56,6.25,6.31,18150700,0.0,0.0
2016-02-16,6.37,6.41,6.3,6.33,20606800,0.0,0.0
2016-02-17,6.36,6.74,6.35,6.68,14910600,0.0,0.0
2016-02-18,6.7,7.03,6.68,6.94,20189000,0.0,0.0
2016-02-19,6.93,7.05,6.8,7.01,16197900,0.0,0.0
2016-02-22,7.06,7.12,6.96,7.08,18505500,0.0,0.0
2016-02-23,7.04,7.09,6.59,6.72,25200900,0.0,0.0
2016-02-24,6.67,6.96,6.58,6.94,22757500,0.0,0.0
2016-02-25,6.9,7.04,6.79,7.02,20784000,0.0,0.0
2016-02-26,7.07,7.08,6.75,6.9,18624500,0.0,0.0
2016-02-29,6.83,6.92,6.77,6.81,21932300,0.0,0.0
2016-03-01,6.89,6.91,6.72,6.81,14373700,0.0,0.0
2016-03-02,6.87,7.21,6.85,7.13,17234100,0.0,0.0
2016-03-03,7.14,7.16,6.81,6.98,17256400,0.0,0.0
2016-03-04,7.65,8.13,7.6,7.92,57415700,0.0,0.0
2016-03-07,7.81,8.26,7.78,8.25,31792700,0.03197,0.0
2016-03-08,8.13,8.15,7.85,7.86,21215200,0.0,0.0
2016-03-09,7.92,8.18,7.9,8.0,19045400,0.0,0.0
2016-03-10,8.03,8.37,8.01,8.21,24578200,0.0,0.0
2016-03-11,8.26,8.49,8.26,8.43,26984400,0.0,0.0
2016-03-14,8.36,8.56,8.28,8.47,16641800,0.0,0.0
2016-03-15,8.45,8.72,8.39,8.66,23974400,0.0,0.0
2016-03-16,8.63,8.9,8.57,8.88,21530900,0.0,0.0
2016-03-17,8.84,8.95,8.76,8.86,18699200,0.0,0.0
2016-03-18,8.87,9.08,8.82,8.95,53273300,0.0,0.0
2016-03-21,8.95,9.26,8.93,9.14,18463100,0.0,0.0
2016-03-22,8.99,9.33,8.95,9.04,19474000,0.0,0.0
2016-03-23,9.05,9.07,8.82,9.01,19674300,0.0,0.0
