Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-10-03,24.15,24.26,23.72,24.23,2828500,0.0,0
2019-10-04,24.19,24.48,23.94,24.47,2250500,0.0,0
2019-10-07,24.83,24.96,24.52,24.73,2928100,0.0,0
2019-10-08,24.63,25.15,24.53,24.85,3511800,0.0,0
2019-10-09,25.12,25.67,24.98,25.57,1765600,0.0,0
2019-10-10,25.56,26.08,25.39,26.0,1745000,0.0,0
2019-10-11,26.33,26.77,26.33,26.43,2500400,0.0,0
2019-10-14,26.77,26.97,26.67,26.82,2187200,0.0,0
2019-10-15,26.98,27.9,26.89,27.84,3250300,0.0,0
2019-10-16,27.82,27.9,27.45,27.49,2876400,0.0,0
2019-10-17,27.61,27.76,27.42,27.68,2323400,0.0,0
2019-10-18,27.66,27.66,26.98,26.99,3007300,0.0,0
2019-10-21,27.11,27.34,26.93,27.02,2442500,0.0,0
2019-10-22,27.05,27.22,26.86,27.06,1646900,0.0,0
2019-10-23,27.02,27.34,26.9,27.22,2528000,0.0,0
2019-10-24,27.29,27.43,27.04,27.41,2320400,0.0,0
2019-10-25,27.41,27.66,27.35,27.62,1768300,0.0,0
2019-10-28,27.68,27.91,27.58,27.64,3024000,0.0,0
2019-10-29,27.54,27.91,27.48,27.67,1908900,0.0,0
2019-10-30,27.58,27.63,27.18,27.51,1870300,0.0,0
2019-10-31,27.47,27.47,27.12,27.45,2031500,0.0,0
2019-11-01,27.72,28.52,27.6,28.52,3963600,0.0,0
2019-11-04,28.81,28.89,28.61,28.76,4306700,0.0,0
2019-11-05,28.25,29.53,27.52,29.49,6245000,0.0,0
2019-11-06,29.49,29.49,29.04,29.42,3643300,0.0,0
2019-11-07,29.44,29.52,28.83,28.91,3004700,0.02,0
2019-11-08,28.95,29.1,28.76,28.97,2067600,0.0,0
2019-11-11,29.0,29.55,28.9,29.51,3172400,0.0,0
2019-11-12,29.44,29.62,29.31,29.5,3050100,0.0,0
2019-11-13,29.28,29.66,29.2,29.5,1678600,0.0,0
2019-11-14,29.6,30.32,29.47,30.22,3895500,0.0,0
2019-11-15,30.39,30.9,30.2,30.86,4964500,0.0,0
2019-11-18,30.78,31.23,30.64,31.06,4560000,0.0,0
2019-11-20,30.88,31.03,30.63,30.83,3859200,0.0,0
2019-11-21,30.7,31.11,30.56,30.61,2200600,0.0,0
2019-11-22,30.68,30.82,30.45,30.55,2798900,0.0,0
2019-11-25,30.68,30.98,30.64,30.96,2064600,0.0,0
2019-11-26,30.98,31.3,30.82,31.29,3590900,0.0,0
2019-11-27,31.29,31.4,31.08,31.26,1787300,0.0,0
2019-11-29,31.2,31.23,30.93,30.96,2335100,0.0,0
2019-12-02,31.08,31.19,30.56,30.56,2155400,0.0,0
2019-12-03,30.26,30.81,30.01,30.7,3075000,0.0,0
2019-12-04,30.86,30.92,30.3,30.32,2593700,0.0,0
2019-12-05,30.49,30.55,30.27,30.48,1722100,0.0,0
2019-12-06,30.76,31.05,30.62,31.02,2206100,0.0,0
2019-12-09,30.81,31.05,30.67,30.79,1650900,0.0,0
2019-12-10,30.95,31.15,30.91,31.01,2595500,0.0,0
2019-12-11,31.19,31.31,31.06,31.23,1629300,0.0,0
