Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.62,0.62,0.61,0.61,387200,0.0,0.0
1962-01-03,0.61,0.62,0.61,0.62,288000,0.0,0.0
1962-01-04,0.62,0.62,0.61,0.61,256000,0.0,0.0
1962-01-05,0.61,0.61,0.6,0.6,363200,0.0,0.0
1962-01-08,0.6,0.6,0.58,0.59,544000,0.0,0.0
1962-01-09,0.59,0.6,0.59,0.59,491200,0.0,0.0
1962-01-10,0.59,0.6,0.59,0.59,299200,0.0,0.0
1962-01-11,0.6,0.6,0.6,0.6,315200,0.0,0.0
1962-01-12,0.6,0.61,0.6,0.6,435200,0.0,0.0
1962-01-15,0.6,0.61,0.6,0.6,251200,0.0,0.0
1962-01-16,0.6,0.6,0.6,0.6,251200,0.0,0.0
1962-01-17,0.6,0.6,0.59,0.59,419200,0.0,0.0
1962-01-18,0.59,0.6,0.59,0.59,371200,0.0,0.0
1962-01-19,0.59,0.59,0.58,0.59,400000,0.0,0.0
1962-01-22,0.59,0.6,0.59,0.59,275200,0.0,0.0
1962-01-23,0.59,0.59,0.58,0.58,371200,0.0,0.0
1962-01-24,0.58,0.59,0.58,0.59,408000,0.0,0.0
1962-01-25,0.59,0.59,0.58,0.58,315200,0.0,0.0
1962-01-26,0.58,0.58,0.58,0.58,243200,0.0,0.0
1962-01-29,0.58,0.58,0.57,0.57,579200,0.0,0.0
1962-01-30,0.57,0.57,0.56,0.56,736000,0.0,0.0
1962-01-31,0.57,0.58,0.57,0.58,760000,0.0,0.0
1962-02-01,0.58,0.59,0.58,0.59,640000,0.0,0.0
1962-02-02,0.59,0.6,0.59,0.6,507200,0.0,0.0
1962-02-05,0.6,0.6,0.58,0.59,312000,0.0,0.0
1962-02-06,0.59,0.59,0.59,0.59,256000,0.001,0.0
1962-02-07,0.59,0.59,0.59,0.59,251200,0.0,0.0
1962-02-08,0.59,0.59,0.59,0.59,16000,0.0,0.0
1962-02-09,0.59,0.59,0.59,0.59,432000,0.0,0.0
1962-02-12,0.59,0.6,0.59,0.59,280000,0.0,0.0
1962-02-13,0.59,0.59,0.58,0.58,256000,0.0,0.0
1962-02-14,0.58,0.59,0.58,0.58,208000,0.0,0.0
1962-02-15,0.58,0.58,0.58,0.58,227200,0.0,0.0
1962-02-16,0.58,0.58,0.58,0.58,219200,0.0,0.0
1962-02-19,0.58,0.58,0.57,0.57,280000,0.0,0.0
1962-02-20,0.58,0.58,0.58,0.58,288000,0.0,0.0
1962-02-21,0.58,0.58,0.57,0.57,363200,0.0,0.0
1962-02-23,0.57,0.57,0.57,0.57,288000,0.0,0.0
1962-02-26,0.57,0.57,0.57,0.57,299200,0.0,0.0
1962-02-27,0.57,0.58,0.57,0.57,347200,0.0,0.0
1962-02-28,0.57,0.57,0.57,0.57,267200,0.0,0.0
1962-03-01,0.57,0.58,0.57,0.58,280000,0.0,0.0
1962-03-02,0.58,0.59,0.58,0.58,243200,0.0,0.0
1962-03-05,0.58,0.58,0.58,0.58,360000,0.0,0.0
1962-03-06,0.58,0.58,0.58,0.58,184000,0.0,0.0
1962-03-07,0.58,0.58,0.58,0.58,123200,0.0,0.0
1962-03-08,0.58,0.59,0.58,0.59,184000,0.0,0.0
1962-03-09,0.59,0.59,0.59,0.59,288000,0.0,0.0
1962-03-12,0.59,0.59,0.59,0.59,280000,0.0,0.0
1962-03-13,0.59,0.59,0.59,0.59,123200,0.0,0.0
1962-03-14,0.59,0.59,0.59,0.59,195200,0.0,0.0
1962-03-15,0.59,0.59,0.59,0.59,243200,0.0,0.0
1962-03-16,0.59,0.59,0.59,0.59,160000,0.0,0.0
1962-03-19,0.59,0.59,0.59,0.59,371200,0.0,0.0
1962-03-20,0.59,0.59,0.59,0.59,160000,0.0,0.0
1962-03-21,0.59,0.59,0.59,0.59,256000,0.0,0.0
1962-03-22,0.59,0.59,0.58,0.58,240000,0.0,0.0
1962-03-23,0.58,0.58,0.58,0.58,184000,0.0,0.0
1962-03-26,0.58,0.59,0.58,0.58,131200,0.0,0.0
1962-03-27,0.58,0.58,0.57,0.57,347200,0.0,0.0
1962-03-28,0.57,0.58,0.57,0.58,328000,0.0,0.0
1962-03-29,0.58,0.58,0.57,0.57,227200,0.0,0.0
1962-03-30,0.57,0.57,0.57,0.57,435200,0.0,0.0
1962-04-02,0.57,0.57,0.56,0.56,371200,0.0,0.0
1962-04-03,0.56,0.56,0.54,0.55,912000,0.0,0.0
1962-04-04,0.55,0.55,0.54,0.54,648000,0.0,0.0
1962-04-05,0.55,0.56,0.55,0.56,912000,0.0,0.0
1962-04-06,0.56,0.56,0.55,0.56,432000,0.0,0.0
1962-04-09,0.56,0.56,0.55,0.56,16000,0.0,0.0
1962-04-10,0.56,0.56,0.55,0.56,256000,0.0,0.0
1962-04-11,0.56,0.56,0.55,0.55,528000,0.0,0.0
1962-04-12,0.55,0.55,0.54,0.54,400000,0.0,0.0
1962-04-13,0.54,0.55,0.54,0.55,627200,0.0,0.0
1962-04-16,0.55,0.56,0.55,0.55,507200,0.0,0.0
1962-04-17,0.55,0.55,0.55,0.55,299200,0.0,0.0
1962-04-18,0.55,0.56,0.55,0.55,424000,0.0,0.0
1962-04-19,0.55,0.56,0.55,0.55,387200,0.0,0.0
1962-04-23,0.55,0.55,0.55,0.55,312000,0.0,0.0
1962-04-24,0.55,0.56,0.55,0.55,456000,0.0,0.0
1962-04-25,0.55,0.55,0.55,0.55,459200,0.0,0.0
1962-04-26,0.55,0.55,0.53,0.53,928000,0.0,0.0
1962-04-27,0.53,0.54,0.51,0.52,1632000,0.0,0.0
1962-04-30,0.52,0.52,0.48,0.48,2344000,0.0,0.0
1962-05-01,0.48,0.5,0.46,0.49,5315200,0.0,0.0
1962-05-02,0.5,0.52,0.5,0.5,2555200,0.0,0.0
1962-05-03,0.5,0.52,0.5,0.51,1360000,0.0,0.0
1962-05-04,0.51,0.52,0.51,0.52,779200,0.0,0.0
1962-05-07,0.52,0.52,0.51,0.51,827200,0.0,0.0
1962-05-08,0.51,0.51,0.49,0.49,1032000,0.001,0.0
1962-05-09,0.49,0.49,0.48,0.48,1600000,0.0,0.0
1962-05-10,0.48,0.49,0.48,0.48,1907200,0.0,0.0
1962-05-11,0.48,0.49,0.47,0.48,1896000,0.0,0.0
1962-05-14,0.48,0.48,0.47,0.48,2728000,0.0,0.0
1962-05-15,0.48,0.49,0.48,0.48,1683200,0.0,0.0
1962-05-16,0.48,0.49,0.48,0.49,880000,0.0,0.0
1962-05-17,0.49,0.49,0.48,0.48,971200,0.0,0.0
1962-05-18,0.48,0.48,0.48,0.48,731200,0.0,0.0
1962-05-21,0.48,0.48,0.48,0.48,395200,0.0,0.0
1962-05-22,0.48,0.48,0.46,0.46,1000000,0.0,0.0
1962-05-23,0.46,0.47,0.44,0.44,2891200,0.0,0.0
1962-05-24,0.44,0.45,0.42,0.42,4152000,0.0,0.0
1962-05-25,0.42,0.43,0.41,0.43,4299200,0.0,0.0
1962-05-28,0.42,0.42,0.38,0.39,4320000,0.0,0.0
1962-05-29,0.39,0.41,0.39,0.41,3856000,0.0,0.0
1962-05-31,0.42,0.43,0.42,0.42,4128000,0.0,0.0
1962-06-01,0.42,0.42,0.41,0.41,2411200,0.0,0.0
1962-06-04,0.41,0.41,0.38,0.38,1811200,0.0,0.0
1962-06-05,0.38,0.4,0.38,0.39,3160000,0.0,0.0
1962-06-06,0.39,0.4,0.39,0.39,2880000,0.0,0.0
1962-06-07,0.39,0.4,0.39,0.39,1227200,0.0,0.0
1962-06-08,0.39,0.4,0.39,0.4,1168000,0.0,0.0
1962-06-11,0.4,0.4,0.38,0.38,1187200,0.0,0.0
1962-06-12,0.38,0.38,0.36,0.36,3328000,0.0,0.0
1962-06-13,0.36,0.37,0.34,0.34,4384000,0.0,0.0
1962-06-14,0.34,0.35,0.32,0.33,6675200,0.0,0.0
1962-06-15,0.33,0.36,0.32,0.36,6328000,0.0,0.0
1962-06-18,0.36,0.36,0.34,0.35,4768000,0.0,0.0
1962-06-19,0.35,0.36,0.35,0.36,2104000,0.0,0.0
1962-06-20,0.36,0.37,0.35,0.35,3059200,0.0,0.0
1962-06-21,0.35,0.35,0.34,0.34,3707200,0.0,0.0
1962-06-22,0.34,0.34,0.33,0.34,3371200,0.0,0.0
1962-06-25,0.34,0.36,0.34,0.35,3792000,0.0,0.0
1962-06-26,0.35,0.36,0.34,0.34,3227200,0.0,0.0
1962-06-27,0.34,0.36,0.34,0.36,2955200,0.0,0.0
1962-06-28,0.36,0.37,0.36,0.37,4083200,0.0,0.0
1962-06-29,0.37,0.37,0.36,0.36,2824000,0.0,0.0
1962-07-02,0.36,0.37,0.36,0.37,1392000,0.0,0.0
1962-07-03,0.37,0.38,0.37,0.37,2584000,0.0,0.0
1962-07-05,0.37,0.38,0.37,0.37,2016000,0.0,0.0
1962-07-06,0.37,0.37,0.36,0.37,1624000,0.0,0.0
1962-07-09,0.37,0.37,0.36,0.37,1888000,0.0,0.0
1962-07-10,0.38,0.39,0.38,0.38,3048000,0.0,0.0
1962-07-11,0.38,0.4,0.38,0.4,3312000,0.0,0.0
1962-07-12,0.4,0.42,0.4,0.4,3299200,0.0,0.0
1962-07-13,0.4,0.41,0.4,0.4,2104000,0.0,0.0
1962-07-16,0.4,0.41,0.4,0.41,1656000,0.0,0.0
1962-07-17,0.41,0.41,0.39,0.39,1707200,0.0,0.0
1962-07-18,0.39,0.4,0.39,0.39,2435200,0.0,0.0
1962-07-19,0.39,0.4,0.39,0.39,2195200,0.0,0.0
1962-07-20,0.39,0.4,0.39,0.4,675200,0.0,0.0
1962-07-23,0.4,0.4,0.4,0.4,840000,0.0,0.0
1962-07-24,0.4,0.4,0.39,0.39,888000,0.0,0.0
1962-07-25,0.39,0.39,0.38,0.39,1875200,0.0,0.0
1962-07-26,0.39,0.4,0.39,0.39,947200,0.0,0.0
1962-07-27,0.39,0.4,0.39,0.4,947200,0.0,0.0
1962-07-30,0.4,0.41,0.4,0.41,2848000,0.0,0.0
1962-07-31,0.41,0.42,0.41,0.41,2771200,0.0,0.0
1962-08-01,0.41,0.41,0.4,0.4,1216000,0.0,0.0
1962-08-02,0.4,0.41,0.4,0.41,1488000,0.0,0.0
1962-08-03,0.41,0.41,0.41,0.41,947200,0.0,0.0
1962-08-06,0.41,0.41,0.4,0.41,6603200,0.0,0.0
1962-08-07,0.41,0.41,0.4,0.4,915200,0.001,0.0
1962-08-08,0.4,0.41,0.4,0.41,1576000,0.0,0.0
1962-08-09,0.41,0.41,0.4,0.4,1288000,0.0,0.0
1962-08-10,0.4,0.41,0.4,0.4,976000,0.0,0.0
1962-08-13,0.4,0.41,0.4,0.4,1019200,0.0,0.0
1962-08-14,0.4,0.41,0.4,0.41,1896000,0.0,0.0
1962-08-15,0.41,0.42,0.41,0.41,2344000,0.0,0.0
1962-08-16,0.41,0.42,0.41,0.41,1272000,0.0,0.0
1962-08-17,0.41,0.42,0.41,0.42,888000,0.0,0.0
1962-08-20,0.42,0.42,0.42,0.42,1803200,0.0,0.0
1962-08-21,0.42,0.42,0.42,0.42,1296000,0.0,0.0
1962-08-22,0.42,0.44,0.42,0.44,3304000,0.0,0.0
1962-08-23,0.44,0.44,0.43,0.44,2920000,0.0,0.0
1962-08-24,0.44,0.44,0.43,0.44,1248000,0.0,0.0
1962-08-27,0.44,0.44,0.43,0.44,912000,0.0,0.0
1962-08-28,0.44,0.44,0.42,0.42,2747200,0.0,0.0
1962-08-29,0.42,0.42,0.41,0.42,2520000,0.0,0.0
1962-08-30,0.42,0.42,0.41,0.41,947200,0.0,0.0
1962-08-31,0.41,0.42,0.41,0.42,1227200,0.0,0.0
1962-09-04,0.42,0.43,0.41,0.41,1624000,0.0,0.0
1962-09-05,0.41,0.42,0.41,0.41,2248000,0.0,0.0
1962-09-06,0.41,0.41,0.41,0.41,1811200,0.0,0.0
1962-09-07,0.41,0.42,0.41,0.41,1320000,0.0,0.0
1962-09-10,0.41,0.41,0.4,0.41,1803200,0.0,0.0
1962-09-11,0.41,0.41,0.41,0.41,1539200,0.0,0.0
1962-09-12,0.41,0.41,0.41,0.41,1299200,0.0,0.0
1962-09-13,0.41,0.41,0.41,0.41,843200,0.0,0.0
1962-09-14,0.41,0.42,0.41,0.41,1091200,0.0,0.0
1962-09-17,0.42,0.42,0.42,0.42,1456000,0.0,0.0
1962-09-18,0.42,0.43,0.42,0.42,2280000,0.0,0.0
1962-09-19,0.42,0.42,0.41,0.41,1467200,0.0,0.0
1962-09-20,0.41,0.42,0.41,0.41,880000,0.0,0.0
1962-09-21,0.41,0.41,0.4,0.4,2136000,0.0,0.0
1962-09-24,0.4,0.4,0.39,0.39,2619200,0.0,0.0
1962-09-25,0.39,0.39,0.38,0.39,2440000,0.0,0.0
1962-09-26,0.39,0.39,0.38,0.38,2051200,0.0,0.0
1962-09-27,0.38,0.38,0.37,0.37,2880000,0.0,0.0
1962-09-28,0.37,0.38,0.37,0.38,1416000,0.0,0.0
1962-10-01,0.38,0.38,0.36,0.36,1848000,0.0,0.0
1962-10-02,0.37,0.37,0.37,0.37,2832000,0.0,0.0
1962-10-03,0.37,0.38,0.37,0.37,1800000,0.0,0.0
1962-10-04,0.37,0.38,0.37,0.38,1299200,0.0,0.0
1962-10-05,0.38,0.39,0.38,0.38,1739200,0.0,0.0
1962-10-08,0.38,0.39,0.38,0.38,635200,0.0,0.0
1962-10-09,0.39,0.39,0.39,0.39,1179200,0.0,0.0
1962-10-10,0.39,0.4,0.38,0.38,1811200,0.0,0.0
1962-10-11,0.38,0.39,0.38,0.38,1360000,0.0,0.0
1962-10-12,0.38,0.38,0.38,0.38,1035200,0.0,0.0
1962-10-15,0.38,0.39,0.38,0.39,928000,0.0,0.0
1962-10-16,0.39,0.39,0.38,0.38,1259200,0.0,0.0
1962-10-17,0.38,0.39,0.38,0.39,1379200,0.0,0.0
1962-10-18,0.39,0.39,0.38,0.38,976000,0.0,0.0
1962-10-19,0.38,0.38,0.37,0.37,2368000,0.0,0.0
1962-10-22,0.37,0.37,0.36,0.37,2739200,0.0,0.0
1962-10-23,0.37,0.37,0.35,0.35,2520000,0.0,0.0
1962-10-24,0.35,0.36,0.34,0.36,3688000,0.0,0.0
1962-10-25,0.36,0.36,0.35,0.36,2675200,0.0,0.0
1962-10-26,0.36,0.36,0.35,0.35,1547200,0.0,0.0
1962-10-29,0.36,0.37,0.36,0.37,3520000,0.0,0.0
1962-10-30,0.37,0.38,0.36,0.38,2643200,0.0,0.0
1962-10-31,0.37,0.37,0.37,0.37,1176000,0.0,0.0
1962-11-01,0.37,0.38,0.36,0.38,1992000,0.0,0.0
1962-11-02,0.38,0.39,0.37,0.38,3131200,0.0,0.0
1962-11-05,0.38,0.39,0.38,0.39,1728000,0.001,0.0
1962-11-07,0.39,0.39,0.38,0.39,1744000,0.0,0.0
1962-11-08,0.39,0.39,0.38,0.38,1272000,0.0,0.0
1962-11-09,0.38,0.39,0.38,0.39,1096000,0.0,0.0
1962-11-12,0.39,0.4,0.39,0.4,2171200,0.0,0.0
1962-11-13,0.4,0.4,0.39,0.39,2112000,0.0,0.0
1962-11-14,0.39,0.4,0.39,0.4,1840000,0.0,0.0
1962-11-15,0.4,0.4,0.4,0.4,2080000,0.0,0.0
1962-11-16,0.4,0.4,0.39,0.4,1499200,0.0,0.0
1962-11-19,0.4,0.4,0.4,0.4,936000,0.0,0.0
1962-11-20,0.4,0.4,0.4,0.4,1120000,0.0,0.0
1962-11-21,0.4,0.41,0.4,0.4,1595200,0.0,0.0
1962-11-23,0.4,0.41,0.4,0.41,2763200,0.0,0.0
1962-11-26,0.41,0.42,0.41,0.41,2139200,0.0,0.0
1962-11-27,0.41,0.42,0.41,0.42,1728000,0.0,0.0
1962-11-28,0.42,0.43,0.42,0.42,2656000,0.0,0.0
1962-11-29,0.42,0.43,0.42,0.43,1752000,0.0,0.0
1962-11-30,0.43,0.43,0.42,0.43,1299200,0.0,0.0
1962-12-03,0.42,0.42,0.42,0.42,1288000,0.0,0.0
1962-12-04,0.42,0.43,0.42,0.43,1755200,0.0,0.0
1962-12-05,0.43,0.43,0.43,0.43,2139200,0.0,0.0
1962-12-06,0.43,0.43,0.42,0.43,1384000,0.0,0.0
1962-12-07,0.43,0.43,0.42,0.42,1115200,0.0,0.0
1962-12-10,0.42,0.43,0.42,0.42,1475200,0.0,0.0
1962-12-11,0.42,0.42,0.41,0.41,1128000,0.0,0.0
1962-12-12,0.42,0.42,0.42,0.42,768000,0.0,0.0
1962-12-13,0.42,0.42,0.41,0.41,1120000,0.0,0.0
1962-12-14,0.41,0.42,0.41,0.42,995200,0.0,0.0
1962-12-17,0.42,0.42,0.41,0.41,904000,0.0,0.0
1962-12-18,0.41,0.41,0.41,0.41,875200,0.0,0.0
1962-12-19,0.41,0.42,0.41,0.42,963200,0.0,0.0
1962-12-20,0.42,0.42,0.42,0.42,1272000,0.0,0.0
1962-12-21,0.42,0.42,0.41,0.41,899200,0.0,0.0
1962-12-24,0.41,0.42,0.41,0.42,675200,0.0,0.0
1962-12-26,0.42,0.42,0.42,0.42,723200,0.0,0.0
1962-12-27,0.42,0.42,0.42,0.42,784000,0.0,0.0
1962-12-28,0.42,0.42,0.42,0.42,579200,0.0,0.0
1962-12-31,0.42,0.42,0.42,0.42,1048000,0.0,0.0
1963-01-02,0.42,0.42,0.41,0.41,2387200,0.0,0.0
1963-01-03,0.41,0.42,0.41,0.42,1120000,0.0,0.0
1963-01-04,0.42,0.43,0.42,0.42,1536000,0.0,0.0
1963-01-07,0.42,0.43,0.42,0.42,880000,0.0,0.0
1963-01-08,0.42,0.43,0.42,0.43,1803200,0.0,0.0
1963-01-09,0.43,0.43,0.43,0.43,1907200,0.0,0.0
1963-01-10,0.43,0.44,0.43,0.43,1547200,0.0,0.0
1963-01-11,0.43,0.44,0.43,0.44,1347200,0.0,0.0
1963-01-14,0.44,0.44,0.44,0.44,2472000,0.0,0.0
1963-01-15,0.44,0.45,0.44,0.44,2080000,0.0,0.0
1963-01-16,0.44,0.44,0.43,0.44,1264000,0.0,0.0
