Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-11-16,7.1,8.05,7.02,7.14,97759000,0.0,0.0
2005-11-17,7.34,7.6,6.19,6.42,34308500,0.0,0.0
2005-11-18,6.59,6.73,6.29,6.37,12810000,0.0,0.0
2005-11-21,6.42,6.55,6.34,6.53,6404000,0.0,0.0
2005-11-22,6.45,6.45,6.24,6.36,6533000,0.0,0.0
2005-11-23,6.32,6.36,5.74,6.18,12421000,0.0,0.0
2005-11-25,6.14,6.27,6.13,6.22,1316000,0.0,0.0
2005-11-28,6.17,6.17,5.92,6.06,3155000,0.0,0.0
2005-11-29,6.06,6.1,5.69,5.82,4477500,0.0,0.0
2005-11-30,5.84,5.9,5.75,5.88,3894500,0.0,0.0
2005-12-01,5.88,6.41,5.85,6.37,5688500,0.0,0.0
2005-12-02,6.37,6.61,6.35,6.57,5120000,0.0,0.0
2005-12-05,6.59,6.82,6.59,6.7,4592500,0.0,0.0
2005-12-06,6.7,6.85,6.63,6.66,3202500,0.0,0.0
2005-12-07,6.67,6.67,6.28,6.45,2473000,0.0,0.0
2005-12-08,6.5,6.6,6.47,6.55,1823500,0.0,0.0
2005-12-09,6.55,6.64,6.51,6.59,808000,0.0,0.0
2005-12-12,6.63,6.64,6.56,6.63,953500,0.0,0.0
2005-12-13,6.63,6.63,6.46,6.48,1843000,0.0,0.0
2005-12-14,6.46,6.5,6.33,6.37,1422000,0.0,0.0
2005-12-15,6.36,6.36,6.13,6.19,3273000,0.0,0.0
2005-12-16,6.16,6.28,6.1,6.22,8170500,0.0,0.0
2005-12-19,6.19,6.26,6.16,6.26,2242000,0.0,0.0
2005-12-20,6.3,6.45,6.26,6.36,2423500,0.0,0.0
2005-12-21,6.35,6.37,6.29,6.33,916500,0.0,0.0
2005-12-22,6.33,6.33,6.24,6.32,1171000,0.0,0.0
2005-12-23,6.27,6.31,6.2,6.23,985000,0.0,0.0
2005-12-27,6.28,6.45,6.28,6.42,1214000,0.0,0.0
2005-12-28,6.42,6.45,6.38,6.39,581000,0.0,0.0
2005-12-29,6.35,6.59,6.35,6.58,1076500,0.0,0.0
2005-12-30,6.6,6.62,6.45,6.62,923500,0.0,0.0
2006-01-03,6.64,6.96,6.55,6.89,2993000,0.0,0.0
2006-01-04,6.9,6.9,6.62,6.72,1196500,0.0,0.0
2006-01-05,6.95,7.23,6.95,7.16,3478500,0.0,0.0
2006-01-06,7.14,7.35,7.12,7.34,2306500,0.0,0.0
2006-01-09,7.46,8.06,7.44,7.94,8702000,0.0,0.0
2006-01-10,7.89,8.52,7.89,8.37,8667500,0.0,0.0
2006-01-11,8.46,8.77,8.25,8.54,7560000,0.0,0.0
2006-01-12,8.62,8.71,7.87,8.0,4841500,0.0,0.0
2006-01-13,7.96,8.12,7.83,8.11,2010500,0.0,0.0
2006-01-17,8.28,8.56,8.19,8.44,2609500,0.0,0.0
2006-01-18,8.44,8.44,8.19,8.33,1397500,0.0,0.0
2006-01-19,8.32,8.7,8.01,8.64,3307000,0.0,0.0
2006-01-20,8.74,8.81,8.42,8.43,2309500,0.0,0.0
2006-01-23,8.43,8.7,8.4,8.7,1744500,0.0,0.0
2006-01-24,8.69,9.72,8.54,9.61,5615000,0.0,0.0
2006-01-25,9.74,10.04,9.13,9.65,7019000,0.0,0.0
2006-01-26,9.69,9.86,9.5,9.55,2424000,0.0,0.0
2006-01-27,9.11,9.57,8.84,9.28,6929000,0.0,0.0
2006-01-30,9.15,9.32,8.79,8.94,2970000,0.0,0.0
2006-01-31,8.94,9.28,8.39,9.25,6552500,0.0,0.0
2006-02-01,9.56,10.38,9.45,10.13,7184500,0.0,0.0
2006-02-02,10.08,10.56,9.66,10.05,10589500,0.0,0.0
2006-02-03,10.23,10.63,10.07,10.1,5790500,0.0,0.0
2006-02-06,10.43,10.43,9.96,10.14,3958000,0.0,0.0
2006-02-07,10.11,10.22,9.36,9.73,3575000,0.0,0.0
2006-02-08,9.92,9.97,9.57,9.73,1954000,0.0,0.0
2006-02-09,9.78,9.89,9.61,9.65,2131500,0.0,0.0
2006-02-10,9.69,9.69,8.91,9.42,3580500,0.0,0.0
2006-02-13,9.28,9.77,9.28,9.6,1660500,0.0,0.0
2006-02-14,9.6,9.65,9.41,9.46,1478000,0.0,0.0
2006-02-15,9.47,9.52,9.39,9.46,882000,0.0,0.0
2006-02-16,9.51,9.53,9.3,9.39,848000,0.0,0.0
2006-02-17,9.42,9.45,9.13,9.35,1626500,0.0,0.0
2006-02-21,9.35,9.35,8.87,9.04,2389500,0.0,0.0
2006-02-22,8.94,9.07,8.76,8.96,3314500,0.0,0.0
2006-02-23,9.14,9.45,8.92,9.08,7781500,0.0,0.0
2006-02-24,9.43,10.15,9.43,9.92,11018000,0.0,0.0
2006-02-27,10.01,10.41,9.89,10.35,4822000,0.0,0.0
2006-02-28,10.3,10.54,9.84,9.97,4038000,0.0,0.0
2006-03-01,10.01,10.35,10.01,10.33,3081000,0.0,0.0
2006-03-02,10.3,10.82,10.16,10.8,4253000,0.0,0.0
2006-03-03,11.01,11.46,10.92,11.03,6878500,0.0,0.0
2006-03-06,11.19,11.47,10.93,11.16,4600500,0.0,0.0
2006-03-07,11.16,11.16,10.77,10.92,3193000,0.0,0.0
2006-03-08,11.1,11.11,10.69,10.77,5132500,0.0,0.0
2006-03-09,10.82,11.74,10.82,11.65,5446500,0.0,0.0
2006-03-10,11.65,12.26,11.41,12.22,7088000,0.0,0.0
2006-03-13,12.42,13.01,12.27,12.97,9415500,0.0,0.0
2006-03-14,13.01,13.14,12.38,12.49,9242500,0.0,0.0
2006-03-15,12.51,12.94,12.29,12.61,5496000,0.0,0.0
2006-03-16,12.61,12.78,11.85,12.16,7085500,0.0,0.0
2006-03-17,12.16,12.45,11.72,12.4,5977000,0.0,0.0
2006-03-20,12.57,12.95,12.57,12.95,5575500,0.0,0.0
2006-03-21,13.05,13.4,12.67,12.79,6876500,0.0,0.0
2006-03-22,12.47,12.57,11.95,12.38,6843500,0.0,0.0
2006-03-23,12.33,12.61,12.07,12.2,2925500,0.0,0.0
2006-03-24,12.01,12.43,11.97,12.23,2114000,0.0,0.0
2006-03-27,12.35,12.87,12.24,12.71,5238500,0.0,0.0
2006-03-28,12.71,12.88,12.32,12.49,3080000,0.0,0.0
2006-03-29,12.49,12.69,12.29,12.33,1981000,0.0,0.0
2006-03-30,12.65,13.07,12.61,12.98,5514000,0.0,0.0
2006-03-31,13.06,13.31,12.25,12.57,9687000,0.0,0.0
2006-04-03,12.73,12.76,11.31,11.49,10266000,0.0,0.0
2006-04-04,11.66,12.05,11.03,11.83,9966500,0.0,0.0
2006-04-05,11.97,11.99,11.27,11.44,9132500,0.0,0.0
2006-04-06,11.44,11.73,10.69,10.88,12852000,0.0,0.0
2006-04-07,10.56,10.56,9.53,9.65,24447000,0.0,0.0
2006-04-10,9.69,9.99,9.58,9.93,7960000,0.0,0.0
2006-04-11,9.98,10.33,9.95,10.3,9023500,0.0,0.0
2006-04-12,10.35,10.53,9.93,10.49,7027000,0.0,0.0
2006-04-13,10.49,10.77,10.3,10.69,4786000,0.0,0.0
2006-04-17,10.78,10.91,10.47,10.53,4060000,0.0,0.0
2006-04-18,10.74,12.09,10.72,12.04,13185500,0.0,0.0
2006-04-19,12.06,12.66,11.72,12.61,11672500,0.0,0.0
2006-04-20,12.66,12.81,12.25,12.74,8156500,0.0,0.0
2006-04-21,12.74,12.83,12.45,12.56,4925500,0.0,0.0
2006-04-24,12.4,12.45,12.15,12.24,6188500,0.0,0.0
2006-04-25,12.1,12.71,12.08,12.71,5205000,0.0,0.0
2006-04-26,12.7,12.83,12.49,12.8,4119000,0.0,0.0
2006-04-27,12.71,13.24,12.43,13.03,4162500,0.0,0.0
2006-04-28,12.92,13.17,12.85,12.98,4768000,0.0,0.0
2006-05-01,12.98,12.98,11.98,12.19,7722000,0.0,0.0
2006-05-02,12.64,12.65,11.93,12.32,7205500,0.0,0.0
2006-05-03,12.29,12.87,12.25,12.77,3033500,0.0,0.0
2006-05-04,12.72,12.78,12.56,12.56,3575000,0.0,0.0
2006-05-05,12.56,13.65,12.47,13.51,8049000,0.0,0.0
2006-05-08,13.56,14.48,13.3,14.35,9139000,0.0,0.0
2006-05-09,14.21,14.66,14.02,14.05,6700500,0.0,0.0
