Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1989-06-02,0.0,1.93,1.9,1.92,1589800,0.0,0.0
1989-06-05,0.0,1.92,1.9,1.9,438300,0.0,0.0
1989-06-06,0.0,1.92,1.9,1.9,546900,0.0,0.0
1989-06-07,0.0,1.92,1.9,1.92,177000,0.0,0.0
1989-06-08,0.0,1.93,1.92,1.92,743400,0.0,0.0
1989-06-09,0.0,1.95,1.92,1.93,414000,0.0,0.0
1989-06-12,0.0,1.95,1.92,1.92,939600,0.0,0.0
1989-06-13,0.0,1.92,1.88,1.88,492000,0.0,0.0
1989-06-14,0.0,1.88,1.87,1.87,135900,0.0,0.0
1989-06-15,0.0,1.88,1.85,1.85,118300,0.0,0.0
1989-06-16,0.0,1.87,1.85,1.87,99400,0.0,0.0
1989-06-19,0.0,1.92,1.87,1.9,309100,0.0,0.0
1989-06-20,0.0,1.92,1.88,1.9,205300,0.0,0.0
1989-06-21,0.0,1.92,1.9,1.92,198400,0.0,0.0
1989-06-22,0.0,1.92,1.88,1.92,218700,0.0,0.0
1989-06-23,0.0,1.92,1.9,1.9,118300,0.0,0.0
1989-06-26,0.0,1.92,1.9,1.9,212800,0.0,0.0
1989-06-27,0.0,1.92,1.9,1.92,322800,0.0,0.0
1989-06-28,0.0,1.92,1.88,1.88,146700,0.0,0.0
1989-06-29,0.0,1.88,1.88,1.88,139000,0.0,0.0
1989-06-30,1.87,1.88,1.82,1.87,214800,0.0,0.0
1989-07-03,1.88,1.88,1.88,1.88,17100,0.0,0.0
1989-07-05,1.9,1.9,1.87,1.9,157900,0.0,0.0
1989-07-06,1.9,1.9,1.85,1.85,17500,0.0,0.0
1989-07-07,1.85,1.88,1.83,1.88,31600,0.0,0.0
1989-07-10,1.9,1.93,1.88,1.93,401800,0.0,0.0
1989-07-11,1.95,1.95,1.92,1.92,125500,0.0,0.0
1989-07-12,1.93,1.93,1.92,1.92,59500,0.0,0.0
1989-07-13,1.93,1.93,1.92,1.92,60000,0.0,0.0
1989-07-14,1.92,1.92,1.9,1.92,132400,0.0,0.0
1989-07-17,1.92,1.93,1.92,1.93,127800,0.0,0.0
1989-07-18,1.92,1.93,1.92,1.93,63000,0.0,0.0
1989-07-19,1.96,1.96,1.93,1.96,117400,0.0,0.0
1989-07-20,1.96,1.96,1.95,1.96,126900,0.0,0.0
1989-07-21,1.98,2.0,1.96,1.96,54600,0.0,0.0
1989-07-24,2.0,2.06,2.0,2.06,165300,0.0,0.0
1989-07-25,2.05,2.05,2.01,2.03,97200,0.0,0.0
1989-07-26,2.03,2.08,2.03,2.06,62700,0.0,0.0
1989-07-27,2.08,2.1,2.08,2.08,207400,0.0,0.0
1989-07-28,2.1,2.1,2.06,2.08,130900,0.0,0.0
1989-07-31,2.13,2.16,2.11,2.11,432100,0.0,0.0
1989-08-01,2.13,2.13,2.11,2.13,321900,0.0,0.0
1989-08-02,2.13,2.13,2.1,2.13,156100,0.0,0.0
1989-08-03,2.11,2.13,2.1,2.13,107500,0.0,0.0
1989-08-04,2.11,2.13,2.1,2.1,70200,0.0,0.0
1989-08-07,2.1,2.13,2.1,2.13,248400,0.0,0.0
1989-08-08,2.14,2.14,2.1,2.11,147700,0.0,0.0
1989-08-09,2.13,2.13,2.1,2.1,44700,0.0,0.0
1989-08-10,2.1,2.11,2.1,2.1,37300,0.0,0.0
1989-08-11,2.11,2.11,2.06,2.08,41800,0.0,0.0
1989-08-14,2.1,2.1,2.06,2.06,56800,0.0,0.0
1989-08-15,2.06,2.1,2.06,2.08,100000,0.0,0.0
1989-08-16,2.06,2.1,2.06,2.1,34600,0.0,0.0
1989-08-17,2.06,2.1,2.06,2.1,75100,0.0,0.0
1989-08-18,2.08,2.1,2.06,2.06,64800,0.0,0.0
1989-08-21,2.08,2.08,2.05,2.05,87000,0.0,0.0
1989-08-22,2.05,2.06,2.05,2.05,35200,0.0,0.0
1989-08-23,2.06,2.06,2.05,2.06,82900,0.0,0.0
1989-08-24,2.05,2.08,2.05,2.06,134500,0.0,0.0
1989-08-25,2.06,2.08,2.06,2.06,23100,0.0,0.0
1989-08-28,2.08,2.08,2.05,2.05,127500,0.0,0.0
1989-08-29,2.03,2.03,2.01,2.01,66700,0.0,0.0
1989-08-30,2.01,2.05,2.01,2.01,103500,0.0,0.0
1989-08-31,2.03,2.03,2.01,2.01,24300,0.0,0.0
1989-09-01,2.01,2.03,2.0,2.03,92400,0.0,0.0
1989-09-05,2.05,2.05,2.05,2.05,46800,0.0,0.0
1989-09-06,2.05,2.06,2.03,2.05,46500,0.0,0.0
