Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1974-12-17,0.0,2.06,1.85,2.03,310800,0.025,1.02
1974-12-18,0.0,2.17,2.1,2.11,95400,0.0,0.0
1974-12-19,0.0,2.26,2.08,2.22,143100,0.0,0.0
1974-12-20,0.0,2.23,2.16,2.16,75300,0.0,0.0
1974-12-23,0.0,2.24,2.12,2.24,112800,0.0,0.0
1974-12-24,0.0,2.33,2.25,2.29,65700,0.0,0.0
1974-12-26,0.0,2.37,2.26,2.29,40800,0.0,0.0
1974-12-27,0.0,2.26,2.17,2.18,82500,0.0,0.0
1974-12-30,0.0,2.26,2.16,2.26,37800,0.0,0.0
1974-12-31,0.0,2.37,2.3,2.31,74100,0.0,0.0
1975-01-02,0.0,2.5,2.31,2.4,119100,0.0,0.0
1975-01-03,0.0,2.4,2.33,2.34,43800,0.0,0.0
1975-01-06,0.0,2.44,2.33,2.33,137100,0.0,0.0
1975-01-07,0.0,2.32,2.29,2.31,25500,0.0,0.0
1975-01-08,0.0,2.37,2.25,2.26,95100,0.0,0.0
1975-01-09,0.0,2.31,2.2,2.29,128700,0.0,0.0
1975-01-10,0.0,2.45,2.34,2.34,101100,0.0,0.0
1975-01-13,0.0,2.39,2.31,2.31,95700,0.0,0.0
1975-01-14,0.0,2.39,2.31,2.39,145800,0.0,0.0
1975-01-15,0.0,2.45,2.36,2.45,161700,0.0,0.0
1975-01-16,0.0,2.51,2.43,2.43,80100,0.0,0.0
1975-01-17,0.0,2.43,2.31,2.33,61500,0.0,0.0
1975-01-20,0.0,2.38,2.31,2.37,51900,0.0,0.0
1975-01-21,0.0,2.45,2.4,2.4,62400,0.0,0.0
1975-01-22,0.0,2.37,2.31,2.34,57600,0.0,0.0
1975-01-23,0.0,2.43,2.36,2.41,41700,0.0,0.0
1975-01-24,0.0,2.43,2.33,2.4,89700,0.0,0.0
1975-01-27,0.0,2.58,2.5,2.54,99000,0.0,0.0
1975-01-28,0.0,2.61,2.5,2.57,134100,0.0,0.0
1975-01-29,0.0,2.58,2.52,2.54,111900,0.0,0.0
1975-01-30,0.0,2.57,2.43,2.45,71700,0.0,0.0
1975-01-31,0.0,2.57,2.44,2.54,113100,0.0,0.0
1975-02-03,0.0,2.73,2.55,2.68,78300,0.0,0.0
1975-02-04,0.0,2.73,2.57,2.58,74100,0.0,0.0
1975-02-05,0.0,2.68,2.59,2.66,126600,0.0,0.0
1975-02-06,0.0,2.83,2.67,2.67,205800,0.0,0.0
1975-02-07,0.0,2.61,2.57,2.59,85800,0.0,0.0
1975-02-10,0.0,2.62,2.59,2.62,141000,0.0,0.0
1975-02-11,0.0,2.61,2.57,2.57,66900,0.0,0.0
1975-02-12,0.0,2.61,2.54,2.6,316800,0.0,0.0
1975-02-13,0.0,2.68,2.6,2.6,231900,0.0,0.0
1975-02-14,0.0,2.65,2.59,2.6,122400,0.0,0.0
1975-02-18,0.0,2.59,2.5,2.53,67200,0.0,0.0
1975-02-19,0.0,2.55,2.44,2.55,99000,0.0,0.0
1975-02-20,0.0,2.6,2.45,2.6,120900,0.0,0.0
1975-02-21,0.0,2.59,2.5,2.53,151500,0.0,0.0
1975-02-24,0.0,2.6,2.53,2.54,138900,0.0,0.0
1975-02-25,0.0,2.57,2.46,2.5,100500,0.0,0.0
1975-02-26,0.0,2.54,2.48,2.53,99900,0.0,0.0
1975-02-27,0.0,2.59,2.52,2.54,87900,0.0,0.0
1975-02-28,0.0,2.61,2.54,2.61,37200,0.0,0.0
1975-03-03,0.0,2.71,2.64,2.71,78900,0.0,0.0
1975-03-04,0.0,2.89,2.76,2.8,224400,0.0,0.0
1975-03-05,0.0,2.94,2.76,2.87,159300,0.0,0.0
1975-03-06,0.0,2.96,2.82,2.95,55200,0.0,0.0
1975-03-07,0.0,3.04,2.92,2.97,174300,0.0,0.0
1975-03-10,0.0,3.01,2.9,2.99,85200,0.0,0.0
1975-03-11,0.0,3.01,2.92,2.94,109800,0.0,0.0
