Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-02-01,1.5,1.5,1.48,1.49,13718000,0.0,0.0
1996-02-02,1.49,1.5,1.48,1.5,3828600,0.0,0.0
1996-02-05,1.5,1.5,1.48,1.48,908000,0.0,0.0
1996-02-06,1.48,1.5,1.48,1.48,509200,0.0,0.0
1996-02-07,1.48,1.5,1.48,1.48,366100,0.0,0.0
1996-02-08,1.48,1.5,1.48,1.48,794600,0.0,0.0
1996-02-09,1.48,1.5,1.48,1.48,515700,0.0,0.0
1996-02-12,1.48,1.5,1.48,1.48,351500,0.0,0.0
1996-02-13,1.48,1.5,1.48,1.48,216800,0.0,0.0
1996-02-14,1.48,1.5,1.48,1.48,460000,0.0,0.0
1996-02-15,1.48,1.48,1.48,1.48,250600,0.0,0.0
1996-02-16,1.48,1.5,1.46,1.46,491700,0.0,0.0
1996-02-20,1.46,1.48,1.34,1.34,769300,0.0,0.0
1996-02-21,1.34,1.39,1.34,1.34,580800,0.0,0.0
1996-02-22,1.34,1.39,1.34,1.34,251800,0.0,0.0
1996-02-23,1.34,1.39,1.34,1.36,486300,0.0,0.0
1996-02-26,1.39,1.43,1.36,1.41,218200,0.0,0.0
1996-02-27,1.41,1.46,1.41,1.46,1286000,0.0,0.0
1996-02-28,1.43,1.46,1.41,1.43,219100,0.0,0.0
1996-02-29,1.46,1.48,1.43,1.47,289200,0.0,0.0
1996-03-01,1.46,1.48,1.46,1.48,528200,0.0,0.0
1996-03-04,1.46,1.48,1.46,1.46,477500,0.0,0.0
1996-03-05,1.46,1.48,1.46,1.46,175200,0.0,0.0
1996-03-06,1.46,1.46,1.39,1.39,1273100,0.0,0.0
1996-03-07,1.39,1.43,1.39,1.4,612600,0.0,0.0
1996-03-08,1.39,1.41,1.32,1.32,657300,0.0,0.0
1996-03-11,1.36,1.36,1.32,1.34,346100,0.0,0.0
1996-03-12,1.34,1.39,1.34,1.39,297100,0.0,0.0
1996-03-13,1.34,1.39,1.34,1.39,135700,0.0,0.0
1996-03-14,1.37,1.39,1.34,1.34,405500,0.0,0.0
1996-03-15,1.34,1.36,1.34,1.34,57800,0.0,0.0
1996-03-18,1.34,1.41,1.34,1.34,278100,0.0,0.0
1996-03-19,1.34,1.41,1.34,1.41,21800,0.0,0.0
1996-03-20,1.41,1.41,1.32,1.34,1378000,0.0,0.0
1996-03-21,1.32,1.36,1.32,1.36,24000,0.0,0.0
1996-03-22,1.32,1.35,1.32,1.32,72100,0.0,0.0
1996-03-25,1.36,1.36,1.27,1.27,203900,0.0,0.0
1996-03-26,1.27,1.32,1.27,1.27,1286000,0.0,0.0
1996-03-27,1.32,1.32,1.27,1.32,119700,0.0,0.0
1996-03-28,1.29,1.39,1.29,1.34,1144600,0.0,0.0
1996-03-29,1.39,1.41,1.34,1.41,52600,0.0,0.0
1996-04-01,1.41,1.48,1.41,1.43,124100,0.0,0.0
1996-04-02,1.43,1.46,1.43,1.43,59400,0.0,0.0
1996-04-03,1.43,1.46,1.43,1.43,78000,0.0,0.0
1996-04-04,1.43,1.46,1.43,1.43,45800,0.0,0.0
1996-04-08,1.41,1.43,1.41,1.41,61400,0.0,0.0
1996-04-09,1.43,1.43,1.34,1.37,72100,0.0,0.0
1996-04-10,1.34,1.39,1.34,1.34,33100,0.0,0.0
1996-04-11,1.35,1.39,1.34,1.39,182100,0.0,0.0
1996-04-12,1.39,1.39,1.34,1.36,69200,0.0,0.0
1996-04-15,1.34,1.36,1.34,1.35,343200,0.0,0.0
1996-04-16,1.34,1.39,1.34,1.39,85300,0.0,0.0
1996-04-17,1.39,1.39,1.34,1.34,110400,0.0,0.0
1996-04-18,1.34,1.37,1.34,1.34,408900,0.0,0.0
1996-04-19,1.34,1.39,1.34,1.37,162300,0.0,0.0
1996-04-22,1.34,1.39,1.34,1.39,122600,0.0,0.0
1996-04-23,1.39,1.39,1.34,1.34,28300,0.0,0.0
1996-04-24,1.34,1.39,1.34,1.39,80900,0.0,0.0
1996-04-25,1.34,1.39,1.34,1.39,30600,0.0,0.0
1996-04-26,1.39,1.39,1.34,1.34,19900,0.0,0.0
1996-04-29,1.34,1.41,1.34,1.36,53500,0.0,0.0
1996-04-30,1.39,1.55,1.39,1.55,417700,0.0,0.0
1996-05-01,1.52,1.55,1.48,1.48,419300,0.0,0.0
1996-05-02,1.55,1.55,1.48,1.48,469800,0.0,0.0
1996-05-03,1.48,1.55,1.48,1.52,251200,0.0,0.0
1996-05-06,1.55,1.55,1.48,1.55,188500,0.0,0.0
1996-05-07,1.52,1.55,1.48,1.48,357300,0.0,0.0
1996-05-08,1.48,1.55,1.48,1.55,278500,0.0,0.0
