Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-02-07,31.77,32.5,27.5,29.67,6407400,0,0.0
2007-02-08,30.23,30.33,28.33,29.3,760800,0,0.0
2007-02-09,29.18,30.0,28.17,28.42,554400,0,0.0
2007-02-12,28.58,28.58,26.95,27.17,320400,0,0.0
2007-02-13,27.0,29.25,26.97,29.17,428700,0,0.0
2007-02-14,30.5,32.67,30.0,31.03,1456900,0,0.0
2007-02-15,31.4,31.45,30.02,30.43,667500,0,0.0
2007-02-16,30.67,30.83,30.03,30.65,206000,0,0.0
2007-02-20,31.83,32.17,30.67,30.87,304200,0,0.0
2007-02-21,31.05,33.12,30.83,32.32,1029400,0,0.0
2007-02-22,32.5,34.28,32.27,33.67,871300,0,0.0
2007-02-23,33.85,35.17,33.75,34.08,669200,0,0.0
2007-02-26,34.4,35.0,33.67,34.1,479200,0,0.0
2007-02-27,31.67,32.62,30.3,30.52,859000,0,0.0
2007-02-28,32.08,32.68,29.17,32.08,677700,0,0.0
2007-03-01,31.15,31.65,29.17,30.7,495600,0,0.0
2007-03-02,30.3,31.52,29.93,30.17,300000,0,0.0
2007-03-05,29.17,29.65,27.08,28.05,426200,0,0.0
2007-03-06,29.5,30.55,29.45,29.88,485300,0,0.0
2007-03-07,29.88,30.58,29.3,30.33,226900,0,0.0
2007-03-08,30.88,33.0,30.85,33.0,379500,0,0.0
2007-03-09,33.33,33.67,31.67,32.03,234800,0,0.0
2007-03-12,32.03,33.33,31.12,32.65,206800,0,0.0
2007-03-13,32.25,33.33,30.83,31.48,327600,0,0.0
2007-03-14,31.3,31.83,30.35,31.5,245200,0,0.0
2007-03-15,31.5,31.5,30.33,30.45,127500,0,0.0
2007-03-16,30.45,30.45,28.47,28.75,523300,0,0.0
2007-03-19,29.45,29.5,27.58,27.95,786900,0,0.0
2007-03-20,28.33,28.87,28.08,28.52,291800,0,0.0
2007-03-21,29.53,29.67,28.48,29.02,527600,0,0.0
2007-03-22,29.03,30.35,28.95,30.0,445200,0,0.0
2007-03-23,30.12,30.17,29.62,30.03,215900,0,0.0
2007-03-26,30.18,30.52,28.87,29.17,212800,0,0.0
2007-03-27,29.37,29.63,28.25,28.42,212400,0,0.0
2007-03-28,28.22,28.58,27.58,27.65,254800,0,0.0
2007-03-29,27.93,29.85,27.92,29.23,453400,0,0.0
2007-03-30,31.37,32.5,29.23,30.15,1587300,0,0.0
2007-04-02,31.0,31.42,30.23,31.33,456000,0,0.0
2007-04-03,31.53,32.1,30.97,31.35,486900,0,0.0
2007-04-04,31.25,32.62,30.97,32.57,695100,0,0.0
2007-04-05,32.72,32.9,31.42,31.73,289900,0,0.0
2007-04-09,31.97,32.4,31.05,31.6,181900,0,0.0
2007-04-10,31.67,32.97,31.43,32.25,529100,0,0.0
2007-04-11,32.37,33.8,32.08,32.52,1080400,0,0.0
2007-04-12,32.75,36.25,31.92,36.05,2201200,0,0.0
2007-04-13,36.87,40.35,36.05,40.33,2549700,0,0.0
2007-04-16,41.75,47.17,41.58,47.0,4203000,0,0.0
2007-04-17,44.58,45.15,41.1,41.55,3358200,0,0.0
2007-04-18,40.67,43.83,40.08,42.53,1910200,0,0.0
2007-04-19,41.03,44.1,39.17,39.73,1641300,0,0.0
2007-04-20,41.98,42.25,39.83,41.37,988500,0,0.0
2007-04-23,40.87,45.58,40.87,43.73,1651300,0,0.0
2007-04-24,43.92,45.25,43.0,44.17,717000,0,0.0
2007-04-25,45.52,48.13,44.68,46.52,1694100,0,0.0
2007-04-26,46.38,47.5,44.33,45.05,693000,0,0.0
2007-04-27,43.65,44.17,42.95,43.97,672600,0,0.0
2007-04-30,43.33,45.13,39.55,40.65,1051900,0,0.0
2007-05-01,40.42,40.53,37.02,38.2,1648000,0,0.0
2007-05-02,38.5,40.7,38.5,40.22,894900,0,0.0
2007-05-03,40.92,41.25,39.17,39.87,473300,0,0.0
2007-05-04,41.02,42.85,40.25,40.57,770600,0,0.0
2007-05-07,41.0,42.42,40.17,41.68,611600,0,0.0
2007-05-08,41.4,41.4,39.73,40.53,519800,0,0.0
2007-05-09,40.75,42.7,40.0,41.67,352800,0,0.0
2007-05-10,41.73,44.58,41.15,42.27,1132300,0,0.0
2007-05-11,43.3,44.72,42.73,43.75,585300,0,0.0
2007-05-14,44.8,46.82,44.18,46.48,1776300,0,0.0
2007-05-15,42.0,44.65,41.27,42.65,3057700,0,0.0
2007-05-16,43.07,43.08,39.75,41.03,1192200,0,0.0
2007-05-17,41.03,41.68,40.03,40.18,494500,0,0.0
2007-05-18,39.0,39.23,37.5,37.77,1046200,0,0.0
2007-05-21,37.33,39.97,37.28,38.92,871300,0,0.0
2007-05-22,39.32,41.28,39.17,40.83,770200,0,0.0
2007-05-23,41.23,41.87,39.18,39.33,1058500,0,0.0
2007-05-24,39.13,40.23,37.92,38.2,616300,0,0.0
2007-05-25,38.85,39.97,38.27,38.75,396400,0,0.0
2007-05-29,39.97,39.97,38.0,38.4,423100,0,0.0
2007-05-30,36.73,38.85,35.6,38.7,1101600,0,0.0
2007-05-31,40.3,40.62,38.37,39.62,712500,0,0.0
2007-06-01,39.3,40.05,38.72,39.9,558500,0,0.0
2007-06-04,39.17,40.5,38.72,39.63,472800,0,0.0
2007-06-05,39.37,41.92,39.03,41.78,772600,0,0.0
2007-06-06,40.87,43.13,40.87,41.08,792400,0,0.0
2007-06-07,41.08,41.65,38.83,39.15,553300,0,0.0
2007-06-08,39.18,40.47,38.67,38.82,516200,0,0.0
2007-06-11,39.53,41.35,38.03,41.13,918100,0,0.0
2007-06-12,40.92,42.5,40.33,40.92,763300,0,0.0
2007-06-13,41.43,43.0,41.05,42.8,654800,0,0.0
2007-06-14,43.17,45.38,42.85,44.78,778300,0,0.0
2007-06-15,45.4,47.43,45.0,47.33,829200,0,0.0
2007-06-18,47.5,49.75,45.5,45.57,1090200,0,0.0
2007-06-19,45.97,49.12,45.5,48.8,732600,0,0.0
2007-06-20,49.33,51.48,48.98,49.72,1549000,0,0.0
2007-06-21,49.45,49.65,47.63,48.68,647900,0,0.0
2007-06-22,47.87,49.98,46.7,49.55,888400,0,0.0
2007-06-25,50.0,53.07,49.08,50.62,1133200,0,0.0
2007-06-26,52.67,54.38,50.83,52.33,1526800,0,0.0
2007-06-27,52.08,57.8,51.83,57.08,1595800,0,0.0
2007-06-28,57.08,58.52,55.67,57.33,1484200,0,0.0
2007-06-29,57.33,58.25,53.77,56.2,1413600,0,0.0
2007-07-02,56.63,62.22,56.17,61.85,1433100,0,0.0
2007-07-03,62.92,65.12,62.0,62.52,955500,0,0.0
2007-07-05,63.0,63.18,58.57,60.0,941100,0,0.0
2007-07-06,60.17,63.15,58.92,62.08,595800,0,0.0
2007-07-09,64.58,73.12,62.05,71.27,2415800,0,0.0
2007-07-10,69.82,70.3,66.33,68.63,1327500,0,0.0
2007-07-11,66.25,67.78,64.33,64.73,1238800,0,0.0
2007-07-12,66.17,68.67,64.67,68.5,1105200,0,0.0
2007-07-13,68.58,72.05,67.23,70.93,962400,0,0.0
2007-07-16,71.82,71.82,66.42,66.85,768700,0,0.0
2007-07-17,67.5,68.13,61.78,62.35,1487900,0,0.0
2007-07-18,62.53,65.77,61.03,65.23,1171000,0,0.0
2007-07-19,67.63,67.73,64.72,65.1,576700,0,0.0
2007-07-20,64.17,64.83,62.2,62.33,593100,0,0.0
2007-07-23,62.92,64.13,59.5,60.52,836900,0,0.0
2007-07-24,59.8,62.43,57.12,57.82,1180600,0,0.0
2007-07-25,58.58,59.42,55.83,58.43,887800,0,0.0
2007-07-26,57.28,60.32,56.35,57.57,884200,0,0.0
2007-07-27,57.47,60.67,56.95,58.47,841800,0,0.0
2007-07-30,59.95,63.17,58.38,61.58,985600,0,0.0
2007-07-31,64.17,64.42,60.97,61.07,862500,0,0.0
2007-08-01,58.75,60.32,58.0,59.38,641400,0,0.0
2007-08-02,60.07,60.83,56.52,56.6,701700,0,0.0
2007-08-03,56.67,57.08,53.52,53.73,483300,0,0.0
2007-08-06,54.9,55.58,48.9,50.72,960900,0,0.0
2007-08-07,53.78,58.73,52.23,57.23,1404100,0,0.0
2007-08-08,61.67,62.75,56.77,58.35,1689300,0,0.0
2007-08-09,55.67,60.73,55.27,59.27,865500,0,0.0
2007-08-10,57.5,60.83,55.5,58.28,692100,0,0.0
2007-08-13,60.65,60.75,56.77,56.83,452100,0,0.0
2007-08-14,57.05,58.53,53.08,53.42,416000,0,0.0
2007-08-15,53.07,54.27,48.33,48.8,791300,0,0.0
2007-08-16,48.22,50.58,44.33,47.78,1515400,0,0.0
2007-08-17,50.8,52.78,48.28,50.8,854100,0,0.0
2007-08-20,51.57,52.53,50.55,52.32,553200,0,0.0
2007-08-21,52.87,54.83,51.67,53.8,512400,0,0.0
2007-08-22,54.17,56.67,53.9,56.37,756500,0,0.0
2007-08-23,57.22,58.0,52.93,54.28,700800,0,0.0
2007-08-24,54.37,54.42,52.5,54.17,515300,0,0.0
2007-08-27,54.52,54.52,52.58,53.02,240000,0,0.0
2007-08-28,52.17,52.33,49.2,49.82,616300,0,0.0
2007-08-29,50.18,55.2,49.67,54.75,801000,0,0.0
2007-08-30,53.87,60.0,53.33,58.25,1334700,0,0.0
2007-08-31,60.83,62.33,60.33,61.12,882000,0,0.0
2007-09-04,60.47,64.43,60.37,62.88,866800,0,0.0
2007-09-05,61.43,62.92,60.12,60.8,543900,0,0.0
2007-09-06,63.08,65.72,62.67,65.15,1277100,0,0.0
2007-09-07,63.47,66.62,62.82,64.87,1181100,0,0.0
2007-09-10,67.5,67.75,62.85,66.98,1185300,0,0.0
2007-09-11,68.0,68.32,65.42,65.97,893100,0,0.0
2007-09-12,66.23,66.23,64.58,65.17,678900,0,0.0
2007-09-13,66.28,66.6,65.17,65.83,415800,0,0.0
2007-09-14,63.77,64.33,60.83,63.7,1489200,0,0.0
2007-09-17,63.33,63.35,61.87,62.07,308400,0,0.0
2007-09-18,62.55,65.88,60.42,65.32,702700,0,0.0
2007-09-19,66.52,67.18,64.55,65.52,651600,0,0.0
2007-09-20,66.0,70.33,65.02,69.58,1892200,0,0.0
2007-09-21,67.12,76.33,66.83,76.23,3050900,0,0.0
2007-09-24,77.58,80.95,73.33,75.17,1937900,0,0.0
2007-09-25,73.98,79.38,73.6,78.07,966200,0,0.0
2007-09-26,80.13,80.55,75.08,77.5,861700,0,0.0
2007-09-27,79.17,79.48,73.4,73.4,1437700,0,0.0
2007-09-28,74.47,76.25,73.08,74.92,920200,0,0.0
2007-10-01,75.0,77.12,73.42,73.6,1044600,0,0.0
2007-10-02,73.37,76.95,73.15,75.5,1103100,0,0.0
2007-10-03,74.58,74.92,68.33,69.4,1470700,0,0.0
2007-10-04,69.25,70.88,64.25,69.12,1996600,0,0.0
2007-10-05,70.82,74.33,70.0,73.33,1715700,0,0.0
2007-10-08,71.17,72.48,67.08,68.3,1806300,0,0.0
2007-10-09,70.52,71.25,67.83,69.02,1055600,0,0.0
2007-10-10,69.15,73.58,67.08,71.55,2045400,0,0.0
2007-10-11,75.85,81.67,73.8,75.58,5890500,0,0.0
2007-10-12,77.83,84.5,76.88,82.08,2964100,0,0.0
2007-10-15,83.9,85.57,80.22,82.32,1466700,0,0.0
2007-10-16,82.37,85.55,80.73,83.25,1177900,0,0.0
2007-10-17,85.62,86.53,80.83,81.37,1521400,0,0.0
2007-10-18,80.33,84.7,78.38,84.3,1459200,0,0.0
2007-10-19,84.8,84.8,82.07,83.23,1481900,0,0.0
2007-10-22,80.03,90.38,75.0,89.68,2539000,0,0.0
2007-10-23,90.27,92.67,87.2,91.68,1808100,0,0.0
2007-10-24,92.22,92.38,86.95,92.22,1338700,0,0.0
2007-10-25,94.17,97.73,91.75,92.4,1798300,0,0.0
2007-10-26,95.12,97.07,92.3,93.43,865000,0,0.0
2007-10-29,94.93,98.18,94.42,96.63,962100,0,0.0
2007-10-30,96.07,98.73,93.92,94.83,906700,0,0.0
2007-10-31,95.25,98.3,95.0,96.0,827200,0,0.0
2007-11-01,96.03,99.92,93.95,96.52,1000800,0,0.0
2007-11-02,97.53,97.67,91.8,94.67,1133700,0,0.0
2007-11-05,93.32,95.45,92.28,93.93,544000,0,0.0
2007-11-06,96.63,103.23,96.33,101.23,1521300,0,0.0
2007-11-07,103.78,104.6,98.35,100.2,1239900,0,0.0
2007-11-08,114.13,120.1,103.25,115.93,3867900,0,0.0
2007-11-09,96.87,108.42,90.0,90.85,6877500,0,0.0
2007-11-12,92.67,96.32,79.33,81.12,3530800,0,0.0
2007-11-13,83.85,87.47,82.52,83.53,2239500,0,0.0
2007-11-14,88.75,91.95,86.25,87.85,1591900,0,0.0
2007-11-15,87.6,93.3,86.17,91.93,2225800,0,0.0
2007-11-16,92.92,98.13,90.85,97.83,1423400,0,0.0
2007-11-19,96.67,100.32,90.45,91.42,2002000,0,0.0
2007-11-20,92.82,95.0,88.12,90.08,1481400,0,0.0
2007-11-21,84.63,88.6,81.8,86.1,1468900,0,0.0
2007-11-23,88.67,88.67,85.85,88.55,208500,0,0.0
2007-11-26,92.08,93.25,88.35,88.52,1162200,0,0.0
2007-11-27,90.0,91.33,78.65,82.6,1665700,0,0.0
2007-11-28,85.0,89.05,85.0,88.33,1535000,0,0.0
2007-11-29,88.52,96.85,88.52,95.8,1721600,0,0.0
2007-11-30,100.82,103.13,95.12,98.9,1853500,0,0.0
2007-12-03,96.48,98.33,92.08,92.42,1534300,0,0.0
2007-12-04,92.5,96.0,90.83,93.15,1360400,0,0.0
2007-12-05,96.67,98.28,91.45,92.03,1094200,0,0.0
2007-12-06,93.03,96.32,91.9,96.02,1012300,0,0.0
2007-12-07,97.75,106.55,96.8,105.97,2346800,0,0.0
2007-12-10,106.67,111.25,103.67,110.57,1435600,0,0.0
2007-12-11,110.28,110.83,100.88,102.53,1436600,0,0.0
2007-12-12,106.57,107.47,98.7,103.3,1463100,0,0.0
2007-12-13,102.6,108.3,100.25,105.03,1780000,0,0.0
2007-12-14,109.9,119.92,108.75,116.42,3968700,0,0.0
2007-12-17,119.67,123.25,110.43,113.45,2613700,0,0.0
2007-12-18,118.08,119.73,113.87,118.92,2041800,0,0.0
2007-12-19,118.08,123.13,116.1,121.95,1505800,0,0.0
2007-12-20,120.58,122.42,118.2,119.82,930300,0,0.0
2007-12-21,123.33,125.83,121.08,122.45,1160000,0,0.0
2007-12-24,124.0,125.83,122.05,125.72,412800,0,0.0
2007-12-26,127.25,127.5,122.05,125.03,576400,0,0.0
2007-12-27,121.88,124.12,117.5,121.1,754100,0,0.0
2007-12-28,122.4,122.4,115.0,115.0,1069800,0,0.0
2007-12-31,114.87,118.28,114.17,116.35,586500,0,0.0
