Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.16,1.13,1.14,62400,0.0,0.0
1980-03-18,0.0,1.15,1.14,1.15,63900,0.0,0.0
1980-03-19,0.0,1.17,1.15,1.16,40500,0.0,0.0
1980-03-20,0.0,1.16,1.15,1.15,18900,0.0,0.0
1980-03-21,0.0,1.18,1.15,1.18,97200,0.0,0.0
1980-03-24,0.0,1.17,1.15,1.15,90300,0.0,0.0
1980-03-25,0.0,1.15,1.14,1.15,72000,0.0,0.0
1980-03-26,0.0,1.16,1.14,1.15,31500,0.0,0.0
1980-03-27,0.0,1.15,1.11,1.15,62100,0.0,0.0
1980-03-28,0.0,1.15,1.11,1.13,84000,0.0,0.0
1980-03-31,0.0,1.17,1.15,1.17,55200,0.0,0.0
1980-04-01,0.0,1.19,1.15,1.15,126000,0.0,0.0
1980-04-02,0.0,1.2,1.16,1.2,58500,0.0,0.0
1980-04-03,0.0,1.25,1.22,1.24,310800,0.0,0.0
1980-04-07,0.0,1.27,1.24,1.25,115200,0.0,0.0
1980-04-08,0.0,1.24,1.23,1.23,217800,0.0,0.0
1980-04-09,0.0,1.22,1.19,1.21,181200,0.0,0.0
1980-04-10,0.0,1.25,1.21,1.24,191700,0.0,0.0
1980-04-11,0.0,1.26,1.23,1.24,111900,0.0,0.0
1980-04-14,0.0,1.24,1.23,1.23,18900,0.0,0.0
1980-04-15,0.0,1.23,1.2,1.2,63300,0.0,0.0
1980-04-16,0.0,1.23,1.21,1.23,30000,0.0,0.0
1980-04-17,0.0,1.22,1.2,1.2,43500,0.0,0.0
1980-04-18,0.0,1.22,1.2,1.2,27300,0.0,0.0
1980-04-21,0.0,1.19,1.15,1.17,83700,0.0,0.0
1980-04-22,0.0,1.2,1.15,1.2,122700,0.0,0.0
1980-04-23,0.0,1.2,1.18,1.2,132300,0.0,0.0
1980-04-24,0.0,1.2,1.18,1.2,209100,0.0,0.0
1980-04-25,0.0,1.19,1.18,1.18,21600,0.0,0.0
1980-04-28,0.0,1.21,1.19,1.2,141600,0.0,0.0
1980-04-29,0.0,1.21,1.2,1.21,45000,0.0,0.0
1980-04-30,0.0,1.23,1.2,1.22,84900,0.0,0.0
1980-05-01,0.0,1.25,1.23,1.24,48600,0.0,0.0
1980-05-02,0.0,1.26,1.23,1.25,49800,0.0,0.0
1980-05-05,0.0,1.32,1.27,1.32,621300,0.0,0.0
1980-05-06,0.0,1.35,1.3,1.3,143400,0.0,0.0
1980-05-07,0.0,1.34,1.3,1.32,483600,0.0,0.0
1980-05-08,0.0,1.33,1.31,1.32,36300,0.0,0.0
1980-05-09,0.0,1.31,1.29,1.31,24600,0.0,0.0
1980-05-12,0.0,1.31,1.28,1.31,27000,0.0,0.0
1980-05-13,0.0,1.32,1.29,1.3,40500,0.0,0.0
1980-05-14,0.0,1.32,1.31,1.31,61200,0.0,0.0
1980-05-15,0.0,1.31,1.29,1.3,36900,0.0,0.0
1980-05-16,0.0,1.3,1.29,1.3,11100,0.0,0.0
1980-05-19,0.0,1.34,1.3,1.33,51300,0.0,0.0
1980-05-20,0.0,1.33,1.3,1.3,85500,0.0,0.0
1980-05-21,0.0,1.31,1.28,1.29,40500,0.0,0.0
1980-05-22,0.0,1.31,1.28,1.31,143400,0.0,0.0
1980-05-23,0.0,1.33,1.31,1.32,113400,0.0,0.0
1980-05-27,0.0,1.32,1.31,1.31,57000,0.0,0.0
1980-05-28,0.0,1.33,1.31,1.33,135000,0.0,0.0
1980-05-29,0.0,1.33,1.29,1.31,108300,0.0,0.0
1980-05-30,0.0,1.31,1.28,1.31,80100,0.0,0.0
1980-06-02,0.0,1.33,1.29,1.3,107100,0.0,0.0
1980-06-03,0.0,1.31,1.3,1.31,101100,0.0,0.0
1980-06-04,0.0,1.34,1.31,1.34,143100,0.0,0.0
1980-06-05,0.0,1.36,1.34,1.34,95700,0.0,0.0
1980-06-06,0.0,1.41,1.33,1.41,205500,0.0,0.0
1980-06-09,0.0,1.37,1.33,1.34,150300,0.0,0.0
1980-06-10,0.0,1.36,1.33,1.36,110700,0.0,0.0
1980-06-11,0.0,1.41,1.35,1.38,140400,0.0,0.0
1980-06-12,0.0,1.38,1.35,1.38,178200,0.0,0.0
1980-06-13,0.0,1.44,1.38,1.44,196200,0.0,0.0
1980-06-16,0.0,1.42,1.38,1.39,298200,0.0,0.0
1980-06-17,0.0,1.39,1.37,1.39,344100,0.0,0.0
1980-06-18,0.0,1.39,1.35,1.36,129600,0.0,0.0
1980-06-19,0.0,1.35,1.3,1.31,82800,0.0,0.0
1980-06-20,0.0,1.32,1.3,1.31,207000,0.0,0.0
1980-06-23,0.0,1.33,1.28,1.3,557400,0.0,0.0
1980-06-24,0.0,1.34,1.31,1.34,174000,0.0,0.0
1980-06-25,0.0,1.35,1.33,1.34,294300,0.0,0.0
1980-06-26,0.0,1.35,1.33,1.34,791400,0.0,0.0
1980-06-27,0.0,1.35,1.33,1.34,104400,0.0,0.0
1980-06-30,0.0,1.35,1.31,1.34,84900,0.0,0.0
1980-07-01,0.0,1.34,1.33,1.34,89100,0.0,0.0
1980-07-02,0.0,1.34,1.33,1.34,89100,0.0,0.0
1980-07-03,0.0,1.35,1.34,1.35,549900,0.0,0.0
1980-07-07,0.0,1.36,1.34,1.35,144300,0.0,0.0
1980-07-08,0.0,1.36,1.33,1.35,148500,0.0,0.0
1980-07-09,0.0,1.37,1.34,1.34,89100,0.0,0.0
1980-07-10,0.0,1.37,1.34,1.36,39000,0.0,0.0
1980-07-11,0.0,1.37,1.36,1.36,33600,0.0,0.0
1980-07-14,0.0,1.41,1.36,1.41,90300,0.0,0.0
1980-07-15,0.0,1.41,1.38,1.39,289200,0.0,0.0
1980-07-16,0.0,1.41,1.37,1.41,103800,0.0,0.0
1980-07-17,0.0,1.42,1.41,1.42,58500,0.0,0.0
