Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-11-05,0.43,0.43,0.42,0.43,55000,0.0,0.0
1987-11-06,0.43,0.43,0.43,0.43,212000,0.0,0.0
1987-11-09,0.42,0.43,0.41,0.41,107600,0.0,0.0
1987-11-10,0.42,0.43,0.41,0.43,61600,0.0,0.0
1987-11-11,0.42,0.43,0.42,0.43,65600,0.0,0.0
1987-11-12,0.43,0.45,0.43,0.45,102000,0.0,0.0
1987-11-13,0.45,0.46,0.44,0.45,30200,0.0,0.0
1987-11-16,0.45,0.45,0.44,0.45,53400,0.0,0.0
1987-11-17,0.45,0.45,0.44,0.44,29800,0.0,0.0
1987-11-18,0.44,0.44,0.42,0.43,38400,0.0,0.0
1987-11-19,0.42,0.42,0.41,0.41,422800,0.0,0.0
1987-11-20,0.41,0.41,0.4,0.41,111200,0.0,0.0
1987-11-23,0.41,0.41,0.41,0.41,31800,0.0,0.0
1987-11-24,0.43,0.44,0.42,0.44,198200,0.3,0.0
1987-11-25,0.44,0.44,0.43,0.43,96000,0.0,0.0
1987-11-27,0.43,0.43,0.43,0.43,31000,0.0,0.0
1987-11-30,0.43,0.43,0.42,0.42,74600,0.0,0.0
1987-12-01,0.42,0.43,0.42,0.43,96800,0.0,0.0
1987-12-02,0.43,0.43,0.43,0.43,78200,0.0,0.0
1987-12-03,0.43,0.43,0.42,0.42,29000,0.0,0.0
1987-12-04,0.42,0.42,0.41,0.41,73200,0.0,0.0
1987-12-07,0.41,0.42,0.41,0.41,46200,0.0,0.0
1987-12-08,0.41,0.43,0.41,0.43,84000,0.0,0.0
1987-12-09,0.42,0.42,0.4,0.41,111200,0.0,0.0
1987-12-10,0.41,0.41,0.4,0.41,63800,0.0,0.0
1987-12-11,0.4,0.41,0.4,0.4,48400,0.0,0.0
1987-12-14,0.41,0.41,0.4,0.41,92600,0.0,0.0
1987-12-15,0.41,0.42,0.41,0.42,67800,0.0,0.0
1987-12-16,0.42,0.42,0.41,0.41,131800,0.0,0.0
1987-12-17,0.41,0.44,0.41,0.42,295600,0.0,0.0
1987-12-18,0.43,0.44,0.42,0.44,198800,0.0,0.0
1987-12-21,0.44,0.45,0.42,0.43,109400,0.0,0.0
1987-12-22,0.44,0.44,0.43,0.44,114200,0.0,0.0
1987-12-23,0.44,0.47,0.43,0.46,135200,0.07746,0.0
1987-12-24,0.46,0.46,0.45,0.45,135800,0.0,0.0
1987-12-28,0.45,0.47,0.44,0.47,76800,0.0,0.0
1987-12-29,0.46,0.46,0.45,0.45,46800,0.0,0.0
1987-12-30,0.44,0.46,0.44,0.45,73800,0.0,0.0
1987-12-31,0.45,0.45,0.43,0.44,53600,0.0,0.0
1988-01-04,0.43,0.46,0.43,0.45,67800,0.0,0.0
1988-01-05,0.46,0.47,0.46,0.47,158400,0.0,0.0
1988-01-06,0.47,0.47,0.46,0.46,214800,0.0,0.0
1988-01-07,0.46,0.47,0.46,0.47,86000,0.0,0.0
1988-01-08,0.47,0.47,0.45,0.45,30600,0.0,0.0
