Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1982-04-01,0.0,0.66,0.65,0.65,103600.0,0.0,0.0
1982-04-02,0.0,0.66,0.65,0.65,130600.0,0.0,0.0
1982-04-05,0.0,0.66,0.66,0.66,158600.0,0.0,0.0
1982-04-06,0.0,0.66,0.66,0.66,110200.0,0.0,0.0
1982-04-07,0.0,0.66,0.66,0.66,51600.0,0.0,0.0
1982-04-08,0.0,0.68,0.67,0.67,238000.0,0.0,0.0
1982-04-12,0.0,0.67,0.66,0.66,241600.0,0.0,0.0
1982-04-13,0.0,0.67,0.66,0.66,80400.0,0.0,0.0
1982-04-14,0.0,0.65,0.64,0.64,138200.0,0.0,0.0
1982-04-15,0.0,0.66,0.66,0.66,177000.0,0.0,0.0
1982-04-16,0.0,0.66,0.66,0.66,101600.0,0.0,0.0
1982-04-19,0.0,0.66,0.66,0.66,129800.0,0.0,0.0
1982-04-20,0.0,0.66,0.65,0.65,660600.0,0.0,0.0
1982-04-21,0.0,0.66,0.65,0.65,32800.0,0.0,0.0
1982-04-22,0.0,0.66,0.65,0.65,63800.0,0.0,0.0
1982-04-23,0.0,0.69,0.68,0.68,274600.0,0.0,0.0
1982-04-26,0.0,0.72,0.71,0.71,264800.0,0.0,0.0
1982-04-27,0.0,0.7,0.7,0.7,203000.0,0.0,0.0
1982-04-28,0.0,0.67,0.66,0.66,450400.0,0.0,0.0
1982-04-29,0.0,0.63,0.62,0.62,332000.0,0.0,0.0
1982-04-30,0.0,0.71,0.7,0.7,748800.0,0.0,0.0
1982-05-03,0.0,0.75,0.74,0.74,476200.0,0.0,0.0
1982-05-04,0.0,0.74,0.74,0.74,470000.0,0.0,0.0
1982-05-05,0.0,0.7,0.7,0.7,437400.0,0.0,0.0
1982-05-06,0.0,0.69,0.69,0.69,320200.0,0.0,0.0
1982-05-07,0.0,0.7,0.69,0.69,120800.0,0.0,0.0
1982-05-10,0.0,0.69,0.68,0.68,167200.0,0.0,0.0
1982-05-11,0.0,0.7,0.69,0.69,308800.0,0.0,0.0
1982-05-12,0.0,0.68,0.68,0.68,261200.0,0.0,0.0
1982-05-13,0.0,0.71,0.7,0.7,389800.0,0.0,0.0
