Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-10-17,24.19,24.21,23.65,24.06,1741300,0.0,0.0
2006-10-18,24.42,24.42,23.55,23.66,1484400,0.0,0.0
2006-10-19,23.66,23.82,23.04,23.12,1481700,0.0,0.0
2006-10-20,23.3,23.97,23.1,23.9,1440300,0.0,0.0
2006-10-23,24.23,24.23,23.63,23.82,1152300,0.0,0.0
2006-10-24,23.83,24.21,23.73,23.97,880300,0.0,0.0
2006-10-25,24.07,24.22,23.58,24.19,1214900,0.0,0.0
2006-10-26,24.41,26.69,24.19,25.85,4729700,0.0,0.0
2006-10-27,26.24,26.91,25.95,26.87,3889400,0.0,0.0
2006-10-30,27.14,28.25,26.94,27.22,1939000,0.0,0.0
2006-10-31,27.9,28.09,26.48,26.78,1322000,0.0,0.0
2006-11-01,27.05,27.35,26.44,26.44,854100,0.0,0.0
2006-11-02,26.44,27.31,26.11,26.12,821700,0.0,0.0
2006-11-03,26.3,26.74,26.24,26.58,787000,0.0,0.0
2006-11-06,26.64,27.14,26.47,26.77,842300,0.0,0.0
2006-11-07,26.78,26.98,26.46,26.73,706900,0.0,0.0
2006-11-08,26.12,26.27,25.17,25.68,1550900,0.0,0.0
2006-11-09,25.81,27.05,25.57,27.05,992300,0.0,0.0
2006-11-10,26.78,26.93,26.12,26.77,765600,0.0,0.0
2006-11-13,26.73,26.73,26.4,26.62,332800,0.0,0.0
2006-11-14,26.67,26.86,26.38,26.7,520000,0.0,0.0
2006-11-15,26.7,26.94,26.58,26.81,591700,0.0,0.0
2006-11-16,26.73,26.89,26.58,26.89,374000,0.0,0.0
2006-11-17,26.78,26.78,26.3,26.47,485900,0.0,0.0
2006-11-20,26.58,26.63,25.88,26.11,427000,0.0,0.0
2006-11-21,25.98,26.04,25.44,25.79,1593300,0.0,0.0
2006-11-22,25.36,26.08,25.17,25.88,1469400,0.0,0.0
2006-11-24,25.47,25.71,25.41,25.67,141100,0.0,0.0
2006-11-27,25.44,25.57,24.7,25.31,826500,0.0,0.0
2006-11-28,24.9,25.36,24.21,25.31,782200,0.0,0.0
2006-11-29,25.64,25.69,25.31,25.49,458600,0.0,0.0
2006-11-30,25.44,25.53,25.12,25.4,246600,0.0,0.0
2006-12-01,25.35,25.37,25.05,25.2,371500,0.0,0.0
2006-12-04,24.93,25.17,24.86,25.12,306900,0.0,0.0
2006-12-05,25.16,25.53,25.01,25.41,370000,0.0,0.0
2006-12-06,25.41,25.59,25.08,25.57,580200,0.0,0.0
2006-12-07,25.71,25.77,25.31,25.72,364800,0.0,0.0
2006-12-08,25.52,26.04,25.51,25.91,545200,0.0,0.0
2006-12-11,25.91,26.11,25.32,25.39,499600,0.0,0.0
2006-12-12,25.44,26.54,25.11,26.4,946200,0.0,0.0
2006-12-13,25.57,25.57,24.26,24.42,2291600,0.0,0.0
2006-12-14,24.13,24.56,23.63,24.05,1634700,0.0,0.0
2006-12-15,24.41,25.24,24.1,25.04,3829300,0.0,0.0
2006-12-18,24.92,24.97,24.27,24.34,769000,0.0,0.0
2006-12-19,24.14,24.29,23.78,23.97,914900,0.0,0.0
