Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-12-17,2.24,2.43,2.12,2.29,321776100,0.0,0.0
2003-12-18,2.27,2.27,2.19,2.21,81061200,0.0,0.0
2003-12-19,2.26,2.28,2.24,2.25,21501000,0.0,0.0
2003-12-22,2.42,2.53,2.34,2.53,58484400,0.0,0.0
2003-12-23,2.62,2.78,2.61,2.66,62509800,0.0,0.0
2003-12-24,2.82,2.94,2.8,2.94,45574200,0.0,0.0
2003-12-26,3.07,3.14,2.96,3.08,50399100,0.0,0.0
2003-12-29,3.22,3.42,3.16,3.35,98303400,0.0,0.0
2003-12-30,3.18,3.24,2.99,3.02,93778800,0.0,0.0
2003-12-31,3.11,3.22,3.09,3.18,51555900,0.0,0.0
2004-01-02,3.28,3.43,3.23,3.33,64049400,0.0,0.0
2004-01-05,3.28,3.28,3.11,3.18,51291000,0.0,0.0
2004-01-06,2.97,3.02,2.9,2.93,62092200,0.0,0.0
2004-01-07,3.02,3.05,2.97,3.04,34688700,0.0,0.0
2004-01-08,3.02,3.04,2.96,3.02,21159300,0.0,0.0
2004-01-09,3.0,3.0,2.93,2.94,19279800,0.0,0.0
2004-01-12,2.92,2.92,2.81,2.88,36478800,0.0,0.0
2004-01-13,2.84,2.86,2.74,2.76,35336700,0.0,0.0
2004-01-14,2.77,2.89,2.77,2.87,23386800,0.0,0.0
2004-01-15,2.88,2.91,2.81,2.84,11576100,0.0,0.0
2004-01-16,2.88,2.9,2.84,2.87,18427200,0.0,0.0
2004-01-20,2.94,3.01,2.91,3.0,20126700,0.0,0.0
2004-01-21,3.02,3.07,2.93,2.94,14758500,0.0,0.0
2004-01-22,2.96,2.96,2.92,2.94,6548700,0.0,0.0
2004-01-23,2.98,2.98,2.94,2.96,5876100,0.0,0.0
2004-01-26,2.92,2.97,2.89,2.95,9906300,0.0,0.0
2004-01-27,2.93,2.93,2.86,2.88,8844900,0.0,0.0
2004-01-28,2.88,2.88,2.78,2.79,14501100,0.0,0.0
2004-01-29,2.82,2.83,2.75,2.83,14274600,0.0,0.0
2004-01-30,2.77,2.78,2.65,2.7,32115000,0.0,0.0
2004-02-02,2.61,2.65,2.6,2.62,17370000,0.0,0.0
2004-02-03,2.72,2.79,2.7,2.78,17984100,0.0,0.0
2004-02-04,2.64,2.66,2.55,2.57,42241200,0.0,0.0
2004-02-05,2.55,2.63,2.53,2.57,16023900,0.0,0.0
2004-02-06,2.6,2.66,2.6,2.65,9953400,0.0,0.0
2004-02-09,2.74,2.77,2.72,2.72,9027900,0.0,0.0
2004-02-10,2.68,2.68,2.64,2.67,5258400,0.0,0.0
2004-02-11,2.78,2.82,2.76,2.81,17066100,0.0,0.0
2004-02-12,2.77,2.78,2.73,2.75,4805100,0.0,0.0
2004-02-13,2.78,2.81,2.76,2.78,4550700,0.0,0.0
2004-02-17,2.84,2.93,2.83,2.9,10539600,0.0,0.0
2004-02-18,2.88,2.88,2.83,2.85,2647200,0.0,0.0
2004-02-19,2.83,2.83,2.76,2.78,3316500,0.0,0.0
2004-02-20,2.8,2.81,2.77,2.79,3767700,0.0,0.0
2004-02-23,2.79,2.79,2.76,2.78,1197900,0.0,0.0
2004-02-24,2.75,2.76,2.7,2.74,4624200,0.0,0.0
2004-02-25,2.72,2.73,2.69,2.73,2104200,0.0,0.0
2004-02-26,2.72,2.75,2.68,2.73,1985100,0.0,0.0
2004-02-27,2.73,2.76,2.72,2.73,1904100,0.0,0.0
2004-03-01,2.71,2.74,2.68,2.74,4493100,0.0,0.0
2004-03-02,2.74,2.74,2.69,2.7,2380200,0.0,0.0
2004-03-03,2.69,2.69,2.64,2.67,2339400,0.0,0.0
2004-03-04,2.72,2.77,2.72,2.76,3512700,0.0,0.0
2004-03-05,2.76,2.79,2.73,2.78,2688000,0.0,0.0
2004-03-08,2.76,2.76,2.72,2.72,2365800,0.0,0.0
2004-03-09,2.7,2.7,2.66,2.68,1766700,0.0,0.0
2004-03-10,2.67,2.68,2.64,2.65,2224200,0.0,0.0
2004-03-11,2.59,2.6,2.55,2.55,4432200,0.0,0.0
2004-03-12,2.58,2.62,2.57,2.61,1452300,0.0,0.0
2004-03-15,2.58,2.6,2.54,2.56,5238600,0.0,0.0
2004-03-16,2.56,2.57,2.53,2.55,5418600,0.0,0.0
2004-03-17,2.56,2.6,2.54,2.58,5914500,0.0,0.0
2004-03-18,2.47,2.48,2.41,2.44,9121500,0.0,0.0
2004-03-19,2.38,2.42,2.38,2.38,6144600,0.0,0.0
2004-03-22,2.37,2.38,2.31,2.32,7559700,0.0,0.0
2004-03-23,2.44,2.46,2.43,2.43,10877100,0.0,0.0
2004-03-24,2.43,2.45,2.4,2.41,6040800,0.0,0.0
2004-03-25,2.41,2.43,2.39,2.43,5138700,0.0,0.0
2004-03-26,2.41,2.42,2.4,2.4,995700,0.0,0.0
2004-03-29,2.41,2.44,2.41,2.43,1314000,0.0,0.0
2004-03-30,2.43,2.45,2.42,2.45,1706700,0.0,0.0
2004-03-31,2.42,2.44,2.4,2.41,2148000,0.0,0.0
2004-04-01,2.36,2.38,2.29,2.3,10821000,0.0,0.0
2004-04-02,2.35,2.39,2.33,2.34,7245300,0.0,0.0
2004-04-05,2.33,2.35,2.33,2.35,7645200,0.0,0.0
2004-04-06,2.37,2.41,2.37,2.39,3137400,0.0,0.0
2004-04-07,2.54,2.62,2.54,2.59,12201600,0.0,0.0
2004-04-08,2.6,2.61,2.56,2.56,3378300,0.0,0.0
2004-04-12,2.56,2.57,2.54,2.56,1993800,0.0,0.0
2004-04-13,2.51,2.51,2.46,2.46,2784000,0.0,0.0
2004-04-14,2.41,2.43,2.38,2.39,3851700,0.0,0.0
2004-04-15,2.38,2.4,2.35,2.37,3504600,0.0,0.0
2004-04-16,2.37,2.41,2.36,2.4,1506600,0.0,0.0
2004-04-19,2.37,2.37,2.34,2.36,1800300,0.0,0.0
2004-04-20,2.31,2.33,2.27,2.27,4394100,0.0,0.0
2004-04-21,2.22,2.24,2.22,2.24,4231500,0.0,0.0
2004-04-22,2.31,2.38,2.3,2.36,6537300,0.0,0.0
2004-04-23,2.4,2.41,2.32,2.34,4988100,0.0,0.0
2004-04-26,2.27,2.3,2.26,2.3,2495100,0.0,0.0
2004-04-27,2.27,2.27,2.23,2.24,5356200,0.0,0.0
2004-04-28,2.2,2.2,2.1,2.1,10882800,0.0,0.0
2004-04-29,2.04,2.09,2.02,2.06,9084000,0.0,0.0
2004-04-30,2.07,2.12,2.05,2.12,3829200,0.0,0.0
2004-05-03,2.08,2.1,2.05,2.1,3626100,0.0,0.0
2004-05-04,2.1,2.14,2.1,2.14,5025000,0.0,0.0
2004-05-05,2.09,2.1,2.06,2.06,3251700,0.0,0.0
2004-05-06,2.08,2.08,2.03,2.04,3919800,0.0,0.0
2004-05-07,2.05,2.05,2.01,2.02,4114800,0.0,0.0
2004-05-10,1.95,1.98,1.82,1.92,6749400,0.0,0.0
2004-05-11,2.01,2.1,2.01,2.1,5589000,0.0,0.0
2004-05-12,2.06,2.08,2.0,2.04,4192500,0.0,0.0
2004-05-13,1.99,2.01,1.97,2.0,2379300,0.0,0.0
2004-05-14,1.95,2.01,1.95,1.96,1597800,0.0,0.0
2004-05-17,1.87,1.93,1.86,1.93,2812800,0.0,0.0
2004-05-18,1.94,1.98,1.92,1.98,3630000,0.0,0.0
2004-05-19,2.03,2.06,1.98,1.98,3098400,0.0,0.0
2004-05-20,1.98,2.01,1.98,1.98,1881900,0.0,0.0
2004-05-21,2.07,2.09,2.03,2.04,2533500,0.0,0.0
2004-05-24,2.1,2.11,2.07,2.09,1438800,0.0,0.0
2004-05-25,2.14,2.19,2.12,2.19,4753800,0.0,0.0
2004-05-26,2.16,2.19,2.16,2.17,1793700,0.0,0.0
2004-05-27,2.22,2.27,2.22,2.27,4956900,0.0,0.0
2004-05-28,2.27,2.29,2.27,2.29,1749900,0.0,0.0
2004-06-01,2.26,2.27,2.25,2.26,1702500,0.0,0.0
2004-06-02,2.31,2.31,2.26,2.27,950100,0.0,0.0
2004-06-03,2.23,2.24,2.21,2.22,1345200,0.0,0.0
2004-06-04,2.22,2.22,2.19,2.21,761400,0.0,0.0
2004-06-07,2.27,2.31,2.27,2.3,1503600,0.0,0.0
2004-06-08,2.26,2.29,2.26,2.29,660600,0.0,0.0
2004-06-09,2.28,2.28,2.23,2.23,1853700,0.0,0.0
2004-06-10,2.23,2.25,2.23,2.25,1421100,0.0,0.0
2004-06-14,2.23,2.24,2.22,2.23,1098000,0.0,0.0
2004-06-15,2.22,2.26,2.22,2.24,1555500,0.0,0.0
2004-06-16,2.21,2.22,2.18,2.19,1321200,0.0,0.0
2004-06-17,2.16,2.16,2.12,2.13,2344200,0.0,0.0
2004-06-18,2.09,2.1,2.06,2.07,3192000,0.0,0.0
2004-06-21,2.11,2.13,2.1,2.11,1972200,0.0,0.0
2004-06-22,2.1,2.13,2.09,2.12,1321800,0.0,0.0
2004-06-23,2.17,2.2,2.17,2.2,3220500,0.0,0.0
2004-06-24,2.2,2.21,2.19,2.2,1295400,0.0,0.0
2004-06-25,2.21,2.24,2.2,2.21,515700,0.0,0.0
2004-06-28,2.25,2.26,2.25,2.25,1911300,0.0,0.0
2004-06-29,2.25,2.28,2.25,2.27,834900,0.0,0.0
2004-06-30,2.25,2.31,2.25,2.28,764400,0.0,0.0
2004-07-01,2.28,2.28,2.23,2.25,886800,0.0,0.0
2004-07-02,2.25,2.25,2.23,2.24,356700,0.0,0.0
2004-07-06,2.22,2.23,2.21,2.22,719700,0.0,0.0
2004-07-07,2.25,2.27,2.24,2.26,863700,0.0,0.0
2004-07-08,2.25,2.25,2.22,2.24,1102800,0.0,0.0
2004-07-09,2.24,2.25,2.23,2.25,1370700,0.0,0.0
2004-07-12,2.21,2.22,2.19,2.2,2025000,0.0,0.0
2004-07-13,2.18,2.18,2.15,2.17,1774500,0.0,0.0
2004-07-14,2.02,2.15,2.02,2.14,2373000,0.0,0.0
2004-07-15,2.11,2.11,2.09,2.09,882900,0.0,0.0
2004-07-16,2.1,2.12,2.1,2.1,567000,0.0,0.0
2004-07-19,2.14,2.15,2.12,2.13,1304400,0.0,0.0
2004-07-20,2.12,2.15,2.12,2.15,898800,0.0,0.0
2004-07-21,2.16,2.16,2.11,2.12,660600,0.0,0.0
2004-07-22,2.12,2.14,2.11,2.13,1215600,0.0,0.0
2004-07-23,2.12,2.13,2.1,2.1,697200,0.0,0.0
2004-07-26,2.1,2.1,2.08,2.09,616500,0.0,0.0
2004-07-27,2.08,2.12,2.07,2.11,610800,0.0,0.0
2004-07-28,2.12,2.12,2.07,2.1,342300,0.0,0.0
2004-07-29,2.1,2.11,2.09,2.11,335700,0.0,0.0
2004-07-30,2.11,2.11,2.1,2.11,270900,0.0,0.0
2004-08-02,2.09,2.11,2.08,2.11,411000,0.0,0.0
2004-08-03,2.07,2.09,2.05,2.06,402000,0.0,0.0
2004-08-04,2.04,2.06,2.03,2.06,347700,0.0,0.0
2004-08-05,2.07,2.08,2.05,2.05,212700,0.0,0.0
2004-08-06,2.06,2.06,2.02,2.03,781200,0.0,0.0
2004-08-09,2.02,2.05,2.02,2.03,1609800,0.0,0.0
2004-08-10,2.02,2.05,2.02,2.04,983700,0.0,0.0
2004-08-11,2.03,2.04,1.98,2.01,1363500,0.0,0.0
2004-08-12,2.02,2.02,2.0,2.02,487800,0.0,0.0
2004-08-13,2.01,2.02,2.01,2.01,425400,0.0,0.0
2004-08-16,2.0,2.02,1.99,2.01,207900,0.0,0.0
2004-08-17,2.01,2.01,1.99,2.01,341400,0.0,0.0
2004-08-18,2.0,2.04,2.0,2.04,556500,0.0,0.0
2004-08-19,2.09,2.13,2.09,2.12,1266000,0.0,0.0
2004-08-20,2.1,2.13,2.09,2.13,634800,0.0,0.0
2004-08-23,2.08,2.09,2.06,2.08,552600,0.0,0.0
2004-08-24,2.1,2.11,2.09,2.1,209400,0.0,0.0
2004-08-25,2.11,2.15,2.11,2.14,812400,0.0,0.0
2004-08-26,2.11,2.12,2.1,2.11,467700,0.0,0.0
2004-08-27,2.14,2.2,2.14,2.2,2346600,0.0,0.0
2004-08-30,2.25,2.29,2.25,2.25,2365800,0.0,0.0
2004-08-31,2.28,2.32,2.28,2.32,1549800,0.0,0.0
2004-09-01,2.32,2.32,2.29,2.29,680400,0.0,0.0
2004-09-02,2.29,2.36,2.29,2.36,1953900,0.0,0.0
2004-09-03,2.35,2.35,2.33,2.34,842100,0.0,0.0
2004-09-07,2.4,2.44,2.39,2.43,1638600,0.0,0.0
2004-09-08,2.43,2.43,2.4,2.4,531000,0.0,0.0
2004-09-09,2.4,2.41,2.39,2.4,783000,0.0,0.0
2004-09-10,2.41,2.42,2.37,2.38,1145100,0.0,0.0
2004-09-13,2.36,2.37,2.34,2.35,2037000,0.0,0.0
2004-09-14,2.35,2.37,2.34,2.36,1004400,0.0,0.0
2004-09-15,2.38,2.39,2.37,2.37,675000,0.0,0.0
2004-09-16,2.45,2.49,2.44,2.47,1944300,0.0,0.0
2004-09-17,2.49,2.51,2.48,2.5,1515600,0.0,0.0
2004-09-20,2.54,2.54,2.49,2.49,942000,0.0,0.0
2004-09-21,2.56,2.59,2.56,2.58,1942500,0.0,0.0
2004-09-22,2.49,2.5,2.48,2.48,1275600,0.0,0.0
2004-09-23,2.48,2.49,2.47,2.48,450000,0.0,0.0
2004-09-24,2.43,2.44,2.41,2.43,714900,0.0,0.0
2004-09-27,2.41,2.43,2.4,2.4,1245000,0.0,0.0
2004-09-28,2.4,2.42,2.39,2.4,2056200,0.0,0.0
2004-09-29,2.41,2.42,2.4,2.42,943500,0.0,0.0
2004-09-30,2.45,2.47,2.45,2.46,1283400,0.0,0.0
2004-10-01,2.48,2.53,2.48,2.53,1076400,0.0,0.0
2004-10-04,2.56,2.57,2.54,2.55,635700,0.0,0.0
2004-10-05,2.54,2.54,2.52,2.53,472500,0.0,0.0
2004-10-06,2.53,2.54,2.51,2.54,601200,0.0,0.0
2004-10-07,2.53,2.55,2.52,2.54,567000,0.0,0.0
2004-10-08,2.52,2.52,2.5,2.51,1281000,0.0,0.0
