Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-06-17,4.48,4.61,4.08,4.18,902000,0.0,0.0
1992-06-18,4.18,4.18,3.95,4.11,421400,0.0,0.0
1992-06-19,4.11,4.18,4.08,4.15,453400,0.0,0.0
1992-06-22,4.15,4.15,3.98,4.01,597200,0.0,0.0
1992-06-23,4.01,4.08,4.01,4.05,853800,0.0,0.0
1992-06-24,4.05,4.08,3.95,3.98,357600,0.0,0.0
1992-06-25,4.05,4.11,4.05,4.05,785000,0.0,0.0
1992-06-26,4.05,4.08,4.01,4.08,435000,0.0,0.0
1992-06-29,4.05,4.11,4.01,4.11,386600,0.0,0.0
1992-06-30,4.11,4.24,4.11,4.24,884400,0.0,0.0
1992-07-01,4.15,4.18,4.11,4.15,552600,0.0,0.0
1992-07-02,4.18,4.24,4.05,4.24,1788200,0.0,0.0
1992-07-06,4.18,4.18,4.05,4.08,580400,0.0,0.0
1992-07-07,4.11,4.11,3.78,3.85,1147000,0.0,0.0
1992-07-08,3.88,3.88,3.59,3.65,1192800,0.0,0.0
1992-07-09,3.65,3.85,3.65,3.85,2136600,0.0,0.0
1992-07-10,3.78,3.82,3.72,3.75,866200,0.0,0.0
1992-07-13,3.75,3.82,3.75,3.78,846600,0.0,0.0
1992-07-14,3.75,3.82,3.75,3.82,990000,0.0,0.0
1992-07-15,3.82,3.88,3.82,3.85,1080400,0.0,0.0
1992-07-16,3.82,3.85,3.75,3.78,2689000,0.0,0.0
1992-07-17,3.72,3.85,3.72,3.85,840400,0.0,0.0
1992-07-20,3.65,3.78,3.62,3.75,1228200,0.0,0.0
1992-07-21,3.69,3.82,3.69,3.75,1279600,0.0,0.0
1992-07-22,3.65,3.98,3.65,3.88,2743000,0.0,0.0
1992-07-23,3.85,3.95,3.85,3.85,2203800,0.0,0.0
1992-07-24,3.82,3.95,3.82,3.92,1404000,0.0,0.0
1992-07-27,3.92,3.98,3.85,3.95,1308000,0.0,0.0
1992-07-28,3.92,3.98,3.88,3.95,1134400,0.0,0.0
1992-07-29,3.95,3.98,3.82,3.88,1697600,0.0,0.0
1992-07-30,3.92,3.95,3.82,3.95,912800,0.0,0.0
1992-07-31,3.92,3.98,3.92,3.98,1303000,0.0,0.0
1992-08-03,3.95,4.05,3.92,4.05,1616800,0.0,0.0
1992-08-04,4.05,4.11,4.05,4.08,1457000,0.0,0.0
1992-08-05,4.08,4.11,4.08,4.08,492000,0.0,0.0
1992-08-06,4.05,4.08,3.95,4.01,1277800,0.0,0.0
1992-08-07,3.92,3.98,3.92,3.95,306200,0.0,0.0
1992-08-10,3.85,3.95,3.82,3.92,593000,0.0,0.0
1992-08-11,3.92,3.92,3.82,3.82,1804800,0.0,0.0
1992-08-12,3.92,3.95,3.75,3.82,1591600,0.0,0.0
1992-08-13,3.85,3.98,3.85,3.95,1100600,0.0,0.0
1992-08-14,3.95,4.18,3.95,4.15,1476600,0.0,0.0
1992-08-17,4.08,4.21,4.08,4.18,1461000,0.0,0.0
1992-08-18,4.21,4.31,4.18,4.21,1660200,0.0,0.0
1992-08-19,4.21,4.28,4.15,4.18,928000,0.0,0.0
1992-08-20,4.21,4.24,4.21,4.24,370400,0.0,0.0
1992-08-21,4.21,4.38,4.21,4.34,3771600,0.0,0.0
1992-08-24,4.18,4.31,4.18,4.24,2085000,0.0,0.0
1992-08-25,4.28,4.31,4.18,4.28,1168800,0.0,0.0
1992-08-26,4.24,4.31,4.21,4.31,1347000,0.0,0.0
1992-08-27,4.31,4.34,4.28,4.28,764400,0.0,0.0
1992-08-28,4.24,4.28,4.21,4.24,516800,0.0,0.0
1992-08-31,4.28,4.28,4.24,4.24,304000,0.0,0.0
1992-09-01,4.24,4.31,4.21,4.24,1067400,0.0626,0.0
1992-09-02,4.21,4.24,4.15,4.18,1153600,0.0,0.0
1992-09-03,4.18,4.21,4.15,4.15,474800,0.0,0.0
1992-09-04,4.18,4.18,4.08,4.08,461600,0.0,0.0
1992-09-08,4.11,4.15,4.08,4.08,693800,0.0,0.0
1992-09-09,4.11,4.21,4.11,4.21,474200,0.0,0.0
1992-09-10,4.24,4.28,4.18,4.21,867200,0.0,0.0
1992-09-11,4.24,4.28,4.18,4.21,856600,0.0,0.0
1992-09-14,4.28,4.38,4.28,4.38,1092800,0.0,0.0
1992-09-15,4.28,4.34,4.28,4.28,1036400,0.0,0.0
1992-09-16,4.24,4.31,4.18,4.31,864000,0.0,0.0
1992-09-17,4.31,4.31,4.24,4.31,660000,0.0,0.0
1992-09-18,4.31,4.34,4.28,4.34,1351400,0.0,0.0
1992-09-21,4.31,4.34,4.28,4.31,491200,0.0,0.0
1992-09-22,4.31,4.34,4.28,4.28,1030000,0.0,0.0
1992-09-23,4.24,4.28,4.15,4.21,714800,0.0,0.0
1992-09-24,4.21,4.34,4.21,4.31,639400,0.0,0.0
1992-09-25,4.31,4.31,4.24,4.31,438800,0.0,0.0
1992-09-28,4.28,4.34,4.28,4.34,217600,0.0,0.0
1992-09-29,4.34,4.34,4.28,4.28,313000,0.0,0.0
1992-09-30,4.31,4.31,4.21,4.24,675200,0.0,0.0
1992-10-01,4.21,4.24,4.11,4.18,727800,0.0,0.0
1992-10-02,4.18,4.24,4.11,4.18,376000,0.0,0.0
1992-10-05,4.15,4.18,3.95,4.15,815800,0.0,0.0
1992-10-06,4.11,4.15,3.98,4.11,600800,0.0,0.0
1992-10-07,4.15,4.24,4.11,4.21,491400,0.0,0.0
1992-10-08,4.21,4.28,4.21,4.24,327400,0.0,0.0
1992-10-09,4.21,4.21,4.05,4.05,628200,0.0,0.0
1992-10-12,4.08,4.11,3.98,4.01,629600,0.0,0.0
1992-10-13,4.01,4.11,4.01,4.08,1432200,0.0,0.0
1992-10-14,4.05,4.15,4.01,4.08,941200,0.0,0.0
1992-10-15,4.05,4.11,4.01,4.01,944000,0.0,0.0
1992-10-16,4.01,4.05,4.01,4.05,404800,0.0,0.0
1992-10-19,4.05,4.18,4.05,4.18,336200,0.0,0.0
1992-10-20,4.21,4.28,4.15,4.18,1016800,0.0,0.0
1992-10-21,4.18,4.18,4.15,4.18,297000,0.0,0.0
1992-10-22,4.18,4.21,4.05,4.11,648800,0.0,0.0
1992-10-23,4.05,4.11,4.05,4.11,455400,0.0,0.0
1992-10-26,4.11,4.18,4.11,4.15,757600,0.0,0.0
1992-10-27,4.18,4.24,4.15,4.21,611600,0.0,0.0
1992-10-28,4.21,4.24,4.18,4.24,1490800,0.0,0.0
1992-10-29,4.21,4.21,4.15,4.15,442000,0.0,0.0
1992-10-30,4.18,4.21,4.15,4.18,786200,0.0,0.0
1992-11-02,4.21,4.24,4.18,4.21,529000,0.0,0.0
1992-11-03,4.21,4.28,4.21,4.21,1005000,0.0,0.0
1992-11-04,4.21,4.21,4.18,4.21,338000,0.0,0.0
1992-11-05,4.18,4.28,4.18,4.28,1018800,0.0,0.0
1992-11-06,4.21,4.38,4.21,4.31,1850000,0.0,0.0
1992-11-09,4.28,4.48,4.28,4.38,1272200,0.0,0.0
1992-11-10,4.38,4.54,4.38,4.44,2574600,0.0,0.0
1992-11-11,4.48,4.51,4.44,4.51,974400,0.0,0.0
1992-11-12,4.48,4.48,4.38,4.41,1504400,0.0,0.0
1992-11-13,4.38,4.44,4.34,4.44,654600,0.0,0.0
1992-11-16,4.44,4.44,4.28,4.31,2219600,0.0,0.0
1992-11-17,4.31,4.34,4.24,4.28,2032000,0.0,0.0
1992-11-18,4.28,4.41,4.28,4.38,807200,0.0,0.0
1992-11-19,4.34,4.41,4.31,4.38,1040000,0.0,0.0
1992-11-20,4.41,4.41,4.31,4.38,1954000,0.0,0.0
1992-11-23,4.34,4.38,4.24,4.24,1565400,0.0,0.0
1992-11-24,4.28,4.38,4.28,4.31,470400,0.0,0.0
1992-11-25,4.38,4.44,4.34,4.41,1022000,0.0,0.0
1992-11-27,4.41,4.44,4.41,4.44,747800,0.0,0.0
1992-11-30,4.44,4.48,4.38,4.38,998000,0.0,0.0
1992-12-01,4.41,4.48,4.34,4.38,2407000,0.0626,0.0
1992-12-02,4.38,4.48,4.34,4.44,1942400,0.0,0.0
1992-12-03,4.44,4.51,4.41,4.41,1448200,0.0,0.0
1992-12-04,4.48,4.51,4.44,4.48,1611400,0.0,0.0
