Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-05-04,2.01,2.03,2.01,2.01,2578800,0.0,0.0
1984-05-07,2.01,2.03,1.98,1.98,102600,0.0,0.0
1984-05-08,1.98,2.01,1.98,1.98,137100,0.0,0.0
1984-05-09,1.98,2.01,1.98,1.98,741600,0.0,0.0
1984-05-10,1.98,1.98,1.93,1.93,303600,0.0,0.0
1984-05-11,1.93,1.96,1.91,1.91,228000,0.0,0.0
1984-05-14,1.91,1.98,1.91,1.91,49800,0.0,0.0
1984-05-15,1.96,2.01,1.96,1.96,43500,0.0,0.0
1984-05-16,1.96,2.01,1.96,1.96,35100,0.0,0.0
1984-05-17,1.96,1.98,1.96,1.96,65100,0.0,0.0
1984-05-18,1.76,1.76,1.71,1.71,384600,0.0,0.0
1984-05-21,1.71,1.76,1.71,1.71,225300,0.0,0.0
1984-05-22,1.71,1.76,1.71,1.71,12000,0.0,0.0
1984-05-23,1.73,1.76,1.73,1.73,14700,0.0,0.0
1984-05-24,1.73,1.76,1.73,1.73,23400,0.0,0.0
1984-05-25,1.73,1.76,1.73,1.73,158400,0.0,0.0
1984-05-29,1.73,1.78,1.73,1.73,19200,0.0,0.0
1984-05-30,1.73,1.76,1.73,1.73,33300,0.0,0.0
1984-05-31,1.73,1.76,1.73,1.73,300,0.0,0.0
1984-06-01,1.78,1.83,1.78,1.78,102900,0.0,0.0
1984-06-04,1.81,1.86,1.81,1.81,7200,0.0,0.0
1984-06-05,1.83,1.86,1.83,1.83,103500,0.0,0.0
1984-06-06,1.83,1.86,1.83,1.83,148800,0.0,0.0
1984-06-07,1.88,1.93,1.88,1.88,41400,0.0,0.0
1984-06-08,1.88,1.93,1.88,1.88,117300,0.0,0.0
1984-06-11,1.88,1.96,1.88,1.88,120000,0.0,0.0
1984-06-12,1.91,1.96,1.91,1.91,126300,0.0,0.0
1984-06-13,1.91,1.98,1.91,1.91,72900,0.0,0.0
1984-06-14,1.91,2.01,1.91,1.91,10200,0.0,0.0
1984-06-15,1.91,2.01,1.91,1.91,1200,0.0,0.0
1984-06-18,1.91,2.01,1.91,1.91,4500,0.0,0.0
1984-06-19,1.93,2.01,1.93,1.93,5700,0.0,0.0
1984-06-20,1.93,1.98,1.93,1.93,20700,0.0,0.0
1984-06-21,1.93,1.98,1.93,1.93,10800,0.0,0.0
1984-06-22,1.93,1.98,1.93,1.93,14700,0.0,0.0
1984-06-25,1.93,1.96,1.91,1.91,10800,0.0,0.0
1984-06-26,1.91,1.96,1.86,1.86,15300,0.0,0.0
1984-06-27,1.86,1.93,1.86,1.86,2700,0.0,0.0
1984-06-28,1.86,1.86,1.81,1.81,60300,0.0,0.0
1984-06-29,1.81,1.86,1.81,1.81,3600,0.0,0.0
1984-07-02,1.81,1.83,1.81,1.81,3600,0.0,0.0
1984-07-03,1.76,1.76,1.71,1.71,9000,0.0,0.0
1984-07-05,1.71,1.76,1.71,1.71,3900,0.0,0.0
1984-07-06,1.71,1.76,1.71,1.71,4500,0.0,0.0
1984-07-09,1.71,1.73,1.66,1.66,6600,0.0,0.0
1984-07-10,1.66,1.73,1.66,1.66,900,0.0,0.0
1984-07-11,1.68,1.76,1.68,1.68,48000,0.0,0.0
1984-07-12,1.68,1.73,1.68,1.68,382800,0.0,0.0
1984-07-13,1.68,1.76,1.68,1.68,45000,0.0,0.0
1984-07-16,1.68,1.76,1.68,1.68,44400,0.0,0.0
1984-07-17,1.68,1.76,1.68,1.68,1200,0.0,0.0
1984-07-18,1.71,1.76,1.71,1.71,2700,0.0,0.0
1984-07-19,1.73,1.81,1.73,1.73,74700,0.0,0.0
1984-07-20,1.73,1.81,1.73,1.73,13500,0.0,0.0
1984-07-23,1.73,1.78,1.73,1.73,11700,0.0,0.0
1984-07-24,1.73,1.78,1.73,1.73,4800,0.0,0.0
1984-07-25,1.73,1.78,1.73,1.73,9000,0.0,0.0
1984-07-26,1.73,1.78,1.73,1.73,1200,0.0,0.0
1984-07-27,1.73,1.78,1.73,1.73,12900,0.0,0.0
1984-07-30,1.73,1.78,1.71,1.71,26100,0.0,0.0
1984-07-31,1.71,1.78,1.71,1.71,2100,0.0,0.0
1984-08-01,1.71,1.78,1.71,1.71,13500,0.0,0.0
1984-08-02,1.73,1.78,1.73,1.73,112800,0.0,0.0
1984-08-03,1.83,1.88,1.83,1.83,177600,0.0,0.0
1984-08-06,1.93,1.98,1.93,1.93,56100,0.0,0.0
1984-08-07,1.93,1.98,1.91,1.91,38700,0.0,0.0
1984-08-08,1.91,1.98,1.91,1.91,15600,0.0,0.0
1984-08-09,1.91,1.98,1.91,1.91,111000,0.0,0.0
1984-08-10,1.91,2.01,1.91,1.91,159300,0.0,0.0
1984-08-13,1.96,2.01,1.96,1.96,49500,0.0,0.0
1984-08-14,1.96,2.01,1.96,1.96,10800,0.0,0.0
1984-08-15,1.96,2.01,1.96,1.96,79500,0.0,0.0
1984-08-16,1.96,2.01,1.96,1.96,106200,0.0,0.0
1984-08-17,1.96,2.01,1.96,1.96,40800,0.0,0.0
1984-08-20,1.96,2.01,1.96,1.96,29700,0.0,0.0
1984-08-21,1.96,2.01,1.96,1.96,57900,0.0,0.0
1984-08-22,2.06,2.11,2.06,2.06,629400,0.0,0.0
1984-08-23,2.06,2.06,2.01,2.01,37200,0.0,0.0
1984-08-24,2.01,2.06,2.01,2.01,17100,0.0,0.0
1984-08-27,2.01,2.03,1.96,1.96,33600,0.0,0.0
1984-08-28,1.96,2.03,1.96,1.96,12900,0.0,0.0
1984-08-29,1.96,2.01,1.96,1.96,14700,0.0,0.0
1984-08-30,1.98,2.06,1.98,1.98,192000,0.0,0.0
1984-08-31,1.98,2.06,1.98,1.98,7500,0.0,0.0
1984-09-04,2.01,2.06,2.01,2.01,43500,0.0,0.0
1984-09-05,2.01,2.06,2.01,2.01,190200,0.0,0.0
1984-09-06,2.01,2.06,2.01,2.01,11700,0.0,0.0
1984-09-07,2.13,2.18,2.13,2.13,136200,0.0,0.0
1984-09-10,2.13,2.18,2.13,2.13,64200,0.0,0.0
1984-09-11,2.18,2.23,2.18,2.18,209100,0.0,0.0
1984-09-12,2.21,2.26,2.21,2.21,32700,0.0,0.0
1984-09-13,2.28,2.33,2.28,2.28,142200,0.0,0.0
1984-09-14,2.33,2.38,2.33,2.33,819900,0.0,0.0
1984-09-17,2.38,2.43,2.38,2.38,207300,0.0,0.0
1984-09-18,2.38,2.43,2.38,2.38,156900,0.0,0.0
1984-09-19,2.38,2.41,2.38,2.38,91200,0.0,0.0
1984-09-20,2.21,2.21,2.16,2.16,410400,0.0,0.0
1984-09-21,2.16,2.21,2.16,2.16,397200,0.0,0.0
1984-09-24,2.16,2.21,2.16,2.16,347400,0.0,0.0
1984-09-25,2.06,2.06,2.01,2.01,98400,0.0,0.0
1984-09-26,2.01,2.03,1.98,1.98,66600,0.0,0.0
1984-09-27,1.98,1.98,1.93,1.93,199800,0.0,0.0
1984-09-28,1.88,1.88,1.81,1.81,72000,0.0,0.0
1984-10-01,1.81,1.81,1.76,1.76,30600,0.0,0.0
1984-10-02,1.76,1.76,1.71,1.71,479700,0.0,0.0
1984-10-03,1.71,1.76,1.71,1.71,3000,0.0,0.0
1984-10-04,1.71,1.73,1.68,1.68,7200,0.0,0.0
1984-10-05,1.68,1.71,1.68,1.68,33300,0.0,0.0
1984-10-08,1.68,1.71,1.68,1.68,4500,0.0,0.0
1984-10-09,1.68,1.71,1.68,1.68,495000,0.0,0.0
1984-10-10,1.68,1.71,1.68,1.68,23700,0.0,0.0
1984-10-11,1.68,1.71,1.68,1.68,71100,0.0,0.0
1984-10-12,1.68,1.71,1.68,1.68,27000,0.0,0.0
1984-10-15,1.68,1.68,1.61,1.61,53400,0.0,0.0
1984-10-16,1.61,1.61,1.56,1.56,50400,0.0,0.0
1984-10-17,1.56,1.56,1.51,1.51,96600,0.0,0.0
1984-10-18,1.51,1.56,1.51,1.51,98100,0.0,0.0
1984-10-19,1.51,1.56,1.51,1.51,68400,0.0,0.0
1984-10-22,1.51,1.56,1.51,1.51,30900,0.0,0.0
1984-10-23,1.51,1.56,1.51,1.51,18300,0.0,0.0
1984-10-24,1.51,1.56,1.51,1.51,95700,0.0,0.0
1984-10-25,1.51,1.56,1.51,1.51,24600,0.0,0.0
1984-10-26,1.51,1.53,1.51,1.51,6300,0.0,0.0
1984-10-29,1.51,1.53,1.51,1.51,166500,0.0,0.0
1984-10-30,1.61,1.71,1.61,1.61,767700,0.0,0.0
1984-10-31,1.63,1.71,1.63,1.63,43200,0.0,0.0
1984-11-01,1.66,1.71,1.66,1.66,79200,0.0,0.0
1984-11-02,1.66,1.71,1.66,1.66,784200,0.0,0.0
1984-11-05,1.73,1.76,1.73,1.73,54300,0.0,0.0
1984-11-06,1.73,1.76,1.71,1.71,12000,0.0,0.0
1984-11-07,1.71,1.76,1.71,1.71,8100,0.0,0.0
1984-11-08,1.71,1.78,1.71,1.71,15600,0.0,0.0
1984-11-09,1.71,1.78,1.71,1.71,92700,0.0,0.0
1984-11-12,1.73,1.81,1.73,1.73,53100,0.0,0.0
1984-11-13,1.76,1.81,1.76,1.76,41400,0.0,0.0
1984-11-14,1.76,1.81,1.76,1.76,50700,0.0,0.0
1984-11-15,1.76,1.81,1.76,1.76,39900,0.0,0.0
1984-11-16,1.76,1.83,1.76,1.76,8100,0.0,0.0
1984-11-19,1.76,1.83,1.76,1.76,88500,0.0,0.0
1984-11-20,1.76,1.78,1.73,1.73,79500,0.0,0.0
1984-11-21,1.68,1.68,1.63,1.63,27300,0.0,0.0
1984-11-23,1.63,1.68,1.63,1.63,7500,0.0,0.0
1984-11-26,1.63,1.68,1.63,1.63,102900,0.0,0.0
1984-11-27,1.63,1.68,1.63,1.63,3600,0.0,0.0
1984-11-28,1.66,1.68,1.66,1.66,56700,0.0,0.0
1984-11-29,1.66,1.68,1.66,1.66,42300,0.0,0.0
1984-11-30,1.66,1.71,1.66,1.66,113700,0.0,0.0
1984-12-03,1.66,1.71,1.66,1.66,14700,0.0,0.0
1984-12-04,1.66,1.71,1.66,1.66,39000,0.0,0.0
1984-12-05,1.66,1.71,1.66,1.66,11100,0.0,0.0
1984-12-06,1.68,1.73,1.68,1.68,23700,0.0,0.0
1984-12-07,1.71,1.73,1.71,1.71,6600,0.0,0.0
1984-12-10,1.71,1.76,1.71,1.71,18900,0.0,0.0
1984-12-11,1.71,1.76,1.71,1.71,10800,0.0,0.0
1984-12-12,1.71,1.76,1.71,1.71,13500,0.0,0.0
1984-12-13,1.71,1.76,1.71,1.71,31800,0.0,0.0
1984-12-14,1.71,1.73,1.66,1.66,3000,0.0,0.0
1984-12-17,1.66,1.73,1.66,1.66,29100,0.0,0.0
1984-12-18,1.68,1.73,1.68,1.68,94800,0.0,0.0
1984-12-19,1.68,1.71,1.66,1.66,27300,0.0,0.0
1984-12-20,1.63,1.63,1.58,1.58,407100,0.0,0.0
1984-12-21,1.58,1.63,1.56,1.56,97200,0.0,0.0
1984-12-24,1.56,1.63,1.56,1.56,1800,0.0,0.0
1984-12-26,1.56,1.63,1.56,1.56,7500,0.0,0.0
1984-12-27,1.58,1.63,1.58,1.58,99300,0.0,0.0
1984-12-28,1.66,1.68,1.66,1.66,174900,0.0,0.0
