Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-05-25,3.02,3.45,3.01,3.44,395343000,0.0,0.0
2006-05-26,3.47,3.5,3.3,3.36,103044000,0.0,0.0
2006-05-30,3.37,3.37,3.21,3.29,49898000,0.0,0.0
2006-05-31,3.32,3.4,3.32,3.36,30002000,0.0,0.0
2006-06-01,3.36,3.6,3.36,3.56,62344000,0.0,0.0
2006-06-02,3.63,3.65,3.5,3.52,37253000,0.0,0.0
2006-06-05,3.52,3.69,3.52,3.68,37188000,0.0,0.0
2006-06-06,3.74,3.79,3.58,3.62,49045000,0.0,0.0
2006-06-07,3.62,3.62,3.5,3.56,25013000,0.0,0.0
2006-06-08,3.56,3.57,3.41,3.57,34439000,0.0,0.0
2006-06-09,3.65,3.65,3.57,3.58,13372000,0.0,0.0
2006-06-12,3.59,3.61,3.47,3.51,14546000,0.0,0.0
2006-06-13,3.46,3.54,3.39,3.41,16716000,0.0,0.0
2006-06-14,3.36,3.4,3.33,3.38,15971000,0.0,0.0
2006-06-15,3.4,3.45,3.38,3.44,16500000,0.0,0.0
2006-06-16,3.41,3.44,3.37,3.37,12280000,0.0,0.0
2006-06-19,3.4,3.4,3.3,3.32,11509000,0.0,0.0
2006-06-20,3.35,3.37,3.25,3.3,23792000,0.0,0.0
2006-06-21,3.3,3.43,3.29,3.39,18063000,0.0,0.0
2006-06-22,3.47,3.51,3.43,3.49,13038000,0.0,0.0
2006-06-23,3.52,3.59,3.51,3.51,11612000,0.0,0.0
2006-06-26,3.51,3.56,3.48,3.56,8565000,0.0,0.0
2006-06-27,3.56,3.6,3.54,3.54,9826000,0.0,0.0
2006-06-28,3.51,3.55,3.48,3.52,8756000,0.0,0.0
2006-06-29,3.51,3.6,3.51,3.59,14470000,0.0,0.0
2006-06-30,3.57,3.59,3.49,3.59,25964000,0.0,0.0
2006-07-03,3.59,3.59,3.5,3.54,7029000,0.0,0.0
2006-07-05,3.55,3.58,3.5,3.56,13266000,0.0,0.0
2006-07-06,3.54,3.54,3.5,3.5,8097000,0.0,0.0
2006-07-07,3.5,3.51,3.43,3.45,8380000,0.0,0.0
2006-07-10,3.46,3.49,3.45,3.48,4978000,0.0,0.0
2006-07-11,3.48,3.48,3.39,3.47,8079000,0.0,0.0
2006-07-12,3.47,3.47,3.41,3.41,7672000,0.0,0.0
2006-07-13,3.38,3.38,3.32,3.35,16625000,0.0,0.0
2006-07-14,3.34,3.34,3.29,3.29,9663000,0.0,0.0
2006-07-17,3.29,3.31,3.28,3.29,6458000,0.0,0.0
2006-07-18,3.29,3.3,3.27,3.29,12483000,0.0,0.0
2006-07-19,3.29,3.4,3.28,3.39,15840000,0.0,0.0
2006-07-20,3.4,3.43,3.38,3.41,8829000,0.0,0.0
2006-07-21,3.41,3.41,3.35,3.39,8510000,0.0,0.0
2006-07-24,3.4,3.41,3.37,3.37,5017000,0.0,0.0
2006-07-25,3.38,3.47,3.38,3.45,6900000,0.0,0.0
2006-07-26,3.45,3.58,3.43,3.49,10338000,0.0,0.0
2006-07-27,3.51,3.53,3.48,3.48,6009000,0.0,0.0
2006-07-28,3.48,3.5,3.46,3.47,4339000,0.0,0.0
2006-07-31,3.47,3.47,3.43,3.43,4616000,0.0,0.0
2006-08-01,3.44,3.44,3.35,3.37,7390000,0.0,0.0
2006-08-02,3.59,3.75,3.54,3.74,53372000,0.0,0.0
2006-08-03,3.68,3.76,3.64,3.74,21689000,0.0,0.0
2006-08-04,3.77,3.86,3.74,3.75,14216000,0.0,0.0
2006-08-07,3.78,3.84,3.76,3.83,6918000,0.0,0.0
2006-08-08,3.83,3.94,3.82,3.94,14073000,0.0,0.0
2006-08-09,3.97,4.08,3.89,3.96,15043000,0.0,0.0
2006-08-10,3.91,4.04,3.9,4.01,8725000,0.0,0.0
2006-08-11,4.01,4.08,3.99,4.02,9078000,0.0,0.0
2006-08-14,4.02,4.08,4.01,4.06,6314000,0.0,0.0
2006-08-15,4.1,4.11,4.06,4.08,8553000,0.0,0.0
2006-08-16,4.09,4.15,4.05,4.06,15344000,0.0,0.0
2006-08-17,4.06,4.06,3.98,4.0,10216000,0.0,0.0
2006-08-18,3.98,4.02,3.93,4.0,9343000,0.0,0.0
2006-08-21,3.99,4.16,3.95,4.06,12487000,0.0,0.0
2006-08-22,4.06,4.15,4.06,4.13,9761000,0.0,0.0
2006-08-23,4.15,4.17,4.08,4.09,10439000,0.0,0.0
2006-08-24,4.11,4.18,4.1,4.17,5420000,0.0,0.0
2006-08-25,4.17,4.18,4.11,4.12,8016000,0.0,0.0
2006-08-28,4.11,4.15,4.1,4.12,3748000,0.0,0.0
2006-08-29,4.14,4.17,4.13,4.14,3211000,0.0,0.0
2006-08-30,4.15,4.18,4.13,4.14,5801000,0.0,0.0
2006-08-31,4.14,4.21,4.14,4.18,7023000,0.0,0.0
2006-09-01,4.19,4.3,4.19,4.23,20559000,0.0,0.0
2006-09-05,4.26,4.29,4.21,4.26,4618000,0.0,0.0
2006-09-06,4.26,4.41,4.24,4.41,15694000,0.0,0.0
2006-09-07,4.38,4.56,4.38,4.5,26549000,0.0,0.0
2006-09-08,4.57,4.59,4.44,4.47,15176000,0.0,0.0
2006-09-11,4.47,4.64,4.46,4.63,17064000,0.0,0.0
2006-09-12,4.57,4.65,4.57,4.65,16992000,0.0,0.0
2006-09-13,4.64,4.66,4.56,4.59,12355000,0.0,0.0
2006-09-14,4.56,4.74,4.54,4.7,13010000,0.0,0.0
2006-09-15,4.7,4.88,4.7,4.86,19314000,0.0,0.0
2006-09-18,4.92,5.06,4.81,4.88,23656000,0.0,0.0
2006-09-19,4.87,4.95,4.81,4.85,17263000,0.0,0.0
2006-09-20,4.87,4.99,4.83,4.98,13476000,0.0,0.0
2006-09-21,5.06,5.21,5.02,5.17,29063000,0.0,0.0
2006-09-22,5.17,5.2,4.87,4.94,29874000,0.0,0.0
2006-09-25,4.88,4.92,4.66,4.82,35677000,0.0,0.0
2006-09-26,4.75,5.04,4.7,4.94,39969000,0.0,0.0
2006-09-27,5.02,5.08,4.9,5.08,19633000,0.0,0.0
2006-09-28,5.06,5.16,5.06,5.14,13395000,0.0,0.0
2006-09-29,5.13,5.27,5.06,5.27,20056000,0.0,0.0
2006-10-02,5.27,5.27,5.22,5.24,17393000,0.0,0.0
2006-10-03,5.12,5.31,5.12,5.22,16733000,0.0,0.0
2006-10-04,5.24,5.27,5.15,5.21,13679000,0.0,0.0
2006-10-05,5.29,5.53,5.23,5.51,25756000,0.009,0.0
2006-10-06,5.49,5.75,5.46,5.7,35410000,0.0,0.0
2006-10-09,5.45,5.55,5.38,5.52,37084000,0.0,0.0
2006-10-10,5.4,5.56,5.35,5.45,26764000,0.0,0.0
2006-10-11,5.38,5.38,5.18,5.27,35483000,0.0,0.0
2006-10-12,5.24,5.37,5.21,5.34,15117000,0.0,0.0
2006-10-13,5.38,5.44,5.3,5.32,11321000,0.0,0.0
2006-10-16,5.31,5.44,5.3,5.41,8802000,0.0,0.0
2006-10-17,5.39,5.4,5.25,5.27,9865000,0.0,0.0
2006-10-18,5.28,5.4,5.27,5.34,8562000,0.0,0.0
2006-10-19,5.34,5.53,5.29,5.49,13414000,0.0,0.0
2006-10-20,5.52,5.53,5.38,5.4,5264000,0.0,0.0
2006-10-23,5.41,5.43,5.29,5.33,7389000,0.0,0.0
2006-10-24,5.32,5.42,5.3,5.4,8512000,0.0,0.0
2006-10-25,5.4,5.4,5.35,5.37,11349000,0.0,0.0
2006-10-26,5.37,5.61,5.3,5.48,21152000,0.0,0.0
2006-10-27,5.38,5.54,5.23,5.51,26741000,0.0,0.0
2006-10-30,5.51,5.58,5.44,5.5,17471000,0.0,0.0
2006-10-31,5.51,5.78,5.46,5.62,35930000,0.0,0.0
2006-11-01,6.2,6.64,6.2,6.45,141283000,0.0,0.0
2006-11-02,6.36,6.68,6.26,6.64,62536000,0.0,0.0
2006-11-03,6.65,6.81,6.58,6.79,42476000,0.0,0.0
2006-11-06,6.83,7.37,6.83,7.3,97749000,0.0,0.0
2006-11-07,7.26,7.29,7.01,7.02,71623000,0.0,0.0
2006-11-08,6.98,6.98,6.68,6.71,64172000,0.0,0.0
2006-11-09,6.92,7.0,6.69,6.69,62982000,0.0,0.0
2006-11-10,6.72,6.86,6.66,6.77,27782000,0.0,0.0
2006-11-13,7.11,7.43,7.08,7.32,114166000,0.0,0.0
2006-11-14,7.34,7.38,7.16,7.22,38524000,0.0,0.0
2006-11-15,7.22,7.56,7.21,7.23,56606000,0.0,0.0
2006-11-16,7.3,7.37,7.12,7.17,35647000,0.0,0.0
2006-11-17,7.08,7.23,6.98,7.19,28516000,0.0,0.0
2006-11-20,7.13,7.3,7.11,7.3,22904000,0.0,0.0
2006-11-21,7.36,7.65,7.32,7.63,59494000,0.0,0.0
2006-11-22,7.72,7.88,7.65,7.83,42648000,0.0,0.0
2006-11-24,7.73,8.03,7.62,8.0,21600000,0.0,0.0
2006-11-27,8.04,8.24,7.51,7.51,73643000,0.0,0.0
2006-11-28,7.39,7.66,7.24,7.64,61511000,0.0,0.0
2006-11-29,7.76,7.79,7.35,7.52,48996000,0.0,0.0
2006-11-30,7.53,7.74,7.32,7.72,41254000,0.0,0.0
2006-12-01,7.75,7.77,7.52,7.67,35210000,0.0,0.0
2006-12-04,7.66,7.7,7.53,7.59,20276000,0.0,0.0
2006-12-05,7.58,7.76,7.51,7.53,21264000,0.0,0.0
2006-12-06,7.67,7.74,7.47,7.52,30071000,0.0,0.0
2006-12-07,7.53,7.65,7.48,7.56,21763000,0.0,0.0
2006-12-08,7.56,7.65,7.5,7.59,15976000,0.0,0.0
2006-12-11,7.59,7.75,7.5,7.52,30088000,0.0,0.0
2006-12-12,7.49,7.52,7.15,7.26,46602000,0.0,0.0
2006-12-13,7.36,7.41,7.21,7.26,18912000,0.0,0.0
2006-12-14,7.26,7.32,7.19,7.25,24111000,0.0,0.0
2006-12-15,7.31,7.31,7.23,7.3,14585000,0.0,0.0
2006-12-18,7.28,7.28,7.02,7.05,26059000,0.0,0.0
2006-12-19,7.01,7.4,6.86,7.39,31954000,0.0,0.0
2006-12-20,7.39,7.54,7.3,7.4,28211000,0.0,0.0
2006-12-21,7.27,7.31,7.12,7.26,31084000,0.0,0.0
2006-12-22,7.26,7.36,7.22,7.31,13194000,0.0,0.0
2006-12-26,7.32,7.34,7.16,7.22,10227000,0.0,0.0
2006-12-27,7.2,7.55,7.17,7.54,19987000,0.0,0.0
2006-12-28,7.57,7.57,7.4,7.51,22386000,0.0,0.0
2006-12-29,7.49,7.56,7.45,7.47,10887000,0.0,0.0
2007-01-03,7.55,7.56,7.25,7.31,26289000,0.0,0.0
2007-01-04,7.35,7.72,7.23,7.67,27024000,0.0,0.0
2007-01-05,7.66,7.75,7.51,7.66,29632000,0.0,0.0
2007-01-08,7.51,7.76,7.51,7.67,16006000,0.0,0.0
2007-01-09,7.67,8.02,7.63,8.02,36952000,0.0,0.0
2007-01-10,8.08,8.15,7.88,8.01,35099000,0.009,0.0
2007-01-11,8.05,8.26,7.92,8.07,37671000,0.0,0.0
2007-01-12,8.09,8.2,8.02,8.05,18233000,0.0,0.0
2007-01-16,8.05,8.22,8.0,8.11,18028000,0.0,0.0
2007-01-17,8.19,8.43,8.09,8.34,45903000,0.0,0.0
2007-01-18,8.41,8.41,7.79,7.84,42787000,0.0,0.0
2007-01-19,7.84,8.06,7.8,8.03,30029000,0.0,0.0
2007-01-22,8.11,8.26,7.99,8.23,21033000,0.0,0.0
