Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-01-28,4.23,4.53,4.18,4.36,719200,0.0,0
1994-01-31,4.33,4.36,4.26,4.31,86900,0.0,0
1994-02-01,4.28,4.31,4.26,4.28,56900,0.0,0
1994-02-02,4.28,4.33,4.28,4.28,43600,0.0,0
1994-02-03,4.28,4.33,4.28,4.33,42900,0.0,0
1994-02-04,4.28,4.33,4.26,4.26,56500,0.0,0
1994-02-07,4.26,4.33,4.26,4.31,40900,0.0,0
1994-02-08,4.33,4.48,4.33,4.43,205400,0.0,0
1994-02-09,4.46,4.58,4.46,4.48,76900,0.0,0
1994-02-10,4.48,4.63,4.48,4.63,42500,0.0,0
1994-02-11,4.61,4.81,4.61,4.74,49400,0.0,0
1994-02-14,4.68,4.94,4.68,4.81,97400,0.0,0
1994-02-15,4.79,4.84,4.66,4.66,62100,0.0,0
1994-02-16,4.66,4.76,4.66,4.71,26700,0.0,0
1994-02-17,4.76,4.86,4.76,4.86,8900,0.0,0
1994-02-18,4.86,4.91,4.84,4.89,27900,0.0,0
1994-02-22,4.84,4.86,4.79,4.79,25000,0.0,0
1994-02-23,4.84,4.84,4.68,4.71,48100,0.0,0
1994-02-24,4.68,4.81,4.63,4.68,48500,0.0,0
1994-02-25,4.63,4.63,4.58,4.61,36000,0.0,0
1994-02-28,4.66,4.66,4.53,4.56,14500,0.0,0
1994-03-01,4.56,4.68,4.53,4.63,74900,0.0,0
1994-03-02,4.68,4.79,4.63,4.74,21700,0.0,0
1994-03-03,4.74,4.74,4.63,4.63,8600,0.0,0
1994-03-04,4.68,4.68,4.58,4.63,5000,0.0,0
1994-03-07,4.58,4.66,4.58,4.61,13200,0.0,0
1994-03-08,4.58,4.58,4.48,4.56,9800,0.0,0
1994-03-09,4.56,4.56,4.53,4.53,38700,0.0,0
1994-03-10,4.51,4.53,4.48,4.53,28800,0.0,0
1994-03-11,4.46,4.46,4.43,4.43,5800,0.0,0
1994-03-14,4.43,4.79,4.43,4.68,59900,0.0,0
1994-03-15,4.74,4.74,4.61,4.61,4400,0.0,0
1994-03-16,4.63,4.74,4.63,4.71,10800,0.0,0
1994-03-17,4.68,4.74,4.68,4.74,18900,0.0,0
1994-03-18,4.76,4.76,4.68,4.68,7400,0.0,0
1994-03-21,4.68,4.68,4.66,4.68,4100,0.0,0
1994-03-22,4.66,4.76,4.66,4.68,33600,0.0,0
1994-03-23,4.71,4.74,4.68,4.71,1900,0.0,0
1994-03-24,4.74,4.84,4.74,4.84,18400,0.0,0
1994-03-25,4.79,4.84,4.79,4.79,5300,0.0,0
1994-03-28,4.76,4.76,4.68,4.74,11500,0.0,0
1994-03-29,4.81,4.81,4.68,4.68,4200,0.0,0
1994-03-30,4.66,4.66,4.63,4.66,20600,0.0,0
1994-03-31,4.63,4.66,4.63,4.66,14200,0.0,0
1994-04-04,4.63,4.66,4.58,4.58,29900,0.0,0
1994-04-05,4.63,4.66,4.58,4.66,1500,0.0,0
1994-04-06,4.66,4.66,4.63,4.66,5100,0.0,0
1994-04-07,4.68,4.74,4.68,4.71,3800,0.0,0
1994-04-08,4.74,4.74,4.66,4.71,9900,0.0,0
1994-04-11,4.71,4.74,4.71,4.74,900,0.0,0
1994-04-12,4.68,4.68,4.68,4.68,1600,0.0,0
1994-04-13,4.74,4.74,4.68,4.68,7100,0.0,0
1994-04-14,4.71,4.71,4.68,4.71,1300,0.0,0
1994-04-15,4.71,4.79,4.68,4.79,10800,0.0,0
1994-04-18,4.74,4.76,4.71,4.71,9900,0.0,0
1994-04-19,4.68,4.71,4.66,4.66,40200,0.0,0
1994-04-20,4.66,4.66,4.61,4.61,22400,0.0,0
1994-04-21,4.66,4.71,4.66,4.71,4400,0.0,0
1994-04-22,4.68,4.84,4.66,4.84,72100,0.0,0
1994-04-25,4.89,4.91,4.84,4.84,19200,0.0,0
1994-04-26,4.86,4.89,4.86,4.89,1100,0.26,0
1994-04-28,4.89,4.99,4.89,4.97,4000,0.0,0
1994-04-29,4.97,5.02,4.97,4.97,6200,0.0,0
1994-05-02,5.02,5.02,4.97,5.02,5700,0.0,0
1994-05-03,4.99,5.04,4.99,4.99,2900,0.0,0
1994-05-04,5.02,5.04,4.91,5.04,10600,0.0,0
1994-05-05,5.09,5.25,5.09,5.19,19800,0.0,0
1994-05-06,5.14,5.14,5.12,5.14,8600,0.0,0
1994-05-09,5.17,5.17,5.12,5.12,10900,0.0,0
1994-05-10,5.17,5.19,5.12,5.17,19000,0.0,0
1994-05-11,5.17,5.25,5.17,5.22,5000,0.0,0
1994-05-12,5.25,5.25,5.19,5.19,10100,0.0,0
1994-05-13,5.19,5.25,5.19,5.25,9000,0.0,0
1994-05-16,5.22,5.25,5.22,5.22,4100,0.0,0
1994-05-17,5.25,5.25,5.22,5.25,4400,0.0,0
1994-05-18,5.25,5.25,5.14,5.14,35400,0.0,0
1994-05-19,5.17,5.17,5.14,5.14,22900,0.0,0
1994-05-20,5.17,5.17,5.14,5.14,2500,0.0,0
1994-05-23,5.09,5.09,4.99,4.99,18200,0.0,0
1994-05-24,4.97,4.97,4.89,4.91,32100,0.0,0
1994-05-25,4.94,5.02,4.94,5.02,14900,0.0,0
1994-05-26,5.04,5.09,5.04,5.09,15300,0.0,0
1994-05-27,5.09,5.09,5.04,5.07,2700,0.0,0
1994-05-31,5.07,5.09,5.04,5.09,15600,0.0,0
1994-06-01,5.09,5.09,5.07,5.09,4000,0.0,0
1994-06-02,5.07,5.09,5.07,5.09,10500,0.0,0
1994-06-03,5.09,5.09,5.07,5.07,14500,0.0,0
1994-06-06,5.09,5.09,4.99,5.07,21900,0.0,0
1994-06-07,5.02,5.07,5.02,5.07,15600,0.0,0
1994-06-08,5.04,5.07,5.04,5.07,5500,0.0,0
1994-06-09,5.04,5.09,5.02,5.09,10600,0.0,0
1994-06-10,5.14,5.17,5.09,5.09,13800,0.0,0
1994-06-13,5.09,5.14,5.09,5.14,7800,0.0,0
1994-06-14,5.12,5.19,5.12,5.14,5100,0.0,0
1994-06-15,5.17,5.22,5.09,5.22,16200,0.0,0
1994-06-16,5.27,5.4,5.27,5.35,4100,0.0,0
1994-06-17,5.3,5.32,5.3,5.32,7100,0.0,0
1994-06-20,5.3,5.37,5.3,5.37,900,0.0,0
1994-06-21,5.32,5.42,5.32,5.42,5400,0.0,0
1994-06-22,5.37,5.5,5.37,5.42,4200,0.0,0
1994-06-23,5.45,5.45,5.37,5.37,70900,0.0,0
1994-06-24,5.37,5.42,5.3,5.3,13100,0.0,0
1994-06-27,5.3,5.35,5.3,5.32,18000,0.0,0
1994-06-28,5.3,5.3,5.3,5.3,1900,0.0,0
1994-06-29,5.25,5.25,5.19,5.19,20900,0.0,0
1994-06-30,5.14,5.17,5.02,5.09,32200,0.0,0
1994-07-01,5.09,5.09,5.09,5.09,800,0.0,0
1994-07-05,5.09,5.09,5.09,5.09,1300,0.0,0
1994-07-06,5.09,5.09,5.04,5.07,26500,0.0,0
1994-07-07,5.07,5.07,5.04,5.04,12500,0.0,0
1994-07-08,5.04,5.09,5.04,5.04,10600,0.0,0
1994-07-11,5.04,5.04,4.97,4.97,3100,0.0,0
1994-07-12,4.99,5.04,4.99,5.04,8000,0.0,0
1994-07-13,5.04,5.22,5.04,5.22,3900,0.0,0
1994-07-14,5.17,5.3,5.12,5.3,6800,0.0,0
1994-07-15,5.35,5.47,5.32,5.42,6500,0.0,0
1994-07-18,5.47,5.49,5.44,5.44,2000,0.45,0
1994-07-19,5.39,5.47,5.39,5.41,2100,0.0,0
1994-07-20,5.39,5.39,5.31,5.36,6100,0.0,0
1994-07-21,5.31,5.34,5.26,5.34,2100,0.0,0
1994-07-22,5.34,5.34,5.28,5.34,1700,0.0,0
1994-07-25,5.34,5.34,5.34,5.34,400,0.0,0
1994-07-26,5.34,5.39,5.28,5.28,4400,0.0,0
1994-07-27,5.26,5.26,5.18,5.23,4800,0.0,0
1994-07-28,5.18,5.18,5.13,5.15,11400,0.0,0
1994-07-29,5.15,5.15,5.02,5.08,9200,0.0,0
1994-08-01,5.13,5.21,5.1,5.15,4400,0.0,0
1994-08-02,5.1,5.15,5.1,5.13,900,0.0,0
1994-08-03,5.18,5.21,5.13,5.18,4900,0.0,0
1994-08-04,5.13,5.21,5.13,5.21,4600,0.0,0
1994-08-05,5.26,5.34,5.23,5.28,4100,0.0,0
1994-08-08,5.23,5.28,5.23,5.28,2700,0.0,0
1994-08-09,5.28,5.31,5.23,5.23,1700,0.0,0
1994-08-10,5.23,5.31,5.23,5.23,14200,0.0,0
1994-08-11,5.26,5.26,5.26,5.26,300,0.0,0
1994-08-12,5.31,5.34,5.31,5.34,2100,0.0,0
1994-08-15,5.31,5.31,5.15,5.18,9800,0.0,0
1994-08-16,5.13,5.21,5.13,5.21,15600,0.0,0
1994-08-17,5.26,5.28,5.21,5.23,19300,0.0,0
1994-08-18,5.21,5.23,5.08,5.15,29200,0.0,0
1994-08-19,5.02,5.15,5.0,5.08,764300,0.0,0
1994-08-22,5.08,5.08,5.02,5.02,48900,0.0,0
1994-08-23,5.0,5.08,5.0,5.05,72900,0.0,0
1994-08-24,5.08,5.13,5.08,5.08,58500,0.0,0
1994-08-25,5.1,5.13,5.08,5.13,64900,0.0,0
1994-08-26,5.15,5.26,5.15,5.18,36900,0.0,0
1994-08-29,5.15,5.18,5.13,5.18,20400,0.0,0
1994-08-30,5.18,5.18,5.15,5.18,6000,0.0,0
1994-08-31,5.13,5.18,5.02,5.08,16800,0.0,0
1994-09-01,5.05,5.15,5.05,5.08,18800,0.0,0
1994-09-02,5.02,5.1,5.02,5.08,26200,0.0,0
1994-09-06,5.08,5.13,5.08,5.08,8100,0.0,0
1994-09-07,5.1,5.13,5.08,5.08,5000,0.0,0
1994-09-08,5.1,5.1,5.02,5.05,9200,0.0,0
1994-09-09,5.05,5.15,5.05,5.15,68400,0.0,0
1994-09-12,5.15,5.15,5.1,5.13,7800,0.0,0
1994-09-13,5.15,5.15,5.13,5.15,33200,0.0,0
1994-09-14,5.18,5.18,5.1,5.13,42900,0.0,0
1994-09-15,5.15,5.15,5.13,5.15,52400,0.0,0
1994-09-16,5.13,5.15,5.13,5.15,4800,0.0,0
1994-09-19,5.18,5.18,5.13,5.15,11200,0.0,0
1994-09-20,5.15,5.15,5.1,5.13,8100,0.0,0
1994-09-21,5.13,5.13,5.1,5.1,36200,0.0,0
1994-09-22,5.13,5.13,5.05,5.1,11100,0.0,0
1994-09-23,5.1,5.1,5.08,5.1,17500,0.0,0
1994-09-26,5.08,5.1,5.08,5.1,5400,0.0,0
1994-09-27,5.1,5.1,5.08,5.08,1800,0.0,0
1994-09-28,5.1,5.13,5.08,5.1,5200,0.0,0
1994-09-29,5.1,5.1,5.08,5.1,14600,0.0,0
