Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.07,1.05,1.05,181100,0.0,0.0
1980-03-18,0.0,1.08,1.05,1.08,42700,0.0,0.0
1980-03-19,0.0,1.09,1.07,1.07,40900,0.0,0.0
1980-03-20,0.0,1.09,1.07,1.07,545300,0.0,0.0
1980-03-21,0.0,1.06,1.04,1.05,29100,0.0,0.0
1980-03-24,0.0,1.04,1.01,1.01,247600,0.0,0.0
1980-03-25,0.0,1.04,1.01,1.04,78200,0.0,0.0
1980-03-26,0.0,1.03,1.01,1.01,217500,0.0,0.0
1980-03-27,0.0,1.0,0.95,0.95,201100,0.0,0.0
1980-03-28,0.0,0.98,0.96,0.97,120100,0.0,0.0
1980-03-31,0.0,1.01,0.98,0.98,91900,0.0,0.0
1980-04-01,0.0,1.0,0.98,1.0,159300,0.0,0.0
1980-04-02,0.0,1.01,0.98,1.01,203900,0.0,0.0
1980-04-03,0.0,1.01,1.0,1.01,38200,0.0,0.0
1980-04-07,0.0,1.01,1.0,1.01,82800,0.0,0.0
1980-04-08,0.0,1.03,1.0,1.03,50000,0.0,0.0
1980-04-09,0.0,1.04,1.01,1.03,55500,0.0,0.0
1980-04-10,0.0,1.05,1.03,1.05,17200,0.0,0.0
1980-04-11,0.0,1.1,1.07,1.08,39100,0.0,0.0
1980-04-14,0.0,1.1,1.07,1.07,756500,0.0,0.0
1980-04-15,0.0,1.07,1.06,1.07,303100,0.0,0.0
1980-04-16,0.0,1.09,1.06,1.07,390500,0.0,0.0
1980-04-17,0.0,1.08,1.04,1.04,446000,0.0,0.0
1980-04-18,0.0,1.04,1.03,1.04,200200,0.0,0.0
1980-04-21,0.0,1.04,1.02,1.04,69100,0.0,0.0
1980-04-22,0.0,1.04,1.03,1.03,358600,0.0,0.0
1980-04-23,0.0,1.04,1.02,1.03,69100,0.0,0.0
1980-04-24,0.0,1.05,1.02,1.05,62800,0.0,0.0
1980-04-25,0.0,1.05,1.03,1.04,21800,0.0,0.0
1980-04-28,0.0,1.05,1.04,1.05,77300,0.0,0.0
1980-04-29,0.0,1.07,1.04,1.07,185700,0.0,0.0
1980-04-30,0.0,1.07,1.04,1.04,99200,0.0,0.0
1980-05-01,0.0,1.07,1.05,1.05,196600,0.0,0.0
1980-05-02,0.0,1.06,1.04,1.04,150200,0.0,0.0
1980-05-05,0.0,1.07,1.04,1.07,414200,0.0,0.0
1980-05-06,0.0,1.13,1.07,1.12,171100,0.0,0.0
1980-05-07,0.0,1.15,1.11,1.15,213000,0.0,0.0
1980-05-08,0.0,1.18,1.16,1.17,60900,0.0,0.0
1980-05-09,0.0,1.21,1.19,1.2,173800,0.0,0.0
1980-05-12,0.0,1.2,1.18,1.19,90100,0.0,0.0
1980-05-13,0.0,1.19,1.16,1.19,120100,0.0,0.0
1980-05-14,0.0,1.18,1.13,1.13,205700,0.0,0.0
1980-05-15,0.0,1.15,1.13,1.13,167500,0.0,0.0
1980-05-16,0.0,1.14,1.12,1.14,436900,0.0,0.0
1980-05-19,0.0,1.16,1.13,1.15,162000,0.0,0.0
1980-05-20,0.0,1.19,1.15,1.18,82800,0.0,0.0
1980-05-21,0.0,1.24,1.17,1.21,279400,0.0,0.0
1980-05-22,0.0,1.22,1.2,1.22,32700,0.0,0.0
1980-05-23,0.0,1.24,1.22,1.23,97400,0.0,0.0
1980-05-27,0.0,1.24,1.21,1.21,45500,0.0,0.0
1980-05-28,0.0,1.24,1.19,1.24,111000,0.0,0.0
1980-05-29,0.0,1.26,1.24,1.24,147400,0.0,0.0
1980-05-30,0.0,1.27,1.24,1.27,620800,0.0,0.0
1980-06-02,0.0,1.28,1.26,1.26,150200,0.0,0.0
1980-06-03,0.0,1.28,1.25,1.26,196600,0.0,0.0
1980-06-04,0.0,1.3,1.25,1.3,138300,0.0,0.0
1980-06-05,0.0,1.36,1.3,1.36,329500,0.0,0.0
1980-06-06,0.0,1.37,1.33,1.33,506100,0.0,0.0
1980-06-09,0.0,1.34,1.33,1.33,585300,0.0,0.0
1980-06-10,0.0,1.34,1.32,1.32,63700,0.0,0.0
1980-06-11,0.0,1.33,1.31,1.33,1214400,0.0,0.0
1980-06-12,0.0,1.33,1.31,1.33,583500,0.0,0.0
1980-06-13,0.0,1.31,1.3,1.31,991400,0.0,0.0
1980-06-16,0.0,1.31,1.28,1.29,243000,0.0,0.0
1980-06-17,0.0,1.29,1.27,1.27,71900,0.0,0.0
1980-06-18,0.0,1.27,1.23,1.27,127400,0.0,0.0
1980-06-19,0.0,1.28,1.27,1.27,457900,0.0,0.0
1980-06-20,0.0,1.27,1.25,1.25,140200,0.0,0.0
1980-06-23,0.0,1.27,1.24,1.26,116500,0.0,0.0
1980-06-24,0.0,1.28,1.26,1.28,35500,0.0,0.0
1980-06-25,0.0,1.31,1.27,1.28,173800,0.0,0.0
1980-06-26,0.0,1.3,1.29,1.3,252100,0.0,0.0
1980-06-27,0.0,1.3,1.29,1.3,41800,0.0,0.0
1980-06-30,0.0,1.3,1.27,1.3,40900,0.0,0.0
1980-07-01,0.0,1.34,1.28,1.34,142900,0.0,0.0
1980-07-02,0.0,1.34,1.32,1.34,788400,0.0,0.0
1980-07-03,0.0,1.34,1.32,1.33,322200,0.0,0.0
1980-07-07,0.0,1.34,1.32,1.34,29100,0.0,0.0
1980-07-08,0.0,1.34,1.33,1.34,67300,0.0,0.0
1980-07-09,0.0,1.35,1.31,1.34,485200,0.0,0.0
1980-07-10,0.0,1.34,1.33,1.34,181100,0.0,0.0
1980-07-11,0.0,1.34,1.33,1.34,115600,0.0,0.0
1980-07-14,0.0,1.36,1.34,1.36,278500,0.0,0.0
