Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-02,0.0,0.17,0.17,0.17,947200,0.0,0.0
1973-05-03,0.0,0.18,0.17,0.17,1497600,0.0,0.0
1973-05-04,0.0,0.19,0.19,0.19,2316800,0.0,0.0
1973-05-07,0.0,0.19,0.18,0.18,793600,0.0,0.0
1973-05-08,0.0,0.19,0.19,0.19,1331200,0.0,0.0
1973-05-09,0.0,0.19,0.18,0.18,1049600,0.0,0.0
1973-05-10,0.0,0.19,0.18,0.18,1292800,0.0,0.0
1973-05-11,0.0,0.18,0.17,0.17,1100800,0.0,0.0
1973-05-14,0.0,0.16,0.16,0.16,2355200,0.0,0.0
1973-05-15,0.0,0.17,0.17,0.17,1395200,0.0,0.0
1973-05-16,0.0,0.18,0.18,0.18,1344000,0.0,0.0
1973-05-17,0.0,0.18,0.17,0.17,2726400,0.0,0.0
1973-05-18,0.0,0.17,0.16,0.16,1459200,0.0,0.0
1973-05-21,0.0,0.16,0.16,0.16,1766400,0.0,0.0
1973-05-22,0.0,0.17,0.17,0.17,1702400,0.0,0.0
1973-05-23,0.0,0.17,0.17,0.17,1472000,0.0,0.0
1973-05-24,0.0,0.18,0.17,0.17,1216000,0.0,0.0
1973-05-25,0.0,0.19,0.18,0.18,2009600,0.0,0.0
1973-05-29,0.0,0.19,0.18,0.18,844800,0.0,0.0
1973-05-30,0.0,0.18,0.17,0.17,1766400,0.0,0.0
1973-05-31,0.0,0.18,0.17,0.17,1331200,0.0,0.0
1973-06-01,0.0,0.18,0.17,0.17,1024000,0.0,0.0
1973-06-04,0.0,0.17,0.16,0.16,1676800,0.0,0.0
1973-06-05,0.0,0.18,0.17,0.17,2265600,0.0,0.0
1973-06-06,0.0,0.18,0.17,0.17,3340800,0.0,0.0
1973-06-07,0.0,0.18,0.18,0.18,1254400,0.0,0.0
1973-06-08,0.0,0.19,0.18,0.18,1497600,0.0,0.0
1973-06-11,0.0,0.18,0.18,0.18,729600,0.0,0.0
1973-06-12,0.0,0.19,0.19,0.19,793600,0.0,0.0
1973-06-13,0.0,0.19,0.19,0.19,755200,0.0,0.0
1973-06-14,0.0,0.19,0.19,0.19,1280000,0.0,0.0
1973-06-15,0.0,0.19,0.19,0.19,3020800,0.0,0.0
1973-06-18,0.0,0.19,0.19,0.19,896000,0.0,0.0
1973-06-19,0.0,0.18,0.18,0.18,2534400,0.0,0.0
1973-06-20,0.0,0.18,0.18,0.18,819200,0.0,0.0
1973-06-21,0.0,0.18,0.17,0.17,1536000,0.0,0.0
