Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-05-02,0.0,2.82,2.58,2.58,800,0.0,0.0
1988-05-03,0.0,2.94,2.58,2.58,400,0.0,0.0
1988-05-04,0.0,2.94,2.58,2.58,2800,0.0,0.0
1988-05-05,2.58,2.58,2.58,2.58,0,0.0,0.0
1988-05-06,0.0,2.94,2.58,2.58,800,0.0,0.0
1988-05-09,0.0,2.94,2.58,2.58,400,0.0,0.0
1988-05-10,0.0,2.94,2.58,2.58,0,0.0,0.0
1988-05-11,0.0,2.94,2.58,2.58,2000,0.0,0.0
1988-05-12,0.0,2.82,2.58,2.58,0,0.0,0.0
1988-05-13,2.58,2.58,2.58,2.58,0,0.0,0.0
1988-05-16,0.0,2.82,2.58,2.58,0,0.0,0.0
1988-05-17,2.58,2.58,2.58,2.58,0,0.0,0.0
1988-05-18,0.0,2.82,2.58,2.58,7200,0.0,0.0
1988-05-19,0.0,2.7,2.47,2.47,2400,0.0,0.0
1988-05-20,0.0,2.7,2.47,2.47,1600,0.0,0.0
1988-05-23,2.47,2.47,2.47,2.47,0,0.0,0.0
1988-05-24,2.47,2.47,2.47,2.47,0,0.0,0.0
1988-05-25,0.0,2.7,2.53,2.53,800,0.0,0.0
1988-05-26,2.53,2.53,2.53,2.53,0,0.0,0.0
1988-05-27,0.0,2.76,2.58,2.58,8000,0.0,0.0
1988-05-31,2.58,2.58,2.58,2.58,0,0.0,0.0
1988-06-01,0.0,2.76,2.58,2.58,400,0.0,0.0
1988-06-02,0.0,2.76,2.58,2.58,400,0.0,0.0
1988-06-03,0.0,3.05,2.7,2.7,1600,0.0,0.0
1988-06-06,0.0,3.05,2.7,2.7,4400,0.0,0.0
1988-06-07,2.7,2.7,2.7,2.7,0,0.0,0.0
1988-06-08,0.0,3.05,2.76,2.76,2800,0.0,0.0
1988-06-09,0.0,3.05,2.76,2.76,0,0.0,0.0
1988-06-10,0.0,3.05,2.76,2.76,2000,0.0,0.0
1988-06-13,2.76,2.76,2.76,2.76,0,0.0,0.0
1988-06-14,0.0,3.05,2.76,2.76,400,0.0,0.0
1988-06-15,2.76,2.76,2.76,2.76,0,0.0,0.0
