Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.36,0.36,0.36,0.36,118400,0.0,0.0
1973-02-22,0.36,0.36,0.36,0.36,35200,0.0,0.0
1973-02-23,0.36,0.36,0.36,0.36,35200,0.0,0.0
1973-02-26,0.36,0.36,0.36,0.36,89600,0.0,0.0
1973-02-27,0.35,0.35,0.35,0.35,12800,0.0,0.0
1973-02-28,0.35,0.35,0.35,0.35,83200,0.0,0.0
1973-03-01,0.33,0.33,0.33,0.33,179200,0.0,0.0
1973-03-02,0.32,0.32,0.32,0.32,144000,0.0,0.0
1973-03-05,0.32,0.32,0.32,0.32,35200,0.0,0.0
1973-03-06,0.33,0.33,0.33,0.33,188800,0.0,0.0
1973-03-07,0.34,0.34,0.34,0.34,35200,0.0,0.0
1973-03-08,0.34,0.34,0.34,0.34,128000,0.0,0.0
1973-03-09,0.33,0.33,0.33,0.33,70400,0.0,0.0
1973-03-12,0.32,0.32,0.32,0.32,44800,0.0,0.0
1973-03-13,0.32,0.32,0.32,0.32,144000,0.0,0.0
1973-03-14,0.31,0.31,0.31,0.31,140800,0.0,0.0
1973-03-15,0.29,0.29,0.29,0.29,131200,0.0,0.0
1973-03-16,0.27,0.27,0.27,0.27,86400,0.0,0.0
1973-03-19,0.27,0.27,0.27,0.27,112000,0.0,0.0
1973-03-20,0.29,0.29,0.29,0.29,102400,0.0,0.0
1973-03-21,0.29,0.29,0.29,0.29,115200,0.0,0.0
1973-03-22,0.3,0.3,0.3,0.3,99200,0.0,0.0
1973-03-23,0.32,0.32,0.32,0.32,156800,0.0,0.0
1973-03-26,0.32,0.32,0.32,0.32,108800,0.0,0.0
1973-03-27,0.32,0.32,0.32,0.32,25600,0.0,0.0
1973-03-28,0.32,0.32,0.32,0.32,22400,0.0,0.0
1973-03-29,0.33,0.33,0.33,0.33,118400,0.0,0.0
1973-03-30,0.33,0.33,0.33,0.33,41600,0.0,0.0
1973-04-02,0.33,0.33,0.33,0.33,6400,0.0,0.0
1973-04-03,0.33,0.33,0.33,0.33,41600,0.0,0.0
1973-04-04,0.33,0.33,0.33,0.33,76800,0.0,0.0
1973-04-05,0.32,0.32,0.32,0.32,44800,0.0,0.0
1973-04-06,0.32,0.32,0.32,0.32,57600,0.0,0.0
1973-04-09,0.32,0.32,0.32,0.32,32000,0.0,0.0
1973-04-10,0.32,0.32,0.32,0.32,115200,0.0,0.0
1973-04-11,0.32,0.32,0.32,0.32,51200,0.0,0.0
1973-04-12,0.32,0.32,0.32,0.32,268800,0.0,0.0
1973-04-13,0.32,0.32,0.32,0.32,19200,0.0,0.0
1973-04-16,0.32,0.32,0.32,0.32,22400,0.0,0.0
1973-04-17,0.32,0.32,0.32,0.32,115200,0.0,0.0
1973-04-18,0.32,0.32,0.32,0.32,57600,0.0,0.0
1973-04-19,0.32,0.32,0.32,0.32,67200,0.0,0.0
1973-04-23,0.32,0.32,0.32,0.32,163200,0.0,0.0
1973-04-24,0.31,0.31,0.31,0.31,140800,0.0,0.0
1973-04-25,0.3,0.3,0.3,0.3,89600,0.0,0.0
1973-04-26,0.3,0.3,0.3,0.3,25600,0.0,0.0
1973-04-27,0.3,0.3,0.3,0.3,28800,0.0,0.0
1973-04-30,0.3,0.3,0.3,0.3,60800,0.0,0.0
1973-05-01,0.3,0.3,0.3,0.3,64000,0.0,0.0
1973-05-02,0.3,0.3,0.3,0.3,48000,0.0,0.0
1973-05-03,0.29,0.29,0.28,0.28,115200,0.0,0.0
1973-05-04,0.28,0.29,0.28,0.28,121600,0.0,0.0
1973-05-07,0.28,0.29,0.28,0.28,38400,0.0,0.0
1973-05-08,0.29,0.3,0.29,0.29,54400,0.0,0.0
1973-05-09,0.29,0.3,0.29,0.29,80000,0.0,0.0
1973-05-10,0.29,0.3,0.29,0.29,80000,0.0,0.0
1973-05-11,0.29,0.3,0.29,0.29,19200,0.0,0.0
1973-05-14,0.29,0.3,0.29,0.29,80000,0.0,0.0
1973-05-15,0.29,0.29,0.28,0.28,60800,0.0,0.0
1973-05-16,0.28,0.29,0.28,0.28,89600,0.0,0.0
1973-05-17,0.28,0.29,0.28,0.28,22400,0.0,0.0
1973-05-18,0.28,0.28,0.27,0.27,150400,0.0,0.0
1973-05-21,0.26,0.26,0.25,0.25,147200,0.0,0.0
1973-05-22,0.26,0.27,0.26,0.26,67200,0.0,0.0
1973-05-23,0.26,0.27,0.26,0.26,32000,0.0,0.0
1973-05-24,0.26,0.28,0.26,0.26,102400,0.0,0.0
1973-05-25,0.27,0.28,0.27,0.27,451200,0.0,0.0
1973-05-29,0.27,0.28,0.27,0.27,35200,0.0,0.0
1973-05-30,0.27,0.28,0.27,0.27,51200,0.0,0.0
1973-05-31,0.27,0.29,0.27,0.27,25600,0.0,0.0
1973-06-01,0.27,0.29,0.27,0.27,44800,0.0,0.0
1973-06-04,0.27,0.29,0.27,0.27,118400,0.0,0.0
1973-06-05,0.27,0.29,0.27,0.27,35200,0.0,0.0
1973-06-06,0.27,0.28,0.27,0.27,44800,0.0,0.0
1973-06-07,0.27,0.29,0.27,0.27,89600,0.0,0.0
1973-06-08,0.28,0.29,0.28,0.28,92800,0.0,0.0
1973-06-11,0.28,0.28,0.27,0.27,57600,0.0,0.0
1973-06-12,0.27,0.28,0.27,0.27,156800,0.0,0.0
1973-06-13,0.27,0.27,0.26,0.26,28800,0.0,0.0
1973-06-14,0.26,0.27,0.26,0.26,54400,0.0,0.0
1973-06-15,0.26,0.27,0.26,0.26,73600,0.0,0.0
1973-06-18,0.26,0.26,0.25,0.25,76800,0.0,0.0
1973-06-19,0.25,0.25,0.24,0.24,92800,0.0,0.0
1973-06-20,0.24,0.25,0.24,0.24,105600,0.0,0.0
1973-06-21,0.24,0.25,0.24,0.24,86400,0.0,0.0
1973-06-22,0.25,0.26,0.25,0.25,48000,0.0,0.0
1973-06-25,0.25,0.26,0.25,0.25,19200,0.0,0.0
1973-06-26,0.25,0.26,0.25,0.25,89600,0.0,0.0
1973-06-27,0.26,0.26,0.26,0.26,92800,0.0,0.0
1973-06-28,0.26,0.26,0.25,0.25,64000,0.0,0.0
1973-06-29,0.25,0.26,0.25,0.25,38400,0.0,0.0
1973-07-02,0.25,0.26,0.25,0.25,6400,0.0,0.0
1973-07-03,0.25,0.26,0.25,0.25,32000,0.0,0.0
1973-07-05,0.25,0.26,0.25,0.25,192000,0.0,0.0
1973-07-06,0.25,0.26,0.25,0.25,38400,0.0,0.0
1973-07-09,0.25,0.26,0.25,0.25,3200,0.0,0.0
1973-07-10,0.25,0.26,0.25,0.25,28800,0.0,0.0
1973-07-11,0.25,0.26,0.25,0.25,60800,0.0,0.0
1973-07-12,0.26,0.27,0.26,0.26,252800,0.0,0.0
1973-07-13,0.26,0.27,0.26,0.26,105600,0.0,0.0
1973-07-16,0.26,0.27,0.26,0.26,67200,0.0,0.0
1973-07-17,0.26,0.27,0.26,0.26,54400,0.0,0.0
1973-07-18,0.26,0.27,0.26,0.26,51200,0.0,0.0
1973-07-19,0.26,0.27,0.26,0.26,41600,0.0,0.0
1973-07-20,0.26,0.27,0.26,0.26,12800,0.0,0.0
1973-07-23,0.26,0.27,0.26,0.26,41600,0.0,0.0
1973-07-24,0.26,0.27,0.26,0.26,9600,0.0,0.0
1973-07-25,0.26,0.26,0.26,0.26,140800,0.0,0.0
1973-07-26,0.26,0.26,0.26,0.26,54400,0.0,0.0
1973-07-27,0.26,0.27,0.26,0.26,227200,0.0,0.0
1973-07-30,0.26,0.27,0.26,0.26,73600,0.0,0.0
1973-07-31,0.26,0.27,0.26,0.26,70400,0.0,0.0
1973-08-01,0.26,0.27,0.26,0.26,867200,0.0,0.0
1973-08-02,0.26,0.27,0.26,0.26,70400,0.0,0.0
1973-08-03,0.26,0.27,0.26,0.26,54400,0.0,0.0
1973-08-06,0.26,0.27,0.26,0.26,28800,0.0,0.0
1973-08-07,0.26,0.27,0.26,0.26,99200,0.0,0.0
1973-08-08,0.26,0.27,0.26,0.26,16000,0.0,0.0
1973-08-09,0.26,0.27,0.26,0.26,16000,0.0,0.0
1973-08-10,0.26,0.27,0.26,0.26,60800,0.0,0.0
1973-08-13,0.26,0.27,0.26,0.26,64000,0.0,0.0
1973-08-14,0.26,0.27,0.26,0.26,32000,0.0,0.0
1973-08-15,0.26,0.27,0.26,0.26,54400,0.0,0.0
1973-08-16,0.26,0.27,0.26,0.26,28800,0.0,0.0
1973-08-17,0.26,0.27,0.26,0.26,249600,0.0,0.0
1973-08-20,0.26,0.27,0.26,0.26,38400,0.0,0.0
1973-08-21,0.26,0.27,0.26,0.26,83200,0.0,0.0
1973-08-22,0.26,0.27,0.26,0.26,57600,0.0,0.0
1973-08-23,0.26,0.27,0.26,0.26,16000,0.0,0.0
1973-08-24,0.26,0.27,0.26,0.26,134400,0.0,0.0
1973-08-27,0.26,0.27,0.26,0.26,22400,0.0,0.0
1973-08-28,0.26,0.27,0.26,0.26,12800,0.0,0.0
1973-08-29,0.26,0.27,0.26,0.26,54400,0.0,0.0
1973-08-30,0.26,0.27,0.26,0.26,169600,0.0,0.0
1973-08-31,0.27,0.27,0.27,0.27,67200,0.0,0.0
1973-09-04,0.27,0.27,0.27,0.27,48000,0.0,0.0
1973-09-05,0.27,0.27,0.27,0.27,22400,0.0,0.0
1973-09-06,0.27,0.27,0.27,0.27,25600,0.0,0.0
1973-09-07,0.27,0.27,0.26,0.26,32000,0.0,0.0
1973-09-10,0.26,0.27,0.26,0.26,76800,0.0,0.0
1973-09-11,0.26,0.27,0.26,0.26,9600,0.0,0.0
1973-09-12,0.26,0.26,0.26,0.26,121600,0.0,0.0
1973-09-13,0.26,0.26,0.26,0.26,6400,0.0,0.0
1973-09-14,0.26,0.26,0.26,0.26,0,0.0,0.0
1973-09-17,0.26,0.26,0.26,0.26,51200,0.0,0.0
1973-09-18,0.26,0.26,0.25,0.25,51200,0.0,0.0
1973-09-19,0.25,0.26,0.25,0.25,35200,0.0,0.0
1973-09-20,0.26,0.26,0.26,0.26,172800,0.0,0.0
1973-09-21,0.26,0.26,0.26,0.26,60800,0.0,0.0
1973-09-24,0.26,0.26,0.26,0.26,144000,0.0,0.0
1973-09-25,0.26,0.26,0.26,0.26,48000,0.0,0.0
1973-09-26,0.26,0.26,0.26,0.26,99200,0.0,0.0
1973-09-27,0.26,0.26,0.26,0.26,83200,0.0,0.0
1973-09-28,0.26,0.26,0.26,0.26,118400,0.0,0.0
1973-10-01,0.26,0.26,0.25,0.25,108800,0.0,0.0
1973-10-02,0.25,0.26,0.25,0.25,25600,0.0,0.0
1973-10-03,0.25,0.26,0.25,0.25,99200,0.0,0.0
1973-10-04,0.25,0.26,0.25,0.25,102400,0.0,0.0
1973-10-05,0.25,0.26,0.25,0.25,83200,0.0,0.0
1973-10-08,0.25,0.25,0.25,0.25,9600,0.0,0.0
1973-10-09,0.25,0.26,0.25,0.25,16000,0.0,0.0
1973-10-10,0.25,0.25,0.24,0.24,57600,0.0,0.0
1973-10-11,0.24,0.25,0.24,0.24,44800,0.0,0.0
1973-10-12,0.24,0.25,0.24,0.24,76800,0.0,0.0
1973-10-15,0.24,0.24,0.24,0.24,51200,0.0,0.0
1973-10-16,0.24,0.24,0.24,0.24,35200,0.0,0.0
1973-10-17,0.24,0.24,0.24,0.24,44800,0.0,0.0
1973-10-18,0.24,0.24,0.24,0.24,67200,0.0,0.0
1973-10-19,0.24,0.24,0.23,0.23,160000,0.0,0.0
1973-10-22,0.23,0.24,0.23,0.23,51200,0.0,0.0
1973-10-23,0.23,0.24,0.23,0.23,9600,0.0,0.0
1973-10-24,0.23,0.24,0.23,0.23,73600,0.0,0.0
1973-10-25,0.25,0.25,0.25,0.25,80000,0.0,0.0
1973-10-26,0.26,0.26,0.26,0.26,76800,0.0,0.0
1973-10-29,0.26,0.27,0.26,0.26,233600,0.0,0.0
1973-10-30,0.26,0.27,0.26,0.26,92800,0.0,0.0
1973-10-31,0.26,0.27,0.26,0.26,265600,0.0,0.0
1973-11-01,0.26,0.27,0.26,0.26,51200,0.0,0.0
