Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-06-24,13.73,13.87,13.05,13.2,1675400,0.0,0.0
2011-06-27,13.0,13.44,12.96,13.34,895200,0.0,0.0
2011-06-28,13.58,14.17,13.36,13.71,4151800,0.0,0.0
2011-06-29,13.82,14.51,13.71,14.2,3695200,0.0,0.0
2011-06-30,14.41,14.88,14.23,14.67,3025600,0.0,0.0
2011-07-01,14.6,16.8,14.52,14.95,8334200,0.0,0.0
2011-07-05,14.95,15.23,14.75,14.95,11823000,0.0,0.0
2011-07-06,14.74,14.97,14.53,14.84,10983000,0.0,0.0
2011-07-07,14.95,15.33,14.78,14.8,16707600,0.0,0.0
2011-07-08,14.45,15.09,14.35,14.67,16417000,0.0,0.0
2011-07-11,14.45,14.45,14.0,14.21,9495200,0.0,0.0
2011-07-12,14.12,14.52,13.97,14.34,8011200,0.0,0.0
2011-07-13,14.35,14.61,13.9,14.16,11642800,0.0,0.0
2011-07-14,14.16,14.18,13.54,13.69,11528400,0.0,0.0
2011-07-15,13.82,13.98,13.5,13.87,9938400,0.0,0.0
2011-07-18,13.72,14.03,13.37,13.86,8311600,0.0,0.0
2011-07-19,13.91,14.15,13.86,14.08,6423000,0.0,0.0
2011-07-20,14.1,14.15,13.96,14.0,5449000,0.0,0.0
2011-07-21,14.0,14.26,13.85,14.21,7249200,0.0,0.0
2011-07-22,14.27,14.46,14.14,14.37,6645600,0.0,0.0
2011-07-25,14.61,14.92,14.4,14.66,8898600,0.0,0.0
2011-07-26,14.66,15.49,14.62,15.25,11324200,0.0,0.0
2011-07-27,15.24,15.34,14.87,14.9,6998400,0.0,0.0
2011-07-28,15.03,15.21,14.95,15.16,6654600,0.0,0.0
2011-07-29,15.0,15.8,14.87,15.51,10709600,0.0,0.0
2011-08-01,15.96,16.08,15.58,15.93,11518400,0.0,0.0
2011-08-02,15.78,15.91,14.97,15.0,10995600,0.0,0.0
2011-08-03,15.33,16.08,13.82,14.68,13413800,0.0,0.0
2011-08-04,14.42,14.42,13.19,13.61,15377800,0.0,0.0
2011-08-05,13.78,13.89,11.85,13.22,12348600,0.0,0.0
2011-08-08,12.48,12.75,10.44,11.45,16543000,0.0,0.0
2011-08-09,11.72,12.9,11.49,12.79,12054200,0.0,0.0
2011-08-10,12.59,13.05,12.09,12.44,9682600,0.0,0.0
2011-08-11,12.72,13.67,12.55,13.23,8756400,0.0,0.0
2011-08-12,13.32,13.86,13.07,13.25,5906800,0.0,0.0
2011-08-15,13.57,14.2,13.57,14.0,5365400,0.1,0.0
2011-08-16,13.74,14.12,13.65,13.92,6532400,0.0,0.0
2011-08-17,14.19,14.31,13.9,14.0,5627600,0.0,0.0
2011-08-18,13.65,13.79,12.68,13.11,7501400,0.0,0.0
2011-08-19,12.81,13.13,12.4,12.53,9878600,0.0,0.0
2011-08-22,12.83,12.89,11.58,11.66,10774000,0.0,0.0
2011-08-23,11.68,12.43,11.48,12.26,10360000,0.0,0.0
2011-08-24,12.32,12.9,12.07,12.83,6723400,0.0,0.0
2011-08-25,12.96,13.21,12.15,12.31,6376000,0.0,0.0
2011-08-26,12.32,13.16,12.2,12.49,5880400,0.0,0.0
2011-08-29,12.63,13.02,12.55,12.89,4175000,0.0,0.0
2011-08-30,12.85,13.03,12.44,12.9,4385200,0.0,0.0
2011-08-31,13.07,13.41,13.07,13.27,5731000,0.0,0.0
2011-09-01,13.4,13.69,13.22,13.25,4515400,0.0,0.0
2011-09-02,12.83,13.25,12.58,12.68,3594200,0.0,0.0
2011-09-06,12.26,12.68,11.92,12.53,5723400,0.0,0.0
2011-09-07,12.74,13.22,12.62,12.99,5212200,0.0,0.0
2011-09-08,12.95,13.66,12.74,13.51,4086600,0.0,0.0
2011-09-09,13.11,13.53,12.87,13.02,5889000,0.0,0.0
2011-09-12,12.65,13.21,12.49,13.13,3919200,0.0,0.0
2011-09-13,13.03,13.12,12.33,12.65,7147000,0.0,0.0
2011-09-14,12.62,12.64,12.34,12.54,7640600,0.0,0.0
