Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1970-01-02,0.36,0.36,0.35,0.35,475200,0.0,0.0
1970-01-05,0.35,0.35,0.35,0.35,669600,0.0,0.0
1970-01-06,0.35,0.35,0.35,0.35,568800,0.0,0.0
1970-01-07,0.35,0.36,0.35,0.35,892800,0.0,0.0
1970-01-08,0.35,0.35,0.35,0.35,496800,0.0,0.0
1970-01-09,0.35,0.36,0.35,0.35,1634400,0.0,0.0
1970-01-12,0.35,0.35,0.35,0.35,648000,0.0,0.0
1970-01-13,0.35,0.35,0.35,0.35,1159200,0.0,0.0
1970-01-14,0.35,0.35,0.35,0.35,525600,0.0,0.0
1970-01-15,0.35,0.35,0.35,0.35,1058400,0.0,0.0
1970-01-16,0.35,0.35,0.35,0.35,1720800,0.0,0.0
1970-01-19,0.35,0.35,0.34,0.34,3110400,0.0,0.0
1970-01-20,0.34,0.35,0.34,0.35,871200,0.0,0.0
1970-01-21,0.35,0.35,0.35,0.35,1044000,0.0,0.0
1970-01-22,0.35,0.35,0.34,0.35,792000,0.0,0.0
1970-01-23,0.35,0.35,0.34,0.35,972000,0.0,0.0
1970-01-26,0.34,0.34,0.33,0.33,1252800,0.0,0.0
1970-01-27,0.33,0.33,0.33,0.33,1605600,0.0,0.0
1970-01-28,0.33,0.33,0.33,0.33,914400,0.0,0.0
1970-01-29,0.33,0.33,0.31,0.32,1216800,0.0,0.0
1970-01-30,0.32,0.33,0.32,0.32,1454400,0.0,0.0
1970-02-02,0.32,0.33,0.32,0.32,813600,0.0,0.0
1970-02-03,0.33,0.35,0.33,0.35,2181600,0.0,0.0
1970-02-04,0.35,0.35,0.33,0.34,1476000,0.0,0.0
1970-02-05,0.34,0.34,0.34,0.34,489600,0.0,0.0
1970-02-06,0.34,0.34,0.34,0.34,302400,0.0,0.0
1970-02-09,0.34,0.34,0.34,0.34,784800,0.0,0.0
1970-02-10,0.34,0.35,0.34,0.34,439200,0.0,0.0
1970-02-11,0.34,0.34,0.34,0.34,367200,0.0,0.0
1970-02-12,0.34,0.35,0.34,0.34,590400,0.0,0.0
1970-02-13,0.35,0.35,0.35,0.35,597600,0.0,0.0
1970-02-16,0.35,0.35,0.35,0.35,698400,0.0,0.0
1970-02-17,0.35,0.35,0.35,0.35,1641600,0.0,0.0
1970-02-18,0.35,0.35,0.34,0.34,1713600,0.0,0.0
1970-02-19,0.34,0.34,0.34,0.34,921600,0.0,0.0
1970-02-20,0.34,0.35,0.34,0.35,1274400,0.0,0.0
1970-02-24,0.35,0.35,0.35,0.35,770400,0.0,0.0
1970-02-25,0.35,0.36,0.35,0.36,1346400,0.0,0.0
1970-02-26,0.36,0.36,0.35,0.35,2030400,0.0,0.0
1970-02-27,0.35,0.35,0.34,0.35,1447200,0.0,0.0
1970-03-02,0.35,0.35,0.34,0.34,583200,0.0,0.0
1970-03-03,0.34,0.34,0.34,0.34,1288800,0.0,0.0
1970-03-04,0.34,0.34,0.34,0.34,792000,0.0,0.0
1970-03-05,0.34,0.34,0.34,0.34,532800,0.0,0.0
1970-03-06,0.34,0.34,0.34,0.34,432000,0.0,0.0
1970-03-09,0.34,0.34,0.33,0.34,669600,0.0,0.0
1970-03-10,0.34,0.34,0.32,0.33,1195200,0.0,0.0
1970-03-11,0.33,0.33,0.33,0.33,979200,0.0,0.0
1970-03-12,0.33,0.33,0.32,0.32,1339200,0.0,0.0
1970-03-13,0.32,0.32,0.31,0.31,3304800,0.0,0.0
1970-03-16,0.31,0.31,0.31,0.31,1706400,0.0,0.0
1970-03-17,0.31,0.31,0.31,0.31,1094400,0.0,0.0
1970-03-18,0.31,0.32,0.31,0.32,1461600,0.0,0.0
1970-03-19,0.32,0.32,0.32,0.32,1216800,0.0,0.0
1970-03-20,0.32,0.32,0.31,0.31,1274400,0.0,0.0
1970-03-23,0.31,0.31,0.31,0.31,482400,0.0,0.0
1970-03-24,0.32,0.32,0.32,0.32,1519200,0.0,0.0
1970-03-25,0.32,0.33,0.32,0.33,1087200,0.0,0.0
1970-03-26,0.33,0.33,0.33,0.33,1051200,0.0,0.0
1970-03-30,0.33,0.33,0.33,0.33,540000,0.0,0.0
1970-03-31,0.33,0.33,0.32,0.32,1137600,0.0,0.0
1970-04-01,0.32,0.33,0.32,0.32,957600,0.0,0.0
1970-04-02,0.32,0.32,0.32,0.32,504000,0.0,0.0
1970-04-03,0.32,0.32,0.32,0.32,1087200,0.0,0.0
1970-04-06,0.32,0.32,0.32,0.32,712800,0.0,0.0
1970-04-07,0.32,0.32,0.31,0.32,705600,0.0,0.0
1970-04-08,0.32,0.32,0.32,0.32,684000,0.0,0.0
1970-04-09,0.32,0.33,0.32,0.32,2959200,0.0,0.0
1970-04-10,0.32,0.32,0.32,0.32,871200,0.0,0.0
1970-04-13,0.32,0.32,0.31,0.31,986400,0.0,0.0
1970-04-14,0.31,0.32,0.31,0.31,1576800,0.0,0.0
1970-04-15,0.31,0.32,0.31,0.32,799200,0.0,0.0
1970-04-16,0.32,0.32,0.31,0.31,1274400,0.0,0.0
1970-04-17,0.31,0.31,0.3,0.31,1591200,0.0,0.0
1970-04-20,0.31,0.31,0.3,0.31,763200,0.0,0.0
1970-04-21,0.31,0.32,0.3,0.31,1101600,0.0,0.0
1970-04-22,0.31,0.31,0.3,0.3,1044000,0.0,0.0
1970-04-23,0.3,0.3,0.29,0.29,1663200,0.0,0.0
1970-04-24,0.29,0.3,0.29,0.3,1166400,0.0,0.0
1970-04-27,0.3,0.3,0.3,0.3,669600,0.0,0.0
1970-04-28,0.3,0.3,0.29,0.3,1620000,0.0,0.0
1970-04-29,0.3,0.3,0.29,0.3,2188800,0.0,0.0
1970-04-30,0.3,0.3,0.3,0.3,1656000,0.0,0.0
1970-05-01,0.3,0.3,0.3,0.3,1080000,0.0,0.0
1970-05-04,0.3,0.3,0.29,0.29,2692800,0.0,0.0
1970-05-05,0.29,0.29,0.29,0.29,1836000,0.0,0.0
1970-05-06,0.29,0.3,0.29,0.29,1324800,0.0,0.0
1970-05-07,0.29,0.3,0.29,0.29,705600,0.0,0.0
1970-05-08,0.29,0.29,0.29,0.29,1195200,0.0,0.0
1970-05-11,0.29,0.29,0.29,0.29,554400,0.0,0.0
1970-05-12,0.29,0.29,0.29,0.29,1353600,0.0,0.0
1970-05-13,0.29,0.29,0.29,0.29,1872000,0.0,0.0
1970-05-14,0.29,0.29,0.28,0.28,1303200,0.0,0.0
1970-05-15,0.28,0.29,0.28,0.29,1641600,0.0,0.0
1970-05-18,0.29,0.29,0.29,0.29,2030400,0.0,0.0
1970-05-19,0.29,0.29,0.28,0.28,633600,0.0,0.0
1970-05-20,0.28,0.28,0.28,0.28,813600,0.0,0.0
1970-05-21,0.28,0.28,0.26,0.26,3830400,0.0,0.0
1970-05-22,0.26,0.27,0.26,0.26,2008800,0.0,0.0
1970-05-25,0.26,0.27,0.26,0.26,1065600,0.0,0.0
1970-05-26,0.26,0.26,0.25,0.25,5824800,0.0,0.0
1970-05-27,0.25,0.26,0.25,0.26,2347200,0.0,0.0
1970-05-28,0.26,0.27,0.26,0.27,1684800,0.0,0.0
1970-05-29,0.27,0.27,0.27,0.27,2476800,0.0,0.0
1970-06-01,0.27,0.27,0.27,0.27,1072800,0.0,0.0
1970-06-02,0.27,0.28,0.27,0.28,1101600,0.00694,0.0
1970-06-03,0.28,0.28,0.28,0.28,972000,0.0,0.0
1970-06-04,0.28,0.28,0.28,0.28,1850400,0.0,0.0
1970-06-05,0.28,0.28,0.27,0.28,1670400,0.0,0.0
1970-06-08,0.28,0.28,0.27,0.28,957600,0.0,0.0
1970-06-09,0.28,0.28,0.28,0.28,756000,0.0,0.0
1970-06-10,0.28,0.29,0.28,0.28,972000,0.0,0.0
1970-06-11,0.28,0.28,0.27,0.28,964800,0.0,0.0
1970-06-12,0.28,0.28,0.27,0.28,878400,0.0,0.0
1970-06-15,0.28,0.28,0.27,0.28,748800,0.0,0.0
1970-06-16,0.28,0.29,0.28,0.29,864000,0.0,0.0
1970-06-17,0.29,0.29,0.29,0.29,1692000,0.0,0.0
1970-06-18,0.29,0.29,0.29,0.29,633600,0.0,0.0
1970-06-19,0.29,0.29,0.29,0.29,1065600,0.0,0.0
1970-06-22,0.29,0.29,0.29,0.29,705600,0.0,0.0
1970-06-23,0.29,0.29,0.28,0.28,842400,0.0,0.0
1970-06-24,0.28,0.28,0.28,0.28,1814400,0.0,0.0
1970-06-25,0.28,0.28,0.28,0.28,640800,0.0,0.0
1970-06-26,0.28,0.28,0.28,0.28,914400,0.0,0.0
1970-06-29,0.28,0.28,0.27,0.27,813600,0.0,0.0
1970-06-30,0.27,0.28,0.27,0.28,712800,0.0,0.0
1970-07-01,0.28,0.28,0.28,0.28,748800,0.0,0.0
1970-07-02,0.28,0.29,0.28,0.28,1778400,0.0,0.0
1970-07-06,0.28,0.28,0.27,0.27,957600,0.0,0.0
1970-07-07,0.27,0.28,0.27,0.28,1324800,0.0,0.0
1970-07-08,0.28,0.28,0.27,0.28,1339200,0.0,0.0
1970-07-09,0.28,0.28,0.28,0.28,1756800,0.0,0.0
1970-07-10,0.28,0.28,0.28,0.28,1087200,0.0,0.0
1970-07-13,0.28,0.28,0.28,0.28,1353600,0.0,0.0
1970-07-14,0.28,0.29,0.28,0.28,1663200,0.0,0.0
1970-07-15,0.28,0.28,0.28,0.28,770400,0.0,0.0
1970-07-16,0.28,0.29,0.28,0.29,489600,0.0,0.0
1970-07-17,0.29,0.3,0.29,0.3,1029600,0.0,0.0
1970-07-20,0.3,0.3,0.3,0.3,511200,0.0,0.0
1970-07-21,0.3,0.3,0.29,0.29,820800,0.0,0.0
1970-07-22,0.29,0.29,0.29,0.29,1058400,0.0,0.0
1970-07-23,0.29,0.29,0.29,0.29,1360800,0.0,0.0
1970-07-24,0.29,0.29,0.29,0.29,396000,0.0,0.0
1970-07-27,0.29,0.29,0.29,0.29,417600,0.0,0.0
1970-07-28,0.29,0.29,0.29,0.29,410400,0.0,0.0
1970-07-29,0.29,0.29,0.26,0.27,9187200,0.0,0.0
1970-07-30,0.27,0.27,0.25,0.26,14076000,0.0,0.0
1970-07-31,0.26,0.26,0.26,0.26,3895200,0.0,0.0
1970-08-03,0.26,0.26,0.26,0.26,4960800,0.0,0.0
1970-08-04,0.26,0.27,0.26,0.27,6703200,0.0,0.0
1970-08-05,0.27,0.27,0.26,0.27,2671200,0.0,0.0
1970-08-06,0.27,0.27,0.26,0.26,2030400,0.0,0.0
1970-08-07,0.26,0.27,0.26,0.26,1346400,0.0,0.0
1970-08-10,0.26,0.26,0.26,0.26,684000,0.0,0.0
1970-08-11,0.26,0.26,0.25,0.25,1972800,0.0,0.0
1970-08-12,0.25,0.25,0.25,0.25,2181600,0.0,0.0
1970-08-13,0.25,0.25,0.23,0.24,3045600,0.0,0.0
1970-08-14,0.24,0.24,0.24,0.24,1087200,0.0,0.0
1970-08-17,0.24,0.25,0.24,0.25,1116000,0.0,0.0
1970-08-18,0.25,0.25,0.25,0.25,741600,0.0,0.0
1970-08-19,0.25,0.25,0.25,0.25,1008000,0.0,0.0
1970-08-20,0.25,0.25,0.24,0.25,878400,0.0,0.0
1970-08-21,0.25,0.25,0.24,0.25,1440000,0.0,0.0
1970-08-24,0.25,0.25,0.25,0.25,1857600,0.0,0.0
1970-08-25,0.25,0.26,0.25,0.26,1274400,0.0,0.0
1970-08-26,0.26,0.26,0.26,0.26,950400,0.0,0.0
1970-08-27,0.26,0.26,0.25,0.25,1483200,0.0,0.0
1970-08-28,0.25,0.25,0.25,0.25,482400,0.0,0.0
