Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1970-01-02,0.19,0.2,0.19,0.2,105900,0.0,0.0
1970-01-05,0.2,0.2,0.2,0.2,136100,0.0,0.0
1970-01-06,0.2,0.2,0.2,0.2,159500,0.0,0.0
1970-01-07,0.2,0.2,0.2,0.2,119600,0.0,0.0
1970-01-08,0.2,0.21,0.2,0.21,454900,0.0,0.0
1970-01-09,0.21,0.21,0.2,0.2,1154000,0.0,0.0
1970-01-12,0.2,0.2,0.2,0.2,117000,0.0,0.0
1970-01-13,0.2,0.2,0.2,0.2,99200,0.0,0.0
1970-01-14,0.2,0.2,0.2,0.2,57600,0.0,0.0
1970-01-15,0.2,0.2,0.2,0.2,70400,0.0,0.0
1970-01-16,0.2,0.2,0.2,0.2,79400,0.0,0.0
1970-01-19,0.2,0.2,0.2,0.2,94500,0.0,0.0
1970-01-20,0.2,0.2,0.19,0.19,86800,0.0,0.0
1970-01-21,0.19,0.2,0.19,0.19,165600,0.0,0.0
1970-01-22,0.19,0.2,0.19,0.19,89500,0.0,0.0
1970-01-23,0.19,0.2,0.19,0.19,77100,0.0,0.0
1970-01-26,0.19,0.19,0.19,0.19,402300,0.0,0.0
1970-01-27,0.19,0.19,0.19,0.19,310400,0.0,0.0
1970-01-28,0.19,0.19,0.19,0.19,137400,0.0,0.0
1970-01-29,0.19,0.19,0.19,0.19,171600,0.0,0.0
1970-01-30,0.19,0.19,0.19,0.19,139100,0.0,0.0
1970-02-02,0.19,0.19,0.19,0.19,149800,0.0,0.0
1970-02-03,0.19,0.19,0.19,0.19,150800,0.0,0.0
1970-02-04,0.19,0.2,0.19,0.19,122000,0.0,0.0
1970-02-05,0.19,0.19,0.19,0.19,140100,0.0,0.0
1970-02-06,0.19,0.19,0.19,0.19,111900,0.0,0.0
1970-02-09,0.19,0.2,0.19,0.19,167900,0.0,0.0
1970-02-10,0.19,0.19,0.19,0.19,98900,0.0,0.0
1970-02-11,0.19,0.2,0.19,0.19,85400,0.0,0.0
1970-02-12,0.2,0.2,0.2,0.2,119300,0.0,0.0
1970-02-13,0.2,0.2,0.19,0.19,231600,0.0,0.0
1970-02-16,0.19,0.2,0.19,0.2,105200,0.0,0.0
1970-02-17,0.2,0.2,0.19,0.2,131400,0.0,0.0
1970-02-18,0.2,0.21,0.2,0.21,146100,0.0,0.0
1970-02-19,0.21,0.21,0.2,0.21,150800,0.0,0.0
1970-02-20,0.21,0.21,0.21,0.21,136100,0.0,0.0
1970-02-24,0.21,0.21,0.21,0.21,116000,0.0,0.0
1970-02-25,0.21,0.22,0.21,0.21,226600,0.0,0.0
1970-02-26,0.21,0.21,0.21,0.21,157900,0.0,0.0
1970-02-27,0.21,0.22,0.21,0.21,160200,0.0,0.0
1970-03-02,0.21,0.22,0.21,0.22,171600,0.0,0.0
1970-03-03,0.22,0.22,0.22,0.22,195800,0.0,0.0
1970-03-04,0.22,0.22,0.22,0.22,207500,0.0,0.0
1970-03-05,0.22,0.23,0.22,0.22,182300,0.0,0.0
1970-03-06,0.22,0.22,0.22,0.22,83400,0.0,0.0
1970-03-09,0.22,0.22,0.21,0.21,109900,0.0,0.0
1970-03-10,0.21,0.22,0.21,0.21,85400,0.0,0.0
1970-03-11,0.21,0.22,0.21,0.22,73700,0.0,0.0
1970-03-12,0.22,0.22,0.21,0.22,99900,0.0,0.0
1970-03-13,0.22,0.22,0.21,0.22,90500,0.0,0.0
1970-03-16,0.21,0.21,0.21,0.21,91500,0.0,0.0
1970-03-17,0.21,0.21,0.21,0.21,114600,0.0,0.0
