Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-02-23,3.4,3.45,3.25,3.29,40594800.0,0.0,0.0
1993-02-24,3.34,3.42,3.3,3.38,9426400.0,0.0,0.0
1993-02-25,3.4,3.46,3.38,3.46,5229200.0,0.0,0.0
1993-02-26,3.46,3.52,3.41,3.52,2761200.0,0.0,0.0
1993-03-01,3.48,3.49,3.4,3.4,3014400.0,0.0,0.0
1993-03-02,3.42,3.5,3.41,3.49,3022800.0,0.0,0.0
1993-03-03,3.48,3.53,3.45,3.48,2808800.0,0.0,0.0
1993-03-04,3.46,3.5,3.46,3.46,1783600.0,0.0,0.0
1993-03-05,3.45,3.54,3.4,3.53,3868800.0,0.0,0.0
1993-03-08,3.5,3.53,3.48,3.52,2516000.0,0.0,0.0
1993-03-09,3.5,3.66,3.5,3.62,2449200.0,0.0,0.0
1993-03-10,3.6,3.78,3.58,3.77,3192800.0,0.0,0.0
1993-03-11,3.81,3.81,3.73,3.77,1276400.0,0.0,0.0
1993-03-12,3.74,3.85,3.61,3.83,2958800.0,0.0,0.0
1993-03-15,3.82,3.82,3.74,3.77,1858400.0,0.0,0.0
1993-03-16,3.74,3.78,3.68,3.69,2182000.0,0.0,0.0
1993-03-17,3.69,3.73,3.65,3.73,2413600.0,0.0,0.0
1993-03-18,3.71,3.83,3.71,3.82,1765200.0,0.0,0.0
1993-03-19,3.85,3.85,3.78,3.78,2397600.0,0.0,0.0
1993-03-22,3.79,3.79,3.73,3.77,729200.0,0.0,0.0
1993-03-23,3.77,3.77,3.69,3.69,924000.0,0.0,0.0
1993-03-24,3.69,3.69,3.54,3.65,1787600.0,0.0,0.0
1993-03-25,3.62,3.65,3.57,3.65,1080400.0,0.0,0.0
1993-03-26,3.77,3.89,3.75,3.89,2376800.0,0.0,0.0
1993-03-29,3.86,3.93,3.79,3.93,1273600.0,0.0,0.0
1993-03-30,3.98,4.07,3.94,4.07,1463600.0,0.0,0.0
1993-03-31,4.09,4.17,4.06,4.07,1856000.0,0.0,0.0
1993-04-01,4.02,4.03,3.9,3.93,1410000.0,0.0,0.0
1993-04-02,3.87,3.94,3.78,3.78,1338800.0,0.0,0.0
1993-04-05,3.77,3.86,3.77,3.85,873200.0,0.0,0.0
1993-04-06,3.86,3.87,3.79,3.79,763200.0,0.0,0.0
1993-04-07,3.78,3.86,3.78,3.85,240400.0,0.0,0.0
1993-04-08,3.85,3.85,3.82,3.83,304000.0,0.0,0.0
1993-04-12,3.83,3.93,3.83,3.93,217600.0,0.0,0.0
1993-04-13,3.98,4.07,3.98,4.05,937600.0,0.0,0.0
1993-04-14,4.05,4.17,4.05,4.15,689600.0,0.0,0.0
1993-04-15,4.1,4.1,3.93,3.98,1319600.0,0.0,0.0
1993-04-16,4.01,4.03,3.95,3.97,1452400.0,0.0,0.0
1993-04-19,3.94,3.97,3.86,3.87,861600.0,0.0,0.0
1993-04-20,3.91,3.94,3.68,3.75,2764000.0,0.0,0.0
1993-04-21,3.75,3.81,3.7,3.7,1372800.0,0.0,0.0
1993-04-22,3.7,3.77,3.69,3.7,1387600.0,0.0,0.0
1993-04-23,3.69,3.7,3.61,3.65,660400.0,0.0,0.0
1993-04-26,3.66,3.69,3.53,3.57,1847200.0,0.0,0.0
1993-04-27,3.53,3.61,3.46,3.61,1674000.0,0.0,0.0
1993-04-28,3.64,3.69,3.6,3.68,726800.0,0.0,0.0
1993-04-29,3.68,3.7,3.66,3.66,228800.0,0.0,0.0
1993-04-30,3.68,4.14,3.68,4.11,3105600.0,0.0,0.0
1993-05-03,4.03,4.03,3.87,3.9,2001200.0,0.0,0.0
1993-05-04,3.93,3.95,3.89,3.93,826000.0,0.0,0.0
1993-05-05,3.91,3.91,3.87,3.89,512000.0,0.0,0.0
1993-05-06,3.89,3.89,3.82,3.86,183200.0,0.0,0.0
1993-05-07,3.87,3.9,3.86,3.87,245200.0,0.0,0.0
1993-05-10,3.89,3.95,3.89,3.93,708800.0,0.0,0.0
1993-05-11,3.93,3.93,3.87,3.91,568800.0,0.0,0.0
1993-05-12,3.91,3.94,3.89,3.91,258000.0,0.0,0.0
1993-05-13,3.89,3.89,3.82,3.82,163200.0,0.0,0.0
1993-05-14,3.81,3.81,3.65,3.71,848000.0,0.0,0.0
1993-05-17,3.71,3.81,3.7,3.78,382000.0,0.0,0.0
1993-05-18,3.77,3.77,3.7,3.74,883600.0,0.0,0.0
1993-05-19,3.73,3.81,3.73,3.78,514800.0,0.0,0.0
1993-05-20,3.81,3.81,3.69,3.71,936800.0,0.0,0.0
1993-05-21,3.69,3.69,3.6,3.61,834000.0,0.0,0.0
1993-05-24,3.6,3.68,3.58,3.68,262400.0,0.0,0.0
1993-05-25,3.72,3.73,3.68,3.7,662400.0,0.1,0.0
1993-05-26,3.7,3.95,3.7,3.93,659200.0,0.0,0.0
1993-05-27,3.92,3.96,3.76,3.77,1011600.0,0.0,0.0
1993-05-28,3.76,3.76,3.66,3.69,1338800.0,0.0,0.0
1993-06-01,3.69,3.73,3.69,3.72,330400.0,0.0,0.0
1993-06-02,3.72,3.76,3.72,3.74,295600.0,0.0,0.0
1993-06-03,3.76,3.76,3.68,3.68,178800.0,0.0,0.0
1993-06-04,3.65,3.7,3.64,3.64,211200.0,0.0,0.0
1993-06-07,3.64,3.65,3.61,3.64,314400.0,0.0,0.0
1993-06-08,3.64,3.65,3.62,3.64,295200.0,0.0,0.0
1993-06-09,3.64,3.69,3.64,3.69,341200.0,0.0,0.0
1993-06-10,3.69,3.69,3.64,3.65,166000.0,0.0,0.0
1993-06-11,3.66,3.69,3.65,3.68,148000.0,0.0,0.0
1993-06-14,3.68,3.73,3.68,3.69,449200.0,0.0,0.0
1993-06-15,3.69,3.69,3.62,3.65,208800.0,0.0,0.0
1993-06-16,3.65,3.79,3.65,3.76,1311600.0,0.0,0.0
1993-06-17,3.74,3.8,3.74,3.77,305200.0,0.0,0.0
1993-06-18,3.77,3.77,3.66,3.66,1043600.0,0.0,0.0
1993-06-21,3.64,3.65,3.52,3.64,2092400.0,0.0,0.0
1993-06-22,3.64,3.64,3.53,3.64,1855600.0,0.0,0.0
1993-06-23,3.64,3.65,3.61,3.64,1940400.0,0.0,0.0
1993-06-24,3.74,3.8,3.7,3.77,2887600.0,0.0,0.0
1993-06-25,3.77,3.91,3.77,3.89,1870400.0,0.0,0.0
1993-06-28,3.89,4.19,3.89,4.16,3107600.0,0.0,0.0
