Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1977-01-03,2.6,2.66,2.6,2.61,227800.0,0.0,0.0
1977-01-04,2.6,2.6,2.55,2.55,164100.0,0.0,0.0
1977-01-05,2.56,2.61,2.56,2.56,193000.0,0.0,0.0
1977-01-06,2.56,2.57,2.54,2.54,139200.0,0.0,0.0
1977-01-07,2.54,2.56,2.51,2.51,119300.0,0.0,0.0
1977-01-10,2.51,2.51,2.46,2.48,235700.0,0.0,0.0
1977-01-11,2.47,2.47,2.41,2.41,201900.0,0.0,0.0
1977-01-12,2.41,2.41,2.36,2.39,184000.0,0.0,0.0
1977-01-13,2.41,2.42,2.41,2.41,241700.0,0.0,0.0
1977-01-14,2.41,2.44,2.39,2.44,761100.0,0.0,0.0
1977-01-17,2.44,2.45,2.43,2.44,672600.0,0.0,0.0
1977-01-18,2.44,2.46,2.44,2.45,222800.0,0.0,0.0
1977-01-19,2.45,2.49,2.45,2.49,94500.0,0.0,0.0
1977-01-20,2.5,2.53,2.5,2.5,176100.0,0.0,0.0
1977-01-21,2.5,2.52,2.5,2.51,1066600.0,0.0,0.0
1977-01-24,2.51,2.53,2.49,2.5,511400.0,0.0,0.0
1977-01-25,2.5,2.5,2.43,2.43,317400.0,0.0,0.0
1977-01-26,2.43,2.46,2.42,2.43,117400.0,0.0,0.0
1977-01-27,2.4,2.4,2.34,2.35,254700.0,0.0,0.0
1977-01-28,2.36,2.4,2.36,2.39,112400.0,0.0,0.0
1977-01-31,2.39,2.39,2.32,2.35,202900.0,0.0,0.0
1977-02-01,2.35,2.37,2.34,2.36,81500.0,0.0,0.0
1977-02-02,2.36,2.38,2.33,2.33,538200.0,0.0,0.0
1977-02-03,2.33,2.34,2.32,2.32,126300.0,0.0,0.0
1977-02-04,2.32,2.32,2.23,2.25,359100.0,0.0,0.0
1977-02-07,2.25,2.25,2.16,2.16,299400.0,0.0,0.0
1977-02-08,2.16,2.21,2.16,2.19,422800.0,0.0,0.0
1977-02-09,2.19,2.19,2.15,2.15,14900.0,0.0,0.0
1977-02-10,2.15,2.16,2.13,2.13,269600.0,0.0,0.0
1977-02-11,2.13,2.15,2.13,2.15,292500.0,0.0,0.0
1977-02-14,2.15,2.17,2.13,2.17,306400.0,0.0,0.0
1977-02-15,2.17,2.18,2.16,2.16,502400.0,0.0,0.0
1977-02-16,2.16,2.19,2.16,2.17,328300.0,0.0,0.0
1977-02-17,2.16,2.16,2.13,2.14,142200.0,0.0,0.0
1977-02-18,2.13,2.13,2.03,2.1,305400.0,0.0,0.0
1977-02-22,2.1,2.1,2.08,2.09,133300.0,0.0,0.0
1977-02-23,2.09,2.09,2.08,2.08,69600.0,0.0,0.0
1977-02-24,2.08,2.08,2.04,2.05,154200.0,0.0,0.0
1977-02-25,2.05,2.07,2.03,2.07,309400.0,0.0,0.0
1977-02-28,2.06,2.06,2.06,2.06,140200.0,0.0,0.0
1977-03-01,2.06,2.12,2.06,2.12,340200.0,0.0,0.0
1977-03-02,2.12,2.14,2.12,2.12,327300.0,0.0,0.0
1977-03-03,2.13,2.21,2.13,2.2,267600.0,0.0,0.0
1977-03-04,2.2,2.2,2.18,2.2,217800.0,0.0,0.0
1977-03-07,2.21,2.23,2.21,2.23,143200.0,0.0,0.0
1977-03-08,2.23,2.23,2.2,2.2,295500.0,0.0,0.0
1977-03-09,2.19,2.19,2.15,2.16,114400.0,0.0,0.0
1977-03-10,2.16,2.17,2.12,2.17,264600.0,0.0,0.0
1977-03-11,2.17,2.19,2.17,2.17,92500.0,0.0,0.0
1977-03-14,2.17,2.23,2.17,2.22,175100.0,0.0,0.0
1977-03-15,2.23,2.27,2.23,2.25,298500.0,0.0,0.0
1977-03-16,2.25,2.27,2.25,2.27,240700.0,0.0,0.0
1977-03-17,2.27,2.3,2.26,2.29,266600.0,0.0,0.0
1977-03-18,2.29,2.32,2.29,2.29,200900.0,0.0,0.0
1977-03-21,2.29,2.3,2.26,2.26,324300.0,0.0,0.0
1977-03-22,2.27,2.28,2.24,2.28,175100.0,0.02111,0.0
1977-03-23,2.28,2.28,2.2,2.2,193000.0,0.0,0.0
1977-03-24,2.2,2.23,2.16,2.17,309400.0,0.0,0.0
1977-03-25,2.17,2.17,2.15,2.16,163100.0,0.0,0.0
1977-03-28,2.16,2.16,2.14,2.14,188000.0,0.0,0.0
1977-03-29,2.14,2.17,2.14,2.14,239700.0,0.0,0.0
1977-03-30,2.14,2.18,2.14,2.14,210900.0,0.0,0.0
1977-03-31,2.14,2.17,2.14,2.16,67600.0,0.0,0.0
1977-04-01,2.16,2.18,2.15,2.18,163100.0,0.0,0.0
1977-04-04,2.18,2.2,2.15,2.15,119300.0,0.0,0.0
1977-04-05,2.15,2.16,2.14,2.16,130300.0,0.0,0.0
1977-04-06,2.16,2.16,2.14,2.14,171100.0,0.0,0.0
1977-04-07,2.14,2.15,2.14,2.14,92500.0,0.0,0.0
1977-04-11,2.14,2.14,2.11,2.11,433800.0,0.0,0.0
1977-04-12,2.11,2.11,2.09,2.1,153200.0,0.0,0.0
1977-04-13,2.1,2.1,2.09,2.1,90500.0,0.0,0.0
1977-04-14,2.11,2.17,2.11,2.17,573100.0,0.0,0.0
1977-04-15,2.17,2.17,2.16,2.17,115300.0,0.0,0.0
1977-04-18,2.17,2.17,2.14,2.17,140200.0,0.0,0.0
1977-04-19,2.16,2.16,2.11,2.11,121300.0,0.0,0.0
1977-04-20,2.11,2.14,2.1,2.11,364100.0,0.0,0.0
1977-04-21,2.11,2.11,2.05,2.06,152200.0,0.0,0.0
1977-04-22,2.06,2.06,1.97,1.98,239700.0,0.0,0.0
1977-04-25,1.99,2.03,1.99,2.0,167100.0,0.0,0.0
1977-04-26,2.0,2.01,1.98,1.98,121300.0,0.0,0.0
1977-04-27,1.98,2.04,1.98,2.04,214900.0,0.0,0.0
1977-04-28,2.04,2.05,2.02,2.02,329300.0,0.0,0.0
1977-04-29,2.02,2.04,2.02,2.04,107400.0,0.0,0.0
1977-05-02,2.04,2.06,2.03,2.06,205900.0,0.0,0.0
1977-05-03,2.06,2.06,2.03,2.03,420800.0,0.0,0.0
1977-05-04,2.03,2.06,2.02,2.04,1386000.0,0.0,0.0
1977-05-05,2.04,2.08,2.04,2.08,394000.0,0.0,0.0
1977-05-06,2.08,2.08,2.06,2.07,205900.0,0.0,0.0
1977-05-09,2.07,2.09,2.07,2.09,219800.0,0.0,0.0
1977-05-10,2.08,2.08,2.06,2.06,214900.0,0.0,0.0
1977-05-11,2.06,2.08,2.06,2.06,313400.0,0.0,0.0
1977-05-12,2.03,2.03,2.01,2.03,744200.0,0.0,0.0
1977-05-13,2.03,2.06,2.03,2.06,184000.0,0.0,0.0
1977-05-16,2.06,2.07,2.03,2.06,121300.0,0.0,0.0
1977-05-17,2.06,2.06,2.03,2.04,285500.0,0.0,0.0
1977-05-18,2.04,2.06,2.04,2.06,473600.0,0.0,0.0
1977-05-19,2.06,2.06,2.01,2.03,178100.0,0.0,0.0
1977-05-20,2.03,2.04,2.02,2.02,74600.0,0.0,0.0
1977-05-23,2.02,2.02,2.0,2.0,241700.0,0.0,0.0
1977-05-24,2.0,2.0,1.97,1.98,221800.0,0.0,0.0
1977-05-25,1.98,1.98,1.9,1.9,680500.0,0.0,0.0
1977-05-26,1.89,1.89,1.85,1.86,795900.0,0.0,0.0
1977-05-27,1.86,1.86,1.8,1.8,341200.0,0.0,0.0
1977-05-31,1.79,1.79,1.7,1.71,309400.0,0.0,0.0
1977-06-01,1.71,1.77,1.71,1.77,876500.0,0.0,0.0
1977-06-02,1.77,1.8,1.75,1.77,378000.0,0.0,0.0
1977-06-03,1.77,1.82,1.77,1.81,504400.0,0.0,0.0
1977-06-06,1.81,1.83,1.77,1.77,355200.0,0.0,0.0
1977-06-07,1.77,1.78,1.75,1.77,689500.0,0.0,0.0
1977-06-08,1.78,1.81,1.78,1.8,470600.0,0.0,0.0
1977-06-09,1.8,1.83,1.79,1.81,416800.0,0.0,0.0
1977-06-10,1.81,1.86,1.81,1.86,426800.0,0.0,0.0
1977-06-13,1.87,1.9,1.87,1.89,412900.0,0.0,0.0
1977-06-14,1.9,1.95,1.9,1.95,438700.0,0.0,0.0
1977-06-15,1.95,1.96,1.92,1.94,265600.0,0.0,0.0
1977-06-16,1.94,1.98,1.93,1.96,463600.0,0.0,0.0
1977-06-17,1.96,1.98,1.96,1.96,324300.0,0.0,0.0
