Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.64,1.6,1.6,405600,0.0,0.0
1980-03-18,0.0,1.77,1.73,1.73,672400,0.0,0.0
1980-03-19,0.0,1.77,1.73,1.73,274800,0.0,0.0
1980-03-20,0.0,1.77,1.73,1.73,212400,0.0,0.0
1980-03-21,0.0,1.74,1.7,1.7,259600,0.0,0.0
1980-03-24,0.0,1.66,1.62,1.62,315200,0.0,0.0
1980-03-25,0.0,1.65,1.61,1.61,298400,0.0,0.0
1980-03-26,0.0,1.69,1.65,1.65,476800,0.0,0.0
1980-03-27,0.0,1.6,1.56,1.56,604800,0.0,0.0
1980-03-28,0.0,1.65,1.61,1.61,747600,0.0,0.0
1980-03-31,0.0,1.73,1.69,1.69,343600,0.0,0.0
1980-04-01,0.0,1.8,1.76,1.76,712800,0.0,0.0
1980-04-02,0.0,1.8,1.76,1.76,231200,0.0,0.0
1980-04-03,0.0,1.78,1.74,1.74,402000,0.0,0.0
1980-04-07,0.0,1.72,1.68,1.68,232800,0.0,0.0
1980-04-08,0.0,1.73,1.69,1.69,541200,0.0,0.0
1980-04-09,0.0,1.76,1.72,1.72,447600,0.0,0.0
1980-04-10,0.0,1.78,1.74,1.74,379600,0.0,0.0
1980-04-11,0.0,1.78,1.74,1.74,426800,0.0,0.0
1980-04-14,0.0,1.77,1.73,1.73,195600,0.0,0.0
1980-04-15,0.0,1.78,1.74,1.74,292800,0.0,0.0
1980-04-16,0.0,1.77,1.73,1.73,471600,0.0,0.0
1980-04-17,0.0,1.74,1.7,1.7,235600,0.0,0.0
1980-04-18,0.0,1.76,1.72,1.72,166800,0.0,0.0
1980-04-21,0.0,1.72,1.68,1.68,120400,0.0,0.0
1980-04-22,0.0,1.82,1.78,1.78,487600,0.0,0.0
1980-04-23,0.0,1.82,1.78,1.78,388400,0.0,0.0
1980-04-24,0.0,1.85,1.81,1.81,234800,0.0,0.0
1980-04-25,0.0,1.84,1.8,1.8,270400,0.0,0.0
1980-04-28,0.0,1.88,1.84,1.84,230400,0.0,0.0
1980-04-29,0.0,1.92,1.88,1.88,349200,0.0,0.0
1980-04-30,0.0,1.9,1.86,1.86,425200,0.0,0.0
1980-05-01,0.0,1.92,1.88,1.88,679600,0.0,0.0
1980-05-02,0.0,1.94,1.9,1.9,420800,0.0,0.0
1980-05-05,0.0,1.97,1.93,1.93,290000,0.0,0.0
1980-05-06,0.0,1.96,1.92,1.92,434800,0.0,0.0
1980-05-07,0.0,1.97,1.93,1.93,457200,0.0,0.0
1980-05-08,0.0,1.94,1.9,1.9,596800,0.0,0.0
1980-05-09,0.0,1.88,1.84,1.84,237600,0.0,0.0
1980-05-12,0.0,1.84,1.8,1.8,326800,0.0,0.0
1980-05-13,0.0,1.86,1.82,1.82,358000,0.0,0.0
1980-05-14,0.0,1.89,1.85,1.85,169600,0.0,0.0
1980-05-15,0.0,1.98,1.94,1.94,694800,0.0,0.0
1980-05-16,0.0,2.0,1.96,1.96,511600,0.0,0.0
1980-05-19,0.0,2.01,1.97,1.97,207200,0.0,0.0
1980-05-20,0.0,2.04,2.0,2.0,533200,0.0,0.0
1980-05-21,0.0,2.05,2.01,2.01,205200,0.0,0.0
1980-05-22,0.0,2.1,2.06,2.06,338400,0.0,0.0
1980-05-23,0.0,2.09,2.05,2.05,108000,0.0,0.0
1980-05-27,0.0,2.13,2.09,2.09,164000,0.0,0.0
1980-05-28,0.0,2.1,2.06,2.06,418800,0.0,0.0
1980-05-29,0.0,2.09,2.05,2.05,368800,0.0,0.0
1980-05-30,0.0,2.12,2.08,2.08,440400,0.0,0.0
1980-06-02,0.0,2.08,2.04,2.04,308000,0.0,0.0
1980-06-03,0.0,2.09,2.05,2.05,389200,0.0,0.0
1980-06-04,0.0,2.12,2.08,2.08,534000,0.0,0.0
1980-06-05,0.0,2.13,2.09,2.09,481200,0.0,0.0
1980-06-06,0.0,2.17,2.13,2.13,479600,0.0,0.0
1980-06-09,0.0,2.19,2.15,2.15,640400,0.0,0.0
1980-06-10,0.0,2.24,2.15,2.23,283200,0.0,0.0
1980-06-11,0.0,2.33,2.21,2.27,311600,0.0,0.0
1980-06-12,0.0,2.3,2.24,2.24,162400,0.0,0.0
1980-06-13,0.0,2.23,2.17,2.2,101600,0.0,0.0
1980-06-16,0.0,2.24,2.14,2.17,151600,0.0,0.0
1980-06-17,0.0,2.32,2.21,2.29,211600,0.0,0.0
1980-06-18,0.0,2.37,2.27,2.29,263200,0.0,0.0
1980-06-19,0.0,2.35,2.31,2.31,194400,0.0,0.0
1980-06-20,0.0,2.3,2.25,2.27,92000,0.0,0.0
1980-06-23,0.0,2.28,2.25,2.25,124000,0.0,0.0
1980-06-24,0.0,2.39,2.28,2.37,369600,0.0,0.0
1980-06-25,0.0,2.51,2.37,2.41,420800,0.0,0.0
1980-06-26,0.0,2.44,2.41,2.44,100800,0.0,0.0
1980-06-27,0.0,2.46,2.36,2.39,123200,0.0,0.0
1980-06-30,0.0,2.41,2.29,2.29,97200,0.0,0.0
1980-07-01,0.0,2.33,2.28,2.29,145600,0.0,0.0
1980-07-02,0.0,2.31,2.27,2.29,117600,0.0,0.0
1980-07-03,0.0,2.36,2.26,2.36,159600,0.0,0.0
1980-07-07,0.0,2.45,2.39,2.44,228400,0.0,0.0
1980-07-08,0.0,2.51,2.42,2.47,367200,0.0,0.0
1980-07-09,0.0,2.57,2.47,2.55,362400,0.0,0.0
1980-07-10,0.0,2.64,2.55,2.55,421600,0.0,0.0
1980-07-11,0.0,2.63,2.55,2.6,150800,0.0,0.0
1980-07-14,0.0,2.64,2.57,2.57,215200,0.0,0.0
1980-07-15,0.0,2.64,2.56,2.61,140800,0.0,0.0
1980-07-16,0.0,2.61,2.57,2.61,184800,0.0,0.0
1980-07-17,0.0,2.64,2.55,2.6,310800,0.0,0.0
1980-07-18,0.0,2.63,2.55,2.55,291200,0.0,0.0
1980-07-21,0.0,2.57,2.55,2.55,90800,0.0,0.0
1980-07-22,0.0,2.51,2.37,2.44,228400,0.0,0.0
1980-07-23,0.0,2.51,2.28,2.4,406400,0.0,0.0
1980-07-24,0.0,2.43,2.35,2.39,190800,0.0,0.0
1980-07-25,0.0,2.39,2.34,2.36,68400,0.0,0.0
1980-07-28,0.0,2.39,2.32,2.38,103600,0.0,0.0
1980-07-29,0.0,2.51,2.36,2.49,223200,0.0,0.0
1980-07-30,0.0,2.6,2.52,2.55,146400,0.0,0.0
