Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-12-15,53.1852,59.3553,48.8299,58.6294,2749000,0.0,0.0
2004-12-16,62.6497,66.6141,58.6294,62.1471,639400,0.0,0.0
2004-12-17,63.6548,66.7258,63.0964,65.5811,221600,0.0,0.0
2004-12-20,68.8476,70.4948,63.7664,63.9339,216100,0.0,0.0
2004-12-21,64.5202,65.8603,58.9086,60.5837,179300,0.0,0.0
2004-12-22,59.3553,62.2588,59.3553,60.0253,73700,0.0,0.0
2004-12-23,61.4213,61.4213,57.7918,59.7461,91000,0.0,0.0
2004-12-27,59.2157,60.7233,59.2157,59.3553,42400,0.0,0.0
2004-12-28,59.3273,60.137,59.104,59.3273,43800,0.0,0.0
2004-12-29,59.3273,66.9771,59.3273,65.8883,155600,0.0,0.0
2004-12-30,65.7766,68.4009,64.8273,67.2842,129100,0.0,0.0
2004-12-31,66.6979,67.703,64.9949,65.9441,49700,0.0,0.0
2005-01-03,67.3121,67.3121,62.1471,62.8172,81200,0.0,0.0
2005-01-04,64.4923,64.4923,57.9314,59.439,148700,0.0,0.0
2005-01-05,58.3223,59.7461,58.071,59.0482,38600,0.0,0.0
2005-01-06,59.1878,60.2207,56.9543,57.5126,24000,0.0,0.0
2005-01-07,56.8984,58.0431,55.2791,57.2334,136400,0.0,0.0
2005-01-10,58.6294,60.5558,56.4238,59.9695,33900,0.0,0.0
2005-01-11,60.0253,60.7233,57.373,58.3781,29900,0.0,0.0
2005-01-12,58.071,58.6294,55.5583,55.8375,138000,0.0,0.0
2005-01-13,55.8375,58.071,55.8375,56.2563,16900,0.0,0.0
2005-01-14,56.6751,57.6243,56.3959,56.6751,37600,0.0,0.0
2005-01-18,56.3959,57.3172,55.5862,56.5355,102400,0.0,0.0
2005-01-19,56.1167,56.3121,54.0507,54.1624,89200,0.0,0.0
2005-01-20,53.8274,55.2233,47.5177,50.9517,159700,0.0,0.0
2005-01-21,49.4999,52.3197,49.4999,50.84,52900,0.0,0.0
2005-01-24,51.2309,51.2309,48.0202,48.2157,56300,0.0,0.0
2005-01-25,47.7411,50.0583,47.7131,49.9746,33000,0.0,0.0
2005-01-26,50.2538,53.0456,49.6116,52.1243,46200,0.0,0.0
2005-01-27,53.5202,53.7436,51.5101,53.7436,31400,0.0,0.0
2005-01-28,54.1065,54.7208,52.4873,53.7994,27000,0.0,0.0
2005-01-31,54.9441,58.2385,54.9441,58.071,70400,0.0,0.0
2005-02-01,58.071,62.8172,58.071,61.84,101200,0.0,0.0
2005-02-02,64.4923,64.4923,60.4441,61.4213,25500,0.0,0.0
2005-02-03,60.0532,62.4263,58.6573,62.1471,22800,0.0,0.0
2005-02-04,64.7715,64.9669,62.6776,63.6548,91700,0.0,0.0
2005-02-07,63.5152,63.8781,58.4619,60.807,18800,0.0,0.0
2005-02-08,58.6294,59.4111,55.8654,58.6573,20300,0.0,0.0
2005-02-09,59.3273,61.868,58.5735,60.7233,14300,0.0,0.0
2005-02-10,62.7893,62.9568,58.2664,58.9086,14200,0.0,0.0
2005-02-11,58.4898,59.104,57.5126,58.5177,16900,0.0,0.0
2005-02-14,59.5228,61.1141,58.7969,59.9416,18100,0.0,0.0
2005-02-15,60.1928,60.1928,57.736,59.0482,8700,0.0,0.0
2005-02-16,57.401,59.3273,57.401,58.8527,12500,0.0,0.0
2005-02-17,58.0431,58.0431,56.3959,56.3959,16300,0.0,0.0
2005-02-18,56.3959,59.2157,56.3959,56.9543,11800,0.0,0.0
2005-02-22,59.1598,59.1598,57.2334,58.6294,23800,0.0,0.0
2005-02-23,58.9086,61.1421,58.6294,61.1421,47300,0.0,0.0
2005-02-24,56.368,56.368,50.8959,51.3984,123800,0.0,0.0
2005-02-25,51.6497,54.4416,51.2867,53.0456,60000,0.0,0.0
2005-02-28,53.7436,53.7436,50.2538,50.5888,43600,0.0,0.0
2005-03-01,53.7436,53.7436,50.3375,51.1472,51000,0.0,0.0
2005-03-02,53.0177,53.7436,50.8121,52.236,56400,0.0,0.0
2005-03-03,53.3248,54.302,52.7664,53.2131,10600,0.0,0.0
2005-03-04,54.5812,54.5812,50.5888,52.3756,39000,0.0,0.0
2005-03-07,52.2081,54.302,51.6776,52.9898,19300,0.0,0.0
2005-03-08,52.3477,52.7106,50.1142,50.2537,55200,0.0,0.0
2005-03-09,50.2538,51.6497,48.2436,49.5558,43900,0.0,0.0
2005-03-10,48.6345,51.4822,46.9035,48.1598,55900,0.0,0.0
2005-03-11,47.6015,48.6065,47.3223,47.7411,14900,0.0,0.0
2005-03-14,47.6015,48.7182,47.6015,48.4111,45800,0.0,0.0
2005-03-15,48.7182,49.472,48.4111,48.9137,15300,0.0,0.0
2005-03-16,49.2208,49.3604,46.8197,47.3781,20000,0.0,0.0
2005-03-17,47.4619,48.4111,47.0431,47.6015,16900,0.0,0.0
2005-03-18,47.6015,48.2436,47.3223,47.6294,7400,0.0,0.0
2005-03-21,47.8807,47.8807,46.7639,47.0431,23700,0.0,0.0
2005-03-22,47.0431,47.8807,46.6243,47.0431,19700,0.0,0.0
2005-03-23,47.0431,47.9923,47.0431,47.9923,45500,0.0,0.0
2005-03-24,48.2994,48.2994,47.5736,47.9086,58300,0.0,0.0
2005-03-28,48.0202,50.2817,47.7411,49.1649,44200,0.0,0.0
2005-03-29,49.137,49.137,47.4619,47.7411,39800,0.0,0.0
2005-03-30,47.3223,48.5786,47.3223,48.5786,26400,0.0,0.0
2005-03-31,48.5786,48.8578,45.9543,47.6015,42700,0.0,0.0
2005-04-01,49.1649,49.1649,46.3451,46.7918,12500,0.0,0.0
2005-04-04,46.7918,46.7918,43.7487,44.7258,15900,0.0,0.0
2005-04-05,44.3908,44.3908,40.901,41.8502,47400,0.0,0.0
2005-04-06,40.8172,44.1395,40.6218,42.939,21700,0.0,0.0
2005-04-07,41.9898,48.0761,41.9898,45.9822,46300,0.0,0.0
2005-04-08,47.3223,47.5736,45.8705,46.3451,7400,0.0,0.0
2005-04-11,46.5964,48.8578,46.373,46.9873,15900,0.0,0.0
2005-04-12,48.8578,49.2208,47.2385,47.3781,14000,0.0,0.0
2005-04-13,46.9035,47.769,46.9035,47.3223,25600,0.0,0.0
2005-04-14,48.439,48.8299,47.6015,48.0202,18400,0.0,0.0
2005-04-15,47.8527,48.0482,47.3223,47.3502,35400,0.0,0.0
2005-04-18,48.1598,49.2766,47.4619,48.9137,23900,0.0,0.0
2005-04-19,48.8857,49.137,48.439,48.8299,17200,0.0,0.0
2005-04-20,49.4162,49.4162,48.2994,48.8578,13500,0.0,0.0
2005-04-21,48.9974,50.2538,48.9974,50.0862,44300,0.0,0.0
2005-04-22,49.8071,50.0025,49.137,49.6954,10000,0.0,0.0
2005-04-25,49.4162,51.5101,49.4162,50.4213,94100,0.0,0.0
2005-04-26,50.5329,51.9289,50.5329,50.7284,14700,0.0,0.0
2005-04-27,51.3705,51.7614,50.5329,50.5329,22700,0.0,0.0
2005-04-28,51.9847,51.9847,49.0812,50.505,25800,0.0,0.0
2005-04-29,50.7563,51.3705,50.2538,51.0913,12700,0.0,0.0
2005-05-02,51.0913,53.5482,51.0913,53.0456,28800,0.0,0.0
2005-05-03,53.2969,53.4644,52.5431,53.1294,16500,0.0,0.0
2005-05-04,53.3248,53.7436,52.6268,53.7436,21400,0.0,0.0
2005-05-05,54.1345,58.071,53.4644,56.2004,23800,0.0,0.0
2005-05-06,55.2791,64.7715,55.2791,62.8451,120100,0.0,0.0
2005-05-09,64.2131,64.2131,60.0253,61.2817,25200,0.0,0.0
2005-05-10,61.1979,61.4213,58.9086,60.8629,26600,0.0,0.0
2005-05-11,60.5558,60.5558,57.9314,58.5456,25100,0.0,0.0
2005-05-12,57.2334,57.2893,54.0228,54.1345,41000,0.0,0.0
2005-05-13,54.4974,57.2055,54.3299,55.8096,31400,0.0,0.0
2005-05-16,56.4238,57.2055,53.9669,53.9949,26600,0.0,0.0
2005-05-17,54.2741,55.7817,52.6548,53.604,12100,0.0,0.0
2005-05-18,53.604,57.5126,53.1573,56.7867,22000,0.0,0.0
2005-05-19,57.9314,62.0075,56.8426,58.769,40000,0.0,0.0
2005-05-20,59.0761,60.0253,56.5634,58.0989,9700,0.0,0.0
2005-05-23,60.1649,60.1649,56.1167,58.2106,16700,0.0,0.0
2005-05-24,58.071,58.9086,56.4238,57.9314,44100,0.0,0.0
2005-05-25,57.7918,57.7918,54.4416,55.307,34500,0.0,0.0
2005-05-26,53.0735,56.368,53.0735,55.6142,83500,0.0,0.0
2005-05-27,56.4517,58.6294,55.307,58.3223,36000,0.0,0.0
2005-05-31,58.6294,58.6294,55.8654,56.6751,12400,0.0,0.0
2005-06-01,55.8375,58.4339,55.2791,57.4289,57100,0.0,0.0
2005-06-02,58.3502,58.3502,55.5862,57.2055,3800,0.0,0.0
2005-06-03,57.6243,62.5101,57.2334,61.1979,98300,0.0,0.0
2005-06-06,61.3933,67.005,60.6116,64.9111,109300,0.0,0.0
2005-06-07,65.0786,68.1217,64.8273,65.8324,239400,0.0,0.0
2005-06-08,66.3349,69.0431,66.307,67.3679,160000,0.0,0.0
2005-06-09,67.1446,67.8146,62.6218,63.0405,72600,0.0,0.0
2005-06-10,63.5152,64.7436,62.6776,63.4035,133900,0.0,0.0
2005-06-13,63.3756,64.9111,61.5608,62.7614,146200,0.0,0.0
2005-06-14,62.2309,63.2639,61.5888,62.0634,30300,0.0,0.0
2005-06-15,62.538,66.67,61.5608,64.2131,77600,0.0,0.0
2005-06-16,64.2131,66.0278,62.8172,64.1573,65500,0.0,0.0
2005-06-17,66.3629,71.9745,65.6091,71.6116,187000,0.0,0.0
2005-06-20,71.1928,72.7283,69.2385,72.3933,153400,0.0,0.0
2005-06-21,70.6065,76.7766,70.6065,75.6877,163100,0.0,0.0
2005-06-22,75.3806,75.3806,73.6497,74.8223,92200,0.0,0.0
2005-06-23,74.8223,75.1014,70.6344,71.8349,118100,0.0,0.0
2005-06-24,71.8629,72.5888,69.3781,69.769,33900,0.0,0.0
2005-06-27,70.9136,71.3882,68.1217,68.4009,37400,0.0,0.0
2005-06-28,68.5964,74.2918,68.5964,73.5659,51000,0.0,0.0
2005-06-29,73.6217,74.5989,71.5278,72.5888,28000,0.0,0.0
2005-06-30,72.8679,73.0075,71.1928,72.7004,9500,0.0,0.0
2005-07-01,72.5888,73.1471,70.1877,70.8299,8300,0.0,0.0
2005-07-05,70.0761,73.8451,70.0761,73.3705,25000,0.0,0.0
2005-07-06,74.5151,79.5964,72.4492,72.8959,132400,0.0,0.0
2005-07-07,71.6954,75.7994,71.472,72.8679,63000,0.0,0.0
2005-07-08,73.1471,74.8223,72.9796,73.7893,23300,0.0,0.0
2005-07-11,73.4263,74.6827,72.6725,74.3476,24100,0.0,0.0
2005-07-12,74.2639,75.9111,74.1801,75.6319,25900,0.0,0.0
2005-07-13,74.906,75.5481,73.4263,73.5659,8800,0.0,0.0
2005-07-14,73.9289,74.208,68.4009,69.3502,81600,0.0,0.0
2005-07-15,69.1547,69.7969,65.6649,67.7309,59600,0.0,0.0
2005-07-18,67.6471,69.1268,66.4466,67.8426,66500,0.0,0.0
2005-07-19,68.038,69.6294,67.005,67.0329,28300,0.0,0.0
2005-07-20,67.005,72.9796,67.005,70.2157,196600,0.0,0.0
2005-07-21,71.137,71.7512,69.2385,69.9923,60200,0.0,0.0
2005-07-22,70.2157,70.2157,67.7588,68.4009,22000,0.0,0.0
2005-07-25,68.5405,70.0481,68.5405,69.3223,25900,0.0,0.0
2005-07-26,69.5177,70.9695,67.9822,68.0938,18700,0.0,0.0
2005-07-27,68.2613,68.2613,67.1446,67.2842,21200,0.0,0.0
2005-07-28,67.8146,67.8146,61.5329,63.5152,113000,0.0,0.0
2005-07-29,63.4872,63.8781,61.5329,63.7664,46600,0.0,0.0
2005-08-01,63.906,65.0228,62.8172,64.4365,33000,0.0,0.0
2005-08-02,62.8172,64.2131,57.7918,58.7131,175300,0.0,0.0
2005-08-03,61.7004,63.0964,57.8197,57.8756,232400,0.0,0.0
2005-08-04,57.736,57.736,54.8603,55.9492,228500,0.0,0.0
2005-08-05,55.6141,58.6294,55.335,58.071,111400,0.0,0.0
2005-08-08,59.1877,59.9974,57.9035,58.5735,92900,0.0,0.0
2005-08-09,59.7182,62.9009,58.6015,61.868,117400,0.0,0.0
2005-08-10,61.4213,62.8172,59.439,59.6065,85400,0.0,0.0
2005-08-11,59.6065,61.0862,59.3273,61.0025,48900,0.0,0.0
2005-08-12,61.2537,61.7563,59.4949,61.4213,50900,0.0,0.0
2005-08-15,61.5608,62.7614,60.8629,61.868,77100,0.0,0.0
2005-08-16,62.1751,62.7334,60.8629,62.1192,60600,0.0,0.0
2005-08-17,62.2588,62.5659,61.5608,62.0355,42100,0.0,0.0
2005-08-18,61.9517,62.2309,59.4669,59.7461,60600,0.0,0.0
2005-08-19,59.8857,60.8629,58.6852,59.2157,91200,0.0,0.0
2005-08-22,59.3553,60.807,58.9644,59.2157,53300,0.0,0.0
2005-08-23,60.3045,60.3045,58.6294,58.6294,57300,0.0,0.0
2005-08-24,59.1319,63.2081,58.6294,61.505,162700,0.0,0.0
2005-08-25,63.5152,64.2131,53.4644,53.7994,348900,0.0,0.0
2005-08-26,53.7994,54.1624,49.8908,51.901,278200,0.0,0.0
2005-08-29,50.8121,51.7893,49.8629,51.3705,102300,0.0,0.0
2005-08-30,51.3705,53.4086,51.2309,51.9289,78600,0.0,0.0
2005-08-31,52.9898,52.9898,51.873,52.1243,92000,0.0,0.0
2005-09-01,53.0456,53.2411,51.9289,53.0177,50600,0.0,0.0
2005-09-02,53.3527,54.7207,51.7614,52.7664,27700,0.0,0.0
2005-09-06,52.7664,53.1852,52.4314,52.9619,14100,0.0,0.0
2005-09-07,52.9898,53.2131,52.906,52.9898,21700,0.0,0.0
2005-09-08,52.7944,52.934,52.4593,52.7106,14300,0.0,0.0
2005-09-09,53.8553,53.8553,52.906,53.3248,10000,0.0,0.0
2005-09-12,53.604,55.1116,53.2411,53.8553,44400,0.0,0.0
2005-09-13,53.604,54.2461,52.571,52.906,14200,0.0,0.0
2005-09-14,53.4644,53.4644,50.4492,51.2588,46200,0.0,0.0
2005-09-15,51.3705,52.4314,50.868,51.538,67600,0.0,0.0
2005-09-16,51.7055,52.4873,51.6497,52.2081,38600,0.0,0.0
2005-09-19,52.0685,52.1522,50.0304,50.7842,32800,0.0,0.0
2005-09-20,51.4822,54.0786,50.2538,53.1573,99600,0.0,0.0
2005-09-21,54.0228,54.8603,52.5152,52.9898,58300,0.0,0.0
2005-09-22,53.0456,54.7208,51.7893,54.5253,55400,0.0,0.0
2005-09-23,54.9441,56.5355,54.637,55.9771,76100,0.0,0.0
2005-09-26,57.9314,58.6294,56.8147,57.373,104600,0.0,0.0
2005-09-27,57.6522,57.9314,54.9999,56.34,81200,0.0,0.0
2005-09-28,55.7817,57.0659,55.0837,55.1395,39900,0.0,0.0
2005-09-29,56.005,56.005,53.3248,54.637,41700,0.0,0.0
2005-09-30,54.637,55.335,52.0685,52.7385,35200,0.0,0.0
2005-10-03,52.6268,54.1624,48.0202,48.3553,157100,0.0,0.0
2005-10-04,49.3324,49.3324,46.5126,46.6522,108200,0.0,0.0
2005-10-05,46.7081,48.8578,46.1776,47.0431,45400,0.0,0.0
2005-10-06,47.3781,47.7411,46.4568,46.9035,59600,0.0,0.0
2005-10-07,47.2664,49.5558,47.2664,49.5558,48000,0.0,0.0
2005-10-10,49.6675,53.1852,49.6675,53.0735,117900,0.0,0.0
2005-10-11,53.2411,54.3299,52.7106,53.4644,59000,0.0,0.0
2005-10-12,53.2411,54.1624,50.4213,50.9238,105000,0.0,0.0
2005-10-13,50.9517,53.0456,48.5786,51.2588,115800,0.0,0.0
2005-10-14,51.5101,52.8223,51.3705,51.9568,5900,0.0,0.0
2005-10-17,52.6268,53.2131,52.1243,53.0456,24300,0.0,0.0
2005-10-18,53.269,55.1954,53.1015,53.269,64000,0.0,0.0
2005-10-19,53.1294,53.7436,51.3984,53.269,31000,0.0,0.0
2005-10-20,53.1573,54.3857,52.2639,53.3248,17800,0.0,0.0
2005-10-21,54.9441,54.9441,52.7944,53.8553,19700,0.0,0.0
2005-10-24,52.8502,53.8832,52.6268,52.7944,29200,0.0,0.0
2005-10-25,52.7664,54.4136,52.7664,53.7157,18300,0.0,0.0
2005-10-26,53.4923,53.7715,51.6776,52.1522,29300,0.0,0.0
2005-10-27,52.1522,53.604,50.7563,50.84,34200,0.0,0.0
2005-10-28,51.6497,52.7664,50.9517,51.3426,13700,0.0,0.0
2005-10-31,51.6497,52.9619,51.6497,52.5989,34200,0.0,0.0
2005-11-01,52.4873,53.269,52.4873,53.1294,35100,0.0,0.0
2005-11-02,53.3248,54.4136,53.3248,54.1624,7600,0.0,0.0
2005-11-03,54.4416,54.4416,52.0964,52.4314,69300,0.0,0.0
2005-11-04,52.1522,52.2081,50.5609,50.6167,44100,0.0,0.0
2005-11-07,51.0913,51.2309,50.2817,50.8121,33500,0.0,0.0
2005-11-08,51.2309,51.2309,48.6065,49.137,121200,0.0,0.0
2005-11-09,50.2258,50.2258,48.8578,49.5279,119300,0.0,0.0
2005-11-10,49.6954,53.0456,48.8857,51.7055,309100,0.0,0.0
2005-11-11,47.5456,48.8578,44.9213,45.3401,272500,0.0,0.0
2005-11-14,45.7868,45.7868,44.1116,44.7817,102400,0.0,0.0
2005-11-15,44.7817,46.038,44.1954,44.7258,75400,0.0,0.0
2005-11-16,45.0329,45.5913,44.67,45.368,17300,0.0,0.0
2005-11-17,45.6751,46.0659,44.9213,45.9822,54600,0.0,0.0
2005-11-18,46.1776,46.1776,45.6192,46.0659,19600,0.0,0.0
2005-11-21,46.1218,47.1827,46.0659,47.1269,36300,0.0,0.0
2005-11-22,47.071,47.2385,46.5964,47.0431,32600,0.0,0.0
2005-11-23,46.3451,46.9035,45.9543,46.1776,48200,0.0,0.0
2005-11-25,46.0659,46.5964,46.0659,46.2335,16000,0.0,0.0
2005-11-28,46.1497,46.1497,43.0786,43.3299,61300,0.0,0.0
2005-11-29,43.5253,43.5532,41.3198,41.5989,112200,0.0,0.0
2005-11-30,41.571,41.7385,39.505,40.6218,233300,0.0,0.0
