Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01,12.92,12.92,12.92,12.92,1300,0.0,0
2002-07-02,13.35,14.21,12.92,13.03,7000,0.0,0
2002-07-03,12.06,13.78,12.06,12.92,10200,0.0,0
2002-07-05,12.92,12.92,12.92,12.92,500,0.0,0
2002-07-08,12.06,12.06,12.06,12.06,300,0.0,0
2002-07-09,12.06,13.35,12.06,13.35,2300,0.0,0
2002-07-10,11.84,13.35,11.84,13.35,500,0.0,0
2002-07-11,13.35,13.35,13.35,13.35,0,0.0,0
2002-07-12,12.92,12.92,12.92,12.92,100,0.0,0
2002-07-15,12.71,12.71,10.77,10.98,42700,0.0,0
2002-07-16,10.98,10.98,10.77,10.77,5900,0.0,0
2002-07-17,10.77,10.77,10.55,10.77,2400,0.0,0
2002-07-18,10.59,10.59,10.12,10.12,1400,0.0,0
2002-07-19,9.99,9.99,8.66,9.04,10700,0.0,0
2002-07-22,9.04,9.04,8.61,8.79,4600,0.0,0
2002-07-23,8.79,8.79,8.79,8.79,100,0.0,0
2002-07-24,8.79,9.04,8.79,9.04,2200,0.0,0
2002-07-25,9.04,9.04,8.74,8.74,1300,0.0,0
2002-07-26,8.74,8.74,8.74,8.74,0,0.0,0
2002-07-29,9.04,9.56,9.0,9.56,4100,0.0,0
2002-07-30,9.69,10.21,9.69,9.91,8900,0.0,0
2002-07-31,10.25,10.34,10.12,10.34,5000,0.0,0
2002-08-01,10.16,10.25,10.16,10.16,4300,0.0,0
2002-08-02,10.16,10.16,10.16,10.16,0,0.0,0
2002-08-05,10.25,10.34,10.21,10.21,28600,0.0,0
2002-08-06,10.34,10.34,10.34,10.34,10000,0.0,0
2002-08-07,10.32,10.38,10.29,10.38,4400,0.0,0
2002-08-08,10.42,10.42,10.38,10.42,12300,0.0,0
2002-08-09,10.47,10.47,10.47,10.47,3400,0.0,0
2002-08-12,10.47,10.47,10.42,10.47,24400,0.0,0
2002-08-13,10.51,10.51,10.42,10.51,3900,0.0,0
2002-08-14,10.47,10.51,10.47,10.51,3700,0.0,0
2002-08-15,10.47,10.47,10.42,10.42,700,0.0,0
2002-08-16,10.34,10.47,10.34,10.47,8600,0.0,0
2002-08-19,10.47,10.47,10.04,10.04,8700,0.0,0
2002-08-20,9.99,9.99,9.99,9.99,100,0.0,0
