Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,0.57,0.56,0.56,23200,0.06875,0.0
1973-02-22,0.0,0.57,0.56,0.57,8800,0.0,0.0
1973-02-23,0.0,0.58,0.57,0.58,23200,0.0,0.0
1973-02-26,0.0,0.6,0.58,0.58,71200,0.0,0.0
1973-02-27,0.0,0.59,0.58,0.58,70000,0.0,0.0
1973-02-28,0.0,0.59,0.58,0.59,28400,0.0,0.0
1973-03-01,0.0,0.6,0.59,0.6,36000,0.0,0.0
1973-03-02,0.0,0.6,0.59,0.6,31200,0.0,0.0
1973-03-05,0.0,0.6,0.6,0.6,32400,0.0,0.0
1973-03-06,0.0,0.61,0.6,0.6,33200,0.0,0.0
1973-03-07,0.0,0.61,0.6,0.61,42400,0.0,0.0
1973-03-08,0.0,0.61,0.6,0.6,23200,0.0,0.0
1973-03-09,0.0,0.61,0.6,0.6,52800,0.0,0.0
1973-03-12,0.0,0.61,0.6,0.6,22400,0.0,0.0
1973-03-13,0.0,0.62,0.61,0.62,44000,0.0,0.0
1973-03-14,0.0,0.62,0.61,0.61,44000,0.0,0.0
1973-03-15,0.0,0.61,0.6,0.6,28800,0.0,0.0
1973-03-16,0.0,0.6,0.57,0.57,109600,0.0,0.0
1973-03-19,0.0,0.57,0.56,0.57,78000,0.0,0.0
1973-03-20,0.0,0.57,0.56,0.57,217600,0.0,0.0
1973-03-21,0.0,0.57,0.56,0.56,67600,0.0,0.0
1973-03-22,0.0,0.56,0.56,0.56,39600,0.0,0.0
1973-03-23,0.0,0.56,0.55,0.55,190400,0.0,0.0
1973-03-26,0.0,0.55,0.53,0.54,64400,0.0,0.0
1973-03-27,0.0,0.55,0.53,0.55,68400,0.0,0.0
1973-03-28,0.0,0.56,0.54,0.54,118400,0.0,0.0
1973-03-29,0.0,0.54,0.52,0.54,27200,0.0,0.0
1973-03-30,0.0,0.54,0.53,0.53,18800,0.0,0.0
1973-04-02,0.0,0.53,0.52,0.53,41600,0.0,0.0
1973-04-03,0.0,0.53,0.52,0.52,31600,0.0,0.0
1973-04-04,0.0,0.55,0.52,0.55,187600,0.0,0.0
1973-04-05,0.0,0.55,0.54,0.55,37600,0.0,0.0
1973-04-06,0.0,0.55,0.55,0.55,36400,0.0,0.0
1973-04-09,0.0,0.55,0.55,0.55,24800,0.0,0.0
1973-04-10,0.0,0.57,0.55,0.57,50000,0.0,0.0
1973-04-11,0.0,0.59,0.58,0.59,102400,0.0,0.0
1973-04-12,0.0,0.6,0.59,0.59,76400,0.0,0.0
1973-04-13,0.0,0.59,0.58,0.58,35200,0.0,0.0
1973-04-16,0.0,0.6,0.58,0.6,19600,0.0,0.0
1973-04-17,0.0,0.6,0.59,0.59,67600,0.0,0.0
1973-04-18,0.0,0.6,0.59,0.6,236400,0.0,0.0
