Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,0.04,0.04,0.04,34100.0,0.0,0.0
1973-02-22,0.0,0.04,0.04,0.04,20800.0,0.0,0.0
1973-02-23,0.0,0.04,0.04,0.04,55900.0,0.0,0.0
1973-02-26,0.0,0.04,0.04,0.04,17300.0,0.0,0.0
1973-02-27,0.0,0.04,0.04,0.04,8600.0,0.0,0.0
1973-02-28,0.0,0.04,0.04,0.04,21300.0,0.0,0.0
1973-03-01,0.0,0.04,0.04,0.04,10100.0,0.0,0.0
1973-03-02,0.0,0.04,0.04,0.04,26400.0,0.0,0.0
1973-03-05,0.0,0.04,0.04,0.04,68700.0,0.0,0.0
1973-03-06,0.0,0.04,0.04,0.04,25400.0,0.0,0.0
1973-03-07,0.0,0.04,0.04,0.04,13700.0,0.0,0.0
1973-03-08,0.0,0.04,0.04,0.04,12700.0,0.0,0.0
1973-03-09,0.0,0.04,0.04,0.04,39100.0,0.0,0.0
1973-03-12,0.0,0.04,0.04,0.04,14700.0,0.0,0.0
1973-03-13,0.0,0.04,0.04,0.04,14700.0,0.0,0.0
1973-03-14,0.0,0.04,0.04,0.04,21300.0,0.0,0.0
1973-03-15,0.0,0.04,0.04,0.04,60000.0,0.0,0.0
1973-03-16,0.0,0.04,0.04,0.04,233100.0,0.0,0.0
1973-03-19,0.0,0.04,0.04,0.04,36100.0,0.0,0.0
1973-03-20,0.0,0.04,0.04,0.04,58000.0,0.0,0.0
1973-03-21,0.0,0.04,0.04,0.04,8600.0,0.0,0.0
1973-03-22,0.0,0.04,0.04,0.04,17300.0,0.0,0.0
1973-03-23,0.0,0.04,0.04,0.04,23900.0,0.0,0.0
1973-03-26,0.0,0.04,0.04,0.04,16700.0,0.0,0.0
1973-03-27,0.0,0.04,0.04,0.04,37600.0,0.0,0.0
1973-03-28,0.0,0.04,0.04,0.04,89500.0,0.0,0.0
1973-03-29,0.0,0.04,0.04,0.04,21300.0,0.0,0.0
1973-03-30,0.0,0.04,0.04,0.04,14200.0,0.0,0.0
1973-04-02,0.0,0.04,0.04,0.04,25900.0,0.0,0.0
1973-04-03,0.0,0.04,0.04,0.04,11700.0,0.0,0.0
1973-04-04,0.0,0.04,0.04,0.04,25900.0,0.0,0.0
1973-04-05,0.0,0.04,0.04,0.04,22900.0,0.0,0.0
1973-04-06,0.0,0.04,0.04,0.04,19800.0,0.0,0.0
1973-04-09,0.0,0.04,0.04,0.04,13700.0,0.0,0.0
1973-04-10,0.0,0.04,0.04,0.04,37100.0,0.0,0.0
1973-04-11,0.0,0.04,0.04,0.04,51900.0,0.0,0.0
1973-04-12,0.0,0.04,0.04,0.04,13200.0,0.0,0.0
1973-04-13,0.0,0.04,0.04,0.04,138400.0,0.0,0.0
