Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-19,24.0,29.0,23.43,26.1,6187500,0,0
2018-01-22,26.31,26.64,24.82,25.76,846300,0,0
2018-01-23,25.66,26.62,25.35,25.9,585600,0,0
2018-01-24,25.8,25.99,25.25,25.51,250800,0,0
2018-01-25,25.61,25.77,25.11,25.48,173900,0,0
2018-01-26,25.71,25.8,25.15,25.76,155900,0,0
2018-01-29,25.79,26.1,25.29,25.8,78900,0,0
2018-01-30,25.58,26.1,24.82,25.44,63000,0,0
2018-01-31,25.41,27.35,25.36,27.12,186700,0,0
2018-02-01,27.06,27.07,26.3,26.71,69100,0,0
2018-02-02,26.39,26.499,25.352,25.58,63500,0,0
2018-02-05,25.32,26.03,24.75,25.25,40000,0,0
2018-02-06,25.01,26.18,24.75,24.93,106000,0,0
2018-02-07,24.8,25.19,24.46,24.55,99200,0,0
2018-02-08,24.75,24.85,23.72,24.04,103600,0,0
2018-02-09,24.2,24.2,22.23,23.25,172400,0,0
2018-02-12,23.62,23.78,23.14,23.5,110800,0,0
2018-02-13,23.5,24.595,23.45,24.05,121800,0,0
2018-02-14,24.07,25.74,23.8,25.22,139000,0,0
2018-02-15,25.35,26.63,25.35,25.95,148600,0,0
2018-02-16,26.15,26.82,26.0,26.03,255800,0,0
2018-02-20,26.0,27.0,26.0,26.56,89900,0,0
2018-02-21,26.58,26.68,26.12,26.37,63400,0,0
2018-02-22,26.32,27.31,26.025,26.9,53100,0,0
2018-02-23,26.81,27.69,26.01,27.59,105100,0,0
2018-02-26,27.56,27.56,26.65,26.87,36500,0,0
2018-02-27,26.76,27.5,26.76,27.33,44900,0,0
2018-02-28,27.29,28.3,27.21,27.29,139400,0,0
2018-03-01,27.2,27.2,26.18,26.28,143600,0,0
2018-03-02,26.1,27.0,25.06,25.98,244400,0,0
2018-03-05,25.81,26.96,25.16,26.3,115400,0,0
2018-03-06,26.4,27.36,25.64,26.07,99400,0,0
2018-03-07,25.87,26.77,25.02,26.61,84600,0,0
2018-03-08,26.6,27.61,26.07,27.0,103200,0,0
2018-03-09,27.28,27.45,26.04,26.97,79900,0,0
2018-03-12,26.99,27.28,25.53,26.11,119200,0,0
2018-03-13,26.22,26.95,25.29,26.06,173800,0,0
2018-03-14,26.2,26.395,25.23,25.55,224600,0,0
2018-03-15,25.57,26.09,24.51,25.42,167600,0,0
2018-03-16,25.37,25.91,25.26,25.56,886500,0,0
2018-03-19,25.53,25.7,23.91,24.36,164900,0,0
2018-03-20,24.56,25.25,24.26,24.47,125600,0,0
2018-03-21,24.43,26.29,24.41,26.23,97600,0,0
2018-03-22,25.98,26.37,25.49,25.57,124400,0,0
2018-03-23,25.65,25.7,25.18,25.2,122400,0,0
2018-03-26,25.48,25.48,24.67,24.74,363100,0,0
2018-03-27,24.86,24.86,23.06,23.18,92000,0,0
2018-03-28,23.13,23.3,22.68,23.0,139200,0,0
2018-03-29,22.75,24.38,22.6,24.35,201500,0,0
2018-04-02,24.6,25.37,23.19,23.87,186600,0,0
2018-04-03,24.05,26.205,23.74,26.0,147100,0,0
2018-04-04,25.86,26.056,24.89,25.45,120900,0,0
2018-04-05,25.49,26.5,25.21,26.39,275900,0,0
2018-04-06,26.24,26.61,26.03,26.28,113200,0,0
2018-04-09,26.34,27.09,26.108,26.41,161600,0,0
2018-04-10,26.52,27.73,26.44,27.32,145000,0,0
2018-04-11,27.23,28.555,26.66,28.19,113500,0,0
2018-04-12,28.18,28.9,27.75,28.1,80500,0,0
2018-04-13,28.13,28.72,28.13,28.57,26300,0,0
2018-04-16,28.67,29.53,28.25,29.27,191900,0,0
2018-04-17,29.49,31.195,29.31,30.84,197100,0,0
2018-04-18,30.99,33.23,30.99,31.65,487600,0,0
2018-04-19,31.81,31.81,28.3,29.02,359900,0,0
2018-04-20,28.62,29.99,28.5,28.93,108400,0,0
2018-04-23,29.0,30.241,29.0,29.71,106100,0,0
2018-04-24,30.07,30.68,29.23,29.75,257700,0,0
2018-04-25,29.75,30.561,29.277,30.0,66700,0,0
2018-04-26,30.15,30.53,29.67,30.14,89900,0,0
2018-04-27,30.24,30.37,29.19,29.37,144500,0,0
2018-04-30,29.55,30.74,29.47,30.54,89500,0,0
2018-05-01,30.58,30.58,29.711,30.29,54500,0,0
2018-05-02,30.23,30.916,30.19,30.62,44800,0,0
2018-05-03,30.52,30.94,29.08,29.65,83300,0,0
2018-05-04,29.5,31.0,29.3,30.5,171400,0,0
2018-05-07,30.91,31.45,29.89,30.09,137800,0,0
2018-05-08,30.0,31.04,28.6,30.73,189800,0,0
2018-05-09,30.91,31.55,30.01,30.22,137300,0,0
2018-05-10,30.31,30.815,30.141,30.81,98600,0,0
2018-05-11,30.84,31.29,30.572,30.98,152800,0,0
2018-05-14,31.7,34.47,29.95,33.44,202300,0,0
2018-05-15,33.85,36.99,33.8,35.64,290100,0,0
2018-05-16,35.82,36.748,35.33,35.72,268100,0,0
2018-05-17,35.86,39.235,35.63,38.36,317400,0,0
2018-05-18,38.44,38.56,37.59,38.46,146900,0,0
2018-05-21,38.79,39.249,37.11,37.57,196400,0,0
2018-05-22,37.74,37.98,35.83,36.37,186000,0,0
2018-05-23,36.09,37.04,35.051,36.59,204700,0,0
2018-05-24,36.39,36.7,35.81,36.26,90300,0,0
2018-05-25,35.98,35.98,34.581,35.1,119800,0,0
2018-05-29,34.75,35.85,34.5,34.96,101100,0,0
2018-05-30,35.28,36.0,35.03,35.27,100800,0,0
2018-05-31,35.27,35.45,34.5,34.82,145700,0,0
2018-06-01,35.08,35.73,32.58,32.85,270400,0,0
2018-06-04,32.98,33.53,31.17,31.53,188700,0,0
2018-06-05,31.5,32.38,30.785,31.02,247200,0,0
2018-06-06,31.21,32.025,30.416,31.27,201200,0,0
2018-06-07,31.4,32.5,30.925,31.46,192400,0,0
2018-06-08,30.8,30.8,28.9,29.62,394900,0,0
2018-06-11,29.52,29.955,28.75,29.81,110100,0,0
2018-06-12,29.8,30.138,29.0,29.7,141800,0,0
2018-06-13,31.09,31.22,30.25,30.69,299000,0,0
2018-06-14,30.81,31.08,29.72,30.32,121200,0,0
2018-06-15,29.97,30.27,29.26,30.24,168500,0,0
2018-06-18,30.25,30.46,29.94,30.36,127300,0,0
2018-06-19,30.07,31.06,29.9,30.71,178600,0,0
2018-06-20,30.94,32.41,30.36,32.37,225200,0,0
2018-06-21,32.27,32.61,31.924,32.11,173400,0,0
2018-06-22,32.71,34.107,32.04,33.78,292400,0,0
2018-06-25,33.62,34.045,32.8,33.01,123900,0,0
2018-06-26,33.06,33.38,32.39,32.72,94000,0,0
2018-06-27,32.8,34.06,32.51,32.78,119900,0,0
2018-06-28,32.8,33.41,32.43,33.04,175100,0,0
2018-06-29,33.02,33.655,32.86,33.12,329400,0,0
2018-07-02,33.0,33.74,31.63,31.96,258200,0,0
2018-07-03,32.03,32.47,31.005,31.12,111500,0,0
2018-07-05,31.38,32.22,30.75,31.23,123500,0,0
2018-07-06,31.25,32.45,31.25,32.19,75900,0,0
2018-07-09,32.5,33.87,31.89,33.06,109500,0,0
2018-07-10,33.21,33.602,32.49,32.81,39600,0,0
2018-07-11,32.4,32.91,31.35,31.69,46400,0,0
2018-07-12,31.64,32.08,30.84,31.55,81700,0,0
2018-07-13,31.45,32.05,31.38,31.67,43600,0,0
2018-07-16,31.63,31.65,30.34,30.53,82400,0,0
2018-07-17,30.37,31.32,29.8,30.88,65100,0,0
2018-07-18,30.88,31.75,30.39,31.62,131700,0,0
2018-07-19,31.1,31.2,30.18,30.81,164200,0,0
2018-07-20,30.79,32.52,30.01,32.09,282800,0,0
2018-07-23,32.04,32.18,31.216,31.47,308400,0,0
2018-07-24,31.29,31.47,28.58,29.05,368900,0,0
2018-07-25,28.99,29.72,28.05,28.37,549100,0,0
2018-07-26,28.43,28.53,27.71,28.21,257200,0,0
2018-07-27,28.23,28.93,27.95,28.87,98900,0,0
2018-07-30,29.01,29.83,28.69,29.39,210500,0,0
