Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-11-21,0.91,1.12,0.91,1.08,51412800,0.0,0.0
1995-11-22,1.08,1.36,1.07,1.32,11921600,0.0,0.0
1995-11-24,1.32,1.44,1.32,1.43,2419200,0.0,0.0
1995-11-27,1.51,1.53,1.3,1.33,6720000,0.0,0.0
1995-11-28,1.33,1.36,1.32,1.35,3451200,0.0,0.0
1995-11-29,1.32,1.53,1.32,1.52,3628800,0.0,0.0
1995-11-30,1.52,1.68,1.49,1.6,8254400,0.0,0.0
1995-12-01,1.63,1.67,1.57,1.59,2616000,0.0,0.0
1995-12-04,1.59,2.04,1.59,1.98,5961600,0.0,0.0
1995-12-05,1.98,2.01,1.86,1.87,2907200,0.0,0.0
1995-12-06,1.89,1.92,1.76,1.77,3456000,0.0,0.0
1995-12-07,1.77,1.77,1.68,1.68,2665600,0.0,0.0
1995-12-08,1.68,1.92,1.68,1.86,3099200,0.0,0.0
1995-12-11,1.88,1.89,1.84,1.89,564800,0.0,0.0
1995-12-12,1.9,2.0,1.84,1.94,2086400,0.0,0.0
1995-12-13,1.98,1.98,1.93,1.96,1510400,0.0,0.0
1995-12-14,1.94,1.97,1.94,1.94,668800,0.0,0.0
1995-12-15,1.94,1.98,1.89,1.89,2635200,0.0,0.0
1995-12-18,1.9,1.94,1.67,1.7,1246400,0.0,0.0
1995-12-19,1.65,1.74,1.62,1.72,4568000,0.0,0.0
1995-12-20,1.77,1.82,1.69,1.8,2275200,0.0,0.0
1995-12-21,1.82,1.84,1.77,1.78,321600,0.0,0.0
1995-12-22,1.74,1.85,1.74,1.8,1657600,0.0,0.0
1995-12-26,1.8,1.93,1.78,1.92,2286400,0.0,0.0
1995-12-27,1.93,2.0,1.86,1.97,2633600,0.0,0.0
1995-12-28,1.94,2.11,1.94,2.07,2569600,0.0,0.0
1995-12-29,2.1,2.21,2.07,2.12,1920000,0.0,0.0
1996-01-02,2.11,2.11,2.01,2.01,1892800,0.0,0.0
1996-01-03,2.01,2.04,1.77,1.8,3336000,0.0,0.0
1996-01-04,1.81,1.81,1.43,1.59,6041600,0.0,0.0
1996-01-05,1.6,1.74,1.53,1.64,3273600,0.0,0.0
1996-01-08,1.67,1.69,1.65,1.65,166400,0.0,0.0
1996-01-09,1.69,1.69,1.4,1.43,2500800,0.0,0.0
1996-01-10,1.36,1.45,1.33,1.37,3016000,0.0,0.0
1996-01-11,1.49,1.6,1.47,1.52,3654400,0.0,0.0
1996-01-12,1.59,1.59,1.43,1.48,793600,0.0,0.0
1996-01-15,1.48,1.49,1.39,1.44,668800,0.0,0.0
1996-01-16,1.41,1.43,1.2,1.43,3932800,0.0,0.0
1996-01-17,1.35,1.43,1.33,1.41,1545600,0.0,0.0
