Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-06-30,3.29,3.71,2.29,2.61,19108000,0.0,0.0
2000-07-03,2.64,2.88,2.63,2.8,1930800,0.0,0.0
2000-07-05,2.85,2.96,2.74,2.82,1640400,0.0,0.0
2000-07-06,2.89,3.19,2.82,3.17,1689200,0.0,0.0
2000-07-07,3.2,3.25,2.96,2.99,949600,0.0,0.0
2000-07-10,3.0,3.01,2.88,2.89,834400,0.0,0.0
2000-07-11,2.86,2.86,2.55,2.58,1237200,0.0,0.0
2000-07-12,2.62,2.77,2.61,2.69,490800,0.0,0.0
2000-07-13,2.74,2.77,2.46,2.47,1202000,0.0,0.0
2000-07-14,2.45,2.5,2.33,2.35,1261600,0.0,0.0
2000-07-17,2.3,2.31,2.02,2.04,1452800,0.0,0.0
2000-07-18,2.06,2.18,1.76,1.78,1511200,0.0,0.0
2000-07-19,1.8,1.88,1.76,1.79,577200,0.0,0.0
2000-07-20,1.76,1.88,1.76,1.88,478000,0.0,0.0
2000-07-21,1.99,2.12,1.88,2.02,1213600,0.0,0.0
2000-07-24,2.02,2.02,1.75,1.8,557200,0.0,0.0
2000-07-25,1.75,1.76,1.64,1.66,632400,0.0,0.0
2000-07-26,1.61,1.64,1.4,1.45,988000,0.0,0.0
2000-07-27,1.37,1.45,1.21,1.28,712800,0.0,0.0
2000-07-28,1.29,1.29,1.02,1.26,1780400,0.0,0.0
2000-07-31,1.21,1.39,1.08,1.3,1295200,0.0,0.0
2000-08-01,1.37,1.37,1.25,1.29,476000,0.0,0.0
2000-08-02,1.24,1.34,1.2,1.26,508000,0.0,0.0
2000-08-03,1.26,1.27,1.2,1.25,358000,0.0,0.0
2000-08-04,1.29,1.29,1.21,1.25,234000,0.0,0.0
2000-08-07,1.24,1.28,1.2,1.25,143200,0.0,0.0
2000-08-08,1.32,1.33,1.25,1.25,300400,0.0,0.0
2000-08-09,1.25,1.32,1.25,1.29,273200,0.0,0.0
2000-08-10,1.29,1.29,1.24,1.26,193600,0.0,0.0
2000-08-11,1.28,1.28,1.12,1.16,196800,0.0,0.0
2000-08-14,1.18,1.2,1.05,1.08,2551200,0.0,0.0
2000-08-15,1.07,1.1,1.06,1.08,272800,0.0,0.0
2000-08-16,1.08,1.13,1.06,1.08,456000,0.0,0.0
2000-08-17,1.13,1.25,1.06,1.21,367600,0.0,0.0
2000-08-18,1.16,1.32,1.13,1.32,475600,0.0,0.0
2000-08-21,1.31,1.32,1.24,1.29,184800,0.0,0.0
2000-08-22,1.28,1.39,1.28,1.36,627200,0.0,0.0
2000-08-23,1.34,1.34,1.29,1.32,680000,0.0,0.0
2000-08-24,1.34,1.34,1.25,1.3,268400,0.0,0.0
2000-08-25,1.3,1.56,1.3,1.41,530000,0.0,0.0
2000-08-28,1.43,1.43,1.34,1.4,279600,0.0,0.0
2000-08-29,1.41,1.47,1.41,1.43,292800,0.0,0.0
2000-08-30,1.55,1.61,1.43,1.51,780000,0.0,0.0
2000-08-31,1.49,1.65,1.48,1.64,1102400,0.0,0.0
2000-09-01,1.63,1.67,1.53,1.61,298800,0.0,0.0
2000-09-05,1.59,1.59,1.48,1.51,203200,0.0,0.0
2000-09-06,1.48,1.51,1.37,1.37,205600,0.0,0.0
2000-09-07,1.4,1.45,1.37,1.43,106000,0.0,0.0
2000-09-08,1.4,1.43,1.34,1.34,98800,0.0,0.0
2000-09-11,1.37,1.48,1.29,1.29,248000,0.0,0.0
2000-09-12,1.34,1.4,1.29,1.37,576000,0.0,0.0
2000-09-13,1.37,1.4,1.29,1.33,48800,0.0,0.0
2000-09-14,1.36,1.43,1.36,1.43,177200,0.0,0.0
2000-09-15,1.42,1.48,1.34,1.4,117600,0.0,0.0
2000-09-18,1.44,1.44,1.34,1.34,80400,0.0,0.0
2000-09-19,1.39,1.53,1.36,1.51,204400,0.0,0.0
2000-09-20,1.53,1.53,1.33,1.34,151600,0.0,0.0
2000-09-21,1.34,1.39,1.29,1.29,414400,0.0,0.0
2000-09-22,1.26,1.28,1.18,1.21,161200,0.0,0.0
2000-09-25,1.24,1.28,1.24,1.24,45200,0.0,0.0
2000-09-26,1.25,1.25,1.16,1.18,179200,0.0,0.0
2000-09-27,1.18,1.24,1.16,1.18,518800,0.0,0.0
2000-09-28,1.16,1.18,1.16,1.17,94000,0.0,0.0
2000-09-29,1.18,1.18,1.16,1.17,55600,0.0,0.0
2000-10-02,1.16,1.17,1.1,1.1,382800,0.0,0.0
2000-10-03,1.1,1.16,1.02,1.02,126000,0.0,0.0
2000-10-04,1.03,1.1,1.0,1.08,231200,0.0,0.0
2000-10-05,1.05,1.11,1.02,1.02,112800,0.0,0.0
2000-10-06,1.02,1.06,0.98,1.0,271600,0.0,0.0
2000-10-09,1.05,1.08,0.81,0.9,419600,0.0,0.0
2000-10-10,0.92,0.93,0.83,0.89,370000,0.0,0.0
2000-10-11,0.82,0.87,0.82,0.87,287600,0.0,0.0
2000-10-12,0.82,0.87,0.82,0.82,228000,0.0,0.0
2000-10-13,0.86,0.86,0.75,0.83,1097600,0.0,0.0
2000-10-16,0.86,0.91,0.81,0.86,198800,0.0,0.0
2000-10-17,0.83,1.02,0.77,0.81,144400,0.0,0.0
2000-10-18,0.81,0.81,0.7,0.75,551600,0.0,0.0
