Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-10-18,0.63,0.64,0.62,0.63,405200,0.0,0.0
1994-10-19,0.64,0.69,0.64,0.69,242200,0.0,0.0
1994-10-20,0.7,0.72,0.69,0.69,137200,0.0,0.0
1994-10-21,0.69,0.7,0.68,0.68,66600,0.0,0.0
1994-10-24,0.68,0.7,0.67,0.67,73400,0.0,0.0
1994-10-25,0.66,0.68,0.65,0.68,63200,0.0,0.0
1994-10-26,0.68,0.69,0.68,0.68,46200,0.15,0.0
1994-10-27,0.68,0.69,0.68,0.68,33800,0.0,0.0
1994-10-28,0.68,0.68,0.67,0.67,40000,0.0,0.0
1994-10-31,0.67,0.68,0.67,0.67,32800,0.0,0.0
1994-11-01,0.67,0.67,0.66,0.67,33000,0.0,0.0
1994-11-02,0.67,0.67,0.65,0.66,73200,0.0,0.0
1994-11-03,0.67,0.67,0.66,0.66,54800,0.0,0.0
1994-11-04,0.66,0.66,0.64,0.64,65600,0.0,0.0
1994-11-07,0.64,0.65,0.64,0.64,71200,0.0,0.0
1994-11-08,0.64,0.65,0.64,0.65,103000,0.0,0.0
1994-11-09,0.65,0.66,0.65,0.65,60000,0.0,0.0
1994-11-10,0.64,0.66,0.63,0.63,74200,0.0,0.0
1994-11-11,0.64,0.64,0.61,0.63,78400,0.0,0.0
1994-11-14,0.62,0.64,0.61,0.63,63800,0.0,0.0
1994-11-15,0.62,0.63,0.61,0.62,68200,0.0,0.0
1994-11-16,0.62,0.63,0.61,0.62,83200,0.0,0.0
1994-11-17,0.61,0.63,0.61,0.63,96400,0.0,0.0
1994-11-18,0.62,0.62,0.61,0.61,110400,0.0,0.0
1994-11-21,0.62,0.63,0.61,0.62,132600,0.0,0.0
1994-11-22,0.62,0.63,0.62,0.62,90200,0.0,0.0
1994-11-23,0.62,0.63,0.62,0.63,47000,0.0,0.0
1994-11-25,0.63,0.64,0.63,0.64,32800,0.15,0.0
1994-11-28,0.64,0.65,0.64,0.65,66400,0.0,0.0
1994-11-29,0.65,0.66,0.65,0.65,46600,0.0,0.0
1994-11-30,0.65,0.66,0.65,0.66,70400,0.0,0.0
1994-12-01,0.66,0.66,0.65,0.66,66600,0.0,0.0
1994-12-02,0.66,0.66,0.65,0.65,30600,0.0,0.0
1994-12-05,0.65,0.66,0.65,0.65,44200,0.0,0.0
1994-12-06,0.65,0.65,0.64,0.65,42000,0.0,0.0
1994-12-07,0.64,0.65,0.64,0.65,33000,0.0,0.0
1994-12-08,0.65,0.66,0.65,0.65,37400,0.0,0.0
1994-12-09,0.64,0.65,0.64,0.65,70400,0.0,0.0
1994-12-12,0.65,0.66,0.65,0.65,31000,0.0,0.0
1994-12-13,0.65,0.65,0.65,0.65,67200,0.0,0.0
1994-12-14,0.65,0.66,0.64,0.66,109400,0.0,0.0
1994-12-15,0.66,0.67,0.65,0.66,42800,0.0,0.0
1994-12-16,0.67,0.69,0.66,0.68,80800,0.0,0.0
1994-12-19,0.68,0.7,0.68,0.69,76600,0.0,0.0
1994-12-20,0.68,0.69,0.67,0.69,55800,0.0,0.0
1994-12-21,0.68,0.69,0.68,0.69,53400,0.0,0.0
1994-12-22,0.69,0.69,0.68,0.69,57600,0.0,0.0
1994-12-23,0.69,0.69,0.68,0.68,44000,0.0,0.0
1994-12-27,0.69,0.71,0.68,0.69,45600,0.15,0.0
1994-12-28,0.69,0.7,0.69,0.7,40800,0.0,0.0
1994-12-29,0.69,0.69,0.69,0.69,63200,0.0,0.0
1994-12-30,0.69,0.72,0.69,0.72,103000,0.0,0.0
1995-01-03,0.71,0.71,0.7,0.71,45800,0.0,0.0
1995-01-04,0.7,0.71,0.69,0.69,21200,0.0,0.0
1995-01-05,0.69,0.7,0.69,0.7,15600,0.0,0.0
1995-01-06,0.69,0.7,0.69,0.7,16000,0.0,0.0
1995-01-09,0.7,0.72,0.7,0.71,48000,0.0,0.0
1995-01-10,0.72,0.72,0.71,0.71,20000,0.0,0.0
1995-01-11,0.71,0.72,0.71,0.71,16200,0.0,0.0
1995-01-12,0.71,0.72,0.71,0.72,26200,0.0,0.0
1995-01-13,0.72,0.73,0.72,0.73,23000,0.0,0.0
1995-01-16,0.73,0.73,0.72,0.73,20400,0.0,0.0
1995-01-17,0.73,0.73,0.72,0.73,16800,0.0,0.0
1995-01-18,0.73,0.74,0.73,0.73,30600,0.0,0.0
1995-01-19,0.73,0.74,0.73,0.73,21200,0.0,0.0
1995-01-20,0.74,0.74,0.73,0.73,19600,0.0,0.0
1995-01-23,0.73,0.75,0.73,0.74,42400,0.0,0.0
1995-01-24,0.75,0.75,0.74,0.74,34000,0.0,0.0
1995-01-25,0.74,0.74,0.73,0.74,22000,0.0,0.0
1995-01-26,0.74,0.76,0.74,0.75,14000,0.15,0.0
1995-01-27,0.75,0.77,0.75,0.77,37800,0.0,0.0
1995-01-30,0.77,0.77,0.76,0.77,51200,0.0,0.0
1995-01-31,0.76,0.76,0.74,0.76,36800,0.0,0.0
1995-02-01,0.75,0.76,0.75,0.76,42400,0.0,0.0
1995-02-02,0.74,0.76,0.74,0.75,47000,0.0,0.0
1995-02-03,0.74,0.76,0.74,0.75,91600,0.0,0.0
1995-02-06,0.76,0.77,0.75,0.76,51200,0.0,0.0
1995-02-07,0.76,0.77,0.76,0.77,48800,0.0,0.0
1995-02-08,0.76,0.77,0.74,0.74,53600,0.0,0.0
1995-02-09,0.76,0.77,0.76,0.77,55200,0.0,0.0
1995-02-10,0.77,0.77,0.76,0.77,20600,0.0,0.0
1995-02-13,0.76,0.77,0.76,0.77,33400,0.0,0.0
1995-02-14,0.77,0.78,0.76,0.78,28600,0.0,0.0
1995-02-15,0.78,0.8,0.78,0.79,77400,0.0,0.0
1995-02-16,0.8,0.81,0.79,0.81,71400,0.0,0.0
1995-02-17,0.81,0.82,0.8,0.81,128000,0.0,0.0
1995-02-21,0.8,0.81,0.79,0.79,32400,0.0,0.0
1995-02-22,0.8,0.81,0.79,0.8,21200,0.0,0.0
1995-02-23,0.81,0.81,0.78,0.79,41800,0.15,0.0
1995-02-24,0.79,0.81,0.79,0.81,44800,0.0,0.0
1995-02-27,0.81,0.82,0.8,0.8,37400,0.0,0.0
1995-02-28,0.81,0.83,0.81,0.82,24000,0.0,0.0
1995-03-01,0.82,0.82,0.81,0.82,14400,0.0,0.0
1995-03-02,0.81,0.82,0.81,0.81,14400,0.0,0.0
1995-03-03,0.81,0.82,0.81,0.81,15600,0.0,0.0
1995-03-06,0.81,0.81,0.79,0.8,15200,0.0,0.0
1995-03-07,0.79,0.81,0.79,0.8,32000,0.0,0.0
1995-03-08,0.8,0.8,0.79,0.8,42000,0.0,0.0
1995-03-09,0.81,0.81,0.81,0.81,12600,0.0,0.0
1995-03-10,0.81,0.81,0.8,0.81,18800,0.0,0.0
