Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.49,0.5,0.49,0.49,25600,0.0,0.0
1980-03-18,0.49,0.5,0.49,0.49,81600,0.0,0.0
1980-03-19,0.49,0.51,0.49,0.49,40000,0.0,0.0
1980-03-20,0.49,0.5,0.49,0.49,11200,0.0,0.0
1980-03-21,0.49,0.5,0.48,0.48,19200,0.0,0.0
1980-03-24,0.48,0.49,0.47,0.47,112000,0.0,0.0
1980-03-25,0.47,0.48,0.47,0.47,49600,0.0,0.0
1980-03-26,0.47,0.49,0.47,0.47,17600,0.0,0.0
1980-03-27,0.47,0.48,0.47,0.47,78400,0.0,0.0
1980-03-28,0.47,0.48,0.47,0.47,16000,0.0,0.0
1980-03-31,0.46,0.46,0.45,0.45,128000,0.0,0.0
1980-04-01,0.45,0.46,0.44,0.44,54400,0.0,0.0
1980-04-02,0.45,0.46,0.45,0.45,20800,0.0,0.0
1980-04-03,0.45,0.46,0.44,0.44,8000,0.0,0.0
1980-04-07,0.44,0.45,0.44,0.44,43200,0.0,0.0
1980-04-08,0.44,0.45,0.44,0.44,62400,0.0,0.0
1980-04-09,0.44,0.46,0.44,0.44,33600,0.0,0.0
1980-04-10,0.45,0.47,0.45,0.45,24000,0.0,0.0
1980-04-11,0.46,0.47,0.46,0.46,33600,0.0,0.0
1980-04-14,0.46,0.47,0.45,0.45,32000,0.0,0.0
1980-04-15,0.45,0.47,0.45,0.45,33600,0.0,0.0
1980-04-16,0.45,0.47,0.45,0.45,76800,0.0,0.0
1980-04-17,0.45,0.47,0.45,0.45,8000,0.0,0.0
1980-04-18,0.47,0.48,0.47,0.47,52800,0.0,0.0
1980-04-21,0.47,0.47,0.45,0.45,70400,0.0,0.0
1980-04-22,0.47,0.48,0.47,0.47,83200,0.0,0.0
1980-04-23,0.47,0.48,0.47,0.47,19200,0.0,0.0
1980-04-24,0.47,0.48,0.47,0.47,3200,0.0,0.0
1980-04-25,0.47,0.48,0.46,0.46,17600,0.0,0.0
1980-04-28,0.47,0.48,0.47,0.47,56000,0.0,0.0
1980-04-29,0.48,0.5,0.48,0.48,64000,0.0,0.0
1980-04-30,0.48,0.5,0.48,0.48,4800,0.0,0.0
1980-05-01,0.48,0.5,0.48,0.48,108800,0.0,0.0
1980-05-02,0.48,0.5,0.48,0.48,17600,0.0,0.0
1980-05-05,0.48,0.5,0.48,0.48,48000,0.0,0.0
1980-05-06,0.48,0.5,0.48,0.48,14400,0.0,0.0
1980-05-07,0.48,0.49,0.48,0.48,32000,0.0,0.0
1980-05-08,0.48,0.49,0.47,0.47,102400,0.0,0.0
1980-05-09,0.47,0.48,0.47,0.47,62400,0.0,0.0
1980-05-12,0.47,0.48,0.46,0.46,17600,0.0,0.0
1980-05-13,0.46,0.48,0.46,0.46,8000,0.0,0.0
1980-05-14,0.46,0.48,0.46,0.46,20800,0.0,0.0
1980-05-15,0.48,0.49,0.48,0.48,140800,0.0,0.0
1980-05-16,0.48,0.49,0.48,0.48,116800,0.0,0.0
1980-05-19,0.48,0.5,0.48,0.48,44800,0.0,0.0
1980-05-20,0.48,0.49,0.48,0.48,134400,0.0,0.0
1980-05-21,0.49,0.5,0.49,0.49,76800,0.0,0.0
