Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-12,0.05,0.06,0.05,0.05,393012000,0.0,0.0
1986-03-13,0.06,0.06,0.06,0.06,125290800,0.0,0.0
1986-03-14,0.06,0.06,0.06,0.06,57866400,0.0,0.0
1986-03-17,0.06,0.06,0.06,0.06,28285200,0.0,0.0
1986-03-18,0.06,0.06,0.06,0.06,32335200,0.0,0.0
1986-03-19,0.06,0.06,0.05,0.05,22712400,0.0,0.0
1986-03-20,0.05,0.05,0.05,0.05,17787600,0.0,0.0
1986-03-21,0.05,0.05,0.05,0.05,16232400,0.0,0.0
1986-03-24,0.05,0.05,0.05,0.05,20736000,0.0,0.0
1986-03-25,0.05,0.05,0.05,0.05,21675600,0.0,0.0
1986-03-26,0.05,0.05,0.05,0.05,23328000,0.0,0.0
1986-03-27,0.05,0.06,0.05,0.05,21513600,0.0,0.0
1986-03-31,0.06,0.06,0.06,0.06,9882000,0.0,0.0
1986-04-01,0.05,0.05,0.05,0.05,20314800,0.0,0.0
1986-04-02,0.05,0.05,0.05,0.05,12960000,0.0,0.0
1986-04-03,0.05,0.06,0.05,0.05,11955600,0.0,0.0
1986-04-04,0.05,0.05,0.05,0.05,10659600,0.0,0.0
1986-04-07,0.05,0.05,0.05,0.05,9007200,0.0,0.0
1986-04-08,0.05,0.06,0.05,0.05,15001200,0.0,0.0
1986-04-09,0.05,0.05,0.05,0.05,8942400,0.0,0.0
1986-04-10,0.05,0.05,0.05,0.05,9428400,0.0,0.0
1986-04-11,0.06,0.06,0.06,0.06,18273600,0.0,0.0
1986-04-14,0.06,0.06,0.06,0.06,46785600,0.0,0.0
1986-04-15,0.06,0.06,0.06,0.06,12020400,0.0,0.0
1986-04-16,0.06,0.06,0.06,0.06,22550400,0.0,0.0
1986-04-17,0.06,0.06,0.06,0.06,19699200,0.0,0.0
1986-04-18,0.06,0.07,0.06,0.07,27799200,0.0,0.0
1986-04-21,0.07,0.08,0.07,0.08,33534000,0.0,0.0
1986-04-22,0.08,0.08,0.07,0.07,38264400,0.0,0.0
1986-04-23,0.07,0.07,0.07,0.07,4114800,0.0,0.0
1986-04-24,0.07,0.07,0.07,0.07,10789200,0.0,0.0
1986-04-25,0.07,0.07,0.07,0.07,4633200,0.0,0.0
1986-04-28,0.07,0.07,0.07,0.07,46008000,0.0,0.0
1986-04-29,0.07,0.07,0.07,0.07,2786400,0.0,0.0
1986-04-30,0.07,0.07,0.07,0.07,9720000,0.0,0.0
1986-05-01,0.07,0.07,0.07,0.07,21546000,0.0,0.0
1986-05-02,0.07,0.07,0.06,0.06,10627200,0.0,0.0
1986-05-05,0.06,0.07,0.06,0.07,4924800,0.0,0.0
