Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,0.47,0.48,0.47,0.48,431600,0.0,0.0
1982-01-04,0.48,0.48,0.48,0.48,329500,0.0,0.0
1982-01-05,0.48,0.48,0.47,0.47,383200,0.0,0.0
1982-01-06,0.47,0.48,0.47,0.48,281700,0.0,0.0
1982-01-07,0.47,0.48,0.47,0.48,168500,0.0,0.0
1982-01-08,0.48,0.5,0.47,0.47,157900,0.0,0.0
1982-01-11,0.47,0.47,0.46,0.46,284600,0.0,0.0
1982-01-12,0.46,0.46,0.46,0.46,242100,0.0,0.0
1982-01-13,0.46,0.46,0.45,0.46,197400,0.0,0.0
1982-01-14,0.45,0.46,0.45,0.45,295800,0.0,0.0
1982-01-15,0.46,0.46,0.45,0.46,204500,0.0,0.0
1982-01-18,0.46,0.46,0.45,0.46,239200,0.0,0.0
1982-01-19,0.46,0.47,0.46,0.46,198200,0.0,0.0
1982-01-20,0.46,0.46,0.46,0.46,171700,0.0,0.0
1982-01-21,0.46,0.46,0.45,0.46,182000,0.0,0.0
1982-01-22,0.45,0.46,0.45,0.45,458500,0.0,0.0
1982-01-25,0.44,0.45,0.43,0.44,398800,0.0,0.0
1982-01-26,0.44,0.45,0.44,0.44,442500,0.0,0.0
1982-01-27,0.44,0.44,0.43,0.44,228700,0.0,0.0
1982-01-28,0.45,0.46,0.43,0.46,289000,0.0,0.0
1982-01-29,0.46,0.46,0.45,0.45,224300,0.0,0.0
1982-02-01,0.45,0.45,0.44,0.44,198400,0.0,0.0
1982-02-02,0.44,0.44,0.44,0.44,133700,0.0,0.0
1982-02-03,0.44,0.44,0.44,0.44,108800,0.0,0.0
1982-02-04,0.44,0.45,0.44,0.44,141400,0.0,0.0
1982-02-05,0.44,0.45,0.44,0.44,154400,0.0,0.0
1982-02-08,0.44,0.44,0.44,0.44,184500,0.0,0.0
1982-02-09,0.43,0.43,0.43,0.43,265200,0.0,0.0
1982-02-10,0.44,0.44,0.43,0.44,222600,0.0,0.0
1982-02-11,0.44,0.44,0.43,0.44,277500,0.0,0.0
1982-02-12,0.44,0.44,0.43,0.43,291700,0.0,0.0
1982-02-16,0.43,0.43,0.43,0.43,239400,0.0,0.0
1982-02-17,0.43,0.44,0.43,0.43,153300,0.0,0.0
1982-02-18,0.43,0.43,0.43,0.43,127100,0.0,0.0
1982-02-19,0.43,0.44,0.43,0.43,223200,0.0,0.0
1982-02-22,0.43,0.44,0.43,0.43,205300,0.0,0.0
1982-02-23,0.43,0.43,0.42,0.43,179500,0.0,0.0
1982-02-24,0.43,0.44,0.43,0.44,266300,0.0,0.0
1982-02-25,0.44,0.44,0.44,0.44,273400,0.0,0.0
1982-02-26,0.44,0.44,0.43,0.44,151700,0.0,0.0
1982-03-01,0.43,0.44,0.43,0.44,159200,0.0,0.0
1982-03-02,0.44,0.44,0.43,0.44,276100,0.0,0.0
1982-03-03,0.43,0.43,0.42,0.43,438700,0.0,0.0
1982-03-04,0.42,0.43,0.41,0.42,372800,0.29939,0.0
1982-03-05,0.41,0.41,0.4,0.41,503000,0.0,0.0
1982-03-08,0.4,0.41,0.38,0.39,500300,0.0,0.0
1982-03-09,0.4,0.41,0.38,0.4,655600,0.0,0.0
1982-03-10,0.41,0.41,0.4,0.41,376700,0.0,0.0
1982-03-11,0.41,0.41,0.41,0.41,264600,0.0,0.0
1982-03-12,0.4,0.41,0.39,0.39,467000,0.0,0.0
1982-03-15,0.39,0.4,0.38,0.39,684400,0.0,0.0
1982-03-16,0.4,0.4,0.39,0.4,320300,0.0,0.0
1982-03-17,0.4,0.41,0.4,0.4,206100,0.0,0.0
1982-03-18,0.41,0.41,0.4,0.41,193200,0.0,0.0
1982-03-19,0.42,0.42,0.41,0.42,173500,0.0,0.0
1982-03-22,0.42,0.43,0.42,0.43,414300,0.0,0.0
1982-03-23,0.43,0.43,0.42,0.43,219300,0.0,0.0
1982-03-24,0.43,0.43,0.42,0.42,313100,0.0,0.0
1982-03-25,0.42,0.42,0.42,0.42,160000,0.0,0.0
1982-03-26,0.42,0.43,0.42,0.42,191100,0.0,0.0
1982-03-29,0.42,0.42,0.42,0.42,174000,0.0,0.0
1982-03-30,0.42,0.43,0.42,0.42,165400,0.0,0.0
1982-03-31,0.42,0.43,0.42,0.42,631600,0.0,0.0
1982-04-01,0.42,0.42,0.42,0.42,177200,0.0,0.0
1982-04-02,0.42,0.43,0.42,0.42,373800,0.0,0.0
1982-04-05,0.42,0.42,0.42,0.42,112800,0.0,0.0
1982-04-06,0.42,0.42,0.42,0.42,194900,0.0,0.0
1982-04-07,0.42,0.42,0.41,0.42,187600,0.0,0.0
1982-04-08,0.42,0.42,0.42,0.42,111800,0.0,0.0
