Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-06-30,7.52,8.16,7.36,7.63,4745040,0,0
2010-07-01,7.63,7.84,7.38,7.76,554460,0,0
2010-07-02,7.64,8.41,7.64,8.08,205932,0,0
2010-07-06,8.22,8.22,7.59,7.72,118439,0,0
2010-07-07,7.78,7.79,7.63,7.66,410360,0,0
2010-07-08,7.71,8.22,7.71,8.1,449572,0,0
2010-07-09,8.22,8.3,7.78,8.3,221509,0,0
2010-07-12,8.36,8.37,8.19,8.26,94516,0,0
2010-07-13,8.33,8.62,8.27,8.41,358076,0,0
2010-07-14,8.38,8.66,8.32,8.52,123527,0,0
2010-07-15,8.46,8.46,8.11,8.33,130800,0,0
2010-07-16,8.3,8.3,7.33,8.09,39763,0,0
2010-07-19,8.09,8.14,7.82,8.08,61778,0,0
2010-07-20,8.08,8.1,7.93,8.08,22438,0,0
2010-07-21,8.13,8.21,7.93,7.93,42134,0,0
2010-07-22,7.99,8.75,7.95,8.75,79055,0,0
2010-07-23,8.75,8.75,8.44,8.72,48625,0,0
2010-07-26,8.66,8.66,8.44,8.44,14856,0,0
2010-07-27,8.39,8.62,8.11,8.47,42095,0,0
2010-07-28,8.41,8.66,8.1,8.66,31579,0,0
2010-07-29,8.66,9.12,8.57,9.03,76294,0,0
2010-07-30,8.96,8.96,8.48,8.81,38033,0,0
2010-08-02,8.76,8.88,8.44,8.53,66794,0,0
2010-08-03,8.53,8.68,8.44,8.44,14576,0,0
2010-08-04,8.5,8.5,8.44,8.44,13623,0,0
2010-08-05,8.44,8.55,8.35,8.41,11581,0,0
2010-08-06,8.41,8.46,8.33,8.38,31024,0,0
2010-08-09,8.52,8.8,8.52,8.72,75436,0,0
2010-08-10,8.8,9.1,8.63,8.74,68584,0,0
2010-08-11,8.66,8.66,8.38,8.41,129109,0,0
2010-08-12,8.42,8.42,8.23,8.26,37481,0,0
2010-08-13,8.31,8.49,8.23,8.49,19447,0,0
2010-08-16,8.33,8.52,8.28,8.41,19910,0,0
