Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,0.01,0.01,0.01,192000,0.0,0.0
1962-01-03,0.0,0.01,0.01,0.01,428800,0.0,0.0
1962-01-04,0.0,0.01,0.01,0.01,326400,0.0,0.0
1962-01-05,0.0,0.01,0.01,0.01,544000,0.0,0.0
1962-01-08,0.0,0.01,0.01,0.01,1523200,0.0,0.0
1962-01-09,0.0,0.01,0.01,0.01,499200,0.0,0.0
1962-01-10,0.0,0.01,0.01,0.01,300800,0.0,0.0
1962-01-11,0.0,0.01,0.01,0.01,371200,0.0,0.0
1962-01-12,0.0,0.01,0.01,0.01,390400,0.0,0.0
1962-01-15,0.0,0.01,0.01,0.01,281600,0.0,0.0
1962-01-16,0.0,0.01,0.01,0.01,236800,0.00586,0.0
1962-01-17,0.0,0.01,0.01,0.01,377600,0.0,0.0
1962-01-18,0.0,0.01,0.01,0.01,544000,0.0,0.0
1962-01-19,0.0,0.01,0.01,0.01,697600,0.0,0.0
1962-01-22,0.0,0.01,0.01,0.01,646400,0.0,0.0
1962-01-23,0.0,0.01,0.01,0.01,332800,0.0,0.0
1962-01-24,0.0,0.01,0.01,0.01,422400,0.0,0.0
1962-01-25,0.0,0.01,0.01,0.01,294400,0.0,0.0
1962-01-26,0.0,0.01,0.01,0.01,230400,0.0,0.0
1962-01-29,0.0,0.01,0.01,0.01,313600,0.0,0.0
1962-01-30,0.0,0.01,0.01,0.01,294400,0.0,0.0
1962-01-31,0.0,0.01,0.01,0.01,422400,0.0,0.0
1962-02-01,0.0,0.01,0.01,0.01,435200,0.0,0.0
1962-02-02,0.0,0.01,0.01,0.01,595200,0.0,0.0
1962-02-05,0.0,0.01,0.01,0.01,396800,0.0,0.0
1962-02-06,0.0,0.01,0.01,0.01,249600,0.0,0.0
1962-02-07,0.0,0.01,0.01,0.01,268800,0.0,0.0
1962-02-08,0.0,0.01,0.01,0.01,403200,0.0,0.0
1962-02-09,0.0,0.01,0.01,0.01,396800,0.0,0.0
1962-02-12,0.0,0.01,0.01,0.01,134400,0.0,0.0
1962-02-13,0.0,0.01,0.01,0.01,345600,0.0,0.0
1962-02-14,0.0,0.01,0.01,0.01,422400,0.0,0.0
1962-02-15,0.0,0.01,0.01,0.01,281600,0.0,0.0
1962-02-16,0.0,0.01,0.01,0.01,486400,0.0,0.0
1962-02-19,0.0,0.01,0.01,0.01,281600,0.0,0.0
1962-02-20,0.0,0.01,0.01,0.01,460800,0.0,0.0
1962-02-21,0.0,0.01,0.01,0.01,531200,0.0,0.0
