Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.14,1.11,1.11,44500.0,0.0,0.0
1980-03-18,0.0,1.13,1.12,1.13,34300.0,0.0,0.0
1980-03-19,0.0,1.12,1.11,1.12,9000.0,0.0,0.0
1980-03-20,0.0,1.11,1.11,1.11,6900.0,0.0,0.0
1980-03-21,0.0,1.12,1.1,1.12,24300.0,0.0,0.0
1980-03-24,0.0,1.12,1.1,1.11,43300.0,0.0,0.0
1980-03-25,0.0,1.11,1.08,1.08,61600.0,0.0,0.0
1980-03-26,0.0,1.1,1.08,1.1,81000.0,0.0,0.0
1980-03-27,0.0,1.08,1.05,1.05,74200.0,0.0,0.0
1980-03-28,0.0,1.06,1.05,1.05,31200.0,0.0,0.0
1980-03-31,0.0,1.07,1.06,1.07,30600.0,0.0,0.0
1980-04-01,0.0,1.08,1.04,1.04,266100.0,0.0,0.0
1980-04-02,0.0,1.04,1.03,1.04,2200.0,0.0,0.0
1980-04-03,0.0,1.08,1.05,1.08,80200.0,0.0,0.0
1980-04-07,0.0,1.09,1.07,1.09,64800.0,0.0,0.0
1980-04-08,0.0,1.13,1.08,1.13,181500.0,0.0,0.0
1980-04-09,0.0,1.14,1.12,1.13,33700.0,0.0,0.0
1980-04-10,0.0,1.13,1.12,1.13,22500.0,0.0,0.0
1980-04-11,0.0,1.13,1.1,1.1,34300.0,0.0,0.0
1980-04-14,0.0,1.1,1.09,1.09,15400.0,0.0,0.0
1980-04-15,0.0,1.09,1.09,1.09,21100.0,0.0,0.0
1980-04-16,0.0,1.1,1.07,1.07,22500.0,0.0,0.0
1980-04-17,0.0,1.07,1.05,1.05,268600.0,0.0,0.0
1980-04-18,0.0,1.07,1.06,1.06,10300.0,0.0,0.0
1980-04-21,0.0,1.07,1.05,1.05,12300.0,0.0,0.0
1980-04-22,0.0,1.07,1.05,1.07,16300.0,0.0,0.0
1980-04-23,0.0,1.12,1.09,1.12,62700.0,0.0,0.0
1980-04-24,0.0,1.12,1.11,1.11,4000.0,0.0,0.0
1980-04-25,0.0,1.11,1.09,1.09,11400.0,0.0,0.0
1980-04-28,0.0,1.11,1.09,1.09,151200.0,0.0,0.0
1980-04-29,0.0,1.08,1.08,1.08,1900.0,0.0,0.0
1980-04-30,0.0,1.08,1.07,1.07,17500.0,0.0,0.0
1980-05-01,0.0,1.08,1.07,1.08,9000.0,0.0,0.0
1980-05-02,0.0,1.07,1.05,1.05,23100.0,0.0,0.0
1980-05-05,0.0,1.05,1.05,1.05,13500.0,0.0,0.0
1980-05-06,0.0,1.05,1.04,1.05,31600.0,0.0,0.0
1980-05-07,0.0,1.04,1.03,1.03,81900.0,0.0,0.0
1980-05-08,0.0,1.03,1.01,1.03,329400.0,0.0,0.0
1980-05-09,0.0,1.03,1.01,1.01,11400.0,0.0,0.0
1980-05-12,0.0,1.02,1.0,1.02,18400.0,0.0,0.0
1980-05-13,0.0,1.02,1.01,1.02,4200.0,0.0,0.0
1980-05-14,0.0,1.04,1.01,1.04,23100.0,0.0,0.0
1980-05-15,0.0,1.04,1.03,1.03,28300.0,0.0,0.0
1980-05-16,0.0,1.04,1.03,1.04,52800.0,0.0,0.0
1980-05-19,0.0,1.02,1.01,1.02,85200.0,0.0,0.0
1980-05-20,0.0,1.02,1.01,1.01,8100.0,0.0,0.0
1980-05-21,0.0,1.04,1.01,1.04,39700.0,0.0,0.0
1980-05-22,0.0,1.1,1.05,1.09,33300.0,0.0,0.0
1980-05-23,0.0,1.09,1.06,1.06,32500.0,0.0,0.0
1980-05-27,0.0,1.07,1.05,1.07,42400.0,0.0,0.0
1980-05-28,0.0,1.08,1.05,1.06,153100.0,0.0,0.0
1980-05-29,0.0,1.09,1.05,1.09,83800.0,0.0,0.0
1980-05-30,0.0,1.09,1.07,1.07,39700.0,0.0,0.0
