Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.27,0.27,0.27,0.27,59200,0.0,0.0
1973-02-22,0.27,0.27,0.27,0.27,49600,0.0,0.0
1973-02-23,0.26,0.26,0.26,0.26,92800,0.0,0.0
1973-02-26,0.27,0.27,0.27,0.27,73600,0.0,0.0
1973-02-27,0.26,0.26,0.26,0.26,131200,0.0,0.0
1973-02-28,0.27,0.27,0.27,0.27,57600,0.0,0.0
1973-03-01,0.26,0.26,0.26,0.26,68800,0.0,0.0
1973-03-02,0.26,0.26,0.26,0.26,182400,0.0,0.0
1973-03-05,0.26,0.26,0.26,0.26,44800,0.0,0.0
1973-03-06,0.26,0.26,0.26,0.26,41600,0.0,0.0
1973-03-07,0.29,0.29,0.29,0.29,148800,0.0,0.0
1973-03-08,0.29,0.29,0.29,0.29,35200,0.0,0.0
1973-03-09,0.28,0.28,0.28,0.28,59200,0.0,0.0
1973-03-12,0.27,0.27,0.27,0.27,38400,0.0,0.0
1973-03-13,0.28,0.28,0.28,0.28,134400,0.0,0.0
1973-03-14,0.28,0.28,0.28,0.28,51200,0.0,0.0
1973-03-15,0.27,0.27,0.27,0.27,41600,0.0,0.0
1973-03-16,0.27,0.27,0.27,0.27,54400,0.0,0.0
1973-03-19,0.27,0.27,0.27,0.27,46400,0.0,0.0
1973-03-20,0.27,0.27,0.27,0.27,14400,0.0,0.0
1973-03-21,0.26,0.26,0.26,0.26,62400,0.0,0.0
1973-03-22,0.26,0.26,0.26,0.26,112000,0.0,0.0
1973-03-23,0.27,0.27,0.27,0.27,97600,0.0,0.0
1973-03-26,0.28,0.28,0.28,0.28,139200,0.0,0.0
1973-03-27,0.28,0.28,0.28,0.28,67200,0.0,0.0
1973-03-28,0.28,0.28,0.28,0.28,91200,0.0,0.0
1973-03-29,0.28,0.28,0.28,0.28,51200,0.0,0.0
1973-03-30,0.28,0.28,0.28,0.28,48000,0.0,0.0
1973-04-02,0.28,0.28,0.28,0.28,40000,0.0,0.0
1973-04-03,0.27,0.27,0.27,0.27,67200,0.0,0.0
1973-04-04,0.27,0.27,0.27,0.27,46400,0.0,0.0
1973-04-05,0.26,0.26,0.26,0.26,20800,0.0,0.0
1973-04-06,0.26,0.26,0.26,0.26,134400,0.0,0.0
1973-04-09,0.26,0.26,0.26,0.26,96000,0.0,0.0
1973-04-10,0.27,0.27,0.27,0.27,145600,0.0,0.0
1973-04-11,0.26,0.26,0.26,0.26,137600,0.0,0.0
1973-04-12,0.27,0.27,0.27,0.27,145600,0.0,0.0
1973-04-13,0.29,0.29,0.29,0.29,92800,0.0,0.0
1973-04-16,0.29,0.29,0.29,0.29,112000,0.0,0.0
1973-04-17,0.28,0.28,0.28,0.28,120000,0.0,0.0
1973-04-18,0.28,0.28,0.28,0.28,116800,0.0,0.0
1973-04-19,0.27,0.27,0.27,0.27,73600,0.0,0.0
1973-04-23,0.27,0.27,0.27,0.27,99200,0.0,0.0
1973-04-24,0.25,0.25,0.25,0.25,171200,0.0,0.0
1973-04-25,0.23,0.23,0.23,0.23,136000,0.0,0.0
1973-04-26,0.23,0.23,0.23,0.23,96000,0.0,0.0
1973-04-27,0.23,0.23,0.23,0.23,84800,0.0,0.0
1973-04-30,0.23,0.23,0.23,0.23,161600,0.0,0.0
1973-05-01,0.23,0.23,0.23,0.23,86400,0.0,0.0
1973-05-02,0.26,0.26,0.26,0.26,184000,0.0,0.0
1973-05-03,0.0,0.26,0.24,0.26,142400,0.0,0.0
1973-05-04,0.0,0.27,0.26,0.26,153600,0.0,0.0
1973-05-07,0.0,0.26,0.25,0.26,38400,0.0,0.0
1973-05-08,0.0,0.26,0.25,0.26,80000,0.0,0.0
1973-05-09,0.0,0.26,0.26,0.26,57600,0.0,0.0
1973-05-10,0.0,0.26,0.25,0.25,80000,0.0,0.0
1973-05-11,0.0,0.26,0.25,0.26,182400,0.0,0.0
1973-05-14,0.0,0.26,0.25,0.25,65600,0.0,0.0
1973-05-15,0.0,0.25,0.24,0.25,112000,0.0,0.0
1973-05-16,0.0,0.25,0.24,0.25,115200,0.0,0.0
1973-05-17,0.0,0.25,0.24,0.24,136000,0.0,0.0
1973-05-18,0.0,0.24,0.22,0.22,86400,0.0,0.0
1973-05-21,0.0,0.22,0.18,0.18,336000,0.0,0.0
1973-05-22,0.0,0.2,0.19,0.19,318400,0.0,0.0
1973-05-23,0.0,0.2,0.18,0.19,118400,0.0,0.0
1973-05-24,0.0,0.2,0.19,0.2,150400,0.0,0.0
1973-05-25,0.0,0.22,0.2,0.22,179200,0.0,0.0
1973-05-29,0.0,0.22,0.22,0.22,147200,0.0,0.0
1973-05-30,0.0,0.22,0.21,0.21,126400,0.0,0.0
1973-05-31,0.0,0.21,0.2,0.2,60800,0.0,0.0
1973-06-01,0.0,0.2,0.19,0.2,60800,0.0,0.0
1973-06-04,0.0,0.19,0.18,0.18,233600,0.0,0.0
1973-06-05,0.0,0.19,0.18,0.19,91200,0.0,0.0
1973-06-06,0.0,0.2,0.19,0.19,36800,0.0,0.0
1973-06-07,0.0,0.19,0.18,0.18,59200,0.0,0.0
1973-06-08,0.0,0.21,0.19,0.21,80000,0.0,0.0
1973-06-11,0.0,0.21,0.2,0.2,54400,0.0,0.0
1973-06-12,0.0,0.21,0.21,0.21,54400,0.0,0.0
1973-06-13,0.0,0.23,0.22,0.22,120000,0.0,0.0
1973-06-14,0.0,0.22,0.21,0.21,118400,0.0,0.0
1973-06-15,0.0,0.21,0.2,0.21,35200,0.0,0.0
1973-06-18,0.0,0.21,0.2,0.2,33600,0.0,0.0
1973-06-19,0.0,0.21,0.2,0.2,43200,0.0,0.0
1973-06-20,0.0,0.21,0.2,0.21,48000,0.0,0.0
