Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-11-21,8.97,8.97,8.69,8.78,3821400,0.0,0
1997-11-24,8.78,8.78,8.5,8.69,541600,0.0,0
1997-11-25,8.73,8.78,8.66,8.78,425000,0.0,0
1997-11-26,8.78,8.78,8.69,8.69,165200,0.0,0
1997-11-28,8.69,8.78,8.69,8.78,60500,0.0,0
1997-12-01,8.81,8.83,8.78,8.81,120300,0.0,0
1997-12-02,8.83,8.83,8.73,8.78,164200,0.0,0
1997-12-03,8.81,8.81,8.76,8.78,540000,0.0,0
1997-12-04,8.78,8.81,8.78,8.78,43800,0.0,0
1997-12-05,8.73,8.92,8.73,8.81,147500,0.0,0
1997-12-08,8.78,8.88,8.78,8.85,74900,0.0,0
1997-12-09,8.83,8.85,8.78,8.85,61000,0.0,0
1997-12-10,8.83,8.88,8.81,8.81,104500,0.0,0
1997-12-11,8.78,8.83,8.78,8.81,153600,0.0,0
1997-12-12,8.81,8.85,8.81,8.85,59900,0.0,0
1997-12-15,8.83,8.85,8.81,8.85,24400,0.0,0
1997-12-16,8.9,9.12,8.9,9.07,107900,0.134,0
1997-12-17,9.12,9.31,9.1,9.29,63900,0.0,0
1997-12-18,9.26,9.31,9.26,9.31,35700,0.0,0
1997-12-19,9.31,9.31,9.12,9.17,134400,0.0,0
1997-12-22,9.19,9.26,9.17,9.22,34400,0.0,0
1997-12-23,9.22,9.29,9.22,9.22,88500,0.0,0
1997-12-24,9.19,9.22,9.14,9.22,63300,0.0,0
1997-12-26,9.17,9.17,9.05,9.1,34600,0.0,0
1997-12-29,9.17,9.24,9.12,9.14,159600,0.0,0
1997-12-30,9.22,9.34,9.1,9.34,52400,0.0,0
1997-12-31,9.36,9.65,9.36,9.65,215700,0.0,0
1998-01-02,9.6,9.6,9.46,9.55,52000,0.0,0
1998-01-05,9.5,9.58,9.46,9.46,42300,0.0,0
1998-01-06,9.5,9.5,9.46,9.48,26900,0.0,0
1998-01-07,9.48,9.5,9.38,9.46,49500,0.0,0
1998-01-08,9.41,9.5,9.36,9.43,95700,0.0,0
1998-01-09,9.41,9.41,9.26,9.36,37800,0.0,0
1998-01-12,9.26,9.38,9.12,9.38,24500,0.0,0
1998-01-13,9.41,9.46,9.38,9.43,190300,0.0,0
