Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-03-17,28.03,29.52,27.6,27.69,1988000,0.0,0
2008-03-18,27.95,29.15,26.77,27.81,8067600,0.0,0
2008-03-19,27.81,28.59,26.29,28.09,3007700,0.0,0
2008-03-20,28.14,28.14,27.4,27.55,3007700,0.0,0
2008-03-24,27.92,28.59,27.92,28.59,1437000,0.0,0
2008-03-25,28.81,29.01,28.37,29.01,1100800,0.0,0
2008-03-26,28.98,29.41,28.2,28.2,2023200,0.0,0
2008-03-27,28.56,29.17,28.03,28.41,8653300,0.0,0
2008-03-28,28.56,29.43,28.34,28.62,9961200,0.0,0
2008-03-31,29.37,30.66,28.03,28.35,19408900,0.0,0
2008-04-01,28.65,29.26,27.47,28.35,23322500,0.0,0
2008-04-02,28.68,29.19,28.11,28.71,12944700,0.0,0
2008-04-03,28.59,28.87,28.25,28.62,12439100,0.0,0
2008-04-04,28.86,28.86,28.48,28.8,6651000,0.0,0
2008-04-07,28.93,28.93,28.31,28.41,7099300,0.0,0
2008-04-08,28.26,28.6,28.15,28.37,8283300,0.0,0
2008-04-09,28.31,28.36,27.55,27.68,8916200,0.0,0
2008-04-10,27.74,27.98,27.19,27.28,14321900,0.0,0
2008-04-11,27.18,27.41,26.95,27.09,11400700,0.0,0
2008-04-14,27.08,27.1,26.59,26.91,11532500,0.0,0
2008-04-15,26.78,27.1,26.78,27.02,9603400,0.0,0
2008-04-16,27.14,27.81,27.1,27.73,14837600,0.0,0
2008-04-17,27.87,28.03,27.7,27.95,6660700,0.0,0
2008-04-18,28.3,28.56,27.68,28.01,9630700,0.0,0
2008-04-21,28.14,28.53,27.54,28.38,6528300,0.0,0
2008-04-22,28.37,28.53,27.98,28.07,5504900,0.0,0
2008-04-23,28.59,29.34,28.53,29.15,13532300,0.0,0
2008-04-24,29.15,29.39,28.87,29.15,5847500,0.0,0
2008-04-25,29.23,29.25,28.45,28.76,11399700,0.0,0
2008-04-28,28.56,28.76,28.45,28.63,8382500,0.0,0
2008-04-29,28.84,29.26,28.18,29.16,12325300,0.0,0
2008-04-30,28.98,29.16,28.54,28.61,8733100,0.0,0
2008-05-01,28.49,28.69,28.38,28.45,7120800,0.0,0
2008-05-02,28.53,28.65,28.25,28.6,9291100,0.0,0
2008-05-05,28.52,28.94,28.38,28.48,8398500,0.0,0
2008-05-06,28.53,29.12,28.51,29.08,7588300,0.0,0
2008-05-07,29.13,29.26,28.76,28.98,6391400,0.0,0
2008-05-08,28.95,29.27,28.87,29.26,6669700,0.0,0
2008-05-09,29.09,29.41,28.89,29.06,5491700,0.0,0
2008-05-12,29.14,29.45,28.76,29.41,5851300,0.0,0
2008-05-13,29.39,29.62,29.17,29.41,5986600,0.0,0
2008-05-14,29.44,29.63,29.37,29.53,5381500,0.0,0
2008-05-15,29.44,29.89,29.21,29.85,8376500,0.0,0
2008-05-16,29.84,29.99,29.35,29.92,7172600,0.0,0
2008-05-19,29.99,30.24,29.67,30.06,6580200,0.0,0
2008-05-20,29.88,30.24,29.61,29.66,6887400,0.0,0
2008-05-21,29.73,29.81,29.06,29.14,6784200,0.0,0
2008-05-22,29.05,29.58,29.03,29.31,5135200,0.0,0
