Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1975-11-17,0.0,0.53,0.53,0.53,4000,0.0,0.0
1975-11-18,0.0,0.52,0.52,0.52,39200,0.0,0.0
1975-11-19,0.0,0.52,0.52,0.52,22400,0.0,0.0
1975-11-20,0.0,0.5,0.5,0.5,24800,0.0,0.0
1975-11-21,0.0,0.51,0.51,0.51,22400,0.0,0.0
1975-11-24,0.0,0.5,0.5,0.5,5600,0.0,0.0
1975-11-25,0.0,0.5,0.5,0.5,24000,0.0,0.0
1975-11-26,0.0,0.49,0.49,0.49,35200,0.0,0.0
1975-11-28,0.0,0.48,0.48,0.48,19200,0.0,0.0
1975-12-01,0.0,0.48,0.48,0.48,7200,0.0,0.0
1975-12-02,0.0,0.47,0.47,0.47,24000,0.0,0.0
1975-12-03,0.0,0.45,0.45,0.45,40800,0.0,0.0
1975-12-04,0.0,0.45,0.45,0.45,16000,0.0,0.0
1975-12-05,0.0,0.44,0.44,0.44,36000,0.0,0.0
1975-12-08,0.0,0.44,0.44,0.44,37600,0.0,0.0
1975-12-09,0.0,0.45,0.45,0.45,64000,0.0,0.0
1975-12-10,0.0,0.45,0.45,0.45,22400,0.0,0.0
1975-12-11,0.0,0.45,0.45,0.45,15200,0.0,0.0
1975-12-12,0.0,0.46,0.46,0.46,119200,0.0,0.0
1975-12-15,0.0,0.45,0.45,0.45,45600,0.0,0.0
1975-12-16,0.0,0.45,0.45,0.45,53600,0.0,0.0
1975-12-17,0.0,0.46,0.46,0.46,47200,0.0,0.0
1975-12-18,0.0,0.46,0.46,0.46,26400,0.0,0.0
1975-12-19,0.0,0.46,0.46,0.46,8000,0.0,0.0
1975-12-22,0.0,0.46,0.46,0.46,24800,0.0,0.0
1975-12-23,0.0,0.46,0.46,0.46,52000,0.0,0.0
1975-12-24,0.0,0.46,0.46,0.46,8800,0.0,0.0
1975-12-26,0.0,0.48,0.48,0.48,12800,0.0,0.0
1975-12-29,0.0,0.48,0.48,0.48,8800,0.0,0.0
1975-12-30,0.0,0.48,0.48,0.48,20000,0.0,0.0
1975-12-31,0.0,0.48,0.48,0.48,12000,0.0,0.0
1976-01-02,0.0,0.47,0.47,0.47,4800,0.0,0.0
1976-01-05,0.0,0.48,0.48,0.48,27200,0.0,0.0
1976-01-06,0.0,0.52,0.52,0.52,65600,0.0,0.0
1976-01-07,0.0,0.52,0.52,0.52,25600,0.0,0.0
1976-01-08,0.0,0.52,0.52,0.52,13600,0.0,0.0
1976-01-09,0.0,0.52,0.52,0.52,24800,0.0,0.0
1976-01-12,0.0,0.52,0.52,0.52,35200,0.0,0.0
1976-01-13,0.0,0.53,0.53,0.53,23200,0.0,0.0
1976-01-14,0.0,0.56,0.56,0.56,50400,0.0,0.0
1976-01-15,0.0,0.55,0.55,0.55,52800,0.0,0.0
1976-01-16,0.0,0.57,0.57,0.57,48000,0.0,0.0
1976-01-19,0.0,0.57,0.57,0.57,17600,0.0,0.0
1976-01-20,0.0,0.57,0.57,0.57,25600,0.0,0.0
1976-01-21,0.0,0.56,0.56,0.56,19200,0.0,0.0
1976-01-22,0.0,0.55,0.55,0.55,23200,0.0,0.0
1976-01-23,0.0,0.55,0.55,0.55,32000,0.0,0.0
1976-01-26,0.0,0.56,0.56,0.56,31200,0.0,0.0
1976-01-27,0.0,0.56,0.56,0.56,13600,0.0,0.0
1976-01-28,0.0,0.56,0.56,0.56,4800,0.0,0.0
1976-01-29,0.0,0.57,0.55,0.55,17600,0.0,0.0
1976-01-30,0.0,0.58,0.56,0.56,24800,0.0,0.0
1976-02-02,0.0,0.59,0.57,0.57,18400,0.0,0.0
1976-02-03,0.0,0.61,0.59,0.59,26400,0.0,0.0
1976-02-04,0.0,0.62,0.6,0.6,16000,0.0,0.0
1976-02-05,0.0,0.62,0.6,0.6,39200,0.0,0.0
1976-02-06,0.0,0.61,0.59,0.59,24800,0.0,0.0
1976-02-09,0.0,0.61,0.59,0.59,11200,0.0,0.0
1976-02-10,0.0,0.61,0.59,0.59,4000,0.0,0.0
1976-02-11,0.0,0.62,0.6,0.6,7200,0.0,0.0
1976-02-12,0.0,0.61,0.59,0.59,5600,0.0,0.0
1976-02-13,0.0,0.61,0.59,0.59,4800,0.0,0.0
