Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-03,0.43,0.45,0.43,0.43,35700,0.0,0.0
1973-05-04,0.46,0.49,0.46,0.46,59500,0.0,0.0
1973-05-07,0.44,0.46,0.44,0.44,66100,0.0,0.0
1973-05-08,0.43,0.45,0.43,0.43,23800,0.0,0.0
1973-05-09,0.45,0.46,0.45,0.45,32100,0.0,0.0
1973-05-10,0.45,0.46,0.45,0.45,9500,0.0,0.0
1973-05-11,0.45,0.46,0.45,0.45,14200,0.0,0.0
1973-05-14,0.45,0.46,0.45,0.45,23800,0.0,0.0
1973-05-15,0.45,0.46,0.45,0.45,34500,0.0,0.0
1973-05-16,0.44,0.46,0.44,0.44,20200,0.0,0.0
1973-05-17,0.45,0.46,0.45,0.45,32700,0.0,0.0
1973-05-18,0.43,0.45,0.43,0.43,32700,0.0,0.0
1973-05-21,0.39,0.41,0.39,0.39,76800,0.0,0.0
1973-05-22,0.39,0.41,0.39,0.39,10700,0.0,0.0
1973-05-23,0.39,0.4,0.39,0.39,30300,0.0,0.0
1973-05-24,0.36,0.39,0.36,0.36,55300,0.0,0.0
1973-05-25,0.38,0.39,0.38,0.38,43400,0.0,0.0
1973-05-29,0.38,0.39,0.38,0.38,16000,0.0,0.0
1973-05-30,0.36,0.39,0.36,0.36,500,0.0,0.0
1973-05-31,0.36,0.39,0.36,0.36,30300,0.0,0.0
1973-06-01,0.36,0.39,0.36,0.36,5900,0.0,0.0
1973-06-04,0.36,0.39,0.36,0.36,2300,0.0,0.0
1973-06-05,0.36,0.39,0.36,0.36,30900,0.0,0.0
1973-06-06,0.36,0.39,0.36,0.36,16000,0.0,0.0
1973-06-07,0.36,0.39,0.36,0.36,7700,0.0,0.0
1973-06-08,0.38,0.39,0.38,0.38,9500,0.0,0.0
1973-06-11,0.39,0.41,0.39,0.39,22000,0.0,0.0
1973-06-12,0.39,0.41,0.39,0.39,23200,0.0,0.0
1973-06-13,0.39,0.41,0.39,0.39,5300,0.0,0.0
1973-06-14,0.39,0.41,0.39,0.39,16000,0.0,0.0
1973-06-15,0.39,0.41,0.39,0.39,13100,0.0,0.0
1973-06-18,0.36,0.39,0.36,0.36,20200,0.0,0.0
1973-06-19,0.36,0.39,0.36,0.36,7700,0.0,0.0
1973-06-20,0.38,0.39,0.38,0.38,5900,0.0,0.0
1973-06-21,0.36,0.39,0.36,0.36,14200,0.0,0.0
1973-06-22,0.36,0.39,0.36,0.36,28500,0.0,0.0
1973-06-25,0.36,0.39,0.36,0.36,7700,0.0,0.0
1973-06-26,0.36,0.39,0.36,0.36,11300,0.0,0.0
1973-06-27,0.36,0.38,0.36,0.36,16000,0.0,0.0
1973-06-28,0.35,0.36,0.35,0.35,22000,0.0,0.0
1973-06-29,0.35,0.36,0.35,0.35,13100,0.0,0.0
1973-07-02,0.35,0.36,0.35,0.35,5300,0.0,0.0
1973-07-03,0.35,0.36,0.35,0.35,2300,0.0,0.0
1973-07-05,0.35,0.36,0.35,0.35,500,0.0,0.0
1973-07-06,0.35,0.36,0.35,0.35,5300,0.0,0.0
