Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.03,0.03,0.03,51500,0.0,0.0
1980-03-18,0.0,0.03,0.03,0.03,56200,0.0,0.0
1980-03-19,0.0,0.03,0.03,0.03,42900,0.0,0.0
1980-03-20,0.0,0.03,0.03,0.03,159300,0.0,0.0
1980-03-21,0.0,0.03,0.03,0.03,69500,0.0,0.0
1980-03-24,0.0,0.03,0.03,0.03,133500,0.0,0.0
1980-03-25,0.0,0.03,0.03,0.03,182000,0.0,0.0
1980-03-26,0.0,0.03,0.03,0.03,178200,0.0,0.0
1980-03-27,0.0,0.03,0.03,0.03,125800,0.0,0.0
1980-03-28,0.0,0.03,0.03,0.03,106900,0.0,0.0
1980-03-31,0.0,0.03,0.03,0.03,403200,0.0,0.0
1980-04-01,0.0,0.03,0.03,0.03,394200,0.0,0.0
1980-04-02,0.0,0.03,0.03,0.03,1295600,0.0,0.0
1980-04-03,0.0,0.03,0.03,0.03,222000,0.0,0.0
1980-04-07,0.0,0.03,0.03,0.03,136100,0.0,0.0
1980-04-08,0.0,0.03,0.03,0.03,143400,0.0,0.0
1980-04-09,0.0,0.03,0.03,0.03,380500,0.0,0.0
1980-04-10,0.0,0.03,0.03,0.03,133500,0.0,0.0
1980-04-11,0.0,0.04,0.03,0.03,215100,0.0,0.0
1980-04-14,0.0,0.03,0.03,0.03,89300,0.0,0.0
1980-04-15,0.0,0.03,0.03,0.03,75500,0.0,0.0
1980-04-16,0.0,0.03,0.03,0.03,312600,0.0,0.0
1980-04-17,0.0,0.03,0.03,0.03,112900,0.0,0.0
1980-04-18,0.0,0.04,0.03,0.04,82400,0.0,0.0
1980-04-21,0.0,0.04,0.04,0.04,82000,0.0,0.0
1980-04-22,0.0,0.04,0.04,0.04,84100,0.0,0.0
1980-04-23,0.0,0.04,0.04,0.04,140400,0.0,0.0
1980-04-24,0.0,0.04,0.04,0.04,130100,0.0,0.0
1980-04-25,0.0,0.04,0.04,0.04,69500,0.0,0.0
1980-04-28,0.0,0.04,0.04,0.04,52800,0.0,0.0
1980-04-29,0.0,0.04,0.04,0.04,57900,0.0,0.0
1980-04-30,0.0,0.04,0.04,0.04,62200,0.0,0.0
1980-05-01,0.0,0.04,0.04,0.04,39900,0.0,0.0
1980-05-02,0.0,0.04,0.04,0.04,36500,0.0,0.0
1980-05-05,0.0,0.04,0.04,0.04,53600,0.0,0.0
1980-05-06,0.0,0.04,0.04,0.04,66100,0.0,0.0
1980-05-07,0.0,0.04,0.04,0.04,85400,0.0,0.0
1980-05-08,0.0,0.04,0.04,0.04,94400,0.0,0.0
1980-05-09,0.0,0.04,0.04,0.04,61400,0.0,0.0
1980-05-12,0.0,0.04,0.04,0.04,57100,0.0,0.0
1980-05-13,0.0,0.04,0.04,0.04,74200,0.0,0.0
1980-05-14,0.0,0.04,0.04,0.04,91400,0.0,0.0
1980-05-15,0.0,0.04,0.04,0.04,132700,0.0,0.0
1980-05-16,0.0,0.04,0.04,0.04,168700,0.0,0.0
1980-05-19,0.0,0.04,0.04,0.04,201800,0.0,0.0
1980-05-20,0.0,0.04,0.04,0.04,205200,0.0,0.0
1980-05-21,0.0,0.04,0.04,0.04,114200,0.0,0.0
1980-05-22,0.0,0.04,0.04,0.04,151500,0.0,0.0
1980-05-23,0.0,0.04,0.04,0.04,115900,0.0,0.0
1980-05-27,0.0,0.04,0.04,0.04,149000,0.0,0.0
1980-05-28,0.0,0.04,0.04,0.04,82400,0.0,0.0
1980-05-29,0.0,0.04,0.04,0.04,58400,0.0,0.0
1980-05-30,0.0,0.04,0.04,0.04,66900,0.0,0.0
1980-06-02,0.0,0.04,0.04,0.04,297100,0.0,0.0
1980-06-03,0.0,0.04,0.04,0.04,105200,0.0,0.0
1980-06-04,0.0,0.04,0.04,0.04,193600,0.0,0.0
1980-06-05,0.0,0.04,0.04,0.04,55800,0.0,0.0
1980-06-06,0.0,0.04,0.04,0.04,97400,0.0,0.0
1980-06-09,0.0,0.04,0.04,0.04,53200,0.0,0.0
1980-06-10,0.0,0.04,0.04,0.04,57900,0.0,0.0
1980-06-11,0.0,0.04,0.04,0.04,61400,0.0,0.0
1980-06-12,0.0,0.04,0.04,0.04,80700,0.0,0.0
1980-06-13,0.0,0.04,0.04,0.04,95700,0.0,0.0
1980-06-16,0.0,0.04,0.04,0.04,120600,0.0,0.0
1980-06-17,0.0,0.04,0.04,0.04,69500,0.0,0.0
1980-06-18,0.0,0.04,0.04,0.04,81100,0.0,0.0
1980-06-19,0.0,0.04,0.04,0.04,66900,0.0,0.0
1980-06-20,0.0,0.04,0.04,0.04,62700,0.0,0.0
1980-06-23,0.0,0.04,0.04,0.04,79000,0.0,0.0
1980-06-24,0.0,0.04,0.04,0.04,109900,0.0,0.0
1980-06-25,0.0,0.04,0.04,0.04,73800,0.0,0.0
1980-06-26,0.0,0.04,0.04,0.04,69500,0.0,0.0
1980-06-27,0.0,0.04,0.04,0.04,138700,0.0,0.0
1980-06-30,0.0,0.04,0.04,0.04,79800,0.0,0.0
1980-07-01,0.0,0.04,0.04,0.04,193200,0.0,0.0
1980-07-02,0.0,0.04,0.04,0.04,801300,0.0,0.0
1980-07-03,0.0,0.04,0.04,0.04,143400,0.0,0.0
1980-07-07,0.0,0.04,0.04,0.04,125400,0.0,0.0
1980-07-08,0.0,0.04,0.04,0.04,76400,0.0,0.0
1980-07-09,0.0,0.04,0.04,0.04,131400,0.0,0.0
1980-07-10,0.0,0.04,0.04,0.04,98700,0.0,0.0
1980-07-11,0.0,0.04,0.04,0.04,83700,0.0,0.0
1980-07-14,0.0,0.04,0.04,0.04,99600,0.0,0.0
1980-07-15,0.0,0.04,0.04,0.04,100900,0.0,0.0
1980-07-16,0.0,0.04,0.04,0.04,112500,0.0,0.0
1980-07-17,0.0,0.04,0.04,0.04,70800,0.0,0.0
1980-07-18,0.0,0.04,0.04,0.04,94000,0.0,0.0
1980-07-21,0.0,0.04,0.04,0.04,97400,0.0,0.0
1980-07-22,0.0,0.04,0.04,0.04,266200,0.0,0.0
1980-07-23,0.0,0.04,0.04,0.04,92700,0.0,0.0
1980-07-24,0.0,0.04,0.04,0.04,96100,0.0,0.0
1980-07-25,0.0,0.04,0.04,0.04,83300,0.0,0.0
1980-07-28,0.0,0.04,0.04,0.04,75100,0.0,0.0
1980-07-29,0.0,0.04,0.04,0.04,81100,0.0,0.0
1980-07-30,0.0,0.04,0.04,0.04,75100,0.0,0.0
1980-07-31,0.0,0.04,0.04,0.04,129600,0.0,0.0
1980-08-01,0.0,0.04,0.04,0.04,210400,0.0,0.0
1980-08-04,0.0,0.04,0.04,0.04,146400,0.0,0.0
1980-08-05,0.0,0.04,0.04,0.04,98300,0.0,0.0
1980-08-06,0.0,0.04,0.04,0.04,89700,0.0,0.0
1980-08-07,0.0,0.04,0.04,0.04,85400,0.0,0.0
