Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-11-18,2.02,2.07,2.02,2.02,3200.0,0.0,0
1980-11-19,2.03,2.09,2.03,2.03,8000.0,0.0,0
1980-11-20,2.03,2.03,2.02,2.02,16600.0,0.0,0
1980-11-21,2.09,2.12,2.09,2.09,18700.0,0.0,0
1980-11-24,2.07,2.07,2.02,2.02,40900.0,0.0,0
1980-11-25,1.96,1.96,1.93,1.93,25800.0,0.0,0
1980-11-26,2.02,2.07,2.02,2.02,75000.0,0.0,0
1980-11-28,2.05,2.07,2.05,2.05,19300.0,0.0,0
1980-12-01,2.05,2.05,2.0,2.0,26200.0,0.0,0
1980-12-02,1.93,1.93,1.86,1.86,20000.0,0.0,0
1980-12-03,1.87,1.93,1.87,1.87,10500.0,0.0,0
1980-12-04,1.87,1.89,1.82,1.82,13700.0,0.0,0
1980-12-05,1.82,1.89,1.82,1.82,11000.0,0.0,0
1980-12-08,1.75,1.75,1.68,1.68,8700.0,0.0,0
1980-12-09,1.68,1.78,1.68,1.68,38700.0,0.0,0
1980-12-10,1.82,1.93,1.82,1.82,10800.0,0.0,0
1980-12-11,1.82,1.89,1.78,1.78,10800.0,0.0,0
1980-12-12,1.82,1.89,1.82,1.82,4500.0,0.0,0
1980-12-15,1.82,1.82,1.71,1.71,8000.0,0.0,0
1980-12-16,1.71,1.78,1.71,1.71,7500.0,0.0,0
1980-12-17,1.71,1.78,1.71,1.71,7000.0,0.0,0
1980-12-18,1.71,1.78,1.68,1.68,10600.0,0.0,0
1980-12-19,1.71,1.78,1.71,1.71,18700.0,0.0,0
1980-12-22,1.75,1.82,1.75,1.75,16800.0,0.0,0
1980-12-23,1.75,1.78,1.75,1.75,8600.0,0.0,0
1980-12-24,1.75,1.82,1.75,1.75,9200.0,0.0,0
1980-12-26,1.78,1.86,1.78,1.78,3900.0,0.0,0
1980-12-29,1.78,1.86,1.78,1.78,4400.0,0.0,0
1980-12-30,1.78,1.86,1.78,1.78,13400.0,0.0,0
1980-12-31,1.78,1.82,1.75,1.75,7800.0,0.0,0
1981-01-02,1.82,1.86,1.82,1.82,8000.0,0.0,0
1981-01-05,1.86,1.93,1.86,1.86,9400.0,0.0,0
1981-01-06,1.86,1.93,1.86,1.86,10200.0,0.0,0
1981-01-07,1.86,1.86,1.75,1.75,17100.0,0.0,0
1981-01-08,1.78,1.86,1.78,1.78,7800.0,0.0,0
1981-01-09,1.86,1.93,1.86,1.86,5600.0,0.0,0
1981-01-12,1.86,1.93,1.86,1.86,11400.0,0.0,0
1981-01-13,1.93,2.0,1.93,1.93,5000.0,0.0,0
1981-01-14,1.96,2.03,1.96,1.96,7100.0,0.0,0
1981-01-15,1.96,2.03,1.96,1.96,3300.0,0.0,0
1981-01-16,1.96,2.03,1.96,1.96,6800.0,0.0,0
1981-01-19,1.96,2.03,1.96,1.96,7600.0,0.0,0
1981-01-20,1.96,2.03,1.93,1.93,6800.0,0.0,0
1981-01-21,1.96,2.03,1.96,1.96,2600.0,0.0,0
1981-01-22,1.96,2.0,1.93,1.93,7700.0,0.0,0
1981-01-23,1.96,2.03,1.96,1.96,7900.0,0.0,0
1981-01-26,1.96,2.0,1.93,1.93,3200.0,0.0,0
1981-01-27,1.96,2.03,1.96,1.96,4100.0,0.0,0
1981-01-28,1.96,2.03,1.93,1.93,7800.0,0.0,0
1981-01-29,1.93,2.0,1.93,1.93,2300.0,0.0,0
1981-01-30,1.93,2.0,1.93,1.93,4700.0,0.0,0
1981-02-02,1.93,1.96,1.89,1.89,8500.0,0.0,0
1981-02-03,1.89,1.96,1.89,1.89,3100.0,0.0,0
1981-02-04,1.93,2.0,1.93,1.93,6100.0,0.0,0
1981-02-05,1.93,2.0,1.93,1.93,4600.0,0.0,0
1981-02-06,1.93,2.0,1.93,1.93,5300.0,0.0,0
1981-02-09,1.93,2.0,1.93,1.93,3800.0,0.0,0
1981-02-10,1.93,2.0,1.93,1.93,4300.0,0.0,0
1981-02-11,1.93,2.0,1.93,1.93,2700.0,0.0,0
1981-02-12,1.93,2.0,1.93,1.93,3000.0,0.0,0
1981-02-13,1.93,2.0,1.93,1.93,7600.0,0.0,0
1981-02-17,1.93,1.96,1.89,1.89,4400.0,0.0,0
1981-02-18,1.93,1.96,1.93,1.93,4000.0,0.0,0
1981-02-19,1.93,2.0,1.93,1.93,12600.0,0.0,0
1981-02-20,1.93,2.0,1.93,1.93,3400.0,0.0,0
1981-02-23,1.93,2.0,1.93,1.93,1900.0,0.0,0
1981-02-24,1.93,1.96,1.89,1.89,4800.0,0.0,0
1981-02-25,1.89,1.93,1.86,1.86,13100.0,0.0,0
1981-02-26,1.86,1.93,1.86,1.86,15900.0,0.0,0
1981-02-27,1.86,1.93,1.86,1.86,2200.0,0.0,0
1981-03-02,1.86,1.93,1.86,1.86,3100.0,0.0,0
1981-03-03,1.86,1.93,1.82,1.82,5100.0,0.0,0
1981-03-04,1.82,1.89,1.82,1.82,4400.0,0.0,0
1981-03-05,1.82,1.89,1.82,1.82,4600.0,0.0,0
1981-03-06,1.78,1.78,1.71,1.71,7500.0,0.0,0
1981-03-09,1.78,1.82,1.78,1.78,6400.0,0.0,0
1981-03-10,1.78,1.82,1.75,1.75,4200.0,0.0,0
1981-03-11,1.75,1.82,1.75,1.75,4500.0,0.0,0
1981-03-12,1.75,1.82,1.75,1.75,11000.0,0.0,0
1981-03-13,1.75,1.82,1.75,1.75,5200.0,0.0,0
1981-03-16,1.78,1.82,1.78,1.78,5100.0,0.0,0
1981-03-17,1.78,1.86,1.78,1.78,5400.0,0.0,0
1981-03-18,1.78,1.86,1.78,1.78,2200.0,0.0,0
1981-03-19,1.82,1.89,1.82,1.82,8100.0,0.0,0
1981-03-20,1.82,1.89,1.78,1.78,3200.0,0.0,0
1981-03-23,1.82,1.89,1.82,1.82,3500.0,0.0,0
1981-03-24,1.86,1.93,1.86,1.86,8600.0,0.0,0
1981-03-25,1.86,1.93,1.86,1.86,4000.0,0.0,0
1981-03-26,1.89,1.96,1.89,1.89,3100.0,0.0,0
1981-03-27,1.96,2.03,1.96,1.96,7300.0,0.0,0
1981-03-30,1.96,2.03,1.96,1.96,5800.0,0.0,0
1981-03-31,1.96,2.03,1.96,1.96,14100.0,0.0,0
1981-04-01,1.96,2.03,1.94,1.94,6100.0,0.0,0
1981-04-02,1.96,2.03,1.96,1.96,5800.0,0.0,0
1981-04-03,1.96,2.03,1.96,1.96,4900.0,0.0,0
1981-04-06,1.96,2.03,1.96,1.96,4700.0,0.0,0
1981-04-07,1.96,2.03,1.94,1.94,10000.0,0.0,0
1981-04-08,1.94,2.03,1.94,1.94,4500.0,0.0,0
