Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-04-06,7.06,7.09,7.06,7.06,18431400,0.0,0
2000-04-07,6.66,6.74,6.45,6.53,2353900,0.0,0
2000-04-10,6.5,6.77,6.47,6.53,425700,0.0,0
2000-04-11,6.88,7.04,6.71,6.93,597900,0.0,0
2000-04-12,6.88,7.01,6.63,6.71,235800,0.0,0
2000-04-13,6.69,6.69,6.45,6.45,243800,0.0,0
2000-04-14,6.55,6.66,6.42,6.45,612700,0.0,0
2000-04-17,6.5,6.63,6.31,6.34,262400,0.0,0
2000-04-18,6.5,6.5,6.34,6.45,1287300,0.0,0
2000-04-19,6.45,6.45,6.37,6.37,118900,0.0,0
2000-04-20,6.23,6.39,6.23,6.29,233100,0.0,0
2000-04-24,6.26,6.34,6.23,6.23,328600,0.0,0
2000-04-25,6.18,6.29,6.12,6.2,242200,0.0,0
2000-04-26,6.2,6.23,6.12,6.12,108400,0.0,0
2000-04-27,6.18,6.26,6.15,6.23,39000,0.0,0
2000-04-28,6.23,6.61,6.23,6.5,223400,0.0,0
2000-05-01,6.45,6.58,6.45,6.58,75600,0.0,0
2000-05-02,6.53,6.61,6.5,6.55,86700,0.0,0
2000-05-03,6.5,6.5,6.23,6.26,166200,0.0,0
2000-05-04,6.39,6.39,6.26,6.31,110400,0.0,0
2000-05-05,6.37,6.45,6.31,6.45,17000,0.0,0
2000-05-08,6.5,6.55,6.26,6.34,31600,0.0,0
2000-05-09,6.61,6.61,6.39,6.45,132400,0.0,0
2000-05-10,6.77,7.04,6.77,6.93,464400,0.0,0
2000-05-11,6.98,7.14,6.98,7.12,365900,0.0,0
2000-05-12,7.95,8.06,7.55,8.06,1583200,0.0,0
2000-05-15,7.84,8.17,7.79,8.17,915500,0.0,0
2000-05-16,8.41,8.49,8.25,8.33,868900,0.0,0
2000-05-17,8.11,8.27,8.06,8.11,333400,0.0,0
2000-05-18,8.81,9.19,8.59,8.89,2259500,0.0,0
2000-05-19,8.89,8.92,8.54,8.92,612000,0.0,0
2000-05-22,8.81,8.89,8.38,8.7,249600,0.0,0
