Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.62,0.6,0.6,14000,0.0,0.0
1980-03-18,0.0,0.6,0.58,0.6,36000,0.0,0.0
1980-03-19,0.0,0.6,0.59,0.59,13000,0.0,0.0
1980-03-20,0.0,0.6,0.59,0.6,13000,0.0,0.0
1980-03-21,0.0,0.6,0.59,0.6,29000,0.0,0.0
1980-03-24,0.0,0.59,0.57,0.57,30000,0.0,0.0
1980-03-25,0.0,0.56,0.54,0.56,19000,0.0,0.0
1980-03-26,0.0,0.56,0.54,0.56,18000,0.0,0.0
1980-03-27,0.0,0.54,0.5,0.5,123000,0.0,0.0
1980-03-28,0.0,0.52,0.51,0.51,25000,0.0,0.0
1980-03-31,0.0,0.54,0.5,0.54,19000,0.0,0.0
1980-04-01,0.0,0.57,0.56,0.57,10000,0.0,0.0
1980-04-02,0.0,0.6,0.57,0.59,19000,0.0,0.0
1980-04-03,0.0,0.6,0.59,0.6,3000,0.0,0.0
1980-04-07,0.0,0.59,0.57,0.57,7000,0.0,0.0
1980-04-08,0.0,0.56,0.55,0.56,14000,0.0,0.0
1980-04-09,0.0,0.56,0.55,0.56,13000,0.0,0.0
1980-04-10,0.0,0.57,0.56,0.56,11000,0.0,0.0
1980-04-11,0.0,0.58,0.55,0.58,16000,0.0,0.0
1980-04-14,0.58,0.58,0.58,0.58,0,0.0,0.0
1980-04-15,0.0,0.58,0.57,0.58,3000,0.0,0.0
1980-04-16,0.58,0.58,0.58,0.58,0,0.0,0.0
1980-04-17,0.0,0.6,0.58,0.6,74000,0.0,0.0
1980-04-18,0.6,0.6,0.6,0.6,0,0.0,0.0
1980-04-21,0.0,0.59,0.57,0.58,21000,0.0,0.0
1980-04-22,0.0,0.58,0.57,0.57,20000,0.0,0.0
1980-04-23,0.0,0.59,0.58,0.59,41000,0.0,0.0
1980-04-24,0.0,0.61,0.59,0.61,20000,0.0,0.0
1980-04-25,0.0,0.62,0.6,0.62,56000,0.0,0.0
1980-04-28,0.0,0.62,0.6,0.6,42000,0.0,0.0
1980-04-29,0.0,0.61,0.6,0.6,22000,0.0,0.0
1980-04-30,0.0,0.61,0.59,0.61,21000,0.0,0.0
1980-05-01,0.0,0.6,0.59,0.6,11000,0.0,0.0
1980-05-02,0.0,0.61,0.6,0.6,11000,0.0,0.0
1980-05-05,0.0,0.6,0.59,0.59,16000,0.0,0.0
1980-05-06,0.59,0.59,0.59,0.59,0,0.0,0.0
1980-05-07,0.0,0.62,0.59,0.62,22000,0.0,0.0
1980-05-08,0.0,0.62,0.6,0.6,25000,0.0,0.0
1980-05-09,0.0,0.61,0.6,0.61,4000,0.0,0.0
1980-05-12,0.0,0.6,0.59,0.59,15000,0.0,0.0
1980-05-13,0.0,0.61,0.59,0.59,20000,0.0,0.0
1980-05-14,0.0,0.6,0.59,0.59,4000,0.0,0.0
1980-05-15,0.0,0.61,0.6,0.61,22000,0.0,0.0
1980-05-16,0.0,0.61,0.6,0.6,3000,0.0,0.0
