Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-02-12,7.27,7.77,7.27,7.44,3903700,0.0,0.0
1998-02-13,7.52,7.6,7.35,7.44,504000,0.0,0.0
1998-02-17,7.68,7.85,7.68,7.77,132600,0.0,0.0
1998-02-18,7.85,8.26,7.81,8.26,140700,0.0,0.0
1998-02-19,8.34,8.59,8.1,8.1,235000,0.0,0.0
1998-02-20,8.01,8.1,7.52,7.72,204700,0.0,0.0
1998-02-23,7.77,7.85,7.56,7.85,60600,0.0,0.0
1998-02-24,7.81,7.85,7.48,7.6,261300,0.0,0.0
1998-02-25,7.68,7.68,7.44,7.6,129000,0.0,0.0
1998-02-26,7.52,8.01,7.52,7.89,87000,0.0,0.0
1998-02-27,7.89,7.93,7.77,7.89,29100,0.0,0.0
1998-03-02,7.85,7.93,7.85,7.89,151000,0.0,0.0
1998-03-03,7.93,8.26,7.85,8.26,71800,0.0,0.0
1998-03-04,8.18,8.26,7.85,8.1,31000,0.0,0.0
1998-03-05,8.01,8.01,7.77,7.97,51600,0.0,0.0
1998-03-06,7.97,8.01,7.85,8.01,15000,0.0,0.0
1998-03-09,8.01,8.18,7.85,7.85,30600,0.0,0.0
1998-03-10,7.85,8.01,7.6,7.85,208000,0.0,0.0
1998-03-11,7.85,8.18,7.85,7.89,77400,0.0,0.0
1998-03-12,7.93,8.26,7.85,8.22,100900,0.0,0.0
1998-03-13,8.34,8.76,8.34,8.59,163900,0.0,0.0
1998-03-16,8.59,8.59,8.34,8.43,191700,0.0,0.0
1998-03-17,8.34,8.34,8.1,8.1,31900,0.0,0.0
1998-03-18,8.1,8.34,8.1,8.18,26200,0.0,0.0
1998-03-19,8.34,8.34,8.18,8.34,112200,0.0,0.0
1998-03-20,8.26,8.59,8.26,8.55,29100,0.0,0.0
1998-03-23,9.09,10.08,8.92,9.91,497800,0.0,0.0
1998-03-24,10.08,10.24,9.5,9.58,100000,0.0,0.0
1998-03-25,9.67,10.49,9.58,10.49,198700,0.0,0.0
1998-03-26,10.58,10.58,10.08,10.58,104800,0.0,0.0
1998-03-27,10.62,10.7,10.24,10.58,72600,0.0,0.0
1998-03-30,10.41,10.53,10.33,10.45,62700,0.0,0.0
1998-03-31,10.53,11.07,10.53,11.07,124200,0.0,0.0
1998-04-01,10.99,11.24,10.99,11.24,226300,0.0,0.0
1998-04-02,11.4,11.65,11.24,11.48,54900,0.0,0.0
1998-04-03,11.57,11.65,11.24,11.44,58900,0.0,0.0
