Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-08-08,35.19,35.19,34.02,34.55,245500,0.0,0
1997-08-11,34.55,34.78,33.73,34.37,243600,0.0,0
1997-08-12,34.32,34.55,34.26,34.49,405500,0.0,0
1997-08-13,34.55,35.02,33.38,35.02,405700,0.0,0
1997-08-14,34.78,34.9,33.97,34.43,195600,0.0,0
1997-08-15,34.2,34.32,33.38,33.67,260500,0.0,0
1997-08-18,33.79,33.85,33.27,33.67,180600,0.0,0
1997-08-19,33.62,33.73,32.45,33.73,703300,0.0,0
1997-08-20,33.62,33.85,32.92,33.21,1029500,0.0,0
1997-08-21,33.15,33.38,32.8,32.97,1406500,0.0,0
1997-08-22,32.57,32.97,32.45,32.97,157300,0.0,0
1997-08-25,33.62,34.43,33.56,34.32,1698400,0.0,0
1997-08-26,34.55,35.83,34.55,35.48,589700,0.0,0
1997-08-27,35.48,35.78,35.13,35.19,716300,0.0,0
1997-08-28,35.25,36.59,34.96,36.53,1333100,0.0,0
1997-08-29,36.65,37.35,36.65,37.29,1840400,0.0,0
1997-09-02,37.29,39.22,37.12,38.99,1023700,0.0,0
1997-09-03,39.22,39.92,39.22,39.74,788200,0.0,0
1997-09-04,39.22,41.44,38.75,41.09,3477000,0.0,0
1997-09-05,41.09,41.32,40.85,41.14,907200,0.0,0
1997-09-08,41.09,41.09,40.74,40.85,728300,0.0,0
1997-09-09,40.85,40.85,39.92,40.04,669300,0.0,0
1997-09-10,39.8,39.98,39.39,39.51,329500,0.0,0
1997-09-11,39.39,39.45,38.93,38.99,221600,0.0,0
1997-09-12,38.97,39.03,38.74,38.92,85400,0.05,0
1997-09-15,39.15,39.27,38.33,38.56,228600,0.0,0
1997-09-16,38.8,38.97,38.45,38.56,348400,0.0,0
1997-09-17,38.56,38.56,37.45,37.69,285100,0.0,0
1997-09-18,37.69,38.21,37.57,38.04,459400,0.0,0
1997-09-19,37.63,38.1,37.63,37.69,137500,0.0,0
1997-09-22,37.69,37.69,36.93,37.1,188700,0.0,0
1997-09-23,37.1,37.1,35.99,36.93,450700,0.0,0
1997-09-24,36.99,37.63,36.93,37.1,552200,0.0,0
1997-09-25,37.22,37.4,37.05,37.1,274500,0.0,0
1997-09-26,37.16,38.21,37.1,37.98,273700,0.0,0
1997-09-29,38.16,39.03,38.1,38.51,234500,0.0,0
1997-09-30,38.74,39.27,38.33,39.27,277300,0.0,0
1997-10-01,39.15,39.21,38.56,38.8,227800,0.0,0
1997-10-02,38.68,38.8,38.45,38.68,116600,0.0,0
1997-10-03,38.8,39.27,38.45,39.09,559100,0.0,0
1997-10-06,39.03,40.38,38.92,40.32,684200,0.0,0
1997-10-07,40.55,40.96,40.43,40.84,564100,0.0,0
1997-10-08,40.79,40.9,40.08,40.32,349800,0.0,0
1997-10-09,40.2,40.2,39.67,39.73,203000,0.0,0
1997-10-10,39.79,39.79,39.38,39.38,251600,0.0,0
1997-10-13,39.62,39.73,39.15,39.15,377100,0.0,0
1997-10-14,39.21,39.5,38.51,38.62,107200,0.0,0
1997-10-15,38.68,38.8,38.21,38.68,196400,0.0,0
1997-10-16,38.68,38.68,38.1,38.45,221900,0.0,0
1997-10-17,38.33,38.33,37.63,38.16,178000,0.0,0
1997-10-20,37.98,38.8,37.86,38.74,224900,0.0,0
1997-10-21,38.8,39.15,38.68,38.86,84900,0.0,0
1997-10-22,38.8,39.15,38.56,39.15,244400,0.0,0
1997-10-23,38.8,38.8,37.92,38.56,198000,0.0,0
1997-10-24,38.8,38.92,37.98,38.39,232300,0.0,0
1997-10-27,38.33,38.39,37.45,37.69,430200,0.0,0
1997-10-28,36.93,38.04,36.05,38.04,791300,0.0,0
1997-10-29,38.04,38.86,37.98,38.86,337600,0.0,0
1997-10-30,38.33,38.56,37.98,38.45,865300,0.0,0
1997-10-31,38.33,38.39,37.16,37.45,502100,0.0,0
1997-11-03,37.69,37.81,36.93,36.93,317200,0.0,0
1997-11-04,36.93,37.63,36.93,37.51,469200,0.0,0
1997-11-05,37.63,37.63,36.52,36.52,198200,0.0,0
1997-11-06,36.29,36.34,35.58,35.88,438800,0.0,0
1997-11-07,35.41,35.47,34.01,34.47,651400,0.0,0
1997-11-10,34.47,34.47,33.31,33.66,283900,0.0,0
1997-11-11,33.66,33.66,32.6,33.01,385100,0.0,0
1997-11-12,32.49,32.49,28.98,30.44,547000,0.0,0
1997-11-13,30.79,31.09,28.51,28.75,527500,0.0,0
1997-11-14,28.98,29.33,27.7,28.98,979700,0.0,0
1997-11-17,29.62,31.03,29.27,30.56,1027100,0.0,0
1997-11-18,30.56,30.73,29.92,29.98,209400,0.0,0
1997-11-19,30.09,30.09,29.68,29.68,307200,0.0,0
1997-11-20,29.86,30.44,29.8,30.15,187500,0.0,0
1997-11-21,30.03,30.62,29.98,30.27,1169400,0.0,0
1997-11-24,30.15,30.27,29.22,29.22,399900,0.0,0
1997-11-25,29.22,29.22,28.11,28.28,373700,0.0,0
1997-11-26,28.16,29.16,28.11,29.16,393500,0.0,0
1997-11-28,29.33,29.92,28.69,29.86,234500,0.0,0
1997-12-01,29.86,29.86,28.4,28.4,556800,0.0,0
1997-12-02,28.34,28.75,28.34,28.51,355100,0.0,0
1997-12-03,28.46,28.75,28.05,28.4,314600,0.0,0
1997-12-04,28.63,28.63,28.05,28.4,194200,0.0,0
1997-12-05,28.28,28.57,28.28,28.28,730500,0.0,0
1997-12-08,28.34,28.46,27.7,27.81,211400,0.0,0
1997-12-09,27.7,28.16,27.35,27.35,287700,0.0,0
1997-12-10,26.88,26.88,25.71,26.18,856400,0.0,0
1997-12-11,25.94,25.94,24.77,25.71,654200,0.0,0
1997-12-12,25.94,26.06,25.42,25.42,425500,0.0,0
1997-12-15,25.24,25.3,23.96,24.66,413900,0.0,0
1997-12-16,24.42,25.36,24.42,25.18,390800,0.0,0
1997-12-17,25.94,26.12,25.59,25.89,554100,0.0,0
1997-12-18,26.06,26.35,25.83,25.83,545700,0.0,0
1997-12-19,25.83,25.83,24.77,25.36,630900,0.0,0
1997-12-22,25.13,25.36,24.37,24.37,364300,0.0,0
1997-12-23,24.07,25.36,24.07,24.77,360600,0.0,0
1997-12-24,24.72,24.89,24.31,24.72,140000,0.0,0
1997-12-26,24.72,25.01,24.54,24.54,192600,0.0,0
1997-12-29,24.6,26.18,24.6,25.53,382100,0.0,0
