Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-07-01,0.0,0.21,0.21,0.21,2399500,0.0,0.0
1983-07-05,0.0,0.2,0.2,0.2,1357600,0.0,0.0
1983-07-06,0.0,0.21,0.2,0.2,513100,0.0,0.0
1983-07-07,0.0,0.2,0.2,0.2,560200,0.0,0.0
1983-07-08,0.0,0.2,0.19,0.19,171400,0.0,0.0
1983-07-11,0.0,0.2,0.19,0.19,125700,0.0,0.0
1983-07-12,0.0,0.2,0.19,0.19,200700,0.0,0.0
1983-07-13,0.0,0.2,0.19,0.19,166900,0.0,0.0
1983-07-14,0.0,0.19,0.19,0.19,71100,0.0,0.0
1983-07-15,0.0,0.18,0.18,0.18,259300,0.0,0.0
1983-07-18,0.0,0.18,0.17,0.17,105300,0.0,0.0
1983-07-19,0.0,0.18,0.17,0.17,221500,0.0,0.0
1983-07-20,0.0,0.18,0.18,0.18,273600,0.0,0.0
1983-07-21,0.0,0.18,0.18,0.18,197700,0.0,0.0
1983-07-22,0.0,0.19,0.18,0.18,145900,0.0,0.0
1983-07-25,0.0,0.2,0.19,0.19,116700,0.0,0.0
1983-07-26,0.0,0.2,0.2,0.2,259300,0.0,0.0
1983-07-27,0.0,0.2,0.19,0.19,249000,0.0,0.0
1983-07-28,0.19,0.19,0.19,0.19,0,0.0,0.0
1983-07-29,0.0,0.2,0.19,0.19,96000,0.0,0.0
1983-08-01,0.0,0.2,0.19,0.19,141000,0.0,0.0
1983-08-02,0.0,0.2,0.19,0.19,33700,0.0,0.0
1983-08-03,0.0,0.2,0.19,0.19,75700,0.0,0.0
1983-08-04,0.0,0.2,0.19,0.19,65700,0.0,0.0
1983-08-05,0.0,0.2,0.19,0.19,14100,0.0,0.0
1983-08-08,0.0,0.2,0.19,0.19,33700,0.0,0.0
1983-08-09,0.0,0.19,0.19,0.19,13500,0.0,0.0
1983-08-10,0.0,0.19,0.19,0.19,16300,0.0,0.0
1983-08-11,0.0,0.19,0.19,0.19,45400,0.0,0.0
1983-08-12,0.0,0.19,0.18,0.18,182200,0.0,0.0
1983-08-15,0.0,0.19,0.18,0.18,27600,0.0,0.0
1983-08-16,0.0,0.18,0.18,0.18,21100,0.0,0.0
1983-08-17,0.0,0.18,0.18,0.18,20200,0.0,0.0
1983-08-18,0.0,0.18,0.17,0.17,27600,0.0,0.0
1983-08-19,0.0,0.18,0.17,0.17,10900,0.0,0.0
1983-08-22,0.0,0.18,0.17,0.17,54900,0.0,0.0
1983-08-23,0.0,0.17,0.17,0.17,89200,0.0,0.0
1983-08-24,0.0,0.17,0.17,0.17,27100,0.0,0.0
1983-08-25,0.0,0.17,0.17,0.17,75700,0.0,0.0
1983-08-26,0.0,0.17,0.17,0.17,38400,0.0,0.0
1983-08-29,0.0,0.17,0.17,0.17,43800,0.0,0.0
1983-08-30,0.0,0.17,0.16,0.16,27600,0.0,0.0
1983-08-31,0.0,0.17,0.16,0.16,14100,0.0,0.0
1983-09-01,0.0,0.17,0.16,0.16,21100,0.0,0.0
1983-09-02,0.0,0.17,0.16,0.16,23100,0.0,0.0
1983-09-06,0.0,0.17,0.16,0.16,14100,0.0,0.0
1983-09-07,0.0,0.17,0.16,0.16,60900,0.0,0.0
1983-09-08,0.0,0.17,0.16,0.16,33700,0.0,0.0
1983-09-09,0.0,0.17,0.16,0.16,7300,0.0,0.0
1983-09-12,0.0,0.17,0.16,0.16,40600,0.0,0.0
1983-09-13,0.0,0.16,0.16,0.16,58900,0.0,0.0
1983-09-14,0.0,0.16,0.16,0.16,45400,0.0,0.0
1983-09-15,0.0,0.16,0.16,0.16,50500,0.0,0.0
1983-09-16,0.0,0.16,0.16,0.16,13500,0.0,0.0
1983-09-19,0.0,0.16,0.16,0.16,13500,0.0,0.0
1983-09-20,0.0,0.16,0.16,0.16,10900,0.0,0.0
1983-09-21,0.0,0.16,0.16,0.16,77800,0.0,0.0
1983-09-22,0.0,0.16,0.16,0.16,36600,0.0,0.0
1983-09-23,0.0,0.16,0.16,0.16,16300,0.0,0.0
1983-09-26,0.0,0.16,0.16,0.16,18100,0.0,0.0
1983-09-27,0.0,0.16,0.16,0.16,10900,0.0,0.0
1983-09-28,0.0,0.16,0.15,0.15,102100,0.0,0.0
1983-09-29,0.0,0.16,0.15,0.15,31600,0.0,0.0
1983-09-30,0.0,0.16,0.15,0.15,41400,0.0,0.0
1983-10-03,0.0,0.15,0.14,0.14,48600,0.0,0.0
1983-10-04,0.0,0.15,0.14,0.14,40600,0.0,0.0
1983-10-05,0.0,0.15,0.14,0.14,27100,0.0,0.0
1983-10-06,0.0,0.15,0.14,0.14,40600,0.0,0.0
1983-10-07,0.0,0.15,0.14,0.14,106600,0.0,0.0
1983-10-10,0.0,0.15,0.14,0.14,9400,0.0,0.0
1983-10-11,0.0,0.16,0.15,0.15,43800,0.0,0.0
1983-10-12,0.0,0.15,0.15,0.15,14100,0.0,0.0
1983-10-13,0.0,0.15,0.14,0.14,21100,0.0,0.0
1983-10-14,0.0,0.15,0.14,0.14,27100,0.0,0.0
1983-10-17,0.0,0.15,0.14,0.14,4200,0.0,0.0
1983-10-18,0.0,0.14,0.14,0.14,58900,0.0,0.0
1983-10-19,0.0,0.14,0.13,0.13,40600,0.0,0.0
1983-10-20,0.0,0.14,0.13,0.13,50500,0.0,0.0
1983-10-21,0.0,0.14,0.13,0.13,120300,0.0,0.0
1983-10-24,0.0,0.13,0.13,0.13,34600,0.0,0.0
1983-10-25,0.0,0.13,0.13,0.13,27600,0.0,0.0
1983-10-26,0.0,0.13,0.13,0.13,20200,0.0,0.0
1983-10-27,0.0,0.13,0.13,0.13,6300,0.0,0.0
1983-10-28,0.0,0.13,0.13,0.13,20200,0.0,0.0
1983-10-31,0.0,0.13,0.13,0.13,18100,0.0,0.0
1983-11-01,0.0,0.13,0.12,0.12,27600,0.0,0.0
1983-11-02,0.0,0.13,0.12,0.12,20200,0.0,0.0
1983-11-03,0.0,0.13,0.12,0.12,7300,0.0,0.0
1983-11-04,0.0,0.13,0.12,0.12,54600,0.0,0.0
1983-11-07,0.0,0.13,0.12,0.12,47400,0.0,0.0
1983-11-08,0.0,0.13,0.12,0.12,54600,0.0,0.0
1983-11-09,0.0,0.13,0.12,0.12,34600,0.0,0.0
1983-11-10,0.0,0.13,0.12,0.12,100,0.0,0.0
1983-11-11,0.0,0.13,0.12,0.12,27600,0.0,0.0
1983-11-14,0.0,0.13,0.12,0.12,41400,0.0,0.0
1983-11-15,0.0,0.13,0.13,0.13,58900,0.0,0.0
1983-11-16,0.0,0.13,0.13,0.13,136900,0.0,0.0
1983-11-17,0.0,0.13,0.13,0.13,154800,0.0,0.0
1983-11-18,0.0,0.13,0.13,0.13,269200,0.0,0.0
1983-11-21,0.0,0.14,0.14,0.14,197700,0.0,0.0
1983-11-22,0.0,0.15,0.14,0.14,150000,0.0,0.0
1983-11-23,0.0,0.16,0.15,0.15,82300,0.0,0.0
1983-11-25,0.0,0.16,0.15,0.15,13500,0.0,0.0
1983-11-28,0.0,0.15,0.14,0.14,88300,0.0,0.0
1983-11-29,0.0,0.15,0.14,0.14,20200,0.0,0.0
1983-11-30,0.0,0.15,0.14,0.14,13500,0.0,0.0
1983-12-01,0.0,0.15,0.14,0.14,57600,0.0,0.0
1983-12-02,0.0,0.14,0.14,0.14,130500,0.0,0.0
1983-12-05,0.0,0.14,0.14,0.14,24400,0.0,0.0
