Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-07-01,11.33,11.53,11.19,11.44,20818600,0.0,0.0
1998-07-02,11.47,11.55,11.44,11.53,3037200,0.0,0.0
1998-07-06,11.53,11.67,11.44,11.61,1737700,0.0,0.0
1998-07-07,11.67,11.67,11.44,11.44,1077000,0.0,0.0
1998-07-08,11.5,11.55,11.44,11.53,1180500,0.0,0.0
1998-07-09,11.5,11.64,11.44,11.61,1443900,0.0,0.0
1998-07-10,11.67,11.86,11.58,11.58,1117300,0.0,0.0
1998-07-13,11.55,11.58,11.44,11.55,790800,0.0,0.0
1998-07-14,11.55,11.61,11.47,11.47,1276300,0.0,0.0
1998-07-15,11.44,11.67,11.44,11.67,863400,0.0,0.0
1998-07-16,11.55,11.64,11.44,11.53,1084500,0.0,0.0
1998-07-17,11.44,11.72,11.39,11.67,1201600,0.0,0.0
1998-07-20,11.67,12.28,11.67,12.28,995500,0.0,0.0
1998-07-21,12.28,12.31,11.78,11.92,784600,0.0,0.0
1998-07-22,11.78,11.89,11.41,11.5,1497900,0.0,0.0
1998-07-23,11.55,11.58,11.1,11.44,1248300,0.0,0.0
1998-07-24,11.55,11.69,11.5,11.67,1009800,0.0,0.0
1998-07-27,11.67,11.81,11.55,11.61,843600,0.0,0.0
1998-07-28,11.64,11.69,11.22,11.22,2081800,0.0,0.0
1998-07-29,11.22,11.33,10.99,11.05,1331400,0.0,0.0
1998-07-30,11.13,11.22,10.99,11.22,1982400,0.0,0.0
1998-07-31,11.22,11.5,11.16,11.22,1093600,0.0,0.0
1998-08-03,11.22,11.22,10.91,10.94,1009000,0.0,0.0
1998-08-04,10.91,10.91,10.26,10.32,1245900,0.0,0.0
1998-08-05,10.21,10.38,9.84,9.84,654100,0.0,0.0
1998-08-06,9.9,9.96,9.81,9.81,589200,0.0,0.0
1998-08-07,9.87,10.15,9.81,9.93,1100200,0.0,0.0
1998-08-10,9.93,10.74,9.87,10.38,321700,0.0,0.0
1998-08-11,10.21,10.21,9.87,9.87,334000,0.0,0.0
1998-08-12,10.21,10.21,9.84,9.87,513600,0.0,0.0
1998-08-13,9.87,9.9,9.76,9.76,969000,0.0,0.0
1998-08-14,10.1,10.1,9.84,9.87,229300,0.0,0.0
1998-08-17,9.98,10.04,9.87,9.87,319900,0.0,0.0
1998-08-18,9.87,9.9,9.81,9.87,211900,0.0,0.0
1998-08-19,9.93,9.98,9.84,9.84,97800,0.0,0.0
1998-08-20,9.96,10.04,9.84,9.87,378700,0.0,0.0
1998-08-21,9.81,9.81,9.03,9.2,514000,0.0,0.0
1998-08-24,9.25,9.42,9.25,9.28,274000,0.0,0.0
1998-08-25,9.39,9.73,9.31,9.34,280900,0.0,0.0
1998-08-26,9.31,9.42,9.25,9.39,63600,0.0,0.0
1998-08-27,9.31,9.31,8.47,8.47,367200,0.0,0.0
1998-08-28,8.52,8.86,7.52,7.57,671200,0.0,0.0
1998-08-31,7.74,7.96,7.07,7.24,2184900,0.0,0.0
1998-09-01,7.24,7.52,7.12,7.29,931500,0.0,0.0
1998-09-02,7.29,7.35,7.01,7.12,238800,0.0,0.0
1998-09-03,7.09,7.12,6.06,7.12,2830200,0.0,0.0
1998-09-04,7.12,7.26,6.84,7.12,182700,0.0,0.0
1998-09-08,7.4,7.63,7.4,7.52,617100,0.0,0.0
1998-09-09,7.52,7.52,7.24,7.24,258300,0.0,0.0
1998-09-10,7.18,7.18,6.62,6.65,134400,0.0,0.0
1998-09-11,6.65,6.84,6.62,6.7,492100,0.0,0.0
1998-09-14,6.95,6.95,6.7,6.7,515800,0.0,0.0
1998-09-15,6.7,6.73,6.17,6.17,655900,0.0,0.0
1998-09-16,6.28,6.62,6.0,6.51,1600200,0.0,0.0
1998-09-17,6.39,6.98,6.28,6.81,260100,0.0,0.0
1998-09-18,6.81,6.98,6.67,6.84,454500,0.0,0.0
1998-09-21,6.62,6.9,6.62,6.87,898000,0.0,0.0
1998-09-22,6.98,8.19,6.98,7.74,436800,0.0,0.0
1998-09-23,8.19,9.59,8.19,8.95,828000,0.0,0.0
1998-09-24,8.97,9.48,8.75,8.75,578100,0.0,0.0
1998-09-25,8.64,9.14,8.52,8.83,540100,0.0,0.0
1998-09-28,9.59,9.65,8.92,8.92,432000,0.0,0.0
1998-09-29,8.81,8.86,8.24,8.64,791100,0.0,0.0
1998-09-30,8.75,8.83,8.67,8.75,294100,0.0,0.0
1998-10-01,8.64,8.95,8.58,8.92,135300,0.0,0.0
1998-10-02,8.92,8.92,8.52,8.52,1446900,0.0,0.0
1998-10-05,8.41,8.75,8.08,8.72,256800,0.0,0.0
1998-10-06,8.78,8.81,8.1,8.5,1069000,0.0,0.0
1998-10-07,8.38,8.52,6.73,6.84,492300,0.0,0.0
1998-10-08,6.67,6.84,6.28,6.51,1061500,0.0,0.0
1998-10-09,6.73,7.46,6.67,7.35,301500,0.0,0.0
1998-10-12,7.63,7.91,7.46,7.6,298200,0.0,0.0
1998-10-13,7.6,7.74,7.18,7.4,465400,0.0,0.0
1998-10-14,7.29,7.4,7.29,7.29,114900,0.0,0.0
1998-10-15,7.29,7.35,7.07,7.26,529600,0.0,0.0
1998-10-16,7.18,7.24,7.12,7.18,977100,0.0,0.0
1998-10-19,7.15,7.63,7.12,7.52,1027500,0.0,0.0
1998-10-20,7.6,7.68,7.49,7.52,643300,0.0,0.0
1998-10-21,7.52,7.66,7.43,7.43,353700,0.0,0.0
1998-10-22,7.52,7.74,7.4,7.63,538800,0.0,0.0
1998-10-23,7.68,7.77,7.57,7.66,156100,0.0,0.0
1998-10-26,7.71,7.71,7.4,7.46,353400,0.0,0.0
1998-10-27,7.49,7.54,7.43,7.49,396300,0.0,0.0
1998-10-28,7.49,7.63,7.4,7.63,378600,0.0,0.0
1998-10-29,7.96,8.86,7.96,8.47,947400,0.0,0.0
1998-10-30,8.75,9.93,8.58,9.81,1109400,0.0,0.0
1998-11-02,9.84,9.96,9.11,9.96,311200,0.0,0.0
1998-11-03,9.96,10.4,9.9,10.32,596500,0.0,0.0
1998-11-04,10.32,11.02,10.26,10.77,888400,0.0,0.0
1998-11-05,10.54,10.63,10.26,10.43,849100,0.0,0.0
1998-11-06,10.43,10.49,9.48,9.7,1016400,0.0,0.0
1998-11-09,9.59,9.65,8.97,9.25,533700,0.0,0.0
1998-11-10,9.2,9.25,8.64,8.81,935200,0.0,0.0
1998-11-11,8.92,9.09,8.83,8.89,783300,0.0,0.0
1998-11-12,8.95,8.95,8.67,8.83,640000,0.0,0.0
1998-11-13,8.86,9.14,8.81,9.0,1158000,0.0,0.0
1998-11-16,9.0,9.14,8.92,9.03,335700,0.0,0.0
1998-11-17,8.97,9.0,8.83,8.83,258900,0.0,0.0
1998-11-18,8.83,8.83,8.36,8.58,330900,0.0,0.0
1998-11-19,8.52,8.64,8.3,8.36,439600,0.0,0.0
1998-11-20,8.41,8.47,8.36,8.41,618100,0.0,0.0
1998-11-23,8.41,8.72,8.19,8.19,1323100,0.0,0.0
1998-11-24,8.3,8.86,8.3,8.5,1233600,0.0,0.0
1998-11-25,8.5,8.5,7.99,8.13,342000,0.0,0.0
1998-11-27,8.24,8.41,8.24,8.41,82000,0.0,0.0
1998-11-30,8.36,8.41,8.22,8.36,402000,0.0,0.0
1998-12-01,8.36,8.47,8.3,8.33,486600,0.0,0.0
1998-12-02,8.44,8.58,8.33,8.36,671500,0.0,0.0
1998-12-03,8.41,8.41,8.24,8.24,549000,0.0,0.0
1998-12-04,8.3,8.3,8.08,8.1,214000,0.0,0.0
1998-12-07,8.16,8.19,8.1,8.13,401100,0.0,0.0
1998-12-08,8.13,8.19,7.74,7.91,655900,0.0,0.0
1998-12-09,7.94,7.96,7.18,7.68,2083200,0.0,0.0
1998-12-10,7.8,7.85,7.24,7.24,770500,0.0,0.0
1998-12-11,7.24,7.66,7.18,7.57,1138500,0.0,0.0
1998-12-14,7.54,7.77,7.46,7.49,1167900,0.0,0.0
1998-12-15,7.57,7.77,7.57,7.77,292800,0.0,0.0
1998-12-16,7.85,8.19,7.85,8.08,574500,0.0,0.0
1998-12-17,8.05,8.1,7.63,7.74,934600,0.0,0.0
1998-12-18,7.74,7.91,7.66,7.66,514500,0.0,0.0
1998-12-21,7.66,7.71,7.24,7.43,794400,0.0,0.0
1998-12-22,7.4,7.6,7.01,7.18,1037100,0.0,0.0
1998-12-23,7.24,7.26,6.95,7.24,1295800,0.0,0.0
1998-12-24,7.24,7.4,7.18,7.35,427900,0.0,0.0
1998-12-28,7.32,7.38,7.18,7.32,419200,0.0,0.0
1998-12-29,7.38,7.74,7.38,7.68,693600,0.0,0.0
1998-12-30,7.74,8.36,7.74,8.3,1011000,0.0,0.0
1998-12-31,8.3,8.33,8.19,8.27,218800,0.0,0.0
1999-01-04,8.38,8.75,8.33,8.61,451500,0.0,0.0
1999-01-05,8.69,8.75,8.47,8.52,1211200,0.0,0.0
1999-01-06,8.41,8.64,8.41,8.47,1173400,0.0,0.0
1999-01-07,8.41,8.47,8.3,8.47,169500,0.0,0.0
1999-01-08,8.52,8.52,8.47,8.5,459300,0.0,0.0
1999-01-11,8.5,8.58,8.33,8.47,931600,0.0,0.0
1999-01-12,8.44,8.5,8.22,8.27,1659600,0.0,0.0
1999-01-13,8.08,8.19,7.91,8.16,666700,0.0,0.0
1999-01-14,8.19,8.19,8.08,8.19,112300,0.0,0.0
1999-01-15,8.19,8.19,8.05,8.16,577900,0.0,0.0
1999-01-19,8.36,8.5,8.19,8.5,449700,0.0,0.0
1999-01-20,8.5,8.5,8.3,8.38,422400,0.0,0.0
1999-01-21,8.36,8.38,8.16,8.38,1717300,0.0,0.0
1999-01-22,8.36,8.47,8.19,8.41,972900,0.0,0.0
1999-01-25,8.41,8.52,8.38,8.52,571900,0.0,0.0
1999-01-26,8.52,8.75,8.38,8.67,1427500,0.0,0.0
1999-01-27,8.97,9.31,8.92,9.31,1247800,0.0,0.0
1999-01-28,9.34,9.62,9.25,9.42,1088500,0.0,0.0
1999-01-29,9.37,9.42,9.14,9.25,261600,0.0,0.0
1999-02-01,9.25,9.37,9.25,9.28,236400,0.0,0.0
1999-02-02,9.28,9.37,9.17,9.37,173700,0.0,0.0
1999-02-03,9.31,9.59,9.2,9.59,423900,0.0,0.0
1999-02-04,9.48,9.96,9.37,9.65,250000,0.0,0.0
1999-02-05,9.42,9.51,9.14,9.14,320200,0.0,0.0
1999-02-08,9.17,9.25,9.09,9.17,117300,0.0,0.0
1999-02-09,9.11,9.2,9.03,9.06,268600,0.0,0.0
1999-02-10,8.97,8.97,8.08,8.27,675400,0.0,0.0
1999-02-11,8.3,8.52,8.24,8.52,469900,0.0,0.0
1999-02-12,8.52,8.52,8.3,8.47,714400,0.0,0.0
1999-02-16,8.5,8.5,8.13,8.19,369000,0.0,0.0
1999-02-17,8.1,8.24,8.02,8.05,158800,0.0,0.0
1999-02-18,7.99,8.27,7.99,8.05,172000,0.0,0.0
1999-02-19,7.99,8.05,7.4,7.63,1425100,0.0,0.0
1999-02-22,7.6,7.6,7.24,7.26,653400,0.0,0.0
1999-02-23,7.26,7.26,6.93,6.95,1666600,0.0,0.0
1999-02-24,7.07,7.63,7.07,7.4,1024000,0.0,0.0
