Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-03-29,47.5,47.5,47.5,47.5,0,0,0.0
2004-03-30,47.0,47.9,47.0,47.9,3100,0,0.0
2004-04-08,48.0,48.0,46.5,46.6,3500,0,0.0
2004-04-12,47.5,47.5,47.0,47.0,2500,0,0.0
2004-04-14,47.0,47.0,47.0,47.0,100,0,0.0
2004-04-15,47.0,47.5,47.0,47.5,400,0,0.0
2004-04-16,47.5,48.5,47.5,48.5,3000,0,0.0
2004-04-20,49.0,49.0,49.0,49.0,300,0,0.0
2004-04-21,48.0,48.0,47.2,47.2,500,0,0.0
2004-04-26,48.0,48.0,48.0,48.0,100,0,0.0
2004-04-27,49.0,49.0,47.2,47.2,2300,0,0.0
2004-04-28,47.0,48.0,47.0,48.0,1400,0,0.0
2004-04-30,47.7,48.0,47.3,48.0,1600,0,0.0
2004-05-03,47.6,47.6,47.5,47.5,3800,0,0.0
2004-05-04,47.8,48.0,47.8,48.0,100,0,0.0
2004-05-05,47.2,48.0,47.2,48.0,1700,0,0.0
2004-05-06,47.5,48.0,47.5,48.0,2700,0,0.0
2004-05-07,48.0,48.0,48.0,48.0,0,0,0.0
2004-05-10,47.5,50.0,47.5,50.0,200,0,0.0
2004-05-11,47.5,47.5,47.5,47.5,100,0,0.0
2004-05-12,48.0,48.0,48.0,48.0,100,0,0.0
2004-05-13,48.0,48.0,48.0,48.0,0,0,0.0
2004-05-14,47.7,47.7,47.7,47.7,100,0,0.0
2004-05-17,48.5,48.5,47.0,47.6,400,0,0.0
2004-05-18,47.6,47.6,47.6,47.6,0,0,0.0
2004-05-19,47.6,47.6,47.6,47.6,0,0,0.0
2004-05-20,47.2,48.0,47.2,48.0,400,0,0.0
2004-05-21,48.0,48.0,48.0,48.0,100,0,0.0
2004-05-24,47.5,48.5,47.5,48.5,300,0,0.0
2004-05-25,47.5,47.5,47.0,47.5,800,0,0.0
2004-05-26,48.0,48.0,48.0,48.0,200,0,0.0
2004-05-27,47.7,47.7,47.7,47.7,0,0,0.0
2004-05-28,47.5,47.5,47.5,47.5,800,0,0.0
2004-06-01,47.5,47.5,47.5,47.5,0,0,0.0
2004-06-02,48.0,48.0,47.7,48.0,1800,0,0.0
2004-06-03,48.0,48.0,48.0,48.0,0,0,0.0
2004-06-04,48.0,48.0,48.0,48.0,0,0,0.0
2004-06-07,48.0,48.0,48.0,48.0,0,0,0.0
2004-06-08,47.9,48.0,47.9,48.0,1400,0,0.0
2004-06-09,48.0,48.0,48.0,48.0,0,0,0.0
2004-06-10,48.5,48.5,47.6,47.6,2300,0,0.0
2004-06-14,47.6,47.6,47.4,47.5,3200,0,0.0
2004-06-15,47.5,47.5,47.5,47.5,300,0,0.0
2004-06-16,47.5,47.5,47.5,47.5,500,0,0.0
2004-06-17,47.5,47.5,47.5,47.5,1200,0,0.0
2004-06-18,47.5,47.5,47.5,47.5,1300,0,0.0
2004-06-21,47.5,47.7,47.5,47.7,1600,0,0.0
2004-06-22,47.5,47.5,47.5,47.5,3200,0,0.0
2004-06-23,47.5,47.9,47.5,47.5,3600,0,0.0
2004-06-24,47.7,47.7,47.5,47.5,2000,0,0.0
2004-06-25,47.6,47.8,47.5,47.8,1300,0,0.0
2004-06-28,47.5,47.6,47.5,47.6,1300,0,0.0
2004-06-29,47.6,48.0,47.5,47.5,300,0,0.0
2004-06-30,47.6,47.6,47.6,47.6,100,0,0.0
2004-07-01,47.6,47.7,47.5,47.7,1500,0,0.0
2004-07-02,48.0,48.0,48.0,48.0,800,0,0.0
2004-07-06,48.0,48.0,48.0,48.0,0,0,0.0
2004-07-07,47.8,47.8,47.8,47.8,200,0,0.0
2004-07-08,48.3,48.5,48.3,48.5,1400,0,0.0
2004-07-09,48.5,48.5,48.5,48.5,100,0,0.0
2004-07-12,48.5,48.5,48.5,48.5,1200,0,0.0
2004-07-13,48.5,48.5,48.5,48.5,0,0,0.0
2004-07-14,48.5,49.0,48.5,49.0,1000,0,0.0
2004-07-15,48.5,48.5,48.5,48.5,100,0,0.0
2004-07-16,48.5,48.5,48.5,48.5,0,0,0.0
2004-07-19,48.5,48.5,48.5,48.5,0,0,0.0
2004-07-20,48.8,48.8,48.8,48.8,800,0,0.0
2004-07-21,49.0,49.0,49.0,49.0,500,0,0.0
2004-07-22,49.0,49.0,49.0,49.0,0,0,0.0
2004-07-23,48.8,49.0,48.8,49.0,1000,0,0.0
2004-07-26,48.8,48.8,48.7,48.7,400,0,0.0
2004-07-27,48.7,48.7,48.7,48.7,700,0,0.0
2004-07-28,48.7,48.7,48.7,48.7,0,0,0.0
2004-07-29,48.7,48.7,48.7,48.7,0,0,0.0
2004-07-30,48.7,48.7,48.7,48.7,0,0,0.0
2004-08-02,48.7,48.7,48.7,48.7,0,0,0.0
2004-08-03,48.7,48.7,48.7,48.7,0,0,0.0
2004-08-04,48.8,49.0,48.8,49.0,500,0,0.0
2004-08-05,49.0,49.0,49.0,49.0,0,0,0.0
2004-08-06,49.0,49.0,49.0,49.0,0,0,0.0
2004-08-09,49.0,49.0,49.0,49.0,0,0,0.0
2004-08-10,49.0,49.0,49.0,49.0,0,0,0.0
2004-08-11,49.0,49.0,49.0,49.0,0,0,0.0
2004-08-12,48.8,49.0,48.8,49.0,2000,0,0.0
2004-08-13,48.8,49.0,48.8,49.0,2200,0,0.0
2004-08-16,49.0,49.0,49.0,49.0,0,0,0.0
2004-08-17,49.0,49.0,49.0,49.0,0,0,0.0
2004-08-18,48.9,49.0,48.9,49.0,200,0,0.0
2004-08-19,49.0,49.0,49.0,49.0,200,0,0.0
2004-08-20,49.0,49.0,49.0,49.0,100,0,0.0
2004-08-23,49.0,49.0,49.0,49.0,0,0,0.0
2004-08-24,49.0,49.0,49.0,49.0,100,0,0.0
2004-08-25,49.0,49.0,49.0,49.0,0,0,0.0
2004-08-26,49.0,49.0,48.1,48.1,300,0,0.0
2004-08-27,49.4,49.4,48.8,49.0,1300,0,0.0
2004-08-30,49.4,49.4,49.2,49.4,600,0,0.0
2004-08-31,49.4,49.4,49.4,49.4,0,0,0.0
2004-09-01,49.1,49.4,49.1,49.4,900,0,0.0
2004-09-02,49.4,49.4,49.0,49.0,800,0,0.0
2004-09-03,49.0,49.0,49.0,49.0,100,0,0.0
2004-09-07,49.0,49.0,49.0,49.0,0,0,0.0
2004-09-08,49.0,49.0,49.0,49.0,0,0,0.0
2004-09-09,49.0,49.0,49.0,49.0,300,0,0.0
2004-09-10,49.0,49.0,49.0,49.0,0,0,0.0
2004-09-13,49.2,49.3,49.2,49.3,100,0,0.0
2004-09-14,49.3,49.3,49.3,49.3,0,0,0.0
2004-09-15,49.3,49.3,49.3,49.3,0,0,0.0
2004-09-16,49.3,49.3,49.3,49.3,0,0,0.0
2004-09-17,49.3,49.3,49.3,49.3,0,0,0.0
2004-09-20,49.3,49.3,49.3,49.3,0,0,0.0
2004-09-21,49.1,49.1,49.1,49.1,200,0,0.0
2004-09-22,49.1,49.1,49.1,49.1,300,0,0.0
2004-09-23,49.1,49.1,49.1,49.1,400,0,0.0
2004-09-24,49.1,49.1,48.2,49.0,300,0,0.0
2004-09-27,49.0,49.0,49.0,49.0,0,0,0.0
2004-09-28,49.0,49.0,49.0,49.0,1000,0,0.0
2004-09-29,49.0,49.0,49.0,49.0,0,0,0.0
2004-09-30,49.0,49.0,49.0,49.0,0,0,0.0
2004-10-01,49.0,49.0,49.0,49.0,0,0,0.0
