Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-08-15,10.93,11.09,10.77,10.93,6245900,0.0,0
1997-08-18,10.88,11.04,10.38,10.88,687700,0.0,0
1997-08-19,10.82,10.85,10.63,10.66,205500,0.0,0
1997-08-20,10.6,10.6,10.33,10.38,264700,0.0,0
1997-08-21,10.44,10.49,10.06,10.08,302400,0.0,0
1997-08-22,9.89,10.27,9.84,10.27,363700,0.0,0
1997-08-25,10.27,10.27,10.06,10.27,176400,0.0,0
1997-08-26,10.3,10.47,10.27,10.33,293400,0.0,0
1997-08-27,10.38,10.38,10.27,10.27,31200,0.0,0
1997-08-28,10.27,10.36,10.27,10.36,87000,0.0,0
1997-08-29,10.36,10.49,10.3,10.44,139000,0.0,0
1997-09-02,10.41,10.66,10.41,10.66,134700,0.0,0
1997-09-03,10.63,10.66,10.55,10.63,144600,0.0,0
1997-09-04,10.55,10.71,10.55,10.71,76500,0.0,0
1997-09-05,10.68,10.71,10.55,10.66,65100,0.0,0
1997-09-08,10.57,10.6,10.57,10.6,108800,0.0,0
1997-09-09,10.57,10.82,10.57,10.71,169500,0.0,0
1997-09-10,10.66,10.82,10.6,10.79,112600,0.0,0
1997-09-11,10.77,10.77,10.6,10.63,69400,0.0,0
1997-09-12,10.63,10.74,10.63,10.63,74500,0.0,0
1997-09-15,10.6,10.71,10.38,10.49,180500,0.0,0
1997-09-16,10.66,11.15,10.6,11.04,182600,0.0,0
1997-09-17,11.15,11.15,10.74,10.82,97600,0.0,0
1997-09-18,10.88,11.01,10.79,10.98,49700,0.0,0
1997-09-19,10.88,10.98,10.82,10.96,95500,0.0,0
1997-09-22,11.09,11.09,11.04,11.04,85600,0.0,0
1997-09-23,11.04,11.15,10.9,10.9,95600,0.0,0
1997-09-24,10.93,10.96,10.82,10.85,41000,0.0,0
1997-09-25,10.88,11.04,10.88,11.04,66900,0.0,0
1997-09-26,10.98,11.18,10.98,11.15,164600,0.0,0
1997-09-29,11.2,11.31,11.18,11.23,60200,0.0,0
1997-09-30,11.18,11.31,11.15,11.31,126900,0.0,0
1997-10-01,11.31,11.45,11.31,11.31,63500,0.0,0
1997-10-02,11.37,11.69,11.37,11.53,126900,0.0,0
1997-10-03,11.69,11.8,11.61,11.78,62400,0.0,0
1997-10-06,11.78,11.78,11.53,11.53,145400,0.0,0
1997-10-07,11.48,11.48,11.04,11.42,170200,0.0,0
1997-10-08,11.48,11.59,11.42,11.48,76100,0.0,0
1997-10-09,11.42,11.53,11.37,11.37,141200,0.0,0
1997-10-10,11.37,11.42,11.29,11.29,34100,0.0,0
1997-10-13,11.45,11.45,11.26,11.31,48000,0.0,0
1997-10-14,11.37,11.48,11.31,11.39,22000,0.0,0
1997-10-15,11.39,11.39,11.31,11.34,7200,0.0,0
1997-10-16,11.34,11.42,11.26,11.26,52200,0.0,0
1997-10-17,11.26,11.37,11.09,11.15,67600,0.0,0
1997-10-20,11.15,11.15,11.07,11.09,90900,0.0,0
1997-10-21,11.09,11.53,11.09,11.53,77700,0.0,0
1997-10-22,11.53,11.75,11.37,11.37,185800,0.0,0
1997-10-23,11.2,11.26,10.96,11.2,47300,0.0,0
1997-10-24,11.26,11.29,11.2,11.2,171800,0.0,0
1997-10-27,11.26,11.26,10.36,10.36,48800,0.0,0
1997-10-28,10.33,11.23,9.95,11.23,96700,0.0,0
1997-10-29,11.2,11.2,10.98,11.01,96200,0.0,0
1997-10-30,10.93,11.01,10.93,10.93,8500,0.0,0
1997-10-31,10.9,10.98,10.82,10.96,38400,0.0,0
1997-11-03,11.04,11.04,10.88,10.88,54400,0.0,0
1997-11-04,10.85,10.85,10.49,10.68,65800,0.0,0
1997-11-05,10.68,10.96,10.63,10.79,47900,0.0,0
1997-11-06,10.85,10.9,10.66,10.66,29700,0.0,0
1997-11-07,10.66,10.66,10.49,10.6,37300,0.0,0
1997-11-10,10.63,10.9,10.57,10.88,13600,0.0,0
1997-11-11,10.88,11.07,10.88,10.98,33800,0.0,0
1997-11-12,11.04,11.23,10.93,11.2,46000,0.0,0
