Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-10-18,5.99,6.06,5.99,6.03,15145200,0.0,0.0
2000-10-19,5.81,5.88,5.59,5.86,1434600,0.0,0.0
2000-10-20,5.85,5.92,5.81,5.81,263100,0.0,0.0
2000-10-23,5.7,5.7,5.39,5.63,615900,0.0,0.0
2000-10-24,5.52,5.57,5.41,5.45,674300,0.0,0.0
2000-10-25,5.23,5.27,5.1,5.16,559200,0.0,0.0
2000-10-26,5.23,5.3,5.21,5.3,159200,0.0,0.0
2000-10-27,5.37,5.52,5.37,5.52,234700,0.0,0.0
2000-10-30,5.5,5.5,5.37,5.45,181800,0.0,0.0
2000-10-31,5.67,5.77,5.61,5.76,335200,0.0,0.0
2000-11-01,5.85,5.88,5.83,5.86,288200,0.0,0.0
2000-11-02,5.9,5.9,5.68,5.76,170100,0.0,0.0
2000-11-03,5.94,5.96,5.88,5.92,437700,0.0,0.0
2000-11-06,6.19,6.26,6.14,6.23,980700,0.0,0.0
2000-11-07,6.23,6.23,6.1,6.14,377600,0.0,0.0
2000-11-08,6.06,6.06,5.96,5.96,147000,0.0,0.0
2000-11-09,5.96,5.96,5.79,5.88,105900,0.0,0.0
2000-11-10,5.85,5.85,5.77,5.77,55700,0.0,0.0
2000-11-13,5.74,5.74,5.56,5.63,343300,0.0,0.0
2000-11-14,5.86,5.97,5.83,5.97,681000,0.0,0.0
2000-11-15,5.94,5.94,5.88,5.92,95500,0.0,0.0
2000-11-16,5.9,6.12,5.9,6.1,338200,0.0,0.0
2000-11-17,6.06,6.17,6.03,6.06,124100,0.0,0.0
2000-11-20,6.03,6.03,5.92,5.94,81900,0.0,0.0
2000-11-21,5.96,5.96,5.81,5.86,152300,0.0,0.0
2000-11-22,5.79,5.79,5.56,5.59,128900,0.0,0.0
2000-11-24,5.59,5.77,5.59,5.77,73000,0.0,0.0
2000-11-27,5.74,5.76,5.67,5.67,32300,0.0,0.0
2000-11-28,5.56,5.56,5.37,5.37,85500,0.0,0.0
2000-11-29,5.01,5.05,4.94,5.05,158700,0.0,0.0
2000-11-30,5.03,5.03,4.87,4.92,137900,0.0,0.0
2000-12-01,5.16,5.17,5.14,5.16,64000,0.0,0.0
2000-12-04,5.28,5.3,5.25,5.3,134200,0.0,0.0
2000-12-05,5.25,5.34,5.25,5.34,280400,0.0,0.0
2000-12-06,5.37,5.41,5.3,5.32,164000,0.0,0.0
2000-12-07,5.28,5.3,5.28,5.28,55200,0.0,0.0
2000-12-08,5.28,5.3,5.25,5.27,91500,0.0,0.0
2000-12-11,5.21,5.21,5.08,5.12,157600,0.0,0.0
2000-12-12,5.17,5.23,5.17,5.21,103300,0.0,0.0
2000-12-13,5.27,5.27,5.21,5.25,215500,0.0,0.0
2000-12-14,5.19,5.21,5.19,5.19,126600,0.0,0.0
2000-12-15,5.16,5.16,5.14,5.14,30500,0.0,0.0
2000-12-18,4.99,4.99,4.96,4.98,108800,0.0,0.0
2000-12-19,4.63,4.7,4.63,4.65,159500,0.0,0.0
2000-12-20,4.43,4.43,4.38,4.41,74300,0.0,0.0
2000-12-21,4.36,4.39,4.29,4.32,108500,0.0,0.0
2000-12-22,4.3,4.38,4.29,4.34,84700,0.0,0.0
2000-12-26,4.3,4.39,4.3,4.39,149100,0.0,0.0
2000-12-27,4.34,4.39,4.34,4.34,92300,0.0,0.0
2000-12-28,4.41,4.43,4.38,4.41,163900,0.0,0.0
2000-12-29,4.43,4.5,4.41,4.43,180000,0.0,0.0
2001-01-02,4.45,4.45,4.41,4.41,78100,0.0,0.0
2001-01-03,4.38,4.48,4.36,4.47,193000,0.0,0.0
2001-01-04,4.63,4.67,4.59,4.63,244500,0.0,0.0
2001-01-05,4.58,4.65,4.54,4.56,140900,0.0,0.0
2001-01-08,4.54,4.54,4.52,4.54,31800,0.0,0.0
2001-01-09,4.54,4.58,4.54,4.58,24400,0.0,0.0
2001-01-10,4.58,4.59,4.58,4.59,114000,0.0,0.0
2001-01-11,4.36,4.39,4.34,4.38,168400,0.0,0.0
2001-01-12,4.38,4.39,4.3,4.32,58200,0.0,0.0
2001-01-16,4.18,4.32,4.14,4.18,239700,0.0,0.0
2001-01-17,4.32,4.39,4.32,4.39,233600,0.0,0.0
2001-01-18,4.36,4.38,4.3,4.34,30800,0.0,0.0
2001-01-19,4.41,4.45,4.41,4.41,65700,0.0,0.0
2001-01-22,4.41,4.43,4.38,4.39,13100,0.0,0.0
2001-01-23,4.36,4.38,4.34,4.36,100600,0.0,0.0
2001-01-24,4.34,4.36,4.3,4.32,50100,0.0,0.0
2001-01-25,4.32,4.39,4.32,4.36,43200,0.0,0.0
2001-01-26,4.36,4.36,4.32,4.32,37100,0.0,0.0
2001-01-29,4.32,4.37,4.32,4.33,29600,0.0,0.0
2001-01-30,4.28,4.28,4.21,4.21,24700,0.0,0.0
2001-01-31,4.18,4.21,4.16,4.17,58600,0.0,0.0
2001-02-01,4.18,4.21,4.17,4.2,30800,0.0,0.0
2001-02-02,4.2,4.24,4.15,4.15,33200,0.0,0.0
2001-02-05,4.15,4.21,4.15,4.17,23500,0.0,0.0
2001-02-06,4.11,4.11,4.09,4.1,47000,0.0,0.0
2001-02-07,3.94,4.08,3.94,4.07,217600,0.0,0.0
2001-02-08,4.07,4.1,4.04,4.08,66900,0.0,0.0
2001-02-09,4.37,4.37,4.33,4.36,390100,0.0,0.0
2001-02-12,4.59,4.61,4.56,4.6,190100,0.0,0.0
2001-02-13,4.64,4.64,4.52,4.53,58700,0.0,0.0
2001-02-14,4.49,4.49,4.42,4.43,37400,0.0,0.0
2001-02-15,4.48,4.48,4.46,4.47,7100,0.0,0.0
2001-02-16,4.49,4.5,4.44,4.49,245000,0.0,0.0
2001-02-20,4.81,4.85,4.79,4.82,142300,0.0,0.0
2001-02-21,4.68,4.68,4.62,4.62,48200,0.0,0.0
2001-02-22,4.62,4.65,4.56,4.59,44300,0.0,0.0
2001-02-23,4.79,4.82,4.79,4.8,110300,0.0,0.0
2001-02-26,4.92,4.92,4.87,4.88,53500,0.0,0.0
2001-02-27,4.92,4.92,4.82,4.85,51400,0.0,0.0
2001-02-28,4.65,4.66,4.49,4.66,158700,0.0,0.0
2001-03-01,4.38,4.47,4.38,4.47,72900,0.0,0.0
2001-03-02,4.44,4.44,4.35,4.38,372800,0.0,0.0
2001-03-05,4.44,4.58,4.44,4.58,44400,0.0,0.0
2001-03-06,4.59,4.68,4.59,4.64,95600,0.0,0.0
2001-03-07,4.59,4.64,4.59,4.63,26000,0.0,0.0
2001-03-08,4.48,4.56,4.47,4.56,29100,0.0,0.0
2001-03-09,4.3,4.36,4.29,4.36,107900,0.0,0.0
2001-03-12,4.24,4.26,4.24,4.24,109900,0.0,0.0
2001-03-13,4.26,4.27,4.19,4.27,166100,0.0,0.0
2001-03-14,4.26,4.34,4.26,4.27,58500,0.0,0.0
2001-03-15,4.27,4.27,4.2,4.2,80900,0.0,0.0
2001-03-16,4.2,4.2,4.18,4.18,33600,0.0,0.0
2001-03-19,4.33,4.35,4.3,4.33,167900,0.0,0.0
2001-03-20,4.29,4.31,4.26,4.26,15000,0.0,0.0
2001-03-21,4.26,4.37,4.24,4.35,86000,0.0,0.0
2001-03-22,4.25,4.31,4.24,4.3,112000,0.0,0.0
2001-03-23,4.3,4.33,4.23,4.27,39200,0.0,0.0
2001-03-26,4.27,4.27,4.2,4.26,43000,0.0,0.0
2001-03-27,4.15,4.21,4.11,4.15,165700,0.0,0.0
2001-03-28,4.26,4.27,4.23,4.26,30900,0.0,0.0
2001-03-29,4.42,4.42,4.36,4.36,39200,0.0,0.0
2001-03-30,4.53,4.53,4.5,4.53,27900,0.0,0.0
2001-04-02,4.59,4.6,4.58,4.58,52600,0.0,0.0
2001-04-03,4.55,4.56,4.47,4.5,51600,0.0,0.0
2001-04-04,4.33,4.37,4.33,4.36,51000,0.0,0.0
2001-04-05,4.4,4.5,4.39,4.5,354500,0.0,0.0
2001-04-06,4.29,4.33,4.26,4.33,32800,0.0,0.0
2001-04-09,4.33,4.33,4.21,4.27,17400,0.0,0.0
2001-04-10,4.27,4.32,4.27,4.28,111400,0.0,0.0
2001-04-11,4.33,4.33,4.2,4.21,48700,0.0,0.0
2001-04-12,4.24,4.27,4.16,4.24,150900,0.0,0.0
2001-04-16,4.24,4.26,4.2,4.23,29900,0.0,0.0
2001-04-17,4.33,4.36,4.31,4.32,104000,0.0,0.0
2001-04-18,4.72,4.76,4.67,4.71,196300,0.0,0.0
2001-04-19,4.76,4.79,4.71,4.72,35800,0.0,0.0
2001-04-20,4.71,4.86,4.71,4.82,118600,0.0,0.0
2001-04-23,4.93,5.04,4.92,5.03,60700,0.0,0.0
2001-04-24,4.97,5.05,4.97,5.0,17900,0.0,0.0
2001-04-25,5.07,5.08,5.03,5.07,42500,0.0,0.0
2001-04-26,5.07,5.13,5.07,5.08,99500,0.0,0.0
2001-04-27,5.14,5.26,5.14,5.24,36500,0.0,0.0
2001-04-30,5.29,5.29,5.16,5.26,76400,0.0,0.0
2001-05-01,5.4,5.44,5.32,5.44,242900,0.74385,0.0
2001-05-02,5.6,5.62,5.55,5.59,124000,0.0,0.0
2001-05-03,5.22,5.22,5.17,5.19,19500,0.0,0.0
2001-05-04,5.22,5.22,5.19,5.2,47000,0.0,0.0
2001-05-07,5.2,5.22,5.19,5.19,35100,0.0,0.0
2001-05-08,5.32,5.36,5.29,5.3,227200,0.0,0.0
2001-05-09,5.4,5.47,5.4,5.45,136500,0.0,0.0
2001-05-10,5.42,5.42,5.36,5.37,28300,0.0,0.0
2001-05-11,5.52,5.57,5.49,5.57,108400,0.0,0.0
2001-05-14,5.57,5.57,5.52,5.55,191700,0.0,0.0
2001-05-15,5.59,5.62,5.57,5.62,304700,0.0,0.0
2001-05-16,5.75,5.78,5.75,5.75,497500,0.0,0.0
2001-05-17,5.74,5.74,5.67,5.71,15200,0.0,0.0
2001-05-18,5.83,5.95,5.83,5.95,78300,0.0,0.0
2001-05-21,5.89,5.95,5.83,5.86,31900,0.0,0.0
2001-05-22,5.97,6.03,5.95,5.95,38800,0.0,0.0
2001-05-23,5.95,6.06,5.91,5.94,51000,0.0,0.0
2001-05-24,6.21,6.37,6.21,6.36,131100,0.0,0.0
2001-05-25,6.41,6.42,6.29,6.36,119000,0.0,0.0
2001-05-29,6.06,6.09,6.01,6.03,18200,0.0,0.0
2001-05-30,5.85,5.85,5.69,5.83,68700,0.0,0.0
2001-05-31,5.8,5.86,5.8,5.85,12800,0.0,0.0
2001-06-01,6.14,6.21,6.11,6.21,91200,0.0,0.0
2001-06-04,6.44,6.52,6.41,6.44,214600,0.0,0.0
2001-06-05,6.37,6.39,6.34,6.37,47100,0.0,0.0
2001-06-06,6.14,6.18,6.09,6.18,46800,0.0,0.0
2001-06-07,6.14,6.14,5.95,5.98,45600,0.0,0.0
2001-06-08,5.9,5.93,5.87,5.89,82400,0.0,0.0
2001-06-11,6.03,6.05,5.98,6.05,11800,0.0,0.0
2001-06-12,5.98,6.06,5.91,6.06,29700,0.0,0.0
2001-06-13,5.92,6.0,5.85,5.92,41800,0.0,0.0
2001-06-14,5.76,5.77,5.66,5.7,21900,0.0,0.0
2001-06-15,5.68,5.68,5.59,5.65,19800,0.0,0.0
2001-06-18,5.56,5.57,5.43,5.47,29100,0.0,0.0
2001-06-19,5.66,5.7,5.66,5.69,38700,0.0,0.0
2001-06-20,5.73,5.74,5.62,5.62,28700,0.0,0.0
2001-06-21,5.83,5.86,5.77,5.8,29200,0.0,0.0
2001-06-22,6.13,6.17,6.12,6.13,29500,0.0,0.0
2001-06-25,6.34,6.37,6.32,6.34,143100,0.0,0.0
